frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1709437142.611411572,0.084950079,0.130363772,-0.007298539,-0.001526751,-0.000618316,-0.009189592,0.999956418,0,0.000000000,0,0.000000000
2,1709437142.714954138,0.041601417,0.251418699,-0.012008123,-0.001006502,-0.000414848,-0.007283496,0.999972882,3335,1709437142.611411572,0,0.000000000
3,1709437142.814933777,0.023296606,0.318447059,-0.011355123,-0.001243657,-0.000457462,-0.009696595,0.999952109,3311,1709437142.714954138,0,0.000000000
4,1709437142.914747000,0.002735752,0.383180642,-0.009394077,-0.000519812,-0.000379761,-0.013561686,0.999907829,3287,1709437142.814933777,0,0.000000000
5,1709437143.014541864,-0.006384618,0.448048086,-0.008033817,-0.000432326,-0.000249207,-0.010039083,0.999949483,3373,1709437142.914747000,0,0.000000000
6,1709437143.113637686,0.016359074,0.435871722,-0.007763063,-0.000077734,-0.000212722,-0.010750619,0.999942185,3373,1709437143.014541864,3373,1709437143.014541864
7,1709437143.215078831,0.026863002,0.431476681,-0.011683354,-0.000586900,-0.000430894,-0.011900246,0.999928924,3327,1709437143.113637686,3373,1709437143.014541864
8,1709437143.314929724,0.006104396,0.321258250,-0.014604233,-0.001467619,-0.000576774,-0.009399721,0.999954578,3404,1709437143.215078831,3373,1709437143.014541864
9,1709437143.414004326,0.018061762,0.275432156,-0.009963176,-0.000851576,-0.000304335,-0.009527405,0.999954204,3396,1709437143.314929724,3373,1709437143.014541864
10,1709437143.512908220,0.016018523,0.266227528,-0.007854703,-0.000855756,-0.000290978,-0.009256500,0.999956749,3348,1709437143.414004326,3373,1709437143.014541864
11,1709437143.614814758,-0.004200241,0.255420592,-0.002315001,-0.001063140,-0.000106948,-0.009232042,0.999956813,3283,1709437143.512908220,3373,1709437143.014541864
12,1709437143.713732958,-0.005143373,0.235461359,-0.000733360,-0.000523271,-0.000185210,-0.008176551,0.999966417,3412,1709437143.614814758,3373,1709437143.014541864
13,1709437143.812387228,0.004985171,0.237969631,0.000856074,-0.001193910,-0.000147099,-0.009400162,0.999955094,3335,1709437143.713732958,3373,1709437143.014541864
14,1709437143.911052465,0.009892865,0.234799681,-0.003055986,-0.001081883,-0.000348153,-0.007767815,0.999969184,3315,1709437143.812387228,3373,1709437143.014541864
15,1709437144.014974833,0.006224233,0.265435215,-0.006414398,-0.001124889,-0.000316752,-0.009379824,0.999955326,3290,1709437143.911052465,6663,1709437144.014974833
16,1709437144.114813805,0.026678952,0.266669054,-0.010069087,-0.000828265,-0.000444661,-0.009526447,0.999954180,3257,1709437144.014974833,6663,1709437144.014974833
17,1709437144.214656591,0.033142295,0.265756495,-0.012522237,-0.000536560,-0.000485314,-0.008787024,0.999961132,3337,1709437144.114813805,6663,1709437144.014974833
18,1709437144.314492702,0.023719245,0.288145897,-0.009310655,-0.001035472,-0.000283711,-0.009507790,0.999954224,3390,1709437144.214656591,6663,1709437144.014974833
19,1709437144.414335966,0.033600752,0.312901104,-0.005117797,-0.000760497,-0.000299815,-0.009808998,0.999951556,3381,1709437144.314492702,6663,1709437144.014974833
20,1709437144.514983892,0.027785239,0.323330436,-0.008196348,-0.000965962,-0.000420276,-0.009632543,0.999953051,3310,1709437144.414335966,6663,1709437144.014974833
