frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected,sync_imu_samples,sync_imu_first_time,sync_imu_last_time,frontend_core_revision,log_sequence,map_update_skipped,map_skip_reason,window_updated,range_near_rejected,range_far_rejected,map_min_range,map_max_range,map_min_effective_points,runtime_schema_revision,invalid_quality_filter_enabled,invalid_quality_low_effective_relax_enabled,invalid_quality_relax_active,invalid_quality_relax_effective_threshold,invalid_quality_relaxed,total_invalid_quality_relaxed,invalid_quality_turn_guard_enabled,invalid_quality_turn_guard_active,invalid_quality_turn_guard_yaw_threshold,invalid_quality_turn_guard_rejected,total_invalid_quality_turn_guard_rejected,directional_selection_enabled,directional_selection_active,equal_point_count_control_enabled,equal_point_count_control_active,equal_point_count_target,equal_point_count_rejected,total_equal_point_count_rejected
1,1709437142.514615059,1709437142.611411572,0,0,0,0,0.084950082,0.130363792,-0.007298539,-0.001526751,-0.000618316,-0.009189593,0.999956418,823,589,0.715674362,0.026333203,0.012639523,0.007725298,0.000000000,656.991384814,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,648,575,73,0.787363305,0,0,0,0,0,0,175,0,1246,648,0,0,0,175,10,1709437142.515410185,1709437142.605300665,fastlio2_internal_v1,1,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
2,1709437142.615257740,1709437142.714954138,0,0,0,0,0.041605013,0.251419714,-0.012010442,-0.001006271,-0.000414934,-0.007283408,0.999972883,806,660,0.818858561,0.015489972,0.005521089,0.003942847,0.000000000,191.816471843,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,513,473,40,0.636476427,0,0,0,0,0,0,293,0,1515,1161,0,0,0,468,11,1709437142.614911556,1709437142.714802504,fastlio2_internal_v1,2,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
3,1709437142.715102911,1709437142.814933777,0,0,0,0,0.023291786,0.318452666,-0.011354098,-0.001244404,-0.000454688,-0.009697297,0.999952102,814,655,0.804668305,0.014023235,0.004232049,0.002762556,0.000000000,239.302617940,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,444,420,24,0.545454545,0,0,0,0,0,0,370,0,1755,1605,0,0,0,838,10,1709437142.725572348,1709437142.814751625,fastlio2_internal_v1,3,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
4,1709437142.814945936,1709437142.914747000,0,0,0,0,0.002782267,0.383189893,-0.009396227,-0.000519688,-0.000376185,-0.013561921,0.999907827,815,688,0.844171779,0.016256792,0.004393846,0.003240436,0.000000000,297.361078900,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,428,398,30,0.525153374,0,0,0,0,0,0,387,0,1983,2033,0,0,0,1225,9,1709437142.825378895,1709437142.904733419,fastlio2_internal_v1,4,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
5,1709437142.914772034,1709437143.014541864,0,0,0,0,-0.006329026,0.447744202,-0.008032677,-0.000431721,-0.000245316,-0.010032147,0.999949553,843,683,0.810201661,0.014249136,0.005954027,0.004176080,0.000000000,299.246277962,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,395,363,32,0.468564650,0,0,0,0,0,0,448,0,2215,2428,0,0,0,1673,10,1709437142.915170193,1709437143.005526781,fastlio2_internal_v1,5,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
6,1709437143.014615297,1709437143.113637686,0,0,0,0,0.016365544,0.435719010,-0.007759359,-0.000075280,-0.000208614,-0.010749670,0.999942196,850,715,0.841176471,0.018620764,0.005680561,0.004353285,0.000000000,229.050597382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,345,324,21,0.405882353,0,0,0,0,0,0,505,0,2409,2773,0,0,0,2178,10,1709437143.014944553,1709437143.104607821,fastlio2_internal_v1,6,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
7,1709437143.115257740,1709437143.215078831,0,0,0,0,0.026946938,0.431306556,-0.011685597,-0.000584035,-0.000425399,-0.011898959,0.999928944,835,710,0.850299401,0.011475024,0.003910840,0.002810389,0.000000000,314.706542258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,334,317,17,0.400000000,0,0,0,0,0,0,501,0,2579,3107,0,0,0,2679,10,1709437143.115043163,1709437143.204923153,fastlio2_internal_v1,7,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
8,1709437143.215090036,1709437143.314929724,0,0,0,0,0.006126907,0.321068306,-0.014570886,-0.001466615,-0.000568610,-0.009396588,0.999954614,822,668,0.812652068,0.017681713,0.005019248,0.003559500,0.000000000,214.270790983,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,324,297,27,0.394160584,0,0,0,0,0,0,498,0,2750,3431,0,0,0,3177,10,1709437143.215454817,1709437143.304907084,fastlio2_internal_v1,8,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
9,1709437143.314940929,1709437143.414004326,0,0,0,0,0.018255991,0.275469033,-0.009860765,-0.000842280,-0.000286330,-0.009522681,0.999954263,794,690,0.869017632,0.013802649,0.004060507,0.002951711,0.000000000,231.541815759,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,284,268,16,0.357682620,0,0,0,0,0,0,510,0,2881,3715,0,0,0,3687,10,1709437143.315344810,1709437143.405232191,fastlio2_internal_v1,9,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
10,1709437143.414765596,1709437143.512908220,0,0,0,0,0.015799813,0.265875864,-0.007849304,-0.000855924,-0.000287205,-0.009253969,0.999956774,798,679,0.850877193,0.013536820,0.003625154,0.002579808,0.000000000,227.043614073,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,256,246,10,0.320802005,0,0,0,0,0,0,542,0,2998,3971,0,0,0,4229,10,1709437143.414613724,1709437143.504686117,fastlio2_internal_v1,10,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
11,1709437143.514992952,1709437143.614814758,0,0,0,0,-0.004912548,0.261569170,-0.005067967,-0.000595910,-0.000229570,-0.009333924,0.999956234,798,712,0.892230576,0.013823106,0.004464477,0.003184080,0.000000000,229.297737825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,245,232,13,0.307017544,0,0,0,0,0,0,553,0,3103,4216,0,0,0,4782,11,1709437143.515179157,1709437143.614645720,fastlio2_internal_v1,11,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
12,1709437143.614838600,1709437143.713732958,0,0,0,0,-0.006082979,0.247922063,-0.003912711,-0.000287699,-0.000267727,-0.008503642,0.999963766,807,681,0.843866171,0.015658202,0.004721940,0.003169358,0.000000000,227.307958901,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,247,239,8,0.306071871,0,0,0,0,0,0,560,0,3222,4463,0,0,0,5342,9,1709437143.625210762,1709437143.704827309,fastlio2_internal_v1,12,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
13,1709437143.714681149,1709437143.812387228,0,0,0,0,0.009260060,0.242637598,-0.005731523,-0.000988184,-0.000393458,-0.009358827,0.999955640,817,694,0.849449204,0.012540812,0.004285991,0.003063321,0.000000000,201.220232415,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,236,230,6,0.288861689,0,0,0,0,0,0,581,0,3332,4699,0,0,0,5923,10,1709437143.715286732,1709437143.805430174,fastlio2_internal_v1,13,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
