frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected,sync_imu_samples,sync_imu_first_time,sync_imu_last_time,frontend_core_revision,log_sequence,map_update_skipped,map_skip_reason,window_updated,range_near_rejected,range_far_rejected,map_min_range,map_max_range,map_min_effective_points,runtime_schema_revision,invalid_quality_filter_enabled,invalid_quality_low_effective_relax_enabled,invalid_quality_relax_active,invalid_quality_relax_effective_threshold,invalid_quality_relaxed,total_invalid_quality_relaxed,invalid_quality_turn_guard_enabled,invalid_quality_turn_guard_active,invalid_quality_turn_guard_yaw_threshold,invalid_quality_turn_guard_rejected,total_invalid_quality_turn_guard_rejected,directional_selection_enabled,directional_selection_active,equal_point_count_control_enabled,equal_point_count_control_active,equal_point_count_target,equal_point_count_rejected,total_equal_point_count_rejected
1,1709437142.514615059,1709437142.611411572,1,1,1,0,0.084950082,0.130363792,-0.007298539,-0.001526751,-0.000618316,-0.009189593,0.999956418,823,589,0.715674362,0.026333203,0.012639523,0.007725298,0.002417035,656.991384814,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,554,487,67,0.673147023,69,23,0,0,205,0,175,94,1176,554,92,0,0,175,10,1709437142.515410185,1709437142.605300665,fastlio2_internal_v1,1,0,none,0,0,2,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
2,1709437142.615257740,1709437142.714954138,1,1,1,0,0.000917144,0.360820661,-0.015616243,-0.001552687,-0.000438304,-0.009031258,0.999957916,806,661,0.820099256,0.018201098,0.007072091,0.005309522,0.009524034,211.210857608,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,405,374,31,0.502481390,71,43,0,0,94,0,284,117,1389,959,206,0,0,459,11,1709437142.614911556,1709437142.714802504,fastlio2_internal_v1,2,0,none,0,0,3,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
3,1709437142.715102911,1709437142.814933777,1,1,1,0,0.019299094,0.386176741,-0.016188230,-0.001441021,-0.000621204,-0.009763809,0.999951102,809,653,0.807169345,0.016077021,0.004690528,0.003543019,0.011789107,218.591109315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,327,306,21,0.404202719,66,34,0,0,101,0,380,102,1565,1286,306,0,0,839,10,1709437142.725572348,1709437142.814751625,fastlio2_internal_v1,3,0,none,0,0,2,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
4,1709437142.814945936,1709437142.914747000,1,1,1,0,0.019920780,0.391870679,-0.019749231,-0.001864675,-0.000732916,-0.010255348,0.999945405,818,709,0.866748166,0.020209037,0.004889369,0.003659666,0.014785098,257.426937059,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,305,289,16,0.372860636,81,30,0,0,67,0,401,112,1726,1591,417,0,0,1240,9,1709437142.825378895,1709437142.904733419,fastlio2_internal_v1,4,0,none,0,0,1,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
5,1709437142.914772034,1709437143.014541864,1,1,1,0,0.024213124,0.478625292,-0.021054312,-0.001426822,-0.000737114,-0.010796606,0.999940425,847,704,0.831168831,0.017528012,0.005022794,0.003567040,0.013358380,275.975802172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,292,273,19,0.344746163,71,54,0,0,69,0,427,128,1890,1883,542,0,0,1667,10,1709437142.915170193,1709437143.005526781,fastlio2_internal_v1,5,0,none,0,0,3,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
6,1709437143.014615297,1709437143.113637686,1,1,1,0,0.038746516,0.431169578,-0.014360925,-0.001170609,-0.000371175,-0.009278999,0.999956195,841,716,0.851367420,0.019222076,0.005219132,0.003807813,0.015102578,238.387333843,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,268,251,17,0.318668252,90,36,0,0,73,0,446,127,2022,2151,668,0,0,2113,10,1709437143.014944553,1709437143.104607821,fastlio2_internal_v1,6,0,none,0,0,1,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
7,1709437143.115257740,1709437143.215078831,1,1,1,0,0.034717659,0.402668101,-0.011949595,-0.000863975,-0.000394183,-0.009413855,0.999955238,841,728,0.865636147,0.016625251,0.004689902,0.003561974,0.012700733,353.599552629,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,234,230,4,0.278240190,61,44,0,0,49,0,501,106,2129,2385,773,0,0,2614,10,1709437143.115043163,1709437143.204923153,fastlio2_internal_v1,7,0,none,0,0,1,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
8,1709437143.215090036,1709437143.314929724,1,1,1,0,0.024952471,0.421516724,-0.016191190,-0.001543122,-0.000617242,-0.009447735,0.999953988,819,696,0.849816850,0.021737931,0.004206270,0.003172070,0.014049936,267.050047636,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,224,208,16,0.273504274,79,46,0,0,62,0,470,125,2244,2609,898,0,0,3084,10,1709437143.215454817,1709437143.304907084,fastlio2_internal_v1,8,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
9,1709437143.314940929,1709437143.414004326,1,1,1,0,0.029404189,0.378150201,-0.008260282,-0.000175742,-0.000117403,-0.008512154,0.999963749,799,717,0.897371715,0.021400843,0.007421613,0.005627155,0.015465684,201.027335157,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,172,158,14,0.215269086,86,39,0,0,33,0,502,125,2322,2781,1023,0,0,3586,10,1709437143.315344810,1709437143.405232191,fastlio2_internal_v1,9,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
10,1709437143.414765596,1709437143.512908220,1,1,1,0,0.062342377,0.365735089,-0.005743497,-0.000639891,-0.000353836,-0.009175612,0.999957636,795,689,0.866666667,0.019284523,0.005687475,0.003693819,0.015877518,257.537099236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,180,175,5,0.226415094,65,53,0,0,32,0,493,122,2407,2961,1141,0,0,4079,10,1709437143.414613724,1709437143.504686117,fastlio2_internal_v1,10,0,none,0,0,4,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
