frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706585243.882226229,-0.065085766,0.021755632,0.007436387,0.001380372,0.000721322,-0.000098946,0.999998782,0,0.000000000,0,0.000000000
2,1706585243.982587337,-0.091098153,0.030101010,0.006038121,-0.000268127,0.000417903,-0.000128163,0.999999869,7170,1706585243.882226229,0,0.000000000
3,1706585244.081292868,-0.084690668,0.032827878,0.012517672,0.001037324,0.000841190,-0.000231139,0.999999081,7158,1706585243.982587337,7158,1706585243.982587337
4,1706585244.182530880,-0.093498259,0.033304892,0.021688735,0.000727186,0.001046926,-0.000139002,0.999999178,7080,1706585244.081292868,7158,1706585243.982587337
5,1706585244.282380342,-0.070385557,0.030789486,0.028035182,0.000964574,0.001423068,-0.000421200,0.999998434,7088,1706585244.182530880,7158,1706585243.982587337
6,1706585244.382206440,-0.082109553,0.027275835,0.025134135,0.000867018,0.001122689,0.000103721,0.999998989,7170,1706585244.282380342,7158,1706585243.982587337
7,1706585244.482851505,-0.075702371,0.027488057,0.023624121,-0.000506707,0.001319278,-0.000316121,0.999998951,7162,1706585244.382206440,7158,1706585243.982587337
8,1706585244.582679987,-0.095591426,0.030511865,0.017699031,0.001615582,0.000846095,0.000109863,0.999998331,7158,1706585244.482851505,7158,1706585243.982587337
9,1706585244.682517290,-0.119430251,0.038551330,0.013514163,0.000131577,0.001037478,-0.000076241,0.999999450,7122,1706585244.582679987,7158,1706585243.982587337
10,1706585244.782343864,-0.170130389,0.052955837,0.009419017,-0.000036605,0.000898162,0.000101692,0.999999591,7164,1706585244.682517290,7158,1706585243.982587337
11,1706585244.882577896,-0.210581316,0.060396328,0.006829525,-0.000838263,0.000874873,0.000080434,0.999999263,7168,1706585244.782343864,7158,1706585243.982587337
12,1706585244.982414246,-0.230867060,0.071672244,0.012371338,0.000459297,0.000802838,-0.000064411,0.999999570,7143,1706585244.882577896,7158,1706585243.982587337
13,1706585245.082256556,-0.255028123,0.079416827,0.012539986,0.000497892,0.000758553,-0.000076272,0.999999585,7158,1706585244.982414246,14316,1706585245.082256556
14,1706585245.182881832,-0.265062755,0.083344014,0.013637548,-0.000973388,0.000954493,-0.000236056,0.999999043,7154,1706585245.082256556,14316,1706585245.082256556
15,1706585245.282329798,-0.261753609,0.083702125,0.013634313,-0.000287355,0.000864331,-0.000035167,0.999999585,7192,1706585245.182881832,14316,1706585245.082256556
16,1706585245.381078482,-0.261282543,0.086627412,0.015466282,0.000797375,0.000849806,-0.000176643,0.999999305,7149,1706585245.282329798,14316,1706585245.082256556
17,1706585245.482400894,-0.274159383,0.092547165,0.014733343,-0.000608526,0.000848587,-0.000319934,0.999999404,7091,1706585245.381078482,14316,1706585245.082256556
18,1706585245.582234621,-0.277208182,0.091148765,0.014903333,-0.000076601,0.000956561,-0.000267793,0.999999504,7093,1706585245.482400894,14316,1706585245.082256556
19,1706585245.682872295,-0.267414469,0.084922692,0.013762634,0.000202733,0.001042774,-0.000123180,0.999999428,7172,1706585245.582234621,14316,1706585245.082256556
20,1706585245.782716513,-0.265703824,0.074310122,0.012940023,0.000123015,0.000797159,0.000474038,0.999999562,7161,1706585245.682872295,14316,1706585245.082256556
21,1706585245.882569075,-0.248816261,0.071533452,0.018250746,-0.000326596,0.001504656,0.000013154,0.999998815,7129,1706585245.782716513,14316,1706585245.082256556
22,1706585245.982406616,-0.224315159,0.064608341,0.013557859,-0.000587892,0.000869375,0.000003326,0.999999449,7186,1706585245.882569075,14316,1706585245.082256556
23,1706585246.082262039,-0.215286408,0.064419475,0.010359373,-0.000182852,0.000976703,-0.000087587,0.999999502,7155,1706585245.982406616,21471,1706585246.082262039
24,1706585246.182907104,-0.183787472,0.053632683,0.000814540,-0.000698473,0.000398422,0.000128770,0.999999668,7135,1706585246.082262039,21471,1706585246.082262039
25,1706585246.282747746,-0.164036446,0.047316179,0.002571701,-0.000080586,0.000759200,0.000026694,0.999999708,7162,1706585246.182907104,21471,1706585246.082262039
26,1706585246.382569551,-0.143004922,0.044677954,0.008595760,-0.000802340,0.001105968,-0.000182765,0.999999050,7144,1706585246.282747746,21471,1706585246.082262039
27,1706585246.482398510,-0.141918738,0.042027893,0.008062436,0.000267154,0.000758912,0.000152656,0.999999665,7186,1706585246.382569551,21471,1706585246.082262039
28,1706585246.582133532,-0.147052671,0.044893240,0.009622338,-0.001022303,0.001029834,-0.000080586,0.999998944,7172,1706585246.482398510,21471,1706585246.082262039
29,1706585246.680880547,-0.121647699,0.039629982,0.012676038,-0.002689435,0.001407182,-0.000362909,0.999995328,7155,1706585246.582133532,21471,1706585246.082262039
30,1706585246.782706022,-0.116950156,0.039837759,0.016700964,-0.001397496,0.001313338,-0.000277473,0.999998123,7073,1706585246.680880547,21471,1706585246.082262039
31,1706585246.882533073,-0.119790550,0.039377295,0.020437707,-0.001598699,0.001628094,-0.000196088,0.999997378,7145,1706585246.782706022,21471,1706585246.082262039
32,1706585246.982389927,-0.133075404,0.042780356,0.021858282,0.000724602,0.001248840,-0.000010234,0.999998958,7171,1706585246.882533073,21471,1706585246.082262039
33,1706585247.082247019,-0.133186303,0.044273784,0.021157913,-0.001173766,0.001515092,-0.000242825,0.999998134,7149,1706585246.982389927,28620,1706585246.982389927
34,1706585247.182888746,-0.147012370,0.046240286,0.017484364,0.000249918,0.001160600,0.000032344,0.999999295,7193,1706585247.082247019,28620,1706585246.982389927
35,1706585247.282733679,-0.154622922,0.047884825,0.013266118,-0.001877524,0.001399279,-0.000230364,0.999997232,7146,1706585247.182888746,28620,1706585246.982389927
36,1706585247.382575989,-0.157935283,0.050373658,0.012896899,-0.000502478,0.001073523,-0.000158049,0.999999285,7136,1706585247.282733679,28620,1706585246.982389927
37,1706585247.482405186,-0.165373121,0.047415330,0.013377172,-0.000921015,0.001248004,0.000112929,0.999998791,7163,1706585247.382575989,28620,1706585246.982389927
38,1706585247.582247257,-0.156235522,0.051790600,0.018302546,0.000274735,0.001309867,-0.000360570,0.999999039,7144,1706585247.482405186,28620,1706585246.982389927
39,1706585247.682900190,-0.176048585,0.054630613,0.015058365,-0.000819812,0.001193109,-0.000117678,0.999998945,7175,1706585247.582247257,28620,1706585246.982389927
40,1706585247.782736778,-0.181630075,0.056452571,0.014948321,-0.001066108,0.001161016,-0.000265982,0.999998722,7148,1706585247.682900190,28620,1706585246.982389927
41,1706585247.881929874,-0.188539113,0.058788586,0.014941720,-0.001329410,0.001292693,-0.000241299,0.999998252,7183,1706585247.782736778,28620,1706585246.982389927
42,1706585247.980788231,-0.187480700,0.060766361,0.017855203,-0.001090849,0.001494196,-0.000255172,0.999998256,7103,1706585247.881929874,28620,1706585246.982389927
43,1706585248.082259417,-0.185304246,0.058061120,0.015927954,-0.001753081,0.001349658,-0.000112969,0.999997546,7066,1706585247.980788231,35686,1706585248.082259417
44,1706585248.182895422,-0.185466041,0.058870162,0.018711588,-0.000236683,0.001397058,-0.000101329,0.999998991,7133,1706585248.082259417,35686,1706585248.082259417
45,1706585248.282731533,-0.190840997,0.057690629,0.017474199,-0.001362211,0.001349599,-0.000117307,0.999998155,7158,1706585248.182895422,35686,1706585248.082259417
46,1706585248.382568836,-0.213717297,0.063061700,0.019059360,-0.001151589,0.001445984,-0.000000087,0.999998291,7199,1706585248.282731533,35686,1706585248.082259417
47,1706585248.482402802,-0.227964810,0.066569583,0.018315973,-0.001339326,0.001581210,-0.000083154,0.999997850,7165,1706585248.382568836,35686,1706585248.082259417
48,1706585248.582250834,-0.225136325,0.066466753,0.015715673,-0.001694366,0.001224845,-0.000102283,0.999997809,7155,1706585248.482402802,35686,1706585248.082259417
49,1706585248.682888508,-0.215799247,0.063654898,0.013042150,-0.000327108,0.001158608,0.000042314,0.999999274,7161,1706585248.582250834,35686,1706585248.082259417
50,1706585248.782732725,-0.221802943,0.062228296,0.014375314,-0.001264006,0.001240103,0.000077443,0.999998429,7150,1706585248.682888508,35686,1706585248.082259417
51,1706585248.882579565,-0.214092401,0.062103709,0.012386526,-0.000786748,0.001019700,-0.000000783,0.999999171,7171,1706585248.782732725,35686,1706585248.082259417
52,1706585248.982414961,-0.206851756,0.062924582,0.015467587,-0.001034378,0.001326742,-0.000137487,0.999998575,7169,1706585248.882579565,35686,1706585248.082259417
53,1706585249.082250118,-0.210994639,0.062868374,0.014447815,-0.000407143,0.001194336,-0.000090665,0.999999200,7169,1706585248.982414961,42855,1706585249.082250118
54,1706585249.181853533,-0.202883499,0.063548722,0.024284494,-0.000138074,0.001839951,-0.000198163,0.999998278,7142,1706585249.082250118,42855,1706585249.082250118
55,1706585249.282739162,-0.211573863,0.070274846,0.022821344,-0.002033513,0.001596441,-0.000291748,0.999996616,7079,1706585249.181853533,42855,1706585249.082250118
56,1706585249.382578373,-0.198056951,0.063983115,0.023786919,0.000345104,0.001428264,-0.000175781,0.999998905,7096,1706585249.282739162,42855,1706585249.082250118
57,1706585249.482421160,-0.192129662,0.063121566,0.021179440,-0.000786897,0.001429903,-0.000290214,0.999998626,7152,1706585249.382578373,42855,1706585249.082250118
58,1706585249.582276106,-0.201354875,0.064480573,0.018391792,-0.000796830,0.001298527,-0.000166286,0.999998826,7195,1706585249.482421160,42855,1706585249.082250118
59,1706585249.682927847,-0.207099863,0.063197903,0.016982025,-0.001532476,0.001311439,-0.000154946,0.999997954,7174,1706585249.582276106,42855,1706585249.082250118
60,1706585249.782773256,-0.199862355,0.058773432,0.016100577,-0.000712054,0.001353779,-0.000119752,0.999998823,7171,1706585249.682927847,42855,1706585249.082250118
61,1706585249.882617235,-0.210455017,0.060477817,0.015028023,-0.000235301,0.001294715,-0.000016699,0.999999134,7172,1706585249.782773256,42855,1706585249.082250118
62,1706585249.982468128,-0.220210510,0.066768717,0.012251020,-0.000671642,0.001074140,-0.000076911,0.999999195,7170,1706585249.882617235,42855,1706585249.082250118
63,1706585250.082318068,-0.222281799,0.062975525,0.011533653,-0.001195487,0.001249337,0.000177445,0.999998489,7173,1706585249.982468128,50028,1706585250.082318068
64,1706585250.182567358,-0.220762279,0.066651967,0.011747582,-0.000983659,0.001195524,-0.000203391,0.999998781,7144,1706585250.082318068,50028,1706585250.082318068
65,1706585250.282404423,-0.221191549,0.062866365,0.011975687,-0.000681707,0.001033804,0.000089274,0.999999229,7180,1706585250.182567358,50028,1706585250.082318068
66,1706585250.382250071,-0.222783454,0.064587485,0.017888255,-0.000566470,0.001524149,-0.000025504,0.999998678,7140,1706585250.282404423,50028,1706585250.082318068
67,1706585250.481914520,-0.219096259,0.066111628,0.019013127,-0.001540397,0.001545755,-0.000163329,0.999997606,7169,1706585250.382250071,50028,1706585250.082318068
68,1706585250.582735538,-0.219647208,0.064240101,0.018560530,-0.000422721,0.001200519,0.000095338,0.999999185,7051,1706585250.481914520,50028,1706585250.082318068
69,1706585250.682582378,-0.229017812,0.067117559,0.020377339,-0.000653575,0.001416436,0.000027572,0.999998783,7123,1706585250.582735538,50028,1706585250.082318068
70,1706585250.782428503,-0.248599668,0.070145686,0.017828011,-0.002704792,0.001556638,0.000131097,0.999995122,7199,1706585250.682582378,50028,1706585250.082318068
