frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected,sync_imu_samples,sync_imu_first_time,sync_imu_last_time,frontend_core_revision,log_sequence,map_update_skipped,map_skip_reason,window_updated,range_near_rejected,range_far_rejected,map_min_range,map_max_range,map_min_effective_points,runtime_schema_revision,invalid_quality_filter_enabled,invalid_quality_low_effective_relax_enabled,invalid_quality_relax_active,invalid_quality_relax_effective_threshold,invalid_quality_relaxed,total_invalid_quality_relaxed,invalid_quality_turn_guard_enabled,invalid_quality_turn_guard_active,invalid_quality_turn_guard_yaw_threshold,invalid_quality_turn_guard_rejected,total_invalid_quality_turn_guard_rejected,directional_selection_enabled,directional_selection_active,equal_point_count_control_enabled,equal_point_count_control_active,equal_point_count_target,equal_point_count_rejected,total_equal_point_count_rejected
1,1706585243.782405853,1706585243.882226229,0,0,0,0,-0.065085767,0.021755632,0.007436387,0.001380373,0.000721322,-0.000098946,0.999998782,1131,796,0.703801945,0.026067074,0.012098432,0.008345008,0.000000000,106.726719700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,758,716,42,0.670203360,0,0,0,0,0,0,373,0,1442,758,0,0,0,373,10,1706585243.788798809,1706585243.879452229,fastlio2_internal_v1,1,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
2,1706585243.883036375,1706585243.982587337,0,0,0,0,-0.091097071,0.030102449,0.006035248,-0.000267596,0.000417693,-0.000128205,0.999999869,1108,819,0.739169675,0.019040422,0.009824038,0.007298231,0.000000000,125.121335053,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,472,446,26,0.425992780,0,0,0,0,0,0,636,0,1596,1230,0,0,0,1009,10,1706585243.889004946,1706585243.979223013,fastlio2_internal_v1,2,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
3,1706585243.982874632,1706585244.081292868,0,0,0,0,-0.084689745,0.032831166,0.012504900,0.001037512,0.000841354,-0.000230721,0.999999081,1128,827,0.733156028,0.019596479,0.009458065,0.006655931,0.000000000,116.596235992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,423,401,22,0.375000000,0,0,0,0,0,0,705,0,1766,1653,0,0,0,1714,10,1706585243.989672422,1706585244.079433918,fastlio2_internal_v1,3,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
4,1706585244.082703352,1706585244.182530880,0,0,0,0,-0.093484355,0.033307788,0.021675636,0.000725563,0.001048996,-0.000138195,0.999999177,1099,824,0.749772520,0.020257454,0.010727644,0.007362008,0.000000000,107.638699409,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,331,326,5,0.301182894,0,0,0,0,0,0,768,0,1861,1984,0,0,0,2482,10,1706585244.088877201,1706585244.179744482,fastlio2_internal_v1,4,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
5,1706585244.182542801,1706585244.282380342,0,0,0,0,-0.070510131,0.030750783,0.027981983,0.000972545,0.001420133,-0.000421954,0.999998430,1075,815,0.758139535,0.021990953,0.010657310,0.006757677,0.000000000,101.068568918,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,308,298,10,0.286511628,0,0,0,0,0,0,767,0,1947,2292,0,0,0,3249,10,1706585244.189126730,1706585244.279395103,fastlio2_internal_v1,5,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
6,1706585244.282392740,1706585244.382206440,0,0,0,0,-0.079752708,0.028809217,0.025787369,0.000853242,0.001164268,-0.000006829,0.999998958,1114,868,0.779174147,0.021765228,0.011151671,0.008170307,0.000000000,91.106489238,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,294,288,6,0.263913824,0,0,0,0,0,0,820,0,2027,2586,0,0,0,4069,10,1706585244.289867401,1706585244.379752159,fastlio2_internal_v1,6,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
7,1706585244.383018017,1706585244.482851505,0,0,0,0,-0.073232708,0.028557203,0.023940217,-0.000382553,0.001300742,-0.000346653,0.999999021,1082,821,0.758780037,0.020046175,0.010292292,0.007456422,0.000000000,104.307462924,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,247,242,5,0.228280961,0,0,0,0,0,0,835,0,2107,2833,0,0,0,4904,10,1706585244.389370441,1706585244.479666233,fastlio2_internal_v1,7,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
8,1706585244.482863188,1706585244.582679987,0,0,0,0,-0.088414357,0.028899341,0.016830742,0.001942571,0.000729648,0.000098267,0.999997842,1077,818,0.759517177,0.021639402,0.011225641,0.008042336,0.000000000,98.580463797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,248,244,4,0.230269266,0,0,0,0,0,0,829,0,2161,3081,0,0,0,5733,10,1706585244.489038229,1706585244.579564333,fastlio2_internal_v1,8,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
9,1706585244.582690954,1706585244.682517290,0,0,0,0,-0.116951808,0.037433631,0.011876934,-0.000113541,0.000946963,-0.000084246,0.999999542,1081,817,0.755781684,0.020772524,0.010456681,0.007095456,0.000000000,103.045262756,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,215,212,3,0.198889917,0,0,0,0,0,0,866,0,2219,3296,0,0,0,6599,10,1706585244.588962555,1706585244.679454803,fastlio2_internal_v1,9,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
10,1706585244.682530403,1706585244.782343864,0,0,0,0,-0.163274670,0.052870281,0.008635977,0.000009461,0.000861203,0.000007030,0.999999629,1115,831,0.745291480,0.021630678,0.011010826,0.007992148,0.000000000,129.695692744,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,220,217,3,0.197309417,0,0,0,0,0,0,895,0,2295,3516,0,0,0,7494,10,1706585244.688864946,1706585244.779428959,fastlio2_internal_v1,10,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
