frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected,sync_imu_samples,sync_imu_first_time,sync_imu_last_time,frontend_core_revision,log_sequence,map_update_skipped,map_skip_reason,window_updated,range_near_rejected,range_far_rejected,map_min_range,map_max_range,map_min_effective_points,runtime_schema_revision,invalid_quality_filter_enabled,invalid_quality_low_effective_relax_enabled,invalid_quality_relax_active,invalid_quality_relax_effective_threshold,invalid_quality_relaxed,total_invalid_quality_relaxed,invalid_quality_turn_guard_enabled,invalid_quality_turn_guard_active,invalid_quality_turn_guard_yaw_threshold,invalid_quality_turn_guard_rejected,total_invalid_quality_turn_guard_rejected,directional_selection_enabled,directional_selection_active,equal_point_count_control_enabled,equal_point_count_control_active,equal_point_count_target,equal_point_count_rejected,total_equal_point_count_rejected
1,1706585243.782405853,1706585243.882226229,1,1,1,0,-0.065085767,0.021755632,0.007436387,0.001380373,0.000721322,-0.000098946,0.999998782,1131,796,0.703801945,0.026067074,0.012098432,0.008345008,0.018074609,106.726719700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,462,435,27,0.408488064,89,207,0,0,51,0,373,296,1280,462,296,0,0,373,10,1706585243.788798809,1706585243.879452229,fastlio2_internal_v1,1,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
2,1706585243.883036375,1706585243.982587337,1,1,1,0,-0.077510261,0.024446357,-0.001139685,-0.000328711,-0.000048009,0.000090242,0.999999941,1108,803,0.724729242,0.019764458,0.010044098,0.006937981,0.014357499,122.364258419,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,291,279,12,0.262635379,62,163,0,0,28,0,582,235,1351,753,521,0,0,955,10,1706585243.889004946,1706585243.979223013,fastlio2_internal_v1,2,0,none,0,0,10,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
3,1706585243.982874632,1706585244.081292868,1,1,1,0,-0.205172616,0.055548919,-0.006226403,0.000447821,-0.000024070,0.000349636,0.999999838,1130,824,0.729203540,0.026129479,0.010156929,0.007575572,0.019325663,107.056181885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,180,167,13,0.159292035,84,164,0,0,37,0,699,251,1436,933,769,0,0,1654,10,1706585243.989672422,1706585244.079433918,fastlio2_internal_v1,3,0,none,0,0,3,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
4,1706585244.082703352,1706585244.182530880,1,1,1,0,-0.193357724,0.058655850,0.000874638,-0.000026920,0.000114261,0.000013706,0.999999993,1105,829,0.750226244,0.024261955,0.010773778,0.008415341,0.016176383,125.813429767,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,160,152,8,0.144796380,54,151,0,0,10,0,740,205,1496,1093,974,0,0,2394,10,1706585244.088877201,1706585244.179744482,fastlio2_internal_v1,4,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
5,1706585244.182542801,1706585244.282380342,1,1,1,0,-0.232164750,0.064488086,-0.000418671,0.000726375,-0.000081005,0.000537953,0.999999588,1078,818,0.758812616,0.025041182,0.010476172,0.007633269,0.011182429,150.410425724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,141,136,5,0.130797774,67,145,0,0,14,0,725,212,1541,1234,1186,0,0,3119,10,1706585244.189126730,1706585244.279395103,fastlio2_internal_v1,5,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
6,1706585244.282392740,1706585244.382206440,1,1,1,0,-0.248679031,0.074383188,0.000940372,-0.002611098,0.000213720,0.000203308,0.999996548,1112,833,0.749100719,0.026549245,0.012575626,0.008604765,0.015882373,119.045123037,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,135,128,7,0.121402878,67,151,0,0,9,0,759,218,1587,1369,1404,0,0,3878,10,1706585244.289867401,1706585244.379752159,fastlio2_internal_v1,6,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
7,1706585244.383018017,1706585244.482851505,1,0,0,0,-0.252646668,0.080541201,-0.001982078,-0.001400454,-0.000093135,0.000051167,0.999999014,1073,830,0.773532153,0.027295587,0.010591239,0.007651031,0.020210623,112.718368021,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,230,211,19,0.214352283,72,0,0,0,0,0,771,72,1718,1599,1476,0,0,4649,10,1706585244.389370441,1706585244.479666233,fastlio2_internal_v1,7,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
8,1706585244.482863188,1706585244.582679987,1,0,0,0,-0.218980794,0.068264325,-0.002451963,0.000250352,0.000124971,0.000193814,0.999999942,1077,837,0.777158774,0.025759555,0.010172844,0.007148027,0.026570312,97.470535972,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,220,213,7,0.204271123,68,0,0,0,0,0,789,68,1819,1819,1544,0,0,5438,10,1706585244.489038229,1706585244.579564333,fastlio2_internal_v1,8,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
9,1706585244.582690954,1706585244.682517290,1,1,1,0,-0.220225788,0.065579823,-0.004933089,-0.000529283,-0.000023745,0.000181344,0.999999843,1085,831,0.765898618,0.021337969,0.010280490,0.007250190,0.014385368,136.213939392,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,108,107,1,0.099539171,59,99,0,0,1,0,819,158,1846,1927,1702,0,0,6257,10,1706585244.588962555,1706585244.679454803,fastlio2_internal_v1,9,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
10,1706585244.682530403,1706585244.782343864,1,1,1,0,-0.212113694,0.063518749,-0.001101816,0.000550697,0.000126347,0.000239656,0.999999812,1118,867,0.775491950,0.022095861,0.009336352,0.006760240,0.016289682,137.914912499,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,119,115,4,0.106440072,66,118,0,0,1,0,815,184,1874,2046,1886,0,0,7072,10,1706585244.688864946,1706585244.779428959,fastlio2_internal_v1,10,0,none,0,0,0,2.000000000,200.000000000,20,map_diagnostics_v7,1,0,0,200,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
