scene,group,run,status,planned_directory,historical_candidate
subt_hawkins,B,run01,completed_v8_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/B/run01,
subt_hawkins,B,run02,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/B/run02,
subt_hawkins,B,run03,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/B/run03,
subt_hawkins,C,run01,completed_v8_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/C/run01,
subt_hawkins,C,run02,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/C/run02,
subt_hawkins,C,run03,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/subt_hawkins/C/run03,
geode_tunnel5,B,run01,completed_v8_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/B/run01,experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run01
geode_tunnel5,B,run02,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/B/run02,experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run02
geode_tunnel5,B,run03,completed_v8_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/B/run03,experiments/adaptive_map_v1/validation/geode_tunnel5/off_path_alignment_v2/B/run03
geode_tunnel5,C,run01,completed_v8_success_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/C/run01,
geode_tunnel5,C,run02,rerun_v8_success_overwrote_initial_diverged,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/C/run02,
geode_tunnel5,C,run03,rerun_v8_success_overwrote_initial_diverged,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/C/run03,
geode_tunnel5,C,run04,rerun_v8_success_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/C/run04,
geode_tunnel5,C,run05,rerun_v8_diverged_no_params_no_commit,experiments/adaptive_map_v1/post_alignment_bc_v1/geode_tunnel5/C/run05,
ntu_spms2,B,run01,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/B/run01,
ntu_spms2,B,run02,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/B/run02,
ntu_spms2,B,run03,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/B/run03,
ntu_spms2,C,run01,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/C/run01,
ntu_spms2,C,run02,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/C/run02,
ntu_spms2,C,run03,planned,experiments/adaptive_map_v1/post_alignment_bc_v1/ntu_spms2/C/run03,
