frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected,sync_imu_samples,sync_imu_first_time,sync_imu_last_time,frontend_core_revision,log_sequence,map_update_skipped,map_skip_reason,window_updated,range_near_rejected,range_far_rejected,map_min_range,map_max_range,map_min_effective_points,runtime_schema_revision,invalid_quality_filter_enabled,invalid_quality_low_effective_relax_enabled,invalid_quality_relax_active,invalid_quality_relax_effective_threshold,invalid_quality_relaxed,total_invalid_quality_relaxed,invalid_quality_turn_guard_enabled,invalid_quality_turn_guard_active,invalid_quality_turn_guard_yaw_threshold,invalid_quality_turn_guard_rejected,total_invalid_quality_turn_guard_rejected,directional_selection_enabled,directional_selection_active,equal_point_count_control_enabled,equal_point_count_control_active,equal_point_count_target,equal_point_count_rejected,total_equal_point_count_rejected
1,1517157220.500099182,1517157220.600938559,0,0,0,0,-0.006084444,-0.014085113,0.086912099,-0.012718638,-0.012116386,-0.005499490,0.999830578,761,566,0.743758213,0.044361403,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,394,342,52,0.517739816,0,0,0,0,0,0,367,0,922,394,0,0,0,367,20,1517157220.504143953,1517157220.599152088,fastlio2_internal_v1,1,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
2,1517157220.600959063,1517157220.701798201,0,0,0,0,0.023153330,-0.001830450,0.019703392,0.003828691,-0.013732566,-0.016369188,0.999764376,775,566,0.730322581,0.039966139,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,263,234,29,0.339354839,0,0,0,0,0,0,512,0,1052,657,0,0,0,879,20,1517157220.604144096,1517157220.699151754,fastlio2_internal_v1,2,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
3,1517157220.701818943,1517157220.802658319,0,0,0,0,0.033742337,-0.005156654,-0.022990869,0.014755669,-0.007903651,-0.014807072,0.999750245,760,582,0.765789474,0.036669309,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,227,209,18,0.298684211,0,0,0,0,0,0,533,0,1153,884,0,0,0,1412,20,1517157220.704143763,1517157220.799152136,fastlio2_internal_v1,3,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
4,1517157220.802679062,1517157220.903518200,0,0,0,0,0.030642782,-0.006409124,0.006761819,0.017014717,-0.002195581,-0.015417112,0.999733960,764,568,0.743455497,0.036544872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,234,218,16,0.306282723,0,0,0,0,0,0,530,0,1271,1118,0,0,0,1942,20,1517157220.804144144,1517157220.899151802,fastlio2_internal_v1,4,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
5,1517157220.903538942,1517157221.004318237,0,0,0,0,0.022842344,-0.016794090,0.029182580,0.016763868,-0.003282455,-0.015075717,0.999740427,802,608,0.758104738,0.038040192,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,203,188,15,0.253117207,0,0,0,0,0,0,599,0,1360,1321,0,0,0,2541,21,1517157220.904143810,1517157221.004080057,fastlio2_internal_v1,5,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
6,1517157221.004338980,1517157221.105178356,0,0,0,0,0.019483596,-0.021570702,0.049885794,0.012569967,-0.004980601,-0.014428131,0.999804490,793,590,0.744010088,0.036480809,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,176,161,15,0.221941992,0,0,0,0,0,0,617,0,1439,1497,0,0,0,3158,20,1517157221.009088039,1517157221.104079962,fastlio2_internal_v1,6,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
7,1517157221.105199099,1517157221.206038237,0,0,0,0,0.015356331,-0.026434010,0.071962215,0.011193680,-0.005731696,-0.014534089,0.999815288,797,605,0.759096612,0.033547464,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,170,163,7,0.213299875,0,0,0,0,0,0,627,0,1492,1667,0,0,0,3785,20,1517157221.109087944,1517157221.204080105,fastlio2_internal_v1,7,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
8,1517157221.206058979,1517157221.306898355,0,0,0,0,0.013309040,-0.033517243,0.086300470,0.009350791,-0.006727543,-0.014291941,0.999831507,780,586,0.751282051,0.033292921,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,154,151,3,0.197435897,0,0,0,0,0,0,626,0,1536,1821,0,0,0,4411,20,1517157221.209088087,1517157221.304079771,fastlio2_internal_v1,8,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
9,1517157221.306919098,1517157221.407758236,0,0,0,0,0.012899785,-0.035803914,0.093029996,0.009027340,-0.006858666,-0.014424759,0.999831682,772,583,0.755181347,0.029668021,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,94,91,3,0.121761658,0,0,0,0,0,0,678,0,1550,1915,0,0,0,5089,20,1517157221.309087992,1517157221.404080153,fastlio2_internal_v1,9,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
10,1517157221.407778978,1517157221.508618355,0,0,0,0,0.016476888,-0.031122059,0.100006166,0.010438258,-0.010853286,-0.012858869,0.999803930,776,596,0.768041237,0.034544005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,133,126,7,0.171391753,0,0,0,0,0,0,643,0,1597,2048,0,0,0,5732,19,1517157221.409087896,1517157221.504079819,fastlio2_internal_v1,10,0,none,0,0,0,0.500000000,80.000000000,20,map_diagnostics_v8,0,0,0,120,0,0,0,0,0.250000000,0,0,0,0,0,0,0,0,0
