sequence,fastlio2_ate_rmse_m,ours_no_adaptive_ate_rmse_m,ours_adaptive_ate_rmse_m,fastlio2_status,fastlio2_blind_m,fastlio2_source,ours_no_adaptive_status,ours_no_adaptive_blind_m,ours_no_adaptive_source,ours_adaptive_status,ours_adaptive_blind_m,ours_adaptive_source,comparison_notes
geode_offroad1,0.097590,0.077155,0.086774,scored,4,experiments/adaptive_map_v1/validation/geode_offroad1/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad1/ours_no_adaptive/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad1/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
geode_offroad2,0.105217,0.102416,0.107786,scored,4,experiments/adaptive_map_v1/validation/geode_offroad2/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad2/ours_no_adaptive/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad2/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
geode_offroad3,0.087475,0.087325,0.093716,scored,4,experiments/adaptive_map_v1/validation/geode_offroad3/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad3/ours_no_adaptive/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_offroad3/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
geode_tunnel1,0.367261,0.372604,0.368939,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive/run01/runtime.csv,scored,2,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive/run01/runtime.csv,blind_mismatch
geode_tunnel2,4.792301,38.004938,2.169827,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive/run01/runtime.csv,scored,2,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive/run01/runtime.csv,blind_mismatch
geode_tunnel3,7.427399,9.624905,4.756198,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel3/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive/run01/runtime.csv,scored,2,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive/run01/runtime.csv,blind_mismatch
geode_tunnel4,0.133886,0.129225,0.126900,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive/run01/runtime.csv,scored,2,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive/run01/runtime.csv,blind_mismatch
geode_tunnel5,9.110966,6.931448,0.866253,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive/run01/runtime.csv,scored,2,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive/run01/runtime.csv,blind_mismatch
geode_waterway_short,0.240711,0.248172,0.367010,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_short/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_no_adaptive/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
geode_waterway_medium,0.745051,0.739867,0.840257,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_medium/fastlio2/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_no_adaptive/run01/runtime.csv,scored,4,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
ntu_spms1,2.162181,5.610317,0.267194,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms1/fastlio2/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms1/ours_no_adaptive/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms1/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
ntu_spms2,2.421478,4.142781,4.828395,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms2/ours_no_adaptive/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms2/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
ntu_spms3,1.543863,1.423322,0.452999,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms3/fastlio2/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms3/ours_no_adaptive/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/ntu_spms3/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
subt_hawkins,6.546465,1.530303,1.459600,scored,dataset_config,experiments/adaptive_map_v1/validation/subt_hawkins/fastlio2/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/subt_hawkins/ours_no_adaptive/run01/runtime.csv,scored,dataset_config,experiments/adaptive_map_v1/validation/subt_hawkins/ours_adaptive/run01/runtime.csv,single_run;configuration_and_coverage_audit_required
