sequence,method,run,ate_rmse_m,role_valid,adaptive_flags,finite_trajectory,blind_m,blind_evidence,rows,duration_s,max_gap_s,normal_frames,transient_frames,persistent_frames,zero_effective_frames,quality_rejected_sum,final_z_m,identical_csv_to,source,source_sha256,evaluation,protocol
geode_offroad1,fastlio2,run01,0.09759,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,4045,404.4016709327698,0.10534286499023438,0,0,0,0,0,-0.187252604,,experiments/adaptive_map_v1/validation/geode_offroad1/fastlio2/run01/runtime.csv,e06584347338c6ae0eaef5399da27bdcaf30101a4a91ef081b7cbfeb115f9e35,experiments/adaptive_map_v1/validation/geode_offroad1/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad1,ours_no_adaptive,run01,0.077155,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,4028,402.6980905532837,0.10534286499023438,4028,0,0,0,0,-0.182267061,,experiments/adaptive_map_v1/validation/geode_offroad1/ours_no_adaptive/run01/runtime.csv,7944137b43430000ecc4b4105aa80e96a4e31fd4a0510f092c0e370bf5ce464b,experiments/adaptive_map_v1/validation/geode_offroad1/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad1,ours_adaptive,run01,0.086774,True,1,True,4,directory/history or user confirmation; no runtime config snapshot,4028,402.6980905532837,0.10534286499023438,4002,26,0,0,100114,-0.173464127,,experiments/adaptive_map_v1/validation/geode_offroad1/ours_adaptive/run01/runtime.csv,43fca865c9c381e8154d59fd9eb52ed71026ddeeb5a10c48c513829c86415452,experiments/adaptive_map_v1/validation/geode_offroad1/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad2,fastlio2,run01,0.105217,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,4212,421.1033127307892,0.10570216178894043,0,0,0,0,0,-0.126703485,,experiments/adaptive_map_v1/validation/geode_offroad2/fastlio2/run01/runtime.csv,bc2f614b22deea8df3167490e3350d224ada41c839b453a5644ab459ddcba74d,experiments/adaptive_map_v1/validation/geode_offroad2/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad2,ours_no_adaptive,run01,0.102416,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,4194,419.30038809776306,0.10570216178894043,4194,0,0,0,0,-0.150916252,,experiments/adaptive_map_v1/validation/geode_offroad2/ours_no_adaptive/run01/runtime.csv,a8abaa277bec9213fb46b560862ca0130f2ac1d468656377d25dc321e6b8b4ec,experiments/adaptive_map_v1/validation/geode_offroad2/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad2,ours_adaptive,run01,0.107786,True,1,True,4,directory/history or user confirmation; no runtime config snapshot,4194,419.30038809776306,0.10570216178894043,3751,443,0,0,85130,-0.142084073,,experiments/adaptive_map_v1/validation/geode_offroad2/ours_adaptive/run01/runtime.csv,6c6631f1347b40d1a10a88ea2f6337860dc9fd90a615facd4c2758eaa8ca4cf5,experiments/adaptive_map_v1/validation/geode_offroad2/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad3,fastlio2,run01,0.087475,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,3220,321.8990333080292,0.10847187042236328,0,0,0,0,0,-0.007002207,,experiments/adaptive_map_v1/validation/geode_offroad3/fastlio2/run01/runtime.csv,e33c4e1ecd4332e862e565465969b45d0c8b00a60fba7a7a0152c4d9b34a3543,experiments/adaptive_map_v1/validation/geode_offroad3/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad3,ours_no_adaptive,run01,0.087325,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,3202,320.10218715667725,0.10847210884094238,3202,0,0,0,0,-0.013929485,,experiments/adaptive_map_v1/validation/geode_offroad3/ours_no_adaptive/run01/runtime.csv,69cc74a41e3b055abc441bb0f5289a59a4fccc8e085c448dbd43c8f3d075b51c,experiments/adaptive_map_v1/validation/geode_offroad3/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_offroad3,ours_adaptive,run01,0.093716,True,1,True,4,directory/history or user confirmation; no runtime config snapshot,3202,320.10218715667725,0.10847210884094238,3158,44,0,0,79839,0.017010474,,experiments/adaptive_map_v1/validation/geode_offroad3/ours_adaptive/run01/runtime.csv,03186a6dec71a0fd983de4ced5688db4ce16ffc44bc0fb23d09b5db921b1f468,experiments/adaptive_map_v1/validation/geode_offroad3/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,fastlio2,run01,0.367261,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,2082,208.39940762519836,0.3806133270263672,0,0,0,0,0,-5.2715e-05,,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2/run01/runtime.csv,61bf400ffaeac10060bc6d5406200142ab984df47cd4ca7072db6308f016d5c6,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,ours_no_adaptive,run01,0.372604,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,2064,206.59992146492004,0.3806130886077881,2064,0,0,0,0,0.002155497,,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive/run01/runtime.csv,e097dc8b15cfcfdf53ac1ce0454af90dc57f528cdbff4108cdb607d5c877b46f,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,ours_adaptive,run01,0.368939,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2063,206.59992146492004,0.5000033378601074,2057,6,0,0,24442,0.00733867,,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive/run01/runtime.csv,51ca9a3281a9a2bdb3f62ee1673fd967e9091340293e2cf81fb49f5334f5c5cf,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,fastlio2_blind2,run01,0.380394,True,NA,True,2,directory/history or user confirmation; no runtime config snapshot,2085,208.39940762519836,0.1006627082824707,0,0,0,0,0,-0.007657617,,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2_blind2/run01/runtime.csv,13ecdd42bb0d9c419e1d62e364de4ecd7529f77da28eeb8afffe4a541749907b,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,ours_no_adaptive_blind2,run01,0.363231,True,0,True,2,directory/history or user confirmation; no runtime config snapshot,2067,206.59992146492004,0.1006624698638916,2067,0,0,0,0,-0.008159936,,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive_blind2/run01/runtime.csv,8d303418461559e2109f332c30b8bc8df8c0d2b92230a68dab7b14b56b74d054,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel1,ours_adaptive_blind2,run02,0.370164,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2067,206.59992146492004,0.1006624698638916,2057,10,0,0,25445,0.00386427,,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive_blind2/run02/runtime.csv,affa7a14bcfe1d45618b57a59a635f4136461223e843ea1806950c114e98f5c5,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive_blind2/run02/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel2,fastlio2,run01,4.792301,True,NA,True,4,directory/history or user confirmation; no runtime config snapshot,2582,260.9958190917969,1.0998361110687256,0,0,0,0,0,1.537886164,,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2/run01/runtime.csv,dd3b1238bdb6a3a0b7a35397d4d5a1e87d1c16ebe81fe515892dc29a57796b3d,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel2,ours_no_adaptive,run01,38.004938,True,0,True,4,directory/history or user confirmation; no runtime config snapshot,2575,259.29864287376404,1.0998361110687256,2575,0,0,26,0,-22.992306682,,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive/run01/runtime.csv,f2176c2be789357e2fe89808bb4319a97f874e8f3ae3bb399fdd364dc2e6047b,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel2,ours_adaptive,run01,2.169827,True,1,True,2,directory/history or user confirmation; no runtime config snapshot,2585,259.30139994621277,0.7011888027191162,2298,287,0,0,22017,-0.015717598,,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive/run01/runtime.csv,97f70c4a7599ef687a0f130d09f478e44ce86125077fbb73ba2be5abe3b2f4f6,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive/run01/evaluation_v1,GEODE original local conversion + rmse.py
geode_tunnel2,fastlio2_blind2,run01,18.292805,True,NA,True,2,directory/history or user confirmation; no runtime config snapshot,2611,260.999525308609,0.10312485694885254,0,0,0,0,0,-0.16659222,,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2_blind2/run01/runtime.csv,83f2cc08da7ca5dd182ebe1a1d8794fd95f11304558a40ec4461997b45de9183,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2_blind2/run01/evaluation_v1,GEODE original local conversion + rmse.py
