scene,baseline_file,ours_file,baseline_key,ours_key,baseline_value,ours_value,equal
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,common.lid_topic,common.lid_topic,"""/livox/lidar""","""/livox/lidar""",True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,common.imu_topic,common.imu_topic,"""/imu/data""","""/imu/data""",True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,common.time_sync_en,common.time_sync_en,false,false,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,common.time_offset_lidar_to_imu,common.time_offset_lidar_to_imu,0.0,0.0,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,preprocess.blind,preprocess.blind,2.0,2.0,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,preprocess.lidar_type,preprocess.lidar_type,1,1,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,preprocess.scan_line,preprocess.scan_line,6,6,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,preprocess.timestamp_unit,preprocess.timestamp_unit,"""not_set""",2,False
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,point_filter_num,point_filter_num,3,3,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,feature_extract_enable,feature_extract_enable,false,false,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.acc_cov,mapping.acc_cov,0.1,0.1,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.gyr_cov,mapping.gyr_cov,0.1,0.1,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.b_acc_cov,mapping.b_acc_cov,0.0001,0.0001,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.b_gyr_cov,mapping.b_gyr_cov,0.0001,0.0001,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.extrinsic_T,mapping.extrinsic_T,"[0.049258, -0.0125, 0.026946]","[0.049258, -0.0125, 0.026946]",True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.extrinsic_R,mapping.extrinsic_R,"[0.99962, 0.027463, 0.002445, -0.027517, 0.999299, 0.025398, -0.001746, -0.025456, 0.999674]","[0.99962, 0.027463, 0.002445, -0.027517, 0.999299, 0.025398, -0.001746, -0.025456, 0.999674]",True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.extrinsic_est_en,mapping.extrinsic_est_en,false,false,True
GEODE_blind2,geode_gamma_source_check_baseline.yaml,geode_gamma_blind2.yaml,mapping.det_range,mapping.det_range,200.0,200.0,True
