sequence,method,source,sha256,manifest_hash_match,rows,first_stamp,last_stamp,max_gap_s,raw_status,adaptive_map_values,window_ready_values,runtime_source_revision,run_metadata_files
geode_offroad1,fastlio2,experiments/adaptive_map_v1/validation/geode_offroad1/fastlio2/run01/runtime.csv,e06584347338c6ae0eaef5399da27bdcaf30101a4a91ef081b7cbfeb115f9e35,True,4045,1709436655.591519,1709437059.99319,0.10534286499023438,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_offroad1,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_offroad1/ours_no_adaptive/run01/runtime.csv,7944137b43430000ecc4b4105aa80e96a4e31fd4a0510f092c0e370bf5ce464b,True,4028,1709436657.2950995,1709437059.99319,0.10534286499023438,available,0,0,not captured at run time; do not infer from current HEAD,
geode_offroad1,ours_adaptive,experiments/adaptive_map_v1/validation/geode_offroad1/ours_adaptive/run01/runtime.csv,43fca865c9c381e8154d59fd9eb52ed71026ddeeb5a10c48c513829c86415452,True,4028,1709436657.2950995,1709437059.99319,0.10534286499023438,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_offroad2,fastlio2,experiments/adaptive_map_v1/validation/geode_offroad2/fastlio2/run01/runtime.csv,bc2f614b22deea8df3167490e3350d224ada41c839b453a5644ab459ddcba74d,True,4212,1709437142.6114116,1709437563.7147243,0.10570216178894043,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_offroad2,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_offroad2/ours_no_adaptive/run01/runtime.csv,a8abaa277bec9213fb46b560862ca0130f2ac1d468656377d25dc321e6b8b4ec,True,4194,1709437144.4143362,1709437563.7147243,0.10570216178894043,available,0,0,not captured at run time; do not infer from current HEAD,
geode_offroad2,ours_adaptive,experiments/adaptive_map_v1/validation/geode_offroad2/ours_adaptive/run01/runtime.csv,6c6631f1347b40d1a10a88ea2f6337860dc9fd90a615facd4c2758eaa8ca4cf5,True,4194,1709437144.4143362,1709437563.7147243,0.10570216178894043,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_offroad3,fastlio2,experiments/adaptive_map_v1/validation/geode_offroad3/fastlio2/run01/runtime.csv,e33c4e1ecd4332e862e565465969b45d0c8b00a60fba7a7a0152c4d9b34a3543,True,3220,1709437775.3449938,1709438097.2440271,0.10847187042236328,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_offroad3,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_offroad3/ours_no_adaptive/run01/runtime.csv,69cc74a41e3b055abc441bb0f5289a59a4fccc8e085c448dbd43c8f3d075b51c,True,3202,1709437777.14184,1709438097.2440271,0.10847210884094238,available,0,0,not captured at run time; do not infer from current HEAD,
geode_offroad3,ours_adaptive,experiments/adaptive_map_v1/validation/geode_offroad3/ours_adaptive/run01/runtime.csv,03186a6dec71a0fd983de4ced5688db4ce16ffc44bc0fb23d09b5db921b1f468,True,3202,1709437777.14184,1709438097.2440271,0.10847210884094238,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_tunnel1,fastlio2,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2_blind2/run01/runtime.csv,13ecdd42bb0d9c419e1d62e364de4ecd7529f77da28eeb8afffe4a541749907b,True,2085,1706581948.3640728,1706582156.7634804,0.1006627082824707,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_tunnel1,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_no_adaptive_blind2/run01/runtime.csv,8d303418461559e2109f332c30b8bc8df8c0d2b92230a68dab7b14b56b74d054,True,2067,1706581950.163559,1706582156.7634804,0.1006624698638916,available,0,0,not captured at run time; do not infer from current HEAD,
geode_tunnel1,ours_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_adaptive_blind2/run02/runtime.csv,affa7a14bcfe1d45618b57a59a635f4136461223e843ea1806950c114e98f5c5,True,2067,1706581950.163559,1706582156.7634804,0.1006624698638916,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_tunnel2,fastlio2,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2_blind2/run01/runtime.csv,83f2cc08da7ca5dd182ebe1a1d8794fd95f11304558a40ec4461997b45de9183,True,2611,1706584501.8727193,1706584762.8722446,0.10312485694885254,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_tunnel2,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_no_adaptive_blind2/run01/runtime.csv,5308541f775bedbb4fbb74ce73678c906cdfb31cc76602a116e9a76ba2092ad4,True,2594,1706584503.5708447,1706584762.8722446,0.10312485694885254,available,0,0,not captured at run time; do not infer from current HEAD,
geode_tunnel2,ours_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_adaptive_blind2/run02/runtime.csv,,False,0,,,,missing,not_logged,not_logged,unknown,
geode_tunnel3,fastlio2,experiments/adaptive_map_v1/validation/geode_tunnel3/fastlio2_blind2/run01/runtime.csv,5197b3bba89325d235c5dba6062fc8146e6761cd24ffca7bc0d334417b4b79c3,True,2537,1706584906.9428458,1706585160.5425396,0.10291242599487305,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_tunnel3,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_no_adaptive_blind2/run01/runtime.csv,aaf4ebef634c65d7a7d8044f4669c285f428d920e2d51bf3ae62620193f927de,True,2521,1706584908.5422764,1706585160.5425396,0.10291242599487305,available,0,0,not captured at run time; do not infer from current HEAD,
geode_tunnel3,ours_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel3/ours_adaptive_blind2/run02/runtime.csv,a21cff5e801d25ed69abd65267ffb717cffe9868fdeb75327d50165a88cb48d0,True,2504,1706584908.5422764,1706585160.5425396,1.7994763851165771,available,1,0;1,not captured at run time; do not infer from current HEAD,notes.md
geode_tunnel4,fastlio2,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2_blind2/run01/runtime.csv,849128307df135cdc5ffb8253c873cadf095b235f3e41ed74629b12074967c4e,True,2236,1706585243.8822262,1706585467.3825817,0.10289788246154785,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
