sequence,ate_rmse_m,rows,max_gap_s,protocol,path
geode_offroad1,0.09759,4045,0.10534286499023438,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_offroad1/fastlio2/run01/evaluation_v1
geode_offroad2,0.105217,4212,0.10570216178894043,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_offroad2/fastlio2/run01/evaluation_v1
geode_offroad3,0.087475,3220,0.10847187042236328,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_offroad3/fastlio2/run01/evaluation_v1
geode_tunnel1,0.367261,2082,0.3806133270263672,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_tunnel1/fastlio2/run01/evaluation_v1
geode_tunnel2,4.792301,2582,1.0998361110687256,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_tunnel2/fastlio2/run01/evaluation_v1
geode_tunnel3,7.427399,2523,0.6574304103851318,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_tunnel3/fastlio2/run01/evaluation_v1
geode_tunnel4,0.133886,2236,0.10486292839050293,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_tunnel4/fastlio2/run01/evaluation_v1
geode_tunnel5,9.110966,2295,0.9928956031799316,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2/run01/evaluation_v1
geode_waterway_short,0.240711,4750,0.1213676929473877,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_waterway_short/fastlio2/run01/evaluation_v1
geode_waterway_medium,0.745051,8376,0.12134075164794922,GEODE original local conversion + rmse.py,experiments/adaptive_map_v1/validation/geode_waterway_medium/fastlio2/run01/evaluation_v1
ntu_spms1,2.162181471085823,3906,0.4031493663787842,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution,experiments/adaptive_map_v1/validation/ntu_spms1/fastlio2/run01/evaluation_v1
ntu_spms2,2.421477512558007,3403,0.5227625370025635,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution,experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/evaluation_v1
ntu_spms3,1.5438630277265104,3541,0.5237057209014893,Local Python implementation of NTU VIRAL protocol; not official MATLAB execution,experiments/adaptive_map_v1/validation/ntu_spms3/fastlio2/run01/evaluation_v1
subt_hawkins,6.546465,2288,1.1093978881835938,"SubT evo SE(3) alignment, max_diff=0.1s, offset=0",experiments/adaptive_map_v1/validation/subt_hawkins/fastlio2/run01/evaluation_v1
