sequence,fastlio2_ate_m,ours_no_adaptive_ate_m,delta_ours_minus_fastlio2_m,fastlio2_rows,ours_rows
geode_offroad1,0.09759,0.077155,-0.020434999999999995,4045,4028
geode_offroad2,0.105217,0.102416,-0.002801000000000012,4212,4194
geode_offroad3,0.087475,0.087325,-0.00014999999999999736,3220,3202
geode_tunnel1,0.367261,0.372604,0.005342999999999987,2082,2064
geode_tunnel2,4.792301,38.004938,33.212637,2582,2575
geode_tunnel3,7.427399,9.624905,2.1975059999999997,2523,2506
geode_tunnel4,0.133886,0.129225,-0.0046609999999999985,2236,2218
geode_tunnel5,9.110966,6.931448,-2.179518,2295,2290
geode_waterway_short,0.240711,0.248172,0.007460999999999995,4750,4733
geode_waterway_medium,0.745051,0.739867,-0.005183999999999966,8376,8360
ntu_spms1,2.162181471085823,5.610317185732062,3.448135714646239,3906,3617
ntu_spms2,2.421477512558007,4.142780921501424,1.7213034089434167,3403,3523
ntu_spms3,1.5438630277265104,1.4233217987022322,-0.12054122902427822,3541,3611
subt_hawkins,6.546465,1.530303,-5.0161620000000005,2288,2540
