sequence,method,run,file,ate_rmse_m,rows,first_stamp,last_stamp,max_gap_s,adaptive_values,core_revision,manifest,degenerate_sum,window_ready_sum,quality_rejected_sum,invalid_quality_rejected_sum,direction_rejected_sum,persistent_quota_rejected_sum,novel_accepted_sum,novel_rejected_sum
geode_offroad1,ours_off,run01,runtime.csv,0.083145,4046,1709436655.492895603,1709437059.993190050,0.10534286499023438,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad1/ours_off/run01/evaluation_on_off_v1_runtime/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geode_offroad1,ours_on,run01,runtime.csv,0.076725,4046,1709436655.492895603,1709437059.993190050,0.10534286499023438,1,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad1/ours_on/run01/evaluation_on_off_v1_runtime/manifest.json,19.0,4027.0,100545.0,596.0,78.0,0.0,495.0,0.0
geode_offroad2,ours_off,run01,runtime.csv,0.109786,4212,1709437142.611411572,1709437563.714724302,0.10570216178894043,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad2/ours_off/run01/evaluation_on_off_v1_runtime/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geode_offroad2,ours_on,run01,runtime.csv,0.108194,4212,1709437142.611411572,1709437563.714724302,0.10570216178894043,1,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad2/ours_on/run01/evaluation_on_off_v1_runtime/manifest.json,386.0,4193.0,86816.0,2963.0,1004.0,0.0,1158.0,0.0
geode_offroad3,ours_off,run01,runtime.csv,0.092068,3220,1709437775.344993830,1709438097.244027138,0.10847187042236328,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad3/ours_off/run01/evaluation_on_off_v1_runtime/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geode_offroad3,ours_on,run01,runtime.csv,0.092139,3220,1709437775.344993830,1709438097.244027138,0.10847187042236328,1,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_offroad3/ours_on/run01/evaluation_on_off_v1_runtime/manifest.json,34.0,3201.0,82924.0,540.0,0.0,0.0,5244.0,0.0
geode_tunnel1,ours_off,run01,runtime.csv,0.378592,2085,1706581948.364072800,1706582156.763480425,0.1006627082824707,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_off/run01/evaluation_on_off_v1_runtime/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geode_tunnel1,ours_on,run01,runtime1.csv,0.374297,2085,1706581948.364072800,1706582156.763480425,0.1006627082824707,1,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_tunnel1/ours_on/run01/evaluation_on_off_v1_runtime1/manifest.json,10.0,2066.0,24852.0,36.0,0.0,0.0,0.0,0.0
geode_tunnel2,ours_off,run01,runtime.csv,2.162971,2610,1706584501.872719288,1706584762.771492958,0.10312485694885254,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_off/run01/evaluation_on_off_v1_runtime/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geode_tunnel2,ours_off,run02,runtime1.csv,0.931167,2610,1706584501.872719288,1706584762.771492958,0.10312485694885254,0,fastlio2_internal_v1,experiments/adaptive_map_v1/validation/geode_tunnel2/ours_off/run02/evaluation_on_off_v1_runtime1/manifest.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
