run,start_s,end_s,common_samples,prefix_error_median,log_rows,effective_median,effective_min,residual_median,transient_fraction,map_added,quality_rejected,invalid_quality_rejected,direction_rejected,novel_rejected,persistent_quota_rejected,total_rejected,candidate_rejection_fraction
off1,0,60,416,0.13985691822450885,590,1905.0,819,0.051926677500000004,0.0,387138,0,0,0,0,0,0,0.0
off1,60,300,1112,0.6761281883821553,2157,485.0,171,0.076094335,0.0,1393761,0,0,0,0,0,0,0.0
off1,300,320,70,6.185791003948822,164,1212.0,468,0.03409657,0.0,116401,0,0,0,0,0,0,0.0
off1,320,330,25,8.783140198515287,78,651.5,538,0.1685353145,0.0,145939,0,0,0,0,0,0,0.0
off1,330,340,14,5.903815659043838,66,689.0,523,0.163456133,0.0,135644,0,0,0,0,0,0,0.0
off1,340,350,19,8.62678828603407,77,605.0,367,0.120179667,0.0,124946,0,0,0,0,0,0,0.0
off1,350,360,12,4.793740998819522,70,1553.5,456,0.092581597,0.0,164244,0,0,0,0,0,0,0.0
off1,360,370,0,,63,1122.0,687,0.139249987,0.0,151502,0,0,0,0,0,0,0.0
off1,370,390,5,15.171623004528092,110,918.0,664,0.1166744085,0.0,201778,0,0,0,0,0,0,0.0
off1,390,420,80,14.580582146221186,207,833.0,319,0.024936956,0.0,46930,0,0,0,0,0,0,0.0
off2,0,60,416,0.14558881504579954,542,1933.0,834,0.0517104595,0.0,365638,0,0,0,0,0,0,0.0
off2,60,300,1112,0.3049341233637398,2164,561.5,162,0.06711309900000001,0.0,1267424,0,0,0,0,0,0,0.0
off2,300,320,70,8.512045299670364,154,1640.5,614,0.0290412975,0.0,122738,0,0,0,0,0,0,0.0
off2,320,330,25,6.793659628336188,66,748.0,601,0.16279104700000002,0.0,135494,0,0,0,0,0,0,0.0
off2,330,340,14,6.414493134897552,66,819.5,507,0.16117390599999998,0.0,142334,0,0,0,0,0,0,0.0
off2,340,350,19,10.534890651874315,66,768.0,458,0.11546717100000001,0.0,117496,0,0,0,0,0,0,0.0
off2,350,360,12,7.042557257900153,70,1987.0,302,0.060085071500000004,0.0,165551,0,0,0,0,0,0,0.0
off2,360,370,0,,55,1055.0,750,0.165367669,0.0,145993,0,0,0,0,0,0,0.0
off2,370,390,5,16.871070989069285,103,849.0,553,0.137294763,0.0,199470,0,0,0,0,0,0,0.0
off2,390,420,80,16.195512013294728,206,397.5,313,0.0442101155,0.0,40937,0,0,0,0,0,0,0.0
off3,0,60,416,0.12874123163940354,574,1792.5,799,0.05247368299999999,0.0,379781,0,0,0,0,0,0,0.0
off3,60,300,1112,2.008442843959771,2158,511.5,136,0.0762133045,0.0,1448194,0,0,0,0,0,0,0.0
off3,300,320,70,8.376364426622665,157,603.0,415,0.062831233,0.0,92326,0,0,0,0,0,0,0.0
off3,320,330,25,11.841883006633836,71,534.0,357,0.149033102,0.0,120233,0,0,0,0,0,0,0.0
off3,330,340,14,10.32232339543637,60,763.0,449,0.16541704000000002,0.0,130740,0,0,0,0,0,0,0.0
off3,340,350,19,13.289215475982305,64,655.0,0,0.1232663065,0.0,104457,0,0,0,0,0,0,0.0
off3,350,360,12,8.135915880949351,71,1604.0,602,0.064982038,0.0,164462,0,0,0,0,0,0,0.0
off3,360,370,0,,55,1137.0,757,0.181289158,0.0,157175,0,0,0,0,0,0,0.0
off3,370,390,5,9.572683590206452,111,911.0,476,0.121885925,0.0,206441,0,0,0,0,0,0,0.0
off3,390,420,80,10.636679846044768,204,499.0,312,0.034215687,0.0,29486,0,0,0,0,0,0,0.0
on1,0,60,416,0.3113041541348037,583,2258.0,1026,0.069687521,0.1234991423670669,329383,145465,89862,666,23748,0,259870,0.441015998221477
on1,60,300,1112,0.3592874355250747,2219,878.0,286,0.069453533,0.06219017575484453,777061,197097,168007,0,7898,0,373673,0.3247257837171753
on1,300,320,70,0.18132156348867345,181,912.0,839,0.063416347,0.0,38136,5650,0,0,0,0,5650,0.12903667839035307
on1,320,330,25,0.4040526192970954,90,762.5,642,0.08270293000000001,0.08888888888888889,33945,8537,7852,0,0,0,16396,0.32569873462982457
on1,330,340,14,0.32077747271995566,94,624.0,518,0.077397399,0.0425531914893617,29892,5653,4851,0,0,0,10506,0.2600623793257092
on1,340,350,19,0.2516383182595841,94,571.5,442,0.0673761045,0.1702127659574468,22178,7845,26210,0,1055,0,35114,0.6128953431543671
on1,350,360,12,0.5365169412587075,87,695.0,494,0.075805791,0.40229885057471265,21218,16078,75162,0,8599,0,99842,0.8247315380802908
on1,360,370,0,,91,820.0,720,0.065287104,0.14285714285714285,25845,7562,23318,0,765,0,31653,0.5505061045601586
on1,370,390,5,5.135486617638505,148,1155.0,630,0.221847222,0.9256756756756757,39664,75142,295404,20,26223,0,396801,0.9091244429679356
on1,390,420,80,4.9689328254934635,245,1112.0,750,0.045818491,0.02857142857142857,33627,13139,6832,0,25,0,20035,0.3733554470575081
on2,0,60,416,0.21751967123722787,554,2219.5,1022,0.0695864595,0.1299638989169675,321773,142803,87180,1493,29907,0,261509,0.4483405968296639
on2,60,300,1112,0.32515803690175593,2224,890.5,274,0.0703790445,0.06429856115107914,775949,201454,168663,0,9503,0,380306,0.32891187497567576
on2,300,320,70,0.12406181725085896,189,898.0,770,0.062584683,0.0,38614,5766,0,0,0,0,5768,0.12996259744941643
on2,320,330,25,0.3335036605811373,96,745.0,627,0.08473053350000001,0.08333333333333333,36470,9055,7809,0,62,0,16934,0.3170923526327616
on2,330,340,14,0.32044514717986494,93,642.0,548,0.077812635,0.08602150537634409,28966,6661,8303,0,0,0,14965,0.3406478341034805
on2,340,350,19,0.2136343181286122,91,560.0,250,0.06589192,0.17582417582417584,21108,6679,23067,0,11863,0,41613,0.6634619983737504
on2,350,360,12,0.5219445061600385,86,561.0,147,0.2205908785,1.0,13899,22089,108041,99,196301,0,326533,0.9591724632231987
on2,360,370,0,,68,612.5,235,0.240420452,1.0,9595,22025,90175,1937,170288,0,284433,0.9673670534779001
on2,370,390,5,34.68906446633733,142,1209.5,442,0.19571225650000001,0.9507042253521126,36291,65273,225683,1147,167286,0,459401,0.9267871985022957
on2,390,420,80,34.66797233321861,240,1552.0,778,0.038915002500000004,0.05,32115,24154,11890,0,1741,0,37821,0.5407944406314344
on3,0,60,416,0.16452973377572971,575,2308.0,1050,0.070460776,0.1617391304347826,313149,155679,113517,1068,28105,0,298500,0.48802499472736816
on3,60,300,1112,0.3118598694747383,2241,860.0,283,0.069916889,0.07005800981704596,786048,204986,187515,0,9736,0,402927,0.3388860152652495
on3,300,320,70,0.25995636851284665,189,868.0,797,0.059432232,0.026455026455026454,39802,7956,4440,0,45,0,12444,0.23818091337135858
on3,320,330,25,2.6234532386381093,81,874.0,477,0.238394814,0.8395061728395061,16304,29761,99321,2,17503,0,146594,0.899912828886788
