run,start_s,rows,gt_common_samples,error_median,residual_median,transient_frames,effective_min,novel_accepted,invalid_rejected,added,speed_max,angular_speed_max,csv_gap_max
run02,240,10,9,0.22654760751215283,0.06970527,0,507,0,0,2665,1.5108863910911114,0.12152322514594292,0.10063695907592773
run02,241,10,9,0.1705335410124011,0.0753335245,1,553,50,915,3800,1.3297313628690983,0.2768252589639942,0.10022592544555664
run02,242,10,9,0.22386769080912913,0.092866948,0,596,0,0,4987,1.6821264817490897,0.19193002373615656,0.10016584396362305
run02,243,10,8,0.26818495249631524,0.0799824605,1,652,14,781,4017,1.7298257968275026,0.2317397000515491,0.10012960433959961
run02,244,8,7,0.2656511536149494,0.09793243,1,723,16,711,4096,1.6100121956241153,0.17026108912460666,0.2997705936431885
run02,245,9,6,0.2588288027982459,0.088796072,0,837,0,0,6235,2.3302358377128014,0.18561928234928074,0.20007109642028809
run02,246,10,0,,0.14370273449999998,5,850,142,6515,4680,2.080308380838856,0.3155310072745358,0.10004448890686035
run02,247,10,0,,0.15185865650000002,5,1003,101,6542,5721,2.1190301060498187,0.26784793855687,0.10011935234069824
run02,248,6,0,,0.09169858850000001,1,1061,15,1485,4943,1.3188208513363715,0.19462650009169108,0.30017852783203125
run02,249,10,0,,0.0955500345,3,1012,111,5827,7731,1.679589576979036,0.4040433946544627,0.10014462471008301
run02,250,9,0,,0.079557684,0,970,0,0,7729,1.5131542509109968,0.17150616606329994,0.20000267028808594
run02,251,10,0,,0.0664766145,0,1073,0,0,7653,0.9526509600773574,0.10920348324673876,0.10008072853088379
run02,252,10,0,,0.060701937,0,1111,0,0,6883,1.0057650569837078,0.10469502910250744,0.10016489028930664
run02,253,10,0,,0.08365307,3,1016,118,5294,5800,1.0065247701647546,1.142217347778607,0.10052728652954102
run02,254,9,0,,0.060333563,0,1053,0,0,5301,0.5656540545072523,1.6899209038389693,0.20009374618530273
run02,255,10,0,,0.2274306245,8,770,380,16249,2466,1.707905766776639,1.654381445750877,0.10044240951538086
run02,256,10,0,,0.2058239975,10,767,456,20162,1500,2.7412816518366445,0.32248112250117883,0.10032439231872559
run02,257,9,0,,0.203664038,9,973,242,18892,1383,1.7917695925160702,0.3574877259455592,0.19992923736572266
run02,258,9,0,,0.190973334,9,1027,158,18402,1402,2.2722244963604528,0.11661186666054446,0.1999671459197998
run02,259,8,0,,0.1801337325,8,974,155,16430,1190,2.607239256289642,0.22527933828632768,0.19992995262145996
run02,260,10,0,,0.2171618725,10,860,292,22114,1352,2.6420223391546265,0.38894026604480364,0.10011839866638184
run02,261,10,0,,0.164819311,10,970,176,19905,1460,2.846154184766396,0.3676872265084688,0.10015702247619629
run02,262,9,0,,0.09394237,0,1093,0,0,13400,4.95511651778171,0.1241390423634537,0.20006203651428223
run02,263,10,0,,0.09873858299999999,2,1406,78,3568,12349,5.166286682565061,0.5031225296661842,0.10009765625
run02,264,9,0,,0.099096389,1,1452,50,1677,12244,3.769574949800841,0.4552229375041829,0.20003986358642578
run02,265,9,0,,0.0769433,0,1535,0,0,11128,2.4383165724361278,0.2765890035346329,0.20012450218200684
run02,266,10,0,,0.077527969,0,1555,0,0,12167,2.8209701612302283,0.30902975620899187,0.10013151168823242
run02,267,8,0,,0.08052410700000001,0,1462,0,0,9550,2.210125326994224,0.14545424566767368,0.20007610321044922
run02,268,9,0,,0.08658943,3,1348,150,7240,8365,2.665515715381262,0.7802947828134518,0.19995880126953125
run02,269,9,0,,0.111556709,3,1299,116,6165,9961,4.159832012140935,0.590923851819268,0.1999804973602295
run02,270,8,0,,0.134957519,3,1161,121,5726,8824,3.7796902494234637,0.4292717762914239,0.20005273818969727
