run,relative_s,error_m
max/run01,0.08370118141174299,1.0390649003287886
max/run01,0.3837011814117419,1.0430982075495077
max/run01,0.48370118141174157,1.043613420271928
max/run01,0.5837011814117412,1.0439378886680601
max/run01,0.6837011814117409,1.0450026096756606
max/run01,0.7837011814117405,1.0467108754200631
max/run01,0.8837011814117401,1.0460644850714238
max/run01,0.9837011814117398,1.0466645303414501
max/run01,1.0837011814117394,1.048969611492619
max/run01,1.183701181411739,1.0508250187822292
max/run01,1.2837011814117387,1.0523402661792718
max/run01,1.3837011814117384,1.0515815236576351
max/run01,1.5837011814117377,1.0521532018046036
max/run01,1.8837011814117366,1.054496465339305
max/run01,1.9837011814117362,1.054077623255101
max/run01,2.083701181411736,1.052809984641449
max/run01,2.1837011814117355,1.0527397773303535
max/run01,2.283701181411735,1.0538547839561947
max/run01,2.383701181411735,1.0546341088992564
max/run01,2.4837011814117345,1.0544573078917745
max/run01,2.583701181411734,1.0543668907682502
max/run01,2.6837011814117337,1.0548661923089027
max/run01,2.7837011814117334,1.0549595941097762
max/run01,2.883701181411734,1.055901187174616
max/run01,2.983701181411732,1.055611252238967
max/run01,3.083701181411733,1.0546337006641195
max/run01,3.183701181411731,1.0556322219624326
max/run01,3.2837011814117325,1.0565568730267756
max/run01,3.3837011814117304,1.055769184302509
max/run01,3.483701181411732,1.0552393501998905
max/run01,3.5837011814117297,1.0565007491898735
max/run01,3.683701181411731,1.0574634385759112
max/run01,3.783701181411729,1.0565004940047802
max/run01,3.8837011814117304,1.0570079326789268
max/run01,4.483701181411728,1.060220091351717
max/run01,4.583701181411726,1.0604305529793823
max/run01,4.6837011814117275,1.0600938555381283
max/run01,4.783701181411725,1.0602089204241802
max/run01,4.883701181411727,1.0600456090632426
max/run01,4.983701181411725,1.0597861415144638
max/run01,5.083701181411726,1.0602635947940682
max/run01,5.183701181411724,1.0608290033560945
max/run01,5.283701181411725,1.060361383294466
max/run01,5.383701181411723,1.0613061185584196
max/run01,5.583701181411723,1.0621074842631886
max/run01,5.683701181411724,1.061999081037773
max/run01,5.783701181411722,1.062765697121207
max/run01,5.883701181411723,1.0633869021401519
max/run01,5.983701181411721,1.063993442679059
max/run01,6.083701181411723,1.0640165917614866
max/run01,6.18370118141172,1.0636348014616512
max/run01,6.283701181411722,1.0619651693741108
max/run01,6.38370118141172,1.0614740238209261
max/run01,6.483701181411721,1.0614302465993044
max/run01,6.583701181411719,1.0617911509107871
max/run01,6.783701181411718,1.0627998641310692
