group,run,start_s,end_s,rows,residual_median,effective_min,transient_fraction,map_added,rejection_fraction,novel_rejected
control,run01,0,30,298,0.011796601,1403,0.020134228187919462,62889.0,0.3490492801026798,1914
control,run01,30,60,292,0.06863978,1370,0.017123287671232876,232152.0,0.24343736862516335,322
control,run01,60,90,281,0.062158461,1771,0.0035587188612099642,147410.0,0.22428854087732591,0
control,run01,90,120,270,0.05234618,1511,0.025925925925925925,139168.0,0.24771614214515064,141
control,run01,120,150,265,0.06041248,1300,0.01509433962264151,129859.0,0.2317262922491673,386
control,run01,150,180,286,0.0553915155,967,0.02097902097902098,82354.0,0.24695275280950246,310
control,run01,180,210,287,0.072422657,834,0.11149825783972125,104934.0,0.403434964780525,1989
control,run01,210,240,289,0.088188339,538,0.30103806228373703,86195.0,0.65964461994077,7722
control,run01,240,270,292,0.0701955085,383,0.22945205479452055,59430.0,0.6582263193913288,9863
control,run01,270,300,289,0.064730345,155,0.14878892733564014,46582.0,0.476418487546084,5376
control,run01,300,330,285,0.097768626,216,0.2807017543859649,55894.0,0.5681793600024723,6105
control,run01,330,360,288,0.07677429699999999,485,0.10416666666666667,125470.0,0.29548440711085155,529
control,run01,360,390,195,0.047230162,695,0.005128205128205128,23517.0,0.1864881693648817,0
control,run02,0,30,298,0.011730921,1287,0.02348993288590604,62306.0,0.3535514930173684,2031
control,run02,30,60,285,0.066425362,1511,0.014035087719298246,230357.0,0.23561111092676226,75
control,run02,60,90,279,0.062201282,1716,0.010752688172043012,146482.0,0.2413796675125589,117
control,run02,90,120,292,0.0515463525,1489,0.023972602739726026,145697.0,0.2525522505976627,229
control,run02,120,150,293,0.059732015,1314,0.010238907849829351,134835.0,0.22327832022811717,396
control,run02,150,180,287,0.054914016,1029,0.027874564459930314,79346.0,0.2675055159107484,186
control,run02,180,210,290,0.07275218950000001,813,0.11724137931034483,105329.0,0.4069513417339504,1365
control,run02,210,240,285,0.094319341,505,0.3368421052631579,85543.0,0.6817407286147985,8495
control,run02,240,270,250,0.0723013505,228,0.232,50740.0,0.6479273928308747,8086
control,run02,270,300,276,0.0712048605,171,0.14855072463768115,46266.0,0.4823963752307434,4975
control,run02,300,330,286,0.087895233,223,0.1853146853146853,55333.0,0.5036152576431749,4452
control,run02,330,360,281,0.07766278,480,0.13167259786476868,123944.0,0.3218172566056938,460
control,run02,360,390,194,0.048115401,664,0.005154639175257732,23145.0,0.18883398170539376,0
