run,start_s,frames,common_gt_samples,prefix_error_median,residual_median,transient_frames,novel_accepted,novel_rejected,map_added,invalid_quality_rejected,map_size_last
control/run01,0,99,88,0.12105686712803128,0.012051553,0,0,0,19040,0,6165
control/run01,10,99,75,0.11350382962277322,0.011383368,0,0,0,5757,0,7244
control/run01,20,100,72,0.11154408651188033,0.014012898499999999,6,300,1914,38092,5149,27470
control/run01,30,99,80,0.1404057044327065,0.066951616,0,0,0,109464,0,84369
control/run01,40,97,63,0.11872574351707624,0.068162603,2,100,263,62519,1926,110685
control/run01,50,96,64,0.1229366215265531,0.07019605649999999,3,147,59,60169,3532,134377
control/run01,60,95,66,0.13223708519418564,0.063728316,0,0,0,51541,0,155679
control/run01,70,98,68,0.1542017933823335,0.061262330000000004,1,19,0,54058,948,174984
control/run01,80,88,66,0.17674480371416224,0.0596724765,0,0,0,41811,0,188155
control/run01,90,91,70,0.16181838542975985,0.0563114,7,237,141,47711,11624,204026
control/run01,100,88,0,,0.048897941,0,0,0,43006,0,217432
control/run01,110,91,0,,0.052899397,0,0,0,48451,0,233389
control/run01,120,79,0,,0.066553961,1,50,13,39912,873,248172
control/run01,130,89,0,,0.06093568,0,0,0,39784,0,262565
control/run01,140,97,0,,0.056821902,3,150,373,50163,3729,279993
control/run01,150,97,0,,0.057647948,0,0,0,26352,0,286042
control/run01,160,94,0,,0.0515655295,0,0,0,18743,0,289455
control/run01,170,95,0,,0.061348919,6,237,310,37259,8833,302359
control/run01,180,91,0,,0.080992501,16,500,1151,36325,18832,315715
control/run01,190,97,0,,0.070957394,9,322,836,35833,8488,328907
control/run01,200,99,47,0.24771597701772965,0.070073878,7,161,2,32776,7236,340156
control/run01,210,94,76,0.2782349663256263,0.099406678,31,1048,3682,32205,47066,352256
control/run01,220,95,71,0.39130785900588905,0.089257961,29,911,3136,26777,38322,361723
control/run01,230,100,80,0.40151627527735906,0.0803610795,27,694,904,27213,25601,372792
control/run01,240,99,60,0.4218877186580521,0.111783486,40,1573,6742,21233,45063,381341
control/run01,250,99,12,0.3974917175764886,0.079579819,27,948,3121,22585,28808,389559
control/run01,260,94,0,,0.057721182999999995,0,0,0,15612,0,393791
control/run01,270,99,0,,0.060786338,2,5,0,15904,1211,398075
control/run01,280,95,33,0.2900962269738874,0.058725702,2,50,0,14262,1383,401908
control/run01,290,95,12,0.5134351233394463,0.113715119,39,1462,5376,16416,20509,409975
control/run01,300,92,0,,0.17802443099999998,53,2305,5744,12870,24144,417434
control/run01,310,96,59,0.48485162100101237,0.092016331,17,494,336,16394,13620,424416
control/run01,320,97,71,0.4278302968376842,0.089656798,10,341,25,26630,5002,436119
control/run01,330,97,64,0.4734599642850833,0.089780926,15,463,178,30075,8417,448546
control/run01,340,96,58,0.1782369983366749,0.0986345,15,401,351,55133,15567,470657
control/run01,350,95,8,0.18171644106660162,0.054670435,0,0,0,40262,0,481346
control/run01,360,93,0,,0.050457508,1,6,0,18147,808,486019
control/run01,370,91,56,0.03138362200491145,0.045583147,0,0,0,4926,0,487053
control/run01,380,11,2,0.028064692874583973,0.044763987,0,0,0,444,0,487152
control/run02,0,100,88,0.09847685028049491,0.012173515,0,0,0,18687,0,6134
control/run02,10,99,75,0.08981285539570513,0.011154938,0,0,0,6360,0,7224
control/run02,20,99,72,0.08735814310896833,0.01398381,7,350,2031,37259,6159,27332
control/run02,30,100,80,0.1182631531659348,0.0667543055,0,0,0,109403,0,84109
control/run02,40,97,63,0.09838660317517763,0.065371408,1,50,44,63798,865,111463
control/run02,50,88,64,0.12931744707012693,0.0684172465,3,130,31,57156,3062,135283
control/run02,60,91,66,0.13890902263786675,0.06359909,0,0,0,49947,0,156448
control/run02,70,93,68,0.19085525352699018,0.062439699,3,97,117,51856,3407,175798
control/run02,80,95,66,0.23057874959075278,0.059559446,0,0,0,44679,0,190159
control/run02,90,97,70,0.22546328939207255,0.054503773,7,240,229,50191,13287,206521
control/run02,100,99,0,,0.048503913,0,0,0,46778,0,220715
control/run02,110,96,0,,0.052888501000000004,0,0,0,48728,0,236635
control/run02,120,98,0,,0.062066832,0,0,0,45748,0,253407
control/run02,130,98,0,,0.060738226000000006,0,0,0,40624,0,267519
control/run02,140,97,0,,0.057186852,3,150,396,48463,3633,284586
control/run02,150,94,0,,0.058781649000000005,0,0,0,25300,0,290919
control/run02,160,97,0,,0.050880342,0,0,0,17311,0,294430
control/run02,170,96,0,,0.058130575000000004,8,325,186,36735,11471,307101
control/run02,180,97,0,,0.079498783,18,477,509,36350,19636,320128
control/run02,190,98,0,,0.0717802665,7,310,856,37876,7285,334190
control/run02,200,95,47,0.28799239163471374,0.069630517,9,156,0,31103,9227,345112
control/run02,210,97,76,0.30050588086038843,0.09985929,29,1072,4213,36002,46351,359768
control/run02,220,96,71,0.4143096392841125,0.0903433595,29,834,2877,27809,38347,370065
control/run02,230,92,80,0.4986091360846317,0.0862258675,38,1207,1405,21732,39511,379513
control/run02,240,90,60,0.37155374048880246,0.07889365100000001,28,928,4645,19829,29398,387086
control/run02,250,78,12,0.4246584692960428,0.09636152,30,1024,3441,15976,31726,392881
control/run02,260,82,0,,0.063640583,0,0,0,14935,0,396932
control/run02,270,90,0,,0.0668969785,3,15,0,15081,2754,400949
control/run02,280,93,33,0.3139061974779507,0.064827485,2,62,0,14736,1487,405201
control/run02,290,93,12,0.5613166261581701,0.107366092,36,1345,4975,16449,19122,413103
control/run02,300,95,0,,0.087025358,27,1187,4173,14071,13762,419779
control/run02,310,97,59,0.5061121640375459,0.088129718,16,429,166,16012,11124,426294
control/run02,320,94,71,0.4512218925268199,0.0865496335,10,290,113,25250,4726,437421
control/run02,330,92,64,0.5060824859731734,0.09462144,21,571,231,26994,12486,449083
control/run02,340,96,58,0.2038297782594095,0.096194203,16,471,229,56149,16723,471483
control/run02,350,93,8,0.304364693925765,0.052737322,0,0,0,40801,0,482480
control/run02,360,92,0,,0.051222705,1,7,0,17908,794,487084
control/run02,370,91,56,0.06198302356308688,0.046931112,0,0,0,4759,0,488157
control/run02,380,11,2,0.05987835522586118,0.044887861,0,0,0,478,0,488262
control/run03,0,98,88,0.13390695843392642,0.012376502000000001,0,0,0,18631,0,6133
control/run03,10,90,75,0.12814603210585368,0.0112744525,0,0,0,5722,0,7141
control/run03,20,81,72,0.12868813459986347,0.014035022,8,400,3096,30400,6785,23120
control/run03,30,90,80,0.16675828596994557,0.06851241799999999,0,0,0,104797,0,78692
control/run03,40,92,63,0.11724801321575067,0.07134515599999999,3,150,596,58546,3043,104286
control/run03,50,97,64,0.13611918571029996,0.071711119,5,234,156,61816,5317,129565
control/run03,60,96,66,0.12105802005962507,0.0626238385,0,0,0,53324,0,151518
control/run03,70,91,68,0.13084218624816993,0.060814364,1,22,0,51372,901,170820
control/run03,80,92,66,0.13282925021134045,0.0593537315,0,0,0,44151,0,184722
control/run03,90,98,70,0.1587872152402271,0.057989879,7,227,170,51100,12827,201399
control/run03,100,96,0,,0.0513363685,0,0,0,46565,0,215909
control/run03,110,98,0,,0.0553157715,0,0,0,50723,0,232503
control/run03,120,98,0,,0.0634826275,4,152,105,44110,3652,247219
control/run03,130,98,0,,0.058507992999999994,0,0,0,41790,0,261237
control/run03,140,98,0,,0.055074240999999996,3,150,394,48739,3721,278165
control/run03,150,96,0,,0.0565010665,0,0,0,24589,0,283661
control/run03,160,92,0,,0.053560984500000006,0,0,0,16168,0,286816
control/run03,170,97,0,,0.062554124,9,329,347,36201,12781,299120
control/run03,180,92,0,,0.083083024,16,492,538,36674,18826,312685
control/run03,190,95,0,,0.069940543,9,370,979,34491,9538,325031
control/run03,200,95,47,0.2643345783632437,0.067214025,7,146,0,32535,7061,335926
control/run03,210,98,76,0.34378245201460966,0.0984216845,30,1076,3469,34733,47427,349726
control/run03,220,96,71,0.46294210241825956,0.099091778,33,958,4436,27352,42285,359471
control/run03,230,100,80,0.5307991895508688,0.09030186200000001,38,1241,1497,22807,37368,368918
control/run03,240,99,60,0.48137691750000794,0.120602283,41,1538,6031,21046,45791,377625
control/run03,250,98,12,0.465409190262367,0.091150693,32,1082,3565,19647,33178,384063
control/run03,260,97,0,,0.067432586,0,0,0,16003,0,388447
control/run03,270,99,0,,0.0716078,3,9,0,15829,1792,392550
control/run03,280,98,33,0.32624791575581796,0.068892816,1,24,0,15801,686,396775
control/run03,290,96,12,0.5879444514857435,0.12361070199999999,39,1532,5328,16671,22047,405124
control/run03,300,98,0,,0.239305249,98,3354,6044,8648,41388,411189
control/run03,310,100,59,0.6509262141308513,0.1361978245,49,984,627,14972,25734,418716
control/run03,320,100,71,0.4420209571499971,0.083089215,9,309,32,28049,4590,431243
control/run03,330,97,64,0.34674458846459005,0.091112243,16,502,276,30638,9313,444158
control/run03,340,92,58,0.16659143400095175,0.099053821,17,423,259,50359,19423,463670
control/run03,350,94,8,0.1837454198753607,0.052260069,0,0,0,42003,0,474760
control/run03,360,90,0,,0.050637614,1,14,0,18201,1119,479414
control/run03,370,90,56,0.026754443040403378,0.047024599,0,0,0,4787,0,480477
control/run03,380,9,2,0.027663423690254117,0.044511448,0,0,0,390,0,480541
control_off/run01,0,101,88,0.1286081342512965,0.012147342,0,0,0,18806,0,6148
control_off/run01,10,99,75,0.1222739008076593,0.011288378,0,0,0,6480,0,7237
control_off/run01,20,99,72,0.1191450042823122,0.01413671,6,1492,0,39713,5560,29021
control_off/run01,30,100,80,0.1460292625331036,0.067230177,0,0,0,109697,0,86097
control_off/run01,40,87,63,0.12418875340830905,0.070803946,2,329,0,57396,1904,110659
control_off/run01,50,94,64,0.12255150562400922,0.0706937465,3,217,0,61756,3465,135825
control_off/run01,60,89,66,0.10819439207003828,0.064647283,0,0,0,49605,0,156329
control_off/run01,70,93,68,0.11612457454842577,0.062777692,1,27,0,53393,1029,175962
control_off/run01,80,95,66,0.13567171231908598,0.059743392,0,0,0,43703,0,189945
control_off/run01,90,96,70,0.13251144890988975,0.055334537,7,341,0,49577,12146,206138
control_off/run01,100,95,0,,0.050740631,0,0,0,45961,0,220397
control_off/run01,110,91,0,,0.05408321,0,0,0,47775,0,236178
control_off/run01,120,94,0,,0.06578271899999999,0,0,0,45174,0,252904
control_off/run01,130,91,0,,0.060418051,0,0,0,39902,0,266852
control_off/run01,140,95,0,,0.057825159,4,693,0,48679,5350,284016
control_off/run01,150,91,0,,0.059001225,0,0,0,24883,0,289695
control_off/run01,160,91,0,,0.053321626,0,0,0,18065,0,292884
control_off/run01,170,96,0,,0.0585341655,8,575,0,36477,11528,305613
control_off/run01,180,96,0,,0.08411004450000001,17,1268,0,39171,20314,320542
control_off/run01,190,99,0,,0.071240581,11,1328,0,36936,10671,334332
control_off/run01,200,100,47,0.24772253640696487,0.070240808,7,146,0,33779,7038,346192
control_off/run01,210,97,76,0.2807559600770855,0.099975222,33,3643,0,35781,50303,362153
control_off/run01,220,91,71,0.370491423247632,0.102473609,32,2819,0,27501,46833,373584
control_off/run01,230,93,80,0.4786410211883596,0.082338312,33,1488,0,25930,34791,385372
control_off/run01,240,88,60,0.5236656616073359,0.13164379199999998,42,3620,0,21173,53338,396139
control_off/run01,250,89,12,0.38823646733502726,0.080538853,25,3086,0,23746,31263,406518
control_off/run01,260,93,0,,0.05872932,0,0,0,16147,0,410913
control_off/run01,270,93,0,,0.063121429,2,6,0,15993,1217,415273
control_off/run01,280,100,33,0.279821161648454,0.060739983,1,28,0,16412,667,420004
control_off/run01,290,97,12,0.5503723863240824,0.114477622,39,2743,0,17911,24655,429528
control_off/run01,300,94,0,,0.09190859400000001,21,372,0,13972,10069,435595
control_off/run01,310,97,59,0.47849560419526677,0.096882105,20,632,0,15900,13337,442312
control_off/run01,320,91,71,0.4034283641580608,0.090173384,11,371,0,24513,5238,453028
control_off/run01,330,89,64,0.4451742301594447,0.098692316,20,1001,0,28071,11690,465315
control_off/run01,340,89,58,0.15558134380857788,0.093369217,17,551,0,48032,17957,484062
control_off/run01,350,89,8,0.15518408376680962,0.055930427,0,0,0,38928,0,494157
control_off/run01,360,90,0,,0.052955457,0,0,0,19159,0,499455
control_off/run01,370,97,56,0.02240358472969207,0.048264938,0,0,0,5192,0,500615
control_off/run01,380,11,2,0.02277601260497063,0.046572328,0,0,0,461,0,500704
control_off/run02,0,99,88,0.13059110316417372,0.012197611,0,0,0,18644,0,6145
control_off/run02,10,97,75,0.12405315554662244,0.011269276,0,0,0,6365,0,7249
control_off/run02,20,95,72,0.12306188773849687,0.014714126,6,1486,0,38091,5615,28236
control_off/run02,30,92,80,0.15280859599554542,0.0696383225,0,0,0,105055,0,84222
control_off/run02,40,96,63,0.12620162802664636,0.0699213435,3,540,0,61911,2972,110469
control_off/run02,50,94,64,0.13536921123626866,0.0715850705,5,532,0,58198,5363,133603
control_off/run02,60,98,66,0.1125884426377444,0.0638744795,0,0,0,53918,0,155729
control_off/run02,70,98,68,0.12586004464638384,0.061452327,1,27,0,54103,965,175494
control_off/run02,80,95,66,0.12377648467362853,0.059667325,0,0,0,43509,0,189131
control_off/run02,90,95,70,0.12011117671234478,0.057079101,6,299,0,49223,11074,205221
