sequence,group,run,ate_rmse_m,raw_status,source,sha256,transient_frames,transient_novel_rejected,transient_max_novel_accepted
ntu_spms1,control,run01,0.33245081156880824,available,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control/run01/runtime.csv,d1bf09d46c9e8ee35ef77d93ec08b9826a89e99f9f0cae94c3ce79c1dadcc395,342,44471,50
ntu_spms1,control,run02,5.087780743707351,available,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control/run02/runtime.csv,95c13c1fbcae6a74f26ce494155eba30a2372c82cf69eda334107e45ec2a4ccd,777,454533,50
ntu_spms1,control,run03,18.410078799181335,available,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control/run03/runtime.csv,49f464d30bd33b11d193235220c8e50c16b242d2df3777b844a8e46a775a469f,780,693346,50
ntu_spms1,control_off,run01,2.1257905388322538,available,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control_off/run01/runtime.csv,52a69bb022a19d4b03d6f97588be5b3af1170026dbb0750f7b75d6624017610d,470,0,1333
ntu_spms1,control_off,run02,5.665711844449117,historical_raw_missing,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control_off/run02/runtime.csv,,,,
ntu_spms1,control_off,run03,0.5448689059187098,available,experiments/adaptive_map_v1/validation/ntu_spms1/transient_novel_ab/control_off/run03/runtime.csv,3e7497dea6b8bed5d8843c1b77e6bfda9a011f7117530821cfe321a64872e156,431,0,774
ntu_spms3,control,run01,0.3283357993621461,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control/run01/runtime.csv,35679f035108ed883cd8d8402479acee92bf9f474be82b130e1e92a57c30cad2,369,34657,50
ntu_spms3,control,run02,0.2585784679504126,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control/run02/runtime.csv,066df1c088eae0f72e6c297fd85a77531c7c7610fa478708282174b48cad55eb,352,30867,50
ntu_spms3,control,run03,0.46373761811857817,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control/run03/runtime.csv,353e5d928bfa3137cc74c38ef69bac31af69f383239b16caf1f21a6c0c53eac6,479,37945,50
ntu_spms3,control_off,run01,0.3560320805398062,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control_off/run01/runtime.csv,0025599606fad179713416fdd0cf69eea02d777760c28479fb37b1d6d9ed364f,362,0,614
ntu_spms3,control_off,run02,1.0951896224138467,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control_off/run02/runtime.csv,b6d1eeffc5c2d48debcc871da560caca70575e80d8aa115289a4ca142c26cb74,600,0,874
ntu_spms3,control_off,run03,0.32963414672853764,available,experiments/adaptive_map_v1/validation/ntu_spms3/transient_novel_ab/control_off/run03/runtime.csv,7fbfcf4a988d32644c57e101a97af87e5a0a11b4de02bc8b374ad9a951f70a2c,436,0,657
geode_tunnel2,control,run01,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control/run01/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel2,control,run02,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control/run02/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel2,control,run03,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control/run03/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel2,control_off,run01,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control_off/run01/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel2,control_off,run02,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control_off/run02/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel2,control_off,run03,1.382934,available,experiments/adaptive_map_v1/validation/geode_tunnel2/transient_novel_ab/control_off/run03/runtime.csv,7d41d549b6518f19be4c51caa97c64996cc4b817bc84d9a46bd060c0552bf522,304,0,23
geode_tunnel5,control,run01,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run01/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,112,0,20
geode_tunnel5,control,run02,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run02/runtime.csv,3706495eadab4f11283d33f316e2dd32310539db7e71854023c4a473eff3a234,112,0,20
geode_tunnel5,control,run03,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control/run03/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,112,0,20
geode_tunnel5,control_off,run01,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run01/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,112,0,20
geode_tunnel5,control_off,run02,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run02/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,112,0,20
geode_tunnel5,control_off,run03,0.447549,available,experiments/adaptive_map_v1/validation/geode_tunnel5/transient_novel_ab/control_off/run03/runtime.csv,72328323591f43623145cc4118d531648b222f0b19d863b2b471da58aa360cb8,112,0,20
subt_hawkins,control,run01,1.405533,available,experiments/adaptive_map_v1/validation/subt_hawkins/transient_novel_ab/control/run01/runtime.csv,b97f5c5937606c77e082e7dd3b3a0027c6bd54998f1f581a7e93c473b8ea7b79,151,0,8
subt_hawkins,control_off,run01,1.447292,available,experiments/adaptive_map_v1/validation/subt_hawkins/transient_novel_ab/control_off/run01/runtime.csv,a894bfba7e7c9e0c30a7818a172d9d58fe20fc08598d62bfd150aa5310bf480a,66,0,8
subt_hawkins,control_off,run02,1.410705,available,experiments/adaptive_map_v1/validation/subt_hawkins/transient_novel_ab/control_off/run02/runtime.csv,18f3d32887dd6958a67f48c8e823b34cdf3b6d6bead09dbed6b22568be3075fd,89,0,9
subt_hawkins,control_off,run03,1.445497,available,experiments/adaptive_map_v1/validation/subt_hawkins/transient_novel_ab/control_off/run03/runtime.csv,80790f3fbc5e0ad115fec13337a3a1b48197909cb52a2b0804ad7c611c9c7429,110,0,8
