run,start_s,end_s,rows,downsampled_points_median,effective_points_median,residual_mean_median,map_size_median,map_added_sum,total_rejected_sum,unclassified_range_reject_sum,quality_rejected_sum,invalid_quality_rejected_sum,direction_rejected_sum,persistent_quota_rejected_sum,novel_rejected_sum,transient_rows
off,0,120,1200,1322.5,577.5,0.0305426545,7492.5,65890,0,0,0,0,0,0,0,0
off,120,130,100,1013.0,377.5,0.0308242915,15324.5,5563,0,0,0,0,0,0,0,0
off,130,132,21,200.0,97.0,0.02503345,16496.0,154,0,0,0,0,0,0,0,0
off,132,134,20,59.5,16.0,0.0261960225,16621.0,218,0,0,0,0,0,0,0,0
off,134,136,19,166.0,85.0,0.026729744,16719.0,107,0,0,0,0,0,0,0,0
off,136,140,40,501.5,214.0,0.033181629,16887.0,1121,0,0,0,0,0,0,0,0
off,140,160,200,1466.0,411.0,0.038120061499999996,18090.0,8125,0,0,0,0,0,0,0,0
off,160,253,921,796.0,282.0,0.032069952,23312.0,19300,0,0,0,0,0,0,0,0
on,0,120,1200,1322.0,652.5,0.033756866499999996,6776.0,60792,29792,13122,16670,0,0,0,0,0
on,120,130,100,1013.5,426.0,0.0370711655,14183.5,5133,1358,484,874,0,0,0,0,0
on,130,132,21,201.0,91.0,0.025319757,15148.0,159,56,16,24,16,0,0,0,15
on,132,134,4,58.0,21.0,0.0375284295,15148.0,0,5,5,0,0,0,0,0,4
on,134,136,19,164.0,65.0,0.036688193,15152.0,21,66,28,3,35,0,0,0,19
on,136,140,40,504.0,210.5,0.057028005,15256.5,1821,760,139,298,323,0,0,0,18
on,140,160,200,1464.5,326.0,0.049298685999999994,17216.0,12592,1838,364,1452,22,0,0,0,1
on,160,253,921,794.0,247.0,0.041567955,21549.0,19523,14025,8536,3050,2439,0,0,0,134
