time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1691509863.260299921,54,23,0.135468104,0.950227274,0.300000000,nan,nan,0,0,6716,1503,fitness_reject
1691509868.260723829,64,28,0.170765447,0.447884920,0.300000000,nan,nan,0,0,6725,1612,fitness_reject
1691509872.060801029,77,23,0.169250607,0.062385966,0.300000000,0.222050209,0.000660102,0,1,6716,1568,accepted
1691509875.060847521,88,32,0.176240749,nan,nan,nan,nan,0,0,0,1653,candidate_cooldown_reject
1691509877.450541258,99,57,0.147680751,2.062979423,0.300000000,nan,nan,0,0,6095,1752,fitness_reject
1691509880.866385221,111,55,0.167211282,8.240070677,0.300000000,nan,nan,0,0,6398,1476,fitness_reject
1691509881.259094715,112,36,0.147672632,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1691509881.556484699,113,23,0.155957922,nan,nan,nan,nan,0,0,0,1478,candidate_cooldown_reject
1691509883.153240204,118,57,0.160130354,16.247378408,0.300000000,nan,nan,0,0,6095,1574,fitness_reject
1691509883.560130596,120,55,0.160479423,6.880578823,0.300000000,nan,nan,0,0,6398,1368,fitness_reject
1691509884.369272947,122,88,0.096378435,6.378185099,0.300000000,nan,nan,0,0,6251,1750,fitness_reject
1691509887.154068232,131,97,0.093719287,0.631673996,0.300000000,nan,nan,0,0,7740,1512,fitness_reject
1691509887.454933405,134,44,0.100811374,16.250733395,0.300000000,nan,nan,0,0,6804,1605,fitness_reject
1691509887.660705090,135,45,0.160898245,nan,nan,nan,nan,0,0,6746,1469,icp_not_converged
1691509887.764425039,136,84,0.133358661,6.026532302,0.300000000,nan,nan,0,0,5880,1702,fitness_reject
1691509887.867730141,137,83,0.146090861,9.852372946,0.300000000,nan,nan,0,0,5590,1743,fitness_reject
1691509887.970182419,138,82,0.111762625,8.910378234,0.300000000,nan,nan,0,0,5555,1658,fitness_reject
1691509888.172670126,139,96,0.095142758,1.407432662,0.300000000,nan,nan,0,0,7606,1622,fitness_reject
