frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1691509834.056911469,1691509834.156566381,1,0,0,0,-0.002312991,0.004814604,0.006653836,-0.000415082,0.000346210,-0.002415261,0.999996937,1347,1145,0.850037120,0.016552397,0.007524494,0.005619141,0.131758721,18.336622676,0.000000000,0.131758721,0.000000000,0.000000000,0.000000000,18.336622676,0,527,525,2,0.391239792,105,0,0,0,0,715,105,1381,527,105,0,715
2,1691509834.357066631,1691509834.456774950,1,0,0,0,0.010576795,0.006117332,0.008653961,-0.002213787,0.000639283,-0.007458710,0.999969529,1333,1137,0.852963241,0.020177169,0.007133253,0.005942889,0.129124847,17.767666899,0.000000000,0.130441784,0.098688108,0.013108935,0.010089548,18.052144787,0,309,303,6,0.231807952,83,0,0,0,0,941,83,1456,836,188,0,1656
3,1691509834.557173729,1691509834.656681299,1,0,0,0,0.022845621,0.004184895,0.010946087,-0.003110642,-0.001767022,-0.011202015,0.999930856,1324,1111,0.839123867,0.020027451,0.007533264,0.006135670,0.116254322,18.976563828,0.000000000,0.125712630,0.088512086,0.025738750,0.017562691,18.360284468,0,183,183,0,0.138217523,53,0,0,0,0,1088,53,1496,1019,241,0,2744
4,1691509834.657133579,1691509834.756447554,1,0,0,0,0.027109696,0.001505229,0.011389184,0.000846145,-0.000543353,-0.003589589,0.999993052,1305,1114,0.853639847,0.019611310,0.007720276,0.006226854,0.108736053,18.928601426,0.000000000,0.121468486,0.077564706,0.030794370,0.032776082,18.502363707,0,360,359,1,0.275862069,92,0,0,0,0,853,92,1525,1379,333,0,3597
5,1691509834.756833792,1691509834.856333494,1,0,0,0,0.015279563,0.008561385,0.010849154,0.002387948,0.000800603,0.001633057,0.999995495,1307,1101,0.842387146,0.016124493,0.006300427,0.004868480,0.114173330,18.516016080,0.000000000,0.120009455,0.096148315,0.044579617,0.043226128,18.505094182,0,283,282,1,0.216526396,75,0,0,0,0,949,75,1547,1662,408,0,4546
6,1691509834.856712580,1691509834.956402540,1,0,0,0,0.010871544,0.012214844,0.011086692,0.002075717,-0.000338174,0.002642059,0.999994298,1308,1101,0.841743119,0.016849501,0.007126217,0.005796808,0.109315679,18.488939972,0.000000000,0.118227159,0.095263598,0.050309783,0.045238907,18.502401813,0,262,262,0,0.200305810,83,0,0,0,0,963,83,1576,1924,491,0,5509
7,1691509834.956893682,1691509835.056817055,1,0,0,0,0.001357788,0.017507198,0.012690258,-0.000019699,-0.003467360,-0.003761341,0.999986915,1323,1122,0.848072562,0.017448229,0.007192171,0.005493784,0.109450596,19.441399455,0.000000000,0.116973364,0.089992243,0.061313965,0.058044315,18.636544334,0,162,161,1,0.122448980,59,0,0,0,0,1102,59,1590,2086,550,0,6611
8,1691509835.057197332,1691509835.156854391,1,0,0,0,-0.001510508,0.018869823,0.015097239,-0.001623306,-0.002829408,-0.003944199,0.999986901,1282,1087,0.847893916,0.018210709,0.008240565,0.006057073,0.108546801,19.374913998,0.000000000,0.115920044,0.084142187,0.065298613,0.058400934,18.728840542,0,169,166,3,0.131825273,61,0,0,0,0,1052,61,1612,2255,611,0,7663
9,1691509835.257406235,1691509835.356903553,1,0,0,0,-0.001981146,0.018567819,0.015873925,-0.001584502,-0.000542501,-0.004465356,0.999988628,1309,1105,0.844155844,0.019032246,0.008389964,0.006041988,0.111792104,19.301482361,0.000000000,0.115461384,0.080426861,0.066255664,0.059450632,18.792467411,0,175,175,0,0.133689840,61,0,0,0,0,1073,61,1638,2430,672,0,8736
10,1691509835.357227087,1691509835.456799507,1,0,0,0,0.006106138,0.024274567,0.014096565,-0.001914637,0.000058269,-0.003696620,0.999991333,1311,1111,0.847444699,0.018858418,0.008285344,0.005578387,0.107853220,19.969713448,0.000000000,0.114700567,0.076740263,0.076312013,0.060986180,18.910192014,0,137,136,1,0.104500381,65,0,0,0,0,1109,65,1656,2567,737,0,9845
