数据集类别,序列,FAST-LIO2 ATE RMSE (m),LIO-SAM ATE RMSE (m),Ours w/o Adaptive ATE RMSE (m),Ours-Frontend ATE RMSE (m),Ours-Full ATE RMSE (m),备注
SubT,Hawkins Long Corridor,,,,,,使用 evo_ape tum；与 GEODE 官方 ATE 分开解释
Offroad,Offroad1,0.132757,×,0.132153,0.130787,0.175655,GEODE官方 gamma2GT_gnss.py + rmse.py；LIO-SAM适配后仍发散，且GEODE官方表中Gamma Offroad1亦为×；Ours-Full：3个回环接受/778个关键帧，后端结果变差
Offroad,Offroad2,0.223904,×,0.215365,0.218353,0.241585,GEODE官方 gamma2GT_gnss.py + rmse.py；LIO-SAM在GEODE官方Gamma Offroad2为×；Ours-Full：2个回环接受/1155个关键帧，后端结果变差
Offroad,Offroad3,0.157266,×,0.165127,0.174308,0.192006,GEODE官方 gamma2GT_gnss.py + rmse.py；LIO-SAM在GEODE官方Gamma Offroad3为×；Ours-Full：1个回环接受/781个关键帧，后端结果变差
Tunneling,Tunnel1,0.457999,×,0.381897,0.386373,0.484004,GEODE官方 gamma2GT_leica.py + rmse.py；LIO-SAM适配后仍明显发散，记为×；Ours w/o Adaptive/Frontend/Full均匹配434/433/433个Leica真值时刻；w/o Adaptive相对FAST-LIO2降低16.6%，Frontend相对w/o Adaptive增加1.2%；Full接受4个非退化回环且比Frontend增加25.3%；Frontend仅5/2042帧瞬时退化，未进入Persistent
Tunneling,Tunnel2,6.867993,,22.582578,3.772998,3.949917,GEODE官方 gamma2GT_leica.py + rmse.py；已使用重新转换的 ROS2 bag 重跑四组，匹配610/612/592/612个 Leica 真值时刻。Frontend相对w-o Adaptive降低83.3%，相对FAST-LIO2降低45.1%；窗口统计为Normal/Transient/Persistent=2039/449/0，Persistent总配额未触发；Full接受5个回环，但ATE较Frontend增加4.7%，如实保留。
Tunneling,Tunnel3,16.745984,,12.798001,3.624464,3.583877,GEODE官方 gamma2GT_leica.py + rmse.py；已用重新转换的 ROS2 bag 重跑四组，匹配477/478/476/474个 Leica 真值时刻。Frontend相对w-o Adaptive降低71.7%，相对FAST-LIO2降低78.4%；窗口统计为Normal/Transient/Persistent=2395/66/0，Persistent总配额未触发；Full接受6个回环，相对Frontend再降低1.1%。
Tunneling,Tunnel4,0.190870,,0.132156,0.141154,0.274373,GEODE官方 gamma2GT_leica.py + rmse.py；四种方法均匹配536/536个Leica真值时刻；稳定序列中w/o Adaptive优于FAST-LIO2，Frontend比w/o Adaptive增加6.8%，Full接受7个非退化回环且比Frontend增加94.4%；Frontend 101/2198帧为Transient，未进入Persistent
Tunneling,Tunnel5,1.262501,,11.637380,0.936151,1.028775,GEODE官方 gamma2GT_leica.py + rmse.py；FAST-LIO2/w-o/Frontend/Full匹配618/605/590/590个Leica真值时刻；Frontend相对w/o Adaptive降低92.0%，相对FAST-LIO2降低25.8%；Full接受4个非退化回环且比Frontend增加9.9%；Frontend 92/2228帧为Transient，未进入Persistent
Waterway,Medium,0.901565,,0.739028,0.794973,1.480319,GEODE官方 gamma2GT_gnss.py + rmse.py；FAST-LIO2使用统一参数（imu_init_time=4.0s、det_range=200m），匹配8346个时刻；Gamma轨迹先经官方 gamma2GT_gnss.py 转至Beta/GT坐标系；原始FAST-LIO2（0.1s、450m）RMSE=10.523233，仅作为参数敏感性记录；w/o Adaptive=0.739028，Frontend=0.794973，Full=1.480319；Full接受2个回环
Waterway,Short,0.340644,,0.238984,0.359884,0.378095,GEODE官方 gamma2GT_gnss.py + rmse.py；Gamma轨迹先经官方 gamma2GT_gnss.py 转至Beta/GT坐标系；四组均匹配4570个时刻；w/o Adaptive较FAST-LIO2降低29.8%，Frontend较w/o Adaptive增加50.6%，Full较Frontend增加5.1%；Full未接受回环
