time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1693023371.719699383,190,154,0.176757874,0.084205108,0.300000000,0.158011879,0.000920455,0,1,33300,5358,accepted
1693023373.521072626,192,153,0.097026382,nan,nan,nan,nan,0,0,0,5510,current_cooldown_reject
1693023374.214998722,193,152,0.162015480,nan,nan,nan,nan,0,0,0,5608,current_cooldown_reject
1693023374.920822620,194,152,0.149054051,nan,nan,nan,nan,0,0,0,5678,current_cooldown_reject
1693023376.020886898,195,151,0.126431292,nan,nan,nan,nan,0,0,0,5647,current_cooldown_reject
1693023377.010755539,196,150,0.149976086,nan,nan,nan,nan,0,0,0,5632,current_cooldown_reject
1693023377.921217203,197,149,0.139772478,nan,nan,nan,nan,0,0,0,5697,current_cooldown_reject
1693023378.824644566,198,149,0.165783778,nan,nan,nan,nan,0,0,0,5703,current_cooldown_reject
1693023493.114700079,766,622,0.154844529,nan,nan,nan,nan,0,0,6086,877,icp_not_converged
1693023493.218689680,767,622,0.167433229,nan,nan,nan,nan,0,0,6086,881,icp_not_converged
1693023493.411725283,768,623,0.166129859,nan,nan,nan,nan,0,0,6238,843,icp_not_converged
1693023493.515421391,769,623,0.147354180,nan,nan,nan,nan,0,0,6238,865,icp_not_converged
1693023495.112898827,779,740,0.152386507,239.971419606,0.300000000,nan,nan,0,0,5506,871,fitness_reject
1693023495.215257645,780,741,0.112320094,269.341602292,0.300000000,nan,nan,0,0,5422,916,fitness_reject
1693023495.314866543,781,741,0.146273178,281.250088335,0.300000000,nan,nan,0,0,5422,891,fitness_reject
1693023495.414496422,782,741,0.119983685,325.771802557,0.300000000,nan,nan,0,0,5422,869,fitness_reject
1693023495.914473534,785,746,0.143429494,489.220999307,0.300000000,nan,nan,0,0,5580,860,fitness_reject
1693023496.014054537,786,746,0.108983341,557.089887609,0.300000000,nan,nan,0,0,5580,887,fitness_reject
1693023496.214538336,787,748,0.134140686,618.260191555,0.300000000,nan,nan,0,0,5577,884,fitness_reject
1693023496.413060665,788,749,0.119140792,670.422552773,0.300000000,nan,nan,0,0,5474,886,fitness_reject
1693023497.124320269,794,754,0.173414246,451.355526875,0.300000000,nan,nan,0,0,5317,886,fitness_reject
1693023498.021284819,800,760,0.163592171,322.024458257,0.300000000,nan,nan,0,0,5314,918,fitness_reject
1693023498.223742247,801,741,0.167138028,nan,nan,nan,nan,0,0,5422,909,icp_not_converged
1693023498.524415016,803,744,0.140001919,nan,nan,nan,nan,0,0,5512,957,icp_not_converged
1693023498.714538336,804,744,0.154781306,nan,nan,nan,nan,0,0,5512,976,icp_not_converged
1693023499.012200117,806,746,0.159214209,nan,nan,nan,nan,0,0,5580,952,icp_not_converged
1693023499.114283562,807,748,0.145009049,nan,nan,nan,nan,0,0,5577,956,icp_not_converged
1693023499.217182875,808,768,0.167135581,646.539796933,0.300000000,nan,nan,0,0,5260,946,fitness_reject
1693023501.322613955,821,764,0.137069454,nan,nan,nan,nan,0,0,5352,954,icp_not_converged
1693023501.624029160,824,765,0.140006901,nan,nan,nan,nan,0,0,5275,927,icp_not_converged
1693023501.723549843,825,786,0.150614644,575.041046060,0.300000000,nan,nan,0,0,5106,929,fitness_reject
1693023501.913065910,826,787,0.146116046,609.574710287,0.300000000,nan,nan,0,0,5059,936,fitness_reject
1693023502.015640259,827,789,0.106200009,610.222214208,0.300000000,nan,nan,0,0,5135,930,fitness_reject
1693023503.616535664,838,762,0.172015404,nan,nan,nan,nan,0,0,5403,911,icp_not_converged
1693023503.913842678,841,765,0.157018963,nan,nan,nan,nan,0,0,5275,909,icp_not_converged
1693023504.123573542,843,765,0.175805412,nan,nan,nan,nan,0,0,5275,902,icp_not_converged
1693023504.325102568,844,806,0.145605353,391.450387339,0.300000000,nan,nan,0,0,5832,910,fitness_reject
1693023504.523937225,845,787,0.166121977,nan,nan,nan,nan,0,0,5059,944,icp_not_converged
1693023504.722836018,846,809,0.091081480,617.832454588,0.300000000,nan,nan,0,0,5978,931,fitness_reject
1693023504.823729515,847,810,0.105643238,623.559577345,0.300000000,nan,nan,0,0,5887,923,fitness_reject
1693023505.214305162,849,597,0.119832603,nan,nan,nan,nan,0,0,6316,923,icp_not_converged
1693023505.314259768,850,813,0.163691628,796.839876457,0.300000000,nan,nan,0,0,5802,895,fitness_reject
1693023506.223733902,856,781,0.063833716,nan,nan,nan,nan,0,0,4940,935,icp_not_converged
1693023506.422551394,857,781,0.088820746,nan,nan,nan,nan,0,0,4940,952,icp_not_converged
1693023506.823338270,860,621,0.122459727,nan,nan,nan,nan,0,0,6079,919,icp_not_converged
1693023506.924365759,861,621,0.082377825,nan,nan,nan,nan,0,0,6079,923,icp_not_converged
1693023507.123124838,862,807,0.078633159,nan,nan,nan,nan,0,0,5966,920,icp_not_converged
1693023507.222613096,863,808,0.118636809,nan,nan,nan,nan,0,0,5841,922,icp_not_converged
1693023507.317067862,864,808,0.108876742,nan,nan,nan,nan,0,0,5841,933,icp_not_converged
1693023507.416693211,865,828,0.152792725,686.051272301,0.300000000,nan,nan,0,0,5569,931,fitness_reject
1693023508.213381290,870,777,0.133764917,nan,nan,nan,nan,0,0,5111,958,icp_not_converged
1693023508.314667940,871,777,0.123188576,nan,nan,nan,nan,0,0,5111,967,icp_not_converged
1693023508.624161243,873,837,0.150842902,222.849725409,0.300000000,nan,nan,0,0,5518,976,fitness_reject
1693023508.723700523,874,781,0.122469750,nan,nan,nan,nan,0,0,4940,970,icp_not_converged
