frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1693023236.818260193,1693023236.919099569,1,0,0,0,0.001294359,-0.005314453,-0.002261477,-0.000020898,-0.000038393,0.000175421,0.999999984,5224,2996,0.573506891,0.017196223,0.002352074,0.002047973,0.269071946,48.240054935,0.000000000,0.269071946,0.000000000,0.000000000,0.000000000,48.240054935,0,2345,2297,48,0.448889740,251,0,0,0,0,2626,253,5538,2345,251,0,2626
2,1693023236.922733068,1693023237.022245407,1,0,0,0,-0.000551866,-0.003181365,-0.000663453,-0.000096210,-0.000228500,-0.000183928,0.999999952,5188,3113,0.600038551,0.022038191,0.007160127,0.005322727,0.273408363,48.794168681,0.000000000,0.271240155,0.123411248,0.003242266,0.000718656,48.517111808,0,1686,1665,21,0.324980725,252,0,0,0,0,3248,254,5810,4031,503,0,5874
3,1693023237.021732092,1693023237.121244431,1,0,0,0,-0.000952590,-0.000195986,-0.002186041,-0.000027990,-0.000151042,-0.000245505,0.999999958,5214,3208,0.615266590,0.022101215,0.005865767,0.004796568,0.295550441,44.868167968,0.000000000,0.279343583,0.112374706,0.006617372,0.000841845,47.300797195,0,1162,1151,11,0.222861527,248,0,0,0,0,3801,251,5985,5193,751,0,9675
4,1693023237.122550249,1693023237.223389626,1,0,0,0,-0.000262581,0.002183582,-0.002237944,0.000284064,0.000178947,-0.000149156,0.999999933,5286,3315,0.627128263,0.022041399,0.007350292,0.006156805,0.295820314,45.381386964,0.000000000,0.283462766,0.101051470,0.009095507,0.001034637,46.820944637,0,1069,1058,11,0.202232312,222,0,0,0,0,3994,223,6051,6262,973,0,13669
5,1693023237.222705603,1693023237.322217941,1,0,0,0,0.000903670,-0.001347674,-0.004098328,0.000099009,-0.000030882,-0.000200758,0.999999974,5221,3237,0.619996169,0.020141988,0.005920870,0.005111686,0.302190125,44.629163077,0.000000000,0.287208238,0.092002293,0.013253745,0.001137950,46.382588325,0,786,780,6,0.150545872,194,0,0,0,0,4238,197,6137,7048,1167,0,17907
6,1693023237.322483540,1693023237.421994925,1,0,0,0,0.001601681,-0.004169494,-0.004006185,0.000075569,-0.000061788,-0.000254849,0.999999963,5224,3304,0.632465544,0.021432101,0.005543415,0.004854916,0.297040159,44.369136895,0.000000000,0.288846891,0.084507774,0.016162075,0.001246134,46.047013087,0,788,783,5,0.150842266,190,0,0,0,0,4243,193,6241,7836,1357,0,22150
7,1693023237.417426109,1693023237.518265486,1,0,0,0,-0.001477607,-0.007534813,-0.002256311,-0.000029595,0.000035783,-0.000337711,0.999999942,5254,3345,0.636657785,0.022228161,0.006734108,0.005436829,0.292221785,45.687032284,0.000000000,0.289329019,0.080934522,0.021047711,0.001411851,45.995587258,0,757,752,5,0.144080700,212,0,0,0,0,4283,214,6323,8593,1569,0,26433
8,1693023237.519140005,1693023237.618652344,1,0,0,0,0.001019128,-0.008037638,-0.001601523,-0.000020868,0.000019362,0.000003482,1.000000000,5186,3327,0.641534902,0.021132559,0.005967824,0.005199544,0.305588927,43.383810204,0.000000000,0.291361507,0.075677882,0.023677400,0.002094238,45.669115126,0,549,539,10,0.105861936,178,0,0,0,0,4456,181,6373,9142,1747,0,30889
9,1693023237.618587494,1693023237.718099833,1,0,0,0,0.001506347,-0.005073798,0.000489790,0.000030555,0.000173106,0.000021220,0.999999984,5195,3349,0.644658325,0.020332228,0.007238124,0.005847566,0.288899924,44.545828969,0.000000000,0.291087998,0.072396811,0.027337362,0.002129727,45.544305553,0,533,531,2,0.102598653,143,0,0,0,0,4519,143,6401,9675,1890,0,35408
10,1693023237.716791868,1693023237.817624331,1,0,0,0,0.000875162,-0.004834420,0.000158622,-0.000010251,-0.000103150,-0.000033204,0.999999994,5252,3393,0.646039604,0.019564699,0.006560864,0.005194974,0.295758337,44.935065106,0.000000000,0.291555032,0.072007442,0.028089272,0.002238585,45.483381508,0,524,518,6,0.099771516,160,0,0,0,0,4567,161,6468,10199,2050,0,39975
