frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1693023236.818260193,1693023236.919099569,1,0,0,0,0.001294359,-0.005314453,-0.002261477,-0.000020898,-0.000038393,0.000175421,0.999999984,5224,2996,0.573506891,0.017196223,0.002352074,0.002047973,0.269071946,48.240054935,0.000000000,0.269071946,0.000000000,0.000000000,0.000000000,48.240054935,0,2345,2297,48,0.448889740,251,0,0,0,0,2626,253,5538,2345,251,0,2626
2,1693023236.922733068,1693023237.022245407,1,0,0,0,-0.000545243,-0.003201476,-0.000661649,-0.000096263,-0.000228485,-0.000182130,0.999999953,5188,3112,0.599845798,0.022042483,0.007179932,0.005337274,0.273547422,48.793439109,0.000000000,0.271309684,0.123507135,0.003226183,0.000715060,48.516747022,0,1687,1666,21,0.325173477,252,0,0,0,0,3247,254,5810,4032,503,0,5873
3,1693023237.021732092,1693023237.121244431,1,0,0,0,-0.002374318,0.000844604,-0.002086804,-0.000034346,-0.000185281,-0.000454377,0.999999879,5216,3211,0.615605828,0.022255170,0.006139271,0.005013592,0.294322315,45.056916073,0.000000000,0.278980561,0.113976898,0.007889588,0.001259584,47.363470039,0,1208,1197,11,0.231595092,245,0,0,0,0,3759,249,5981,5240,748,0,9632
4,1693023237.122550249,1693023237.223389626,1,0,0,0,-0.001885948,0.002936066,-0.001644870,0.000325306,0.000291071,-0.000319217,0.999999854,5272,3302,0.626327769,0.023446658,0.008913911,0.006916940,0.295903895,45.121244712,0.000000000,0.283211395,0.112666318,0.010082308,0.001530079,46.802913707,0,1056,1045,11,0.200303490,224,0,0,0,0,3992,224,6060,6296,972,0,13624
5,1693023237.222705603,1693023237.322217941,1,0,0,0,-0.001223708,-0.000022525,-0.002838570,0.000152055,0.000055927,-0.000287653,0.999999946,5219,3229,0.618700901,0.021096854,0.007522036,0.006244392,0.305293881,43.690594037,0.000000000,0.287627892,0.100936932,0.013340643,0.001593035,46.180449773,0,809,802,7,0.155010538,190,0,0,0,0,4217,193,6148,7105,1162,0,17841
6,1693023237.322483540,1693023237.421994925,1,0,0,0,0.000250284,-0.002751407,-0.001655984,0.000021254,-0.000062490,-0.000294592,0.999999954,5230,3285,0.628107075,0.022036262,0.006822257,0.005725330,0.310891063,42.849293786,0.000000000,0.291505087,0.092682640,0.016659974,0.001606933,45.625257109,0,764,759,5,0.146080306,184,0,0,0,0,4279,187,6246,7869,1346,0,22120
7,1693023237.417426109,1693023237.518265486,1,0,0,0,-0.000505503,-0.006759050,0.000101199,-0.000100653,0.000037247,-0.000333721,0.999999939,5250,3321,0.632571429,0.023138233,0.007612150,0.006219918,0.308553030,43.552153269,0.000000000,0.293940507,0.089624950,0.021100707,0.001685196,45.329099417,0,700,696,4,0.133333333,200,0,0,0,0,4348,202,6330,8569,1546,0,26468
8,1693023237.519140005,1693023237.618652344,1,0,0,0,0.001310975,-0.008718489,0.000629301,-0.000099484,0.000011265,-0.000030731,0.999999995,5189,3308,0.637502409,0.021479578,0.006363294,0.005312643,0.313516987,42.883649396,0.000000000,0.296387567,0.083916609,0.023824286,0.002291182,45.023418165,0,576,567,9,0.111004047,188,0,0,0,0,4422,191,6390,9145,1734,0,30890
9,1693023237.618587494,1693023237.718099833,1,0,0,0,0.001720561,-0.007397717,0.002688326,-0.000045994,0.000155049,-0.000001644,0.999999987,5192,3319,0.639252696,0.020617104,0.007565067,0.006119091,0.298205307,43.400601837,0.000000000,0.296589538,0.080769059,0.026304565,0.002349345,44.843105239,0,538,536,2,0.103620955,155,0,0,0,0,4499,155,6425,9683,1889,0,35389
10,1693023237.716791868,1693023237.817624331,1,0,0,0,0.001180623,-0.006780153,0.002933800,-0.000074564,-0.000114249,-0.000049939,0.999999989,5253,3380,0.643441843,0.020118543,0.007196178,0.005621470,0.297872935,44.674240862,0.000000000,0.296717878,0.079447442,0.027160822,0.002445905,44.826218802,0,512,506,6,0.097468113,165,0,0,0,0,4574,167,6489,10195,2054,0,39963
