frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706080520.841805935,-0.347737420,-0.157661310,1.233606237,0.009530368,0.005568699,-0.000570075,0.999938916,0,0.000000000,0,0.000000000
2,1706080520.944506407,-0.029134053,0.036262422,1.121510029,0.002191693,0.004295520,0.001085061,0.999987784,712,1706080520.841805935,0,0.000000000
3,1706080521.043147087,-0.039357863,-0.148708594,1.424548881,0.000481948,0.006573594,0.001521091,0.999977121,755,1706080520.944506407,755,1706080521.043147087
4,1706080521.141751289,-0.101175859,-0.280987253,2.130385949,-0.000150188,0.009490407,0.002911234,0.999950716,728,1706080521.043147087,755,1706080521.043147087
5,1706080521.240401745,-0.084655628,-0.374914777,1.993973419,-0.003806312,0.008037415,0.004029320,0.999952337,751,1706080521.141751289,755,1706080521.043147087
6,1706080521.345143795,-0.095805021,-0.512008311,2.247812670,-0.005341543,0.009978688,0.005346760,0.999921650,752,1706080521.240401745,755,1706080521.043147087
7,1706080521.444973707,-0.065100039,-0.534848874,2.101132460,-0.006613342,0.009121353,0.005911189,0.999919058,707,1706080521.345143795,755,1706080521.043147087
8,1706080521.544816256,-0.043085134,-0.479010131,2.350306150,-0.001645504,0.010587937,0.006920106,0.999918647,754,1706080521.444973707,755,1706080521.043147087
9,1706080521.644251108,-0.051165274,-0.485915699,2.715298570,-0.005811753,0.011321314,0.007320154,0.999892228,693,1706080521.544816256,755,1706080521.043147087
10,1706080521.743350983,-0.070159591,-0.517086856,2.779582812,-0.004774148,0.011870519,0.008165125,0.999884808,622,1706080521.644251108,755,1706080521.043147087
11,1706080521.844841719,-0.102778279,-0.450684944,2.802958097,-0.003805346,0.012319225,0.008720654,0.999878846,632,1706080521.743350983,755,1706080521.043147087
12,1706080521.943651199,-0.116887694,-0.437996280,2.717647926,-0.004188227,0.011783333,0.009534439,0.999876345,664,1706080521.844841719,755,1706080521.043147087
13,1706080522.042573929,-0.096616422,-0.469360612,2.615318126,-0.005885490,0.010636262,0.010518198,0.999870791,700,1706080521.943651199,1455,1706080522.042573929
14,1706080522.145434618,-0.083494554,-0.387616912,2.544056216,-0.001918402,0.010547919,0.011035998,0.999881627,674,1706080522.042573929,1455,1706080522.042573929
15,1706080522.244150400,-0.062759740,-0.361697995,2.450876260,-0.004295256,0.010725301,0.011914278,0.999862275,711,1706080522.145434618,1455,1706080522.042573929
16,1706080522.342797279,-0.023944789,-0.293712326,2.348199380,-0.003250778,0.010704624,0.012763873,0.999855953,681,1706080522.244150400,1455,1706080522.042573929
17,1706080522.441410065,-0.008543102,-0.294189054,2.352895545,-0.003014902,0.010779670,0.013451724,0.999846868,698,1706080522.342797279,1455,1706080522.042573929
18,1706080522.540051937,0.018071906,-0.307385582,2.333765322,-0.002921037,0.011138917,0.014277989,0.999831751,691,1706080522.441410065,1455,1706080522.042573929
19,1706080522.645422220,0.026223539,-0.296802830,2.388564037,-0.002462845,0.012036782,0.015031759,0.999811530,684,1706080522.540051937,1455,1706080522.042573929
20,1706080522.745183706,0.029165530,-0.292180062,2.505321856,-0.001526633,0.012891949,0.015786817,0.999791100,712,1706080522.645422220,1455,1706080522.042573929
21,1706080522.845100403,0.039695073,-0.276782187,2.521998029,-0.001677777,0.012343469,0.016246626,0.999790414,715,1706080522.745183706,1455,1706080522.042573929
22,1706080522.944437265,0.067563618,-0.273372583,2.461280289,-0.002157850,0.012431437,0.016878015,0.999777943,662,1706080522.845100403,1455,1706080522.042573929
23,1706080523.043548346,0.076010885,-0.307058395,2.471833920,-0.002284704,0.012869875,0.017623139,0.999759257,669,1706080522.944437265,2124,1706080523.043548346
24,1706080523.144795656,0.083822057,-0.290081370,2.458428991,-0.001602785,0.012268078,0.018068931,0.999760191,670,1706080523.043548346,2124,1706080523.043548346
25,1706080523.243827820,0.094798421,-0.271867037,2.369413758,-0.002046620,0.011928477,0.018620158,0.999753376,696,1706080523.144795656,2124,1706080523.043548346
26,1706080523.342531919,0.107031684,-0.259679140,2.366580995,-0.001583060,0.011704541,0.018986355,0.999749977,670,1706080523.243827820,2124,1706080523.043548346
27,1706080523.444918156,0.120039914,-0.236356338,2.392539517,-0.001061162,0.012227080,0.019369704,0.999737059,660,1706080523.342531919,2124,1706080523.043548346
28,1706080523.543826103,0.130755260,-0.234249201,2.312809082,-0.001323791,0.011178687,0.020037024,0.999735866,648,1706080523.444918156,2124,1706080523.043548346
29,1706080523.642457724,0.141974029,-0.211557377,2.399401693,-0.000576856,0.011390520,0.020466085,0.999725494,658,1706080523.543826103,2124,1706080523.043548346
30,1706080523.741091967,0.154872533,-0.197656697,2.372165773,0.000254923,0.010854491,0.021016302,0.999720176,650,1706080523.642457724,2124,1706080523.043548346
31,1706080523.839690924,0.179140945,-0.177980449,2.402009920,0.000830867,0.011264003,0.021580555,0.999703312,652,1706080523.741091967,2124,1706080523.043548346
32,1706080523.944945335,0.179931099,-0.209657176,2.385812751,0.000046614,0.011195487,0.022301362,0.999688606,693,1706080523.839690924,2124,1706080523.043548346
33,1706080524.043728828,0.183020963,-0.227238596,2.270323358,-0.000619464,0.010745639,0.022748624,0.999683274,723,1706080523.944945335,2847,1706080524.043728828
34,1706080524.145431519,0.204601196,-0.251641167,2.225971062,-0.001133025,0.010668585,0.023517618,0.999665854,678,1706080524.043728828,2847,1706080524.043728828
