frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706080520.841805935,-0.347737420,-0.157661310,1.233606237,0.009530368,0.005568699,-0.000570075,0.999938916,0,0.000000000,0,0.000000000
2,1706080520.944506407,-0.035694696,0.067607735,1.508874866,0.003440100,0.005809613,0.000977335,0.999976729,712,1706080520.841805935,0,0.000000000
3,1706080521.043147087,0.005816105,-0.078902726,1.574827682,0.000297898,0.006974374,0.001637842,0.999974293,755,1706080520.944506407,755,1706080521.043147087
4,1706080521.141751289,-0.046295488,-0.195615148,2.671651831,0.000882946,0.011237255,0.002805119,0.999932536,728,1706080521.043147087,755,1706080521.043147087
5,1706080521.240401745,-0.045235739,-0.301634192,2.488455278,-0.003470174,0.009999133,0.004085554,0.999935640,751,1706080521.141751289,755,1706080521.043147087
6,1706080521.345143795,-0.026251232,-0.404961745,2.665888551,-0.005936433,0.011329646,0.005320479,0.999904041,752,1706080521.240401745,755,1706080521.043147087
7,1706080521.444973707,0.030728847,-0.419581231,2.436522113,-0.005899413,0.010053684,0.005955371,0.999914323,707,1706080521.345143795,755,1706080521.043147087
8,1706080521.544816256,0.044627610,-0.384986822,2.926739286,-0.003558793,0.013058556,0.007053325,0.999883523,754,1706080521.444973707,755,1706080521.043147087
9,1706080521.644251108,0.042723284,-0.393455237,3.130354512,-0.006715972,0.012317648,0.007357404,0.999874512,693,1706080521.544816256,755,1706080521.043147087
10,1706080521.743350983,0.030841850,-0.444236726,3.422916342,-0.008627598,0.014379164,0.008457646,0.999823621,622,1706080521.644251108,755,1706080521.043147087
11,1706080521.844841719,-0.017134675,-0.445298769,3.196453859,-0.006264074,0.013144509,0.008909973,0.999854287,632,1706080521.743350983,755,1706080521.043147087
12,1706080521.943651199,-0.040836337,-0.470893095,3.216942020,-0.006367596,0.013698600,0.010119762,0.999834683,664,1706080521.844841719,755,1706080521.043147087
13,1706080522.042573929,-0.013502165,-0.433093354,3.202404532,-0.007918915,0.013108331,0.010810209,0.999824285,700,1706080521.943651199,1455,1706080522.042573929
14,1706080522.145434618,-0.032316094,-0.479780843,3.311125204,-0.005583887,0.013612599,0.011751855,0.999822690,674,1706080522.042573929,1455,1706080522.042573929
15,1706080522.244150400,-0.026234940,-0.422411630,3.076508851,-0.006177382,0.012936115,0.012274896,0.999821896,711,1706080522.145434618,1455,1706080522.042573929
16,1706080522.342797279,-0.005987752,-0.389238469,2.979782819,-0.005485565,0.013099938,0.013182467,0.999812244,681,1706080522.244150400,1455,1706080522.042573929
17,1706080522.441410065,0.027195760,-0.356003825,3.074129288,-0.004909516,0.013800676,0.013954883,0.999795329,698,1706080522.342797279,1455,1706080522.042573929
18,1706080522.540051937,0.081312434,-0.286795325,3.013600098,-0.004010101,0.013673195,0.014553324,0.999792560,691,1706080522.441410065,1455,1706080522.042573929
19,1706080522.645422220,0.094215428,-0.262122683,2.952485734,-0.003693423,0.013981445,0.015227071,0.999779483,684,1706080522.540051937,1455,1706080522.042573929
20,1706080522.745183706,0.091432321,-0.282693648,2.986532069,-0.003195686,0.014287914,0.016025474,0.999764386,712,1706080522.645422220,1455,1706080522.042573929
21,1706080522.845100403,0.105170003,-0.240250587,3.036881916,-0.002735910,0.014571741,0.016614417,0.999752039,715,1706080522.745183706,1455,1706080522.042573929
22,1706080522.944437265,0.112790002,-0.237145005,2.980003045,-0.003598900,0.014391087,0.016994505,0.999745533,662,1706080522.845100403,1455,1706080522.042573929
23,1706080523.043548346,0.117362081,-0.276991140,3.052309198,-0.003308333,0.015557257,0.017962844,0.999712140,669,1706080522.944437265,2124,1706080523.043548346
24,1706080523.144795656,0.143841555,-0.221691726,3.040946695,-0.002425622,0.014558879,0.018248176,0.999724542,670,1706080523.043548346,2124,1706080523.043548346
25,1706080523.243827820,0.154961425,-0.211885601,2.932884847,-0.001967785,0.013999398,0.018811231,0.999723103,696,1706080523.144795656,2124,1706080523.043548346
26,1706080523.342531919,0.166596282,-0.206067128,2.872135854,-0.002309268,0.013805437,0.019238136,0.999716946,670,1706080523.243827820,2124,1706080523.043548346
27,1706080523.444918156,0.173142660,-0.184743854,2.906028802,-0.001916598,0.014274493,0.019466757,0.999706762,660,1706080523.342531919,2124,1706080523.043548346
28,1706080523.543826103,0.185303632,-0.231989699,2.930963203,-0.003468457,0.013772399,0.020323866,0.999692568,648,1706080523.444918156,2124,1706080523.043548346
29,1706080523.642457724,0.200530013,-0.242642393,2.957862559,-0.002541045,0.013470466,0.020855273,0.999688525,658,1706080523.543826103,2124,1706080523.043548346
30,1706080523.741091967,0.231985451,-0.263245756,2.867540422,-0.003316338,0.012663002,0.021652310,0.999679863,650,1706080523.642457724,2124,1706080523.043548346
31,1706080523.839690924,0.244286039,-0.275224717,2.866206189,-0.002871176,0.013110675,0.022113051,0.999665384,652,1706080523.741091967,2124,1706080523.043548346
32,1706080523.944945335,0.247597735,-0.293475905,2.860916833,-0.002694170,0.012866132,0.022851391,0.999652449,693,1706080523.839690924,2124,1706080523.043548346
33,1706080524.043728828,0.252510877,-0.266651057,2.868243552,-0.001790788,0.012930906,0.023265262,0.999644093,723,1706080523.944945335,2847,1706080524.043728828
