frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706080524.444966793,1706080524.543534517,1,1,1,0,-0.089060194,-0.433120955,-1.524729876,-0.007537888,-0.004219028,0.001240200,0.999961920,627,154,0.245614035,0.147834590,0.063686026,0.042746367,0.075353780,2765.299279675,1.000000000,0.075353780,0.000000000,0.000000000,0.000000000,2765.299279675,1,92,46,46,0.146730463,54,116,45,50,292,17,518,752,92,462,45,17
2,1706080524.545605183,1706080524.642525911,1,1,1,0,-0.036855602,-0.598262161,0.181960983,-0.012245733,0.000723951,0.002218321,0.999922295,629,168,0.267090620,0.093061974,0.060682448,0.035890087,0.052841296,2003.477914784,1.000000000,0.064097538,0.227369849,1.715456390,0.001874581,2384.388597229,2,99,72,27,0.157392687,37,139,36,50,232,76,454,834,191,870,81,93
3,1706080524.645445824,1706080524.744852781,1,1,1,0,0.023477098,-0.515801954,0.651696506,-0.008571225,-0.000103640,0.001718572,0.999961784,629,172,0.273449921,0.118578294,0.072586837,0.046130381,0.057957178,3324.461110081,1.000000000,0.062050751,0.186757393,2.196175832,0.002854371,2697.746101513,3,94,51,43,0.149443561,59,118,46,50,273,30,505,920,285,1320,127,123
4,1706080524.745288372,1706080524.843471766,1,0,1,0,0.075137873,-0.532806352,0.255962482,-0.013330671,0.000298274,0.002804269,0.999907166,600,228,0.380000000,0.088954935,0.051224642,0.036331096,0.031066422,3246.443663301,0.750000000,0.054304669,0.210002847,2.595629713,0.005015671,2834.920491960,0,474,305,169,0.790000000,58,0,0,0,0,56,70,1353,759,1378,127,179
5,1706080524.845104694,1706080524.942096949,1,1,1,0,0.151240257,-0.647753632,-1.895033641,-0.016216897,-0.007066618,0.003219508,0.999838342,573,184,0.321116928,0.107201368,0.064126098,0.040991256,0.034369159,3310.355439500,0.800000000,0.050317567,0.190311871,4.751038903,0.006083454,2930.007481468,1,101,74,27,0.176265271,48,155,51,50,162,49,423,1439,860,1743,178,228
6,1706080524.945328951,1706080525.040713549,1,0,0,0,0.159187763,-0.563621905,-2.022230666,-0.012499317,-0.006508223,0.003069196,0.999895990,684,261,0.381578947,0.105666737,0.070544634,0.042851592,0.055096718,3703.598093379,0.666666667,0.051114092,0.176134515,4.903749064,0.006450314,3058.939250120,0,508,330,178,0.742690058,72,0,0,0,0,80,96,1912,1368,1815,178,308
7,1706080525.045166254,1706080525.139326334,1,0,0,0,0.136339645,-0.410404973,-1.406808787,-0.010100850,-0.003995285,0.003126023,0.999936117,659,242,0.367223065,0.112880272,0.058286533,0.037861423,0.047136742,3557.448806984,0.571428571,0.050545899,0.162726190,5.538368283,0.006481894,3130.154901101,0,510,370,140,0.773899848,63,0,0,0,0,64,85,2370,1878,1878,178,372
8,1706080525.145003319,1706080525.244791746,1,0,0,0,0.222274823,-0.503598406,-2.231334089,-0.018500375,-0.008091349,0.003769402,0.999789007,677,301,0.444608567,0.095141434,0.051429703,0.036343264,0.042771717,2892.037523610,0.500000000,0.049574126,0.161906207,6.372581593,0.007986983,3100.390228914,0,500,405,95,0.738552437,73,0,0,0,0,89,88,2796,2378,1951,178,461
9,1706080525.245640278,1706080525.343182564,1,0,0,0,0.205892885,-0.537052861,-1.914080651,-0.019533324,-0.005873743,0.003819787,0.999784656,624,257,0.411858974,0.098167190,0.055116643,0.037490029,0.058214062,2112.507665551,0.444444444,0.050534119,0.157325366,6.692014390,0.008017303,2990.625499652,0,436,367,69,0.698717949,65,0,0,0,0,112,76,3154,2814,2016,178,573
10,1706080525.345480919,1706080525.445306063,1,0,0,0,0.217924162,-0.567618767,-1.609290890,-0.022519906,-0.004798342,0.004366609,0.999725344,674,324,0.480712166,0.104910936,0.064684594,0.039190467,0.047137951,1918.960561313,0.400000000,0.050194502,0.149787093,6.998569156,0.009096746,2883.459005818,0,457,369,88,0.678041543,87,0,0,0,0,123,94,3525,3271,2103,178,696
