frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706080524.444966793,1706080524.543534517,0,0,0,0,-0.089060194,-0.433120955,-1.524729876,-0.007537888,-0.004219028,0.001240200,0.999961920,627,154,0.000000000,0.147834590,0.063686026,0.042746367,0.000000000,2765.299279675,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,610,343,267,0.972886762,0,0,0,0,0,17,0,1250,610,0,0,17
2,1706080524.545605183,1706080524.642525911,0,0,0,0,0.077379043,0.051399987,-1.525265234,0.000255221,-0.005553206,0.000567255,0.999984387,629,231,0.000000000,0.108007306,0.052675943,0.037469255,0.000000000,2171.008281020,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,571,432,139,0.907790143,0,0,0,0,0,58,0,1770,1181,0,0,75
3,1706080524.645445824,1706080524.744852781,0,0,0,0,-0.075082441,-0.255258676,-0.768775000,-0.007217269,-0.001356922,0.001892735,0.999971243,633,229,0.000000000,0.088857941,0.052673607,0.032694596,0.000000000,2360.231912561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,544,400,144,0.859399684,0,0,0,0,0,89,0,2241,1725,0,0,164
4,1706080524.745288372,1706080524.843471766,0,0,0,0,-0.027344009,-0.243416587,-0.787849103,-0.003775779,-0.002789168,0.001768933,0.999987417,595,252,0.000000000,0.076721609,0.045890027,0.032210661,0.000000000,3401.631160880,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,493,413,80,0.828571429,0,0,0,0,0,102,0,2647,2218,0,0,266
5,1706080524.845104694,1706080524.942096949,0,0,0,0,-0.006025438,-0.360656953,-0.486491246,-0.007097055,-0.001207941,0.002217930,0.999971626,571,218,0.000000000,0.090027577,0.054089755,0.035443576,0.000000000,2453.912969807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,488,396,92,0.854640981,0,0,0,0,0,83,0,3057,2706,0,0,349
6,1706080524.945328951,1706080525.040713549,0,0,0,0,-0.068675839,-0.487043572,0.335236204,-0.006973892,0.002061506,0.002572660,0.999970248,681,304,0.000000000,0.097547056,0.058672135,0.040310736,0.000000000,2692.554507927,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,554,432,122,0.813509545,0,0,0,0,0,127,0,3522,3260,0,0,476
7,1706080525.045166254,1706080525.139326334,0,0,0,0,-0.074720153,-0.475650727,0.458030313,-0.005344277,0.001697841,0.002693556,0.999980650,657,248,0.000000000,0.072478897,0.043624606,0.030265359,0.000000000,1902.968609333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,529,416,113,0.805175038,0,0,0,0,0,128,0,3961,3789,0,0,604
8,1706080525.145003319,1706080525.244791746,0,0,0,0,-0.058052097,-0.507964207,0.436452342,-0.009545605,0.001493819,0.003112138,0.999948481,682,324,0.000000000,0.081390535,0.052879058,0.033624154,0.000000000,1998.566651232,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,530,431,99,0.777126100,0,0,0,0,0,152,0,4371,4319,0,0,756
9,1706080525.245640278,1706080525.343182564,0,0,0,0,-0.050073904,-0.437643397,0.680470221,-0.006172073,0.003305240,0.003238947,0.999970245,631,271,0.000000000,0.085265043,0.051958910,0.034615655,0.000000000,1474.473550764,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,474,419,55,0.751188590,0,0,0,0,0,157,0,4746,4793,0,0,913
10,1706080525.345480919,1706080525.445306063,0,0,0,0,-0.030254168,-0.385753426,0.675574168,-0.009938360,0.003078214,0.003240130,0.999940626,674,341,0.000000000,0.075064546,0.049849566,0.031343635,0.000000000,1595.533085770,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,491,455,36,0.728486647,0,0,0,0,0,183,0,5117,5284,0,0,1096
11,1706080525.445318937,1706080525.544862032,0,0,0,0,-0.013565972,-0.323926527,0.668373566,-0.008479948,0.003022882,0.003881261,0.999951943,693,339,0.000000000,0.082964005,0.051873143,0.033496547,0.000000000,1506.872237023,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,512,469,43,0.738816739,0,0,0,0,0,181,0,5485,5796,0,0,1277
12,1706080525.545148373,1706080525.643826246,0,0,0,0,0.022002606,-0.258350449,0.618280846,-0.009948828,0.002670363,0.004084946,0.999938600,679,345,0.000000000,0.075621064,0.047663919,0.033585165,0.000000000,1496.513386538,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,446,400,46,0.656848306,0,0,0,0,0,233,0,5820,6242,0,0,1510
13,1706080525.644987822,1706080525.744665146,0,0,0,0,0.032744397,-0.282586208,0.622509045,-0.013801527,0.003421574,0.004554266,0.999888528,668,341,0.000000000,0.070062405,0.043788623,0.028861590,0.000000000,2205.400172988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,443,407,36,0.663173653,0,0,0,0,0,225,0,6135,6685,0,0,1735
14,1706080525.745627165,1706080525.843574047,0,0,0,0,0.038642690,-0.270852981,0.542755962,-0.014462087,0.002787432,0.004954872,0.999879256,658,360,0.000000000,0.072743414,0.049234007,0.032822720,0.000000000,1609.714651318,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,422,400,22,0.641337386,0,0,0,0,0,236,0,6414,7107,0,0,1971
15,1706080525.845469713,1706080525.942384243,0,0,0,0,0.070030739,-0.207494720,0.525444100,-0.013695813,0.002427980,0.005346521,0.999888966,627,311,0.000000000,0.069354970,0.050431253,0.030212338,0.000000000,1739.423244729,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,398,384,14,0.634768740,0,0,0,0,0,229,0,6675,7505,0,0,2200
16,1706080525.945317745,1706080526.044524908,0,0,0,0,0.071477931,-0.220070011,0.477673603,-0.015208977,0.002219720,0.005730266,0.999865453,634,350,0.000000000,0.066063071,0.042344343,0.028466997,0.000000000,2073.458774508,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,377,354,23,0.594637224,0,0,0,0,0,257,0,6913,7882,0,0,2457
