frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706079742.903456211,0.015049484,-0.391429062,-0.219232590,-0.005761847,0.001508591,0.001590058,0.999980998,0,0.000000000,0,0.000000000
2,1706079743.000989676,0.116159002,-0.135407483,0.440573009,-0.003760803,0.001463996,-0.000063072,0.999991855,454,1706079742.903456211,454,1706079743.000989676
3,1706079743.101941109,0.203877779,-0.099569589,0.668703715,-0.002386700,0.000667062,0.000284040,0.999996889,449,1706079743.000989676,454,1706079743.000989676
4,1706079743.204445362,0.175949446,-0.131502519,0.670527528,-0.000996707,0.002842081,-0.000346883,0.999995404,456,1706079743.101941109,454,1706079743.000989676
5,1706079743.300012112,0.244572124,-0.129822153,0.311970423,-0.001480605,0.001504811,-0.001011584,0.999997260,449,1706079743.204445362,454,1706079743.000989676
6,1706079743.401348114,0.241418992,-0.160082483,0.510457592,-0.000765459,0.005241199,-0.001122594,0.999985342,409,1706079743.300012112,454,1706079743.000989676
7,1706079743.498363256,0.244782285,-0.114992059,0.710449222,0.000119121,0.005813817,-0.002090258,0.999980908,412,1706079743.401348114,454,1706079743.000989676
8,1706079743.598696947,0.321599149,-0.087066227,0.663457727,0.001303080,0.006224386,-0.002568516,0.999976481,369,1706079743.498363256,454,1706079743.000989676
9,1706079743.704269409,0.315225741,-0.100496076,0.918438183,0.000098506,0.008334508,-0.003063737,0.999960569,444,1706079743.598696947,454,1706079743.000989676
10,1706079743.802858829,0.366652247,-0.099477029,0.881162284,0.000174189,0.007483902,-0.003704866,0.999965117,476,1706079743.704269409,454,1706079743.000989676
11,1706079743.904941082,0.396487586,-0.121016129,0.731790149,-0.000216088,0.005716214,-0.004025560,0.999975536,436,1706079743.802858829,454,1706079743.000989676
12,1706079744.004113674,0.453351839,-0.115487121,0.708516580,-0.000970792,0.005736000,-0.004611442,0.999972445,447,1706079743.904941082,901,1706079744.004113674
13,1706079744.103082895,0.517007737,-0.120597574,0.718654077,-0.001046316,0.005132723,-0.005098423,0.999973283,417,1706079744.004113674,901,1706079744.004113674
14,1706079744.202021837,0.537438383,-0.146110457,0.716756938,-0.002321832,0.005028567,-0.005441688,0.999969855,467,1706079744.103082895,901,1706079744.004113674
15,1706079744.303092241,0.579791948,-0.134298641,0.669643023,-0.001329026,0.004274335,-0.005743316,0.999973489,454,1706079744.202021837,901,1706079744.004113674
16,1706079744.405416012,0.626528904,-0.132978752,0.636612715,-0.002842230,0.003514894,-0.006028223,0.999971613,460,1706079744.303092241,901,1706079744.004113674
17,1706079744.504006147,0.669617161,-0.116091270,0.644343397,-0.001680612,0.003073833,-0.006222151,0.999974506,454,1706079744.405416012,901,1706079744.004113674
18,1706079744.602690697,0.693635249,-0.121761459,0.663767932,-0.001676851,0.003383799,-0.006401937,0.999972376,446,1706079744.504006147,901,1706079744.004113674
19,1706079744.701283693,0.728451133,-0.117633772,0.654142653,-0.000650876,0.003189706,-0.006628426,0.999972733,433,1706079744.602690697,901,1706079744.004113674
20,1706079744.798442125,0.778196436,-0.114609089,0.607179580,-0.002521837,0.003184734,-0.007278735,0.999965258,405,1706079744.701283693,901,1706079744.004113674
21,1706079744.905259609,0.787973289,-0.126887627,0.630318011,-0.000434220,0.003655679,-0.007607994,0.999964282,462,1706079744.798442125,901,1706079744.004113674
22,1706079745.003866911,0.829145892,-0.128298912,0.588570990,-0.000285665,0.003435299,-0.008235594,0.999960145,472,1706079744.905259609,1373,1706079745.003866911
23,1706079745.105058670,0.899887495,-0.106461039,0.517861132,0.000618252,0.003765512,-0.008943435,0.999952726,470,1706079745.003866911,1373,1706079745.003866911
24,1706079745.204959631,0.944008000,-0.112315845,0.530955690,-0.000380730,0.003984853,-0.009659407,0.999945334,474,1706079745.105058670,1373,1706079745.003866911
25,1706079745.304175854,0.965698038,-0.117680831,0.552718463,-0.000219443,0.004377383,-0.010528101,0.999934973,501,1706079745.204959631,1373,1706079745.003866911
26,1706079745.403076887,0.987621248,-0.132410866,0.584032724,0.000428638,0.004140280,-0.011091922,0.999929819,469,1706079745.304175854,1373,1706079745.003866911
27,1706079745.504159927,1.033526140,-0.144141216,0.565248605,-0.000103286,0.003198772,-0.011747923,0.999925869,470,1706079745.403076887,1373,1706079745.003866911
28,1706079745.603169203,1.071573313,-0.139195729,0.508026821,0.001791530,0.002365936,-0.012242709,0.999920651,490,1706079745.504159927,1373,1706079745.003866911
29,1706079745.704904556,1.095869273,-0.145221666,0.510092350,0.000179254,0.002488951,-0.012850059,0.999914321,467,1706079745.603169203,1373,1706079745.003866911
30,1706079745.803641796,1.132155330,-0.136906641,0.553210777,0.000523877,0.002883696,-0.013258230,0.999907810,467,1706079745.704904556,1373,1706079745.003866911
31,1706079745.902332783,1.163613690,-0.130312584,0.578250022,0.000422158,0.002554670,-0.013730982,0.999902373,427,1706079745.803641796,1373,1706079745.003866911
32,1706079746.000477314,1.207166131,-0.135226104,0.567804503,-0.000330751,0.002574979,-0.013962195,0.999899154,430,1706079745.902332783,1373,1706079745.003866911
33,1706079746.099386215,1.242124830,-0.136685398,0.609839920,0.000628840,0.002638257,-0.014427826,0.999892235,473,1706079746.000477314,1846,1706079746.000477314
34,1706079746.204853535,1.269927773,-0.128103452,0.587474440,0.000678622,0.002641053,-0.015205203,0.999880676,452,1706079746.099386215,1846,1706079746.000477314
35,1706079746.303409576,1.304956902,-0.137156210,0.555086095,0.000249561,0.002267552,-0.015903687,0.999870926,518,1706079746.204853535,1846,1706079746.000477314
36,1706079746.405461311,1.354549531,-0.130934130,0.561765716,0.001562747,0.002184959,-0.016441093,0.999861227,462,1706079746.303409576,1846,1706079746.000477314
37,1706079746.505252361,1.399247267,-0.133436229,0.544295603,0.001723860,0.002494043,-0.017346279,0.999844945,482,1706079746.405461311,1846,1706079746.000477314
38,1706079746.604141712,1.425716892,-0.141736579,0.568105343,0.001375089,0.003162098,-0.018113222,0.999829996,529,1706079746.505252361,1846,1706079746.000477314
39,1706079746.702906847,1.456718927,-0.148141439,0.550140390,0.000465871,0.003378913,-0.019055988,0.999812600,479,1706079746.604141712,1846,1706079746.000477314
40,1706079746.804521799,1.493824033,-0.150066358,0.451243093,-0.000139403,0.003387520,-0.019796292,0.999798286,495,1706079746.702906847,1846,1706079746.000477314
41,1706079746.903222561,1.535492814,-0.146360820,0.426160236,0.000744223,0.002847184,-0.020482277,0.999785885,504,1706079746.804521799,1846,1706079746.000477314
42,1706079747.004744291,1.558175198,-0.157258372,0.453007219,0.000570025,0.003073248,-0.021019062,0.999774189,462,1706079746.903222561,1846,1706079746.000477314
43,1706079747.101653576,1.583821029,-0.161166210,0.469754702,-0.000256708,0.003123041,-0.021537155,0.999763138,464,1706079747.004744291,2310,1706079747.004744291
44,1706079747.201918840,1.617248277,-0.164994963,0.516109629,0.000090565,0.002912935,-0.021915817,0.999755572,467,1706079747.101653576,2310,1706079747.004744291
45,1706079747.294945240,1.631392494,-0.162323647,0.539602231,-0.000341679,0.002929051,-0.022552217,0.999741317,486,1706079747.201918840,2310,1706079747.004744291
46,1706079747.405441999,1.662422039,-0.161526792,0.565874699,-0.000368899,0.002414837,-0.023126560,0.999729561,490,1706079747.294945240,2310,1706079747.004744291
47,1706079747.504472971,1.712637897,-0.157511227,0.584744317,-0.000331777,0.001698147,-0.023639346,0.999719054,514,1706079747.405441999,2310,1706079747.004744291
48,1706079747.603043556,1.752167812,-0.147548943,0.579937857,-0.000201983,0.001403967,-0.024181119,0.999706588,526,1706079747.504472971,2310,1706079747.004744291
49,1706079747.701666117,1.804133197,-0.133926493,0.530213166,-0.001078001,0.000816119,-0.024875347,0.999689646,532,1706079747.603043556,2310,1706079747.004744291
50,1706079747.804805756,1.830390456,-0.149217634,0.585914769,-0.000722949,0.000461724,-0.025420561,0.999676477,507,1706079747.701666117,2310,1706079747.004744291
51,1706079747.904016256,1.864787263,-0.142826541,0.591527291,-0.000813436,0.000310774,-0.026045354,0.999660383,565,1706079747.804805756,2310,1706079747.004744291
52,1706079748.005251646,1.899185982,-0.146763800,0.593941027,-0.000594173,0.000643083,-0.026678624,0.999643679,518,1706079747.904016256,2828,1706079748.005251646
53,1706079748.104548931,1.929765343,-0.155181044,0.572632549,-0.000907729,0.000653999,-0.027417857,0.999623434,504,1706079748.005251646,2828,1706079748.005251646
54,1706079748.203565598,1.969686794,-0.153247997,0.561378547,-0.001059799,0.000693762,-0.028024782,0.999606426,497,1706079748.104548931,2828,1706079748.005251646
55,1706079748.304410696,2.011767459,-0.160947956,0.589301031,-0.001285246,0.001571752,-0.028674491,0.999586740,471,1706079748.203565598,2828,1706079748.005251646
56,1706079748.403012037,2.048353444,-0.160432853,0.535935232,-0.001656192,0.001767985,-0.029548820,0.999560403,488,1706079748.304410696,2828,1706079748.005251646
57,1706079748.501182079,2.067567035,-0.167259785,0.535120615,-0.000738001,0.002266448,-0.030126372,0.999543256,524,1706079748.403012037,2828,1706079748.005251646
58,1706079748.594811678,2.115625952,-0.169284496,0.449455168,-0.001532820,0.002208341,-0.030927579,0.999518013,524,1706079748.501182079,2828,1706079748.005251646
59,1706079748.705309391,2.160612552,-0.170987409,0.401214823,-0.000911828,0.001851549,-0.031660144,0.999496561,532,1706079748.594811678,2828,1706079748.005251646
60,1706079748.804084778,2.170178810,-0.181363589,0.437710715,-0.001294503,0.002495264,-0.032467478,0.999468839,559,1706079748.705309391,2828,1706079748.005251646
61,1706079748.902707815,2.215381270,-0.185195442,0.444744583,-0.001289677,0.002361195,-0.033018517,0.999451119,557,1706079748.804084778,2828,1706079748.005251646
62,1706079749.001327276,2.249239263,-0.173396350,0.458774909,-0.001238647,0.002114256,-0.033742356,0.999427561,528,1706079748.902707815,2828,1706079748.005251646
63,1706079749.105034113,2.276625859,-0.174544421,0.465558279,-0.001013484,0.001625520,-0.034420844,0.999405591,544,1706079749.001327276,3372,1706079749.001327276
