frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706079742.903456211,0.015049484,-0.391429062,-0.219232590,-0.005761847,0.001508591,0.001590058,0.999980998,0,0.000000000,0,0.000000000
2,1706079743.000989676,0.116159002,-0.135407483,0.440573009,-0.003760803,0.001463996,-0.000063072,0.999991855,454,1706079742.903456211,0,0.000000000
3,1706079743.101941109,0.203877779,-0.099569589,0.668703715,-0.002386700,0.000667062,0.000284040,0.999996889,449,1706079743.000989676,449,1706079743.000989676
4,1706079743.204445362,0.181829518,-0.127081614,0.666329787,-0.000907440,0.002757901,-0.000361238,0.999995720,456,1706079743.101941109,449,1706079743.000989676
5,1706079743.300012112,0.257002052,-0.126215518,0.357048176,-0.000572305,0.001458986,-0.000938929,0.999998331,449,1706079743.204445362,449,1706079743.000989676
6,1706079743.401348114,0.275892775,-0.139226660,0.600067403,-0.001117761,0.005473748,-0.001172151,0.999983707,409,1706079743.300012112,449,1706079743.000989676
7,1706079743.498363256,0.272908030,-0.102453210,0.750015176,-0.000089971,0.005469381,-0.002130075,0.999982770,412,1706079743.401348114,449,1706079743.000989676
8,1706079743.598696947,0.311669292,-0.095186627,0.871806786,0.000934906,0.007574583,-0.002480450,0.999967799,369,1706079743.498363256,449,1706079743.000989676
9,1706079743.704269409,0.318214311,-0.104928265,0.945734294,-0.000089748,0.007589717,-0.003108941,0.999966361,444,1706079743.598696947,449,1706079743.000989676
10,1706079743.802858829,0.387249914,-0.098229811,0.742178824,0.000569303,0.006178703,-0.003679213,0.999973981,476,1706079743.704269409,449,1706079743.000989676
11,1706079743.904941082,0.412051884,-0.123185845,0.692532812,0.000618731,0.005216580,-0.003910413,0.999978556,436,1706079743.802858829,449,1706079743.000989676
12,1706079744.004113674,0.467685284,-0.131569044,0.625306786,-0.000921146,0.004202177,-0.004525256,0.999980507,447,1706079743.904941082,449,1706079743.000989676
