time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706079793.299875498,32,0,0.016042717,4.991668635,0.300000000,nan,nan,0,0,4910,383,fitness_reject
1706079794.402140141,34,0,0.109146375,4.371256535,0.300000000,nan,nan,0,0,4910,399,fitness_reject
1706079794.902858973,35,0,0.126302900,30.391892390,0.300000000,nan,nan,0,0,4910,416,fitness_reject
1706079795.400932074,36,5,0.005619977,0.583999753,0.300000000,nan,nan,0,0,6506,409,fitness_reject
1706079796.404506683,38,0,0.093661533,2.263784154,0.300000000,nan,nan,0,0,4910,374,fitness_reject
1706079796.902845144,39,5,0.009586695,1.186468746,0.300000000,nan,nan,0,0,6506,440,fitness_reject
1706079797.901503563,41,0,0.093860240,7.560407875,0.300000000,nan,nan,0,0,4910,439,fitness_reject
1706079798.301112413,42,5,0.001459211,2.435936130,0.300000000,nan,nan,0,0,6506,435,fitness_reject
1706079799.403412580,44,7,0.012826109,8.623132530,0.300000000,nan,nan,0,0,7344,435,fitness_reject
1706079800.303666830,46,0,0.142897608,3.002460782,0.300000000,nan,nan,0,0,4910,433,fitness_reject
1706079801.700934887,49,17,0.177749798,2.032475004,0.300000000,nan,nan,0,0,7299,451,fitness_reject
1706079802.200289488,50,11,0.000214097,1.591679604,0.300000000,nan,nan,0,0,8215,420,fitness_reject
1706079802.604948997,51,18,0.000000000,90.387874514,0.300000000,nan,nan,0,0,7016,462,fitness_reject
1706079803.102141619,52,18,0.000000000,8.675158315,0.300000000,nan,nan,0,0,7016,443,fitness_reject
1706079803.604999065,53,18,0.000000000,168.191437353,0.300000000,nan,nan,0,0,7016,420,fitness_reject
1706079804.104929686,54,22,0.003604856,2.935954784,0.300000000,nan,nan,0,0,6419,394,fitness_reject
1706079804.700727463,55,0,0.034084670,12.587280971,0.300000000,nan,nan,0,0,4910,381,fitness_reject
1706079805.304095268,56,22,0.003604856,1.143218427,0.300000000,nan,nan,0,0,6419,398,fitness_reject
1706079805.900687456,57,11,0.001966063,50.266027565,0.300000000,nan,nan,0,0,8215,357,fitness_reject
1706079806.401343822,58,23,0.004636981,1.487789614,0.300000000,nan,nan,0,0,6515,383,fitness_reject
1706079806.804493427,59,11,0.000396476,7.583246508,0.300000000,nan,nan,0,0,8215,384,fitness_reject
1706079807.294551134,60,23,0.000057376,30.946757164,0.300000000,nan,nan,0,0,6515,357,fitness_reject
1706079807.804811239,61,30,0.002215034,0.907781804,0.300000000,nan,nan,0,0,5837,392,fitness_reject
1706079808.302838802,62,30,0.001803460,98.298123233,0.300000000,nan,nan,0,0,5837,352,fitness_reject
