frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706079746.505313635,1706079746.604141712,1,1,1,0,-0.236744036,0.123221704,0.053772291,0.023343802,-0.008208590,-0.000101579,0.999693791,459,100,0.217864924,0.170513914,0.099592206,0.067685789,0.055306067,1567.143442897,1.000000000,0.055306067,0.000000000,0.000000000,0.000000000,1567.143442897,1,93,60,33,0.202614379,47,46,0,50,235,14,352,590,93,328,0,14
2,1706079746.605152130,1706079746.702906609,1,1,1,0,0.008818287,0.013422315,0.597612662,0.010585191,-0.004611947,-0.001069002,0.999932768,475,151,0.317894737,0.164217992,0.075950147,0.052256462,0.038211783,2025.800521169,1.000000000,0.046758925,0.018808849,0.606728201,0.001649180,1796.471982033,2,121,90,31,0.254736842,58,65,0,50,177,28,326,697,214,628,0,42
3,1706079746.704990149,1706079746.804521799,1,1,1,0,-0.015069917,-0.074252372,1.472011996,0.024275557,-0.004495559,-0.000600034,0.999695017,480,134,0.279166667,0.165664797,0.095462154,0.057432829,0.061983770,1371.097579900,1.000000000,0.051833873,0.016142169,1.485836666,0.002466751,1654.680514655,3,107,76,31,0.222916667,55,65,0,50,197,25,348,789,321,945,0,67
4,1706079746.805631638,1706079746.903222561,1,1,1,0,0.257269878,0.093572551,2.579342866,0.030733936,-0.007753604,-0.001912921,0.999495697,445,106,0.238202247,0.174044690,0.087746603,0.057615202,0.043669574,1505.306078603,1.000000000,0.049792798,0.023184309,2.638449273,0.005349760,1617.336905642,4,95,62,33,0.213483146,45,62,0,50,202,17,333,874,416,1254,0,84
5,1706079746.905467749,1706079747.004744291,1,1,1,0,0.219754229,0.031796630,2.320888528,0.035701826,-0.011241939,-0.000881453,0.999298865,445,107,0.240449438,0.150375047,0.101289797,0.068266802,0.072366737,1550.511764632,1.000000000,0.054307586,0.049034109,2.906819042,0.007085760,1603.971877440,5,94,68,26,0.211235955,46,66,0,50,188,20,331,962,510,1554,0,104
6,1706079747.005306005,1706079747.101653576,1,1,1,0,0.313866546,0.015261180,3.026210240,0.030580625,-0.006690830,-0.002021149,0.999507865,456,113,0.247807018,0.137347093,0.074056563,0.054124459,0.036508031,1618.473051562,1.000000000,0.051340994,0.078989644,3.618583938,0.008970661,1606.388739794,6,104,78,26,0.228070175,35,55,0,50,210,26,326,1056,614,1854,0,130
7,1706079747.105149984,1706079747.201918840,1,1,1,0,-0.033259636,-0.044882554,2.628601503,0.034391240,-0.015092293,-0.002689787,0.999290864,470,101,0.214893617,0.180634576,0.099087305,0.063590114,0.050336667,2085.940488549,1.000000000,0.051197518,0.083954389,4.149815114,0.010937500,1674.896132473,7,88,66,22,0.187234043,43,77,0,50,212,24,358,1134,702,2186,0,154
8,1706079747.204975128,1706079747.294945240,1,1,1,0,0.243397481,0.004550094,3.743351139,0.035020665,-0.006338451,-0.002918716,0.999362226,476,128,0.268907563,0.168750468,0.083972133,0.061810558,0.040430104,1447.539774966,1.000000000,0.049851592,0.078984509,5.299445271,0.011076081,1646.476587785,8,101,88,13,0.212184874,52,42,0,50,217,32,343,1218,803,2497,0,186
9,1706079747.305612564,1706079747.405441999,1,1,1,0,0.141083604,-0.022488747,3.947658091,0.038831907,-0.004042816,-0.003446713,0.999231634,496,158,0.318548387,0.127646830,0.059579289,0.040303523,0.045745639,2249.717491792,1.000000000,0.049395375,0.104484788,5.529533425,0.012000281,1713.503354897,9,142,105,37,0.286290323,46,56,0,50,197,25,329,1340,945,2796,0,211
10,1706079747.405453444,1706079747.504472733,1,1,1,0,0.037070783,-0.034129985,4.513631082,0.030992196,-0.002259651,-0.004523303,0.999506837,508,148,0.291338583,0.112198487,0.057433548,0.046151600,0.036739164,2120.497699940,1.000000000,0.048129754,0.137664352,6.105102372,0.013980309,1754.202789401,10,128,101,27,0.251968504,49,72,0,50,195,28,352,1452,1073,3112,0,239
