frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706079746.505313635,1706079746.604141712,0,0,0,0,-0.236744036,0.123221704,0.053772291,0.023343802,-0.008208590,-0.000101579,0.999693791,459,100,0.000000000,0.170513914,0.099592206,0.067685789,0.000000000,1567.143442897,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,445,223,222,0.969498911,0,0,0,0,0,14,0,929,445,0,0,14
2,1706079746.605152130,1706079746.702906609,0,0,0,0,0.421487294,0.169435767,-0.334785825,0.009626744,-0.005612984,-0.001597127,0.999936633,475,159,0.000000000,0.140620797,0.079933026,0.049048898,0.000000000,2135.587213156,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,452,296,156,0.951578947,0,0,0,0,0,23,0,1354,897,0,0,37
3,1706079746.704990149,1706079746.804521799,0,0,0,0,0.827570041,0.238476170,-0.744443624,0.008472729,-0.006370405,-0.002446126,0.999940822,483,169,0.000000000,0.119287152,0.067720373,0.046981461,0.000000000,2082.544177849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,448,334,114,0.927536232,0,0,0,0,0,35,0,1764,1345,0,0,72
4,1706079746.805631638,1706079746.903222561,0,0,0,0,0.980988232,0.246445438,-0.292404039,0.003531036,-0.004481462,-0.003302883,0.999978269,443,162,0.000000000,0.119982332,0.059201136,0.041429339,0.000000000,2318.513450809,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,407,322,85,0.918735892,0,0,0,0,0,36,0,2149,1752,0,0,108
5,1706079746.905467749,1706079747.004744291,0,0,0,0,1.029324816,0.269952219,-0.736281667,0.004841713,-0.006355455,-0.003879931,0.999960555,454,188,0.000000000,0.101053431,0.059968231,0.041635204,0.000000000,2229.523701639,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,411,332,79,0.905286344,0,0,0,0,0,43,0,2522,2163,0,0,151
6,1706079747.005306005,1706079747.101653576,0,0,0,0,1.106128073,0.222306438,-1.179186453,-0.001378406,-0.006542625,-0.004406960,0.999967936,454,186,0.000000000,0.083816431,0.047468099,0.034119078,0.000000000,2071.498903536,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,401,325,76,0.883259912,0,0,0,0,0,53,0,2875,2564,0,0,204
7,1706079747.105149984,1706079747.201918840,0,0,0,0,1.169383320,0.168340598,-1.294306171,-0.006134739,-0.007321478,-0.005059555,0.999941579,472,192,0.000000000,0.083105217,0.049792467,0.036439383,0.000000000,3072.394920432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,408,355,53,0.864406780,0,0,0,0,0,64,0,3238,2972,0,0,268
8,1706079747.204975128,1706079747.294945240,0,0,0,0,1.085922159,0.151833789,-1.244015869,-0.001725370,-0.008419679,-0.005447687,0.999948226,479,208,0.000000000,0.086435775,0.046633067,0.033365750,0.000000000,1916.701063849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,399,355,44,0.832985386,0,0,0,0,0,80,0,3574,3371,0,0,348
9,1706079747.305612564,1706079747.405441999,0,0,0,0,1.086199678,0.145944894,-1.509457119,-0.003339276,-0.010065332,-0.006035314,0.999925554,498,225,0.000000000,0.067706123,0.042529972,0.027585409,0.000000000,2314.986729710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,402,339,63,0.807228916,0,0,0,0,0,96,0,3904,3773,0,0,444
10,1706079747.405453444,1706079747.504472733,0,0,0,0,1.149494482,0.178058043,-1.453574753,-0.001895622,-0.010424082,-0.006550558,0.999922415,505,209,0.000000000,0.067923230,0.044727853,0.030854767,0.000000000,2195.456040942,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,405,340,65,0.801980198,0,0,0,0,0,100,0,4245,4178,0,0,544
11,1706079747.505295515,1706079747.603043556,0,0,0,0,1.138892909,0.186835925,-1.443062692,-0.000329924,-0.010478949,-0.007073476,0.999920021,506,232,0.000000000,0.077310381,0.047722489,0.031086758,0.000000000,2001.233892381,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,400,357,43,0.790513834,0,0,0,0,0,106,0,4557,4578,0,0,650
12,1706079747.605140448,1706079747.701666117,0,0,0,0,1.190082770,0.200890184,-1.613911726,-0.003475433,-0.011374312,-0.007893638,0.999898113,482,216,0.000000000,0.071433414,0.054567704,0.033625192,0.000000000,2036.953808652,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,362,334,28,0.751037344,0,0,0,0,0,120,0,4838,4940,0,0,770
13,1706079747.704983711,1706079747.804805756,0,0,0,0,1.212857251,0.187045110,-1.636548328,-0.004086559,-0.011850836,-0.008476328,0.999885498,543,272,0.000000000,0.073399229,0.045260789,0.028221849,0.000000000,1692.051216644,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,403,373,30,0.742173112,0,0,0,0,0,140,0,5141,5343,0,0,910
14,1706079747.805616140,1706079747.904016256,0,0,0,0,1.254473647,0.169594038,-1.614987614,-0.004294720,-0.011901675,-0.009036104,0.999879120,493,247,0.000000000,0.074053053,0.049029580,0.034428473,0.000000000,1955.983400451,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,313,293,20,0.634888438,0,0,0,0,0,180,0,5365,5656,0,0,1090
15,1706079747.905453444,1706079748.005251408,0,0,0,0,1.259913697,0.144751831,-1.578777830,-0.003285172,-0.011223953,-0.009580892,0.999885712,479,239,0.000000000,0.063563294,0.043630124,0.030130874,0.000000000,1659.823970370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,314,290,24,0.655532359,0,0,0,0,0,165,0,5586,5970,0,0,1255
16,1706079748.005275726,1706079748.104548931,0,0,0,0,1.296725194,0.170193269,-1.531102507,-0.001786860,-0.011744123,-0.010279827,0.999876596,470,221,0.000000000,0.065000984,0.044751965,0.028873062,0.000000000,1597.857691740,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,310,292,18,0.659574468,0,0,0,0,0,160,0,5811,6280,0,0,1415
17,1706079748.105096579,1706079748.203565359,0,0,0,0,1.345165029,0.167847685,-1.619730385,-0.002632849,-0.011425333,-0.010885723,0.999872007,453,244,0.000000000,0.074564219,0.042503031,0.027366378,0.000000000,1928.403964676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,314,293,21,0.693156733,0,0,0,0,0,139,0,6017,6594,0,0,1554
18,1706079748.205338478,1706079748.304410696,0,0,0,0,1.357247167,0.165660792,-1.583215115,-0.002761717,-0.010716868,-0.011628026,0.999871147,468,244,0.000000000,0.059314578,0.036851481,0.024553475,0.000000000,1864.965157558,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,303,283,20,0.647435897,0,0,0,0,0,165,0,6210,6897,0,0,1719
19,1706079748.305171728,1706079748.403012037,0,0,0,0,1.401756466,0.173249669,-1.530291141,-0.003757223,-0.010192039,-0.012517195,0.999862653,507,260,0.000000000,0.055767057,0.034162410,0.024881642,0.000000000,2031.607642005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,319,286,33,0.629191321,0,0,0,0,0,188,0,6416,7216,0,0,1907
20,1706079748.405021667,1706079748.501182079,0,0,0,0,1.456874903,0.169671893,-1.571053824,-0.002825948,-0.010137258,-0.013064840,0.999859270,500,264,0.000000000,0.058571952,0.040301885,0.026966609,0.000000000,1727.138808177,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,320,300,20,0.640000000,0,0,0,0,0,180,0,6608,7536,0,0,2087
21,1706079748.505659103,1706079748.594811678,0,0,0,0,1.517112212,0.156813767,-1.560007743,-0.004755906,-0.010003010,-0.013908092,0.999841931,510,286,0.000000000,0.063219167,0.039193982,0.027574908,0.000000000,1619.923609906,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,292,281,11,0.572549020,0,0,0,0,0,218,0,6775,7828,0,0,2305
22,1706079748.605495453,1706079748.705309391,0,0,0,0,1.541519323,0.153675046,-1.576808849,-0.002005670,-0.010077484,-0.014529012,0.999841652,534,294,0.000000000,0.064927721,0.041776683,0.026953709,0.000000000,1569.008775683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,326,307,19,0.610486891,0,0,0,0,0,208,0,6978,8154,0,0,2513
23,1706079748.705334187,1706079748.804084778,0,0,0,0,1.557594698,0.159612578,-1.571068562,-0.001261758,-0.009983729,-0.015317622,0.999832038,535,296,0.000000000,0.058960855,0.036864549,0.023739954,0.000000000,1341.463626599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,295,277,18,0.551401869,0,0,0,0,0,240,0,7146,8449,0,0,2753
24,1706079748.805182219,1706079748.902707815,0,0,0,0,1.586022483,0.156833101,-1.512852154,-0.002711787,-0.009254217,-0.015963118,0.999826077,497,280,0.000000000,0.070313072,0.042156892,0.028803932,0.000000000,1727.486534451,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,268,252,16,0.539235412,0,0,0,0,0,229,0,7292,8717,0,0,2982
25,1706079748.905029297,1706079749.001327276,0,0,0,0,1.616828130,0.172290686,-1.488233875,-0.001549557,-0.009852110,-0.016575737,0.999812872,519,294,0.000000000,0.068378481,0.047930053,0.029520232,0.000000000,1520.960730052,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,280,269,11,0.539499037,0,0,0,0,0,239,0,7449,8997,0,0,3221
26,1706079749.005268335,1706079749.105034113,0,0,0,0,1.665869534,0.171930079,-1.501097952,-0.000436799,-0.009999116,-0.017191477,0.999802120,570,338,0.000000000,0.077506973,0.048292869,0.031010672,0.000000000,2027.252468989,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,326,315,11,0.571929825,0,0,0,0,0,244,0,7641,9323,0,0,3465
27,1706079749.105121136,1706079749.203745127,0,0,0,0,1.681645926,0.158480461,-1.485775630,-0.003202293,-0.010407832,-0.018145871,0.999776050,524,271,0.000000000,0.053003346,0.038862490,0.026531821,0.000000000,1496.150681517,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,274,266,8,0.522900763,0,0,0,0,0,250,0,7788,9597,0,0,3715
