time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706079803.905276299,31,0,0.094108387,3.195537130,0.300000000,nan,nan,0,0,4783,472,fitness_reject
1706079804.805018425,32,0,0.119877230,64.127478768,0.300000000,nan,nan,0,0,4783,382,fitness_reject
1706079810.205653667,38,4,0.037199486,3.068282422,0.300000000,nan,nan,0,0,6245,386,fitness_reject
1706079812.005632401,40,9,0.014924077,7.779901655,0.300000000,nan,nan,0,0,7553,358,fitness_reject
1706079812.904993296,41,9,0.001294886,7.469198101,0.300000000,nan,nan,0,0,7553,333,fitness_reject
1706079813.805128098,42,10,0.005571398,1.621434379,0.300000000,nan,nan,0,0,7807,348,fitness_reject
1706079814.705293655,43,12,0.070434683,136.905740532,0.300000000,nan,nan,0,0,7559,399,fitness_reject
1706079815.605435610,44,7,0.000000000,12.228998965,0.300000000,nan,nan,0,0,7048,360,fitness_reject
1706079816.505182505,45,9,0.007925864,21.249908226,0.300000000,nan,nan,0,0,7553,332,fitness_reject
1706079818.305129051,47,14,0.001042228,12.422840527,0.300000000,nan,nan,0,0,7354,375,fitness_reject
1706079819.205635786,48,14,0.001042228,7.956756690,0.300000000,nan,nan,0,0,7354,379,fitness_reject
1706079820.104981184,49,8,0.000000000,13.369625511,0.300000000,nan,nan,0,0,7349,401,fitness_reject
1706079821.005137205,50,13,0.000000000,302.853519361,0.300000000,nan,nan,0,0,7521,414,fitness_reject
1706079821.905280352,51,13,0.000000000,6.452005204,0.300000000,nan,nan,0,0,7521,365,fitness_reject
1706079822.805462599,52,20,0.039716815,9.408601047,0.300000000,nan,nan,0,0,6699,406,fitness_reject
1706079823.705194473,53,1,0.090435180,65.900940895,0.300000000,nan,nan,0,0,5242,425,fitness_reject
1706079824.604993105,54,8,0.000000000,24.560769262,0.300000000,nan,nan,0,0,7349,370,fitness_reject
1706079825.505121231,55,12,0.000005109,18.342593543,0.300000000,nan,nan,0,0,7559,374,fitness_reject
1706079826.405270338,56,20,0.049421415,6.437075476,0.300000000,nan,nan,0,0,6699,405,fitness_reject
1706079827.305429459,57,1,0.102685198,148.339029038,0.300000000,nan,nan,0,0,5242,415,fitness_reject
1706079828.205160618,58,26,0.023319943,12.683015891,0.300000000,nan,nan,0,0,6062,403,fitness_reject
1706079829.105310202,59,26,0.046067021,6.976046737,0.300000000,nan,nan,0,0,6062,398,fitness_reject
1706079831.804999113,62,18,0.072291163,14.785433793,0.300000000,nan,nan,0,0,6737,426,fitness_reject
1706079833.605309010,64,33,0.106960909,67.457556234,0.300000000,nan,nan,0,0,5829,434,fitness_reject
1706079834.505482435,65,34,0.091576633,6.914881542,0.300000000,nan,nan,0,0,5782,439,fitness_reject
1706079835.405630350,66,34,0.098265228,2.042322755,0.300000000,nan,nan,0,0,5782,419,fitness_reject
1706079838.105617523,69,38,0.086130245,1.559428853,0.300000000,nan,nan,0,0,5671,460,fitness_reject
1706079839.005015373,70,1,0.137134808,23.547632246,0.300000000,nan,nan,0,0,5242,443,fitness_reject
1706079839.905181170,71,38,0.116694084,56.017557478,0.300000000,nan,nan,0,0,5671,439,fitness_reject
1706079840.705495358,72,26,0.000000000,6.715960672,0.300000000,nan,nan,0,0,6062,428,fitness_reject
1706079841.505035639,73,37,0.000000000,12.091441702,0.300000000,nan,nan,0,0,5671,471,fitness_reject
1706079843.105282545,75,33,0.102140802,33.423514701,0.300000000,nan,nan,0,0,5829,431,fitness_reject
1706079843.905169010,76,13,0.049192997,4.938486871,0.300000000,nan,nan,0,0,7521,498,fitness_reject
1706079844.705495834,77,1,0.139124126,135.058881679,0.300000000,nan,nan,0,0,5242,436,fitness_reject
