frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706079746.505313635,1706079746.604141712,1,1,1,0,-0.236744038,0.123221703,0.053772299,0.023343802,-0.008208590,-0.000101579,0.999693791,459,100,0.217864924,0.170513914,0.099592206,0.067685789,0.055306067,1567.143442898,1.000000000,0.055306067,0.000000000,0.000000000,0.000000000,1567.143442898,1,93,60,33,0.202614379,47,46,0,50,235,14,352,582,93,328,0,14
2,1706079746.605152130,1706079746.702906609,1,1,1,0,-0.066037725,0.024153963,0.740162763,0.011219003,-0.003841740,-0.001160523,0.999929012,475,147,0.309473684,0.166030381,0.076227364,0.050418916,0.033194208,2071.195130378,1.000000000,0.044250138,0.013322267,0.714203705,0.001820740,1819.169286638,2,124,93,31,0.261052632,56,69,0,50,178,22,329,690,217,631,0,36
3,1706079746.704990149,1706079746.804521799,1,1,1,0,0.073423130,0.040018120,1.628976164,0.019864793,-0.006301210,-0.002075904,0.999780664,481,127,0.264033264,0.241572267,0.135984808,0.091506386,0.056205628,1543.841661907,1.000000000,0.048235301,0.179561299,1.614031613,0.003815185,1727.393411728,3,81,50,31,0.168399168,76,67,0,50,201,25,375,766,298,975,0,61
4,1706079746.805631638,1706079746.903222561,1,1,1,0,0.396708704,0.067966935,2.490762454,0.019231274,-0.005656597,0.000452011,0.999798958,444,101,0.227477477,0.220122943,0.145970419,0.099715385,0.031777633,1591.548542681,1.000000000,0.044120884,0.161518706,2.534884645,0.008903103,1693.432194466,4,81,54,27,0.182432432,59,50,0,50,216,14,349,832,379,1300,0,75
5,1706079746.905467749,1706079747.004744291,1,1,1,0,0.814518311,-0.033403785,2.373292012,0.018416860,-0.004605006,0.001390857,0.999818823,448,99,0.220982143,0.227332023,0.148565843,0.091011355,0.017790179,1593.224255032,1.000000000,0.038854743,0.150628132,2.980575340,0.010828490,1673.390606579,5,77,49,28,0.171875000,54,50,0,50,215,22,349,905,456,1619,0,97
6,1706079747.005306005,1706079747.101653576,1,1,1,0,1.059595114,-0.021507481,2.162997138,0.011961739,-0.005030071,-0.001654055,0.999914436,448,102,0.227678571,0.202530869,0.128729180,0.082221594,0.043937756,2337.374602498,1.000000000,0.039701912,0.137873559,3.303728702,0.016868536,1784.054605899,6,83,55,28,0.185267857,51,62,0,50,206,20,345,985,539,1938,0,117
7,1706079747.105149984,1706079747.201918840,1,1,1,0,1.152877137,0.081225135,3.093141151,0.014911296,0.001567510,-0.002889888,0.999883416,475,112,0.235789474,0.169876486,0.114091765,0.079252175,0.048915577,2299.579775633,1.000000000,0.041018150,0.144341723,4.244166585,0.019172609,1857.701058718,7,95,74,21,0.200000000,55,82,0,50,197,20,360,1073,634,2272,0,137
8,1706079747.204975128,1706079747.294945240,1,1,1,0,1.093910964,0.047380382,3.024117364,0.010891676,0.003574886,-0.003870581,0.999926802,472,124,0.262711864,0.176797012,0.108677319,0.068689101,0.034072191,1601.177383257,1.000000000,0.040149905,0.142290851,4.341051878,0.021103192,1825.635599285,8,98,77,21,0.207627119,56,80,0,50,183,23,351,1157,732,2591,0,160
9,1706079747.305612564,1706079747.405441999,1,1,1,0,0.990966168,0.068091099,3.665032489,0.013067321,0.008786278,-0.004776974,0.999864604,495,162,0.327272727,0.137168801,0.093361113,0.060375455,0.027769531,2345.635672762,1.000000000,0.038774308,0.170280254,4.990512241,0.022764817,1883.413385227,9,125,97,28,0.252525253,73,110,0,50,137,20,350,1271,857,2911,0,180
10,1706079747.405453444,1706079747.504472733,1,1,1,0,1.074249269,0.174704581,3.794207617,0.013644187,0.008965951,-0.005554673,0.999851286,512,161,0.314453125,0.132317169,0.078005548,0.047144680,0.032893331,1700.682562935,1.000000000,0.038186210,0.191390576,5.177564969,0.024305211,1865.140302998,10,132,104,28,0.257812500,58,105,1,50,152,29,351,1384,989,3226,1,209
