frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1709436655.492895603,-0.099542566,-0.081188702,0.025142756,-0.002106076,0.001292425,0.001183042,0.999996247,0,0.000000000,0,0.000000000
2,1709436655.591519117,-0.071224541,-0.284164218,0.008250878,-0.002179312,0.000486339,0.002764536,0.999993686,2221,1709436655.492895603,0,0.000000000
3,1709436655.690180779,-0.095788476,-0.346587553,0.004648018,-0.003157930,0.000748597,0.002382865,0.999991894,2280,1709436655.591519117,0,0.000000000
4,1709436655.795103073,-0.129399659,-0.322193400,0.008648028,-0.002422837,0.000923995,0.002449104,0.999993639,2203,1709436655.690180779,0,0.000000000
5,1709436655.894954205,-0.100427000,-0.266544958,0.008565048,-0.002320822,0.000756716,0.002029605,0.999994961,2244,1709436655.795103073,0,0.000000000
6,1709436655.994786263,-0.120621657,-0.187949315,0.013799388,-0.002479595,0.000897731,0.001836704,0.999994836,2238,1709436655.894954205,0,0.000000000
7,1709436656.094072342,-0.132424018,-0.208579500,0.017987915,-0.002167169,0.000956595,0.002069128,0.999995053,2228,1709436655.994786263,2228,1709436655.994786263
8,1709436656.194453716,-0.120258486,-0.241985791,0.014889251,-0.002501519,0.000839697,0.002163226,0.999994179,2119,1709436656.094072342,2228,1709436655.994786263
9,1709436656.294553280,-0.116670657,-0.232605467,0.015545633,-0.002709603,0.000914268,0.002301398,0.999993263,2210,1709436656.194453716,2228,1709436655.994786263
10,1709436656.393429518,-0.104126955,-0.204984337,0.010110085,-0.002485286,0.000680650,0.002079680,0.999994517,2233,1709436656.294553280,2228,1709436655.994786263
11,1709436656.492342234,-0.111592514,-0.172953969,0.010010235,-0.002308535,0.000788661,0.001712599,0.999995558,2270,1709436656.393429518,2228,1709436655.994786263
12,1709436656.594625711,-0.095265509,-0.180399627,0.009970571,-0.002224859,0.000653995,0.001909500,0.999995488,2202,1709436656.492342234,2228,1709436655.994786263
13,1709436656.693928003,-0.086192442,-0.173436110,0.011245932,-0.002279252,0.000738612,0.001588362,0.999995868,2247,1709436656.594625711,2228,1709436655.994786263
14,1709436656.792693615,-0.071018594,-0.183657319,0.009543823,-0.002322056,0.000618567,0.001827417,0.999995443,2254,1709436656.693928003,2228,1709436655.994786263
15,1709436656.891209602,-0.084007587,-0.168766825,0.012041639,-0.002349014,0.000706746,0.001722712,0.999995507,2256,1709436656.792693615,2228,1709436655.994786263
16,1709436656.989885807,-0.074189232,-0.170394441,0.010074762,-0.002398674,0.000637650,0.001742195,0.999995402,2201,1709436656.891209602,2228,1709436655.994786263
17,1709436657.094625950,-0.082955654,-0.172281011,0.010639584,-0.002457363,0.000768123,0.001708362,0.999995226,2211,1709436656.989885807,4439,1709436656.989885807
18,1709436657.194467783,-0.084100973,-0.170305864,0.007829049,-0.002174863,0.000604290,0.001888847,0.999995669,2221,1709436657.094625950,4439,1709436656.989885807
19,1709436657.295099497,-0.102713667,-0.173943440,0.010015326,-0.002218832,0.000776435,0.001825308,0.999995571,2228,1709436657.194467783,4439,1709436656.989885807
20,1709436657.394908428,-0.115622663,-0.186729545,0.010106571,-0.002473960,0.000724182,0.001881132,0.999994908,2148,1709436657.295099497,4439,1709436656.989885807
21,1709436657.494782925,-0.118890788,-0.191192353,0.012627409,-0.002266493,0.000833530,0.001982368,0.999995119,2190,1709436657.394908428,4439,1709436656.989885807
22,1709436657.594491243,-0.118114894,-0.194365351,0.011224389,-0.002114413,0.000821216,0.001839626,0.999995735,2247,1709436657.494782925,4439,1709436656.989885807
23,1709436657.693432570,-0.113644490,-0.200342096,0.013159098,-0.002391290,0.000797208,0.001897054,0.999995024,2307,1709436657.594491243,4439,1709436656.989885807
24,1709436657.792375326,-0.120520153,-0.222543661,0.014932461,-0.002308498,0.000891137,0.002010320,0.999994918,2180,1709436657.693432570,4439,1709436656.989885807
25,1709436657.894917250,-0.122993388,-0.219106232,0.017151662,-0.002455734,0.001002182,0.001867243,0.999994739,2239,1709436657.792375326,4439,1709436656.989885807
26,1709436657.993590593,-0.112445724,-0.214113026,0.014717574,-0.002143715,0.000943614,0.001913807,0.999995426,2287,1709436657.894917250,4439,1709436656.989885807
27,1709436658.092260838,-0.112320105,-0.172685730,0.012597856,-0.001986533,0.000954421,0.001849687,0.999995861,2202,1709436657.993590593,6641,1709436657.993590593
28,1709436658.191006422,-0.103703974,-0.155460192,0.009898908,-0.002016876,0.000744712,0.001889631,0.999995903,2217,1709436658.092260838,6641,1709436657.993590593
29,1709436658.295109987,-0.102562464,-0.153976805,0.008190192,-0.002147450,0.000693752,0.001910887,0.999995628,2229,1709436658.191006422,6641,1709436657.993590593
30,1709436658.394942284,-0.097508138,-0.168853455,0.008621725,-0.002027854,0.000783515,0.001803591,0.999996010,2208,1709436658.295109987,6641,1709436657.993590593
31,1709436658.494787216,-0.113583784,-0.170872845,0.012123757,-0.002389501,0.000976774,0.001917010,0.999994831,2281,1709436658.394942284,6641,1709436657.993590593
