frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1709436655.294748783,0.000000000,0.000000000,0.000000000,0.012884231,0.002648621,-0.000034128,0.999913486,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,10416,1709436655.294748783,71,1709436655.294748783,4378,1709436655.294748783
2,1709436655.494817257,0.000124416,-0.000025355,0.001001414,0.012938952,0.002794288,-0.000222932,0.999912359,2476,1709436655.294748783,1055,1709436655.294748783,0,1709436655.294748783,0.000000000,0.000000000,10230,1709436655.494817257,74,1709436655.494817257,4258,1709436655.494817257
3,1709436655.695273638,0.000110707,-0.000074947,0.002481272,0.013092470,0.002755374,-0.000194501,0.999910475,2463,1709436655.494817257,1055,1709436655.294748783,1,1709436655.494817257,0.269604053,1709436655.902370453,10269,1709436655.695273638,78,1709436655.695273638,4398,1709436655.695273638
4,1709436655.894965887,-0.000143624,0.000032016,0.000429217,0.013059776,0.002701798,-0.000183389,0.999911050,2537,1709436655.695273638,1055,1709436655.294748783,1,1709436655.695273638,0.338811573,1709436656.102486372,10393,1709436655.894965887,63,1709436655.894965887,4394,1709436655.894965887
5,1709436656.094646215,-0.002209184,-0.033060387,0.000947193,0.012769004,0.002754482,-0.000020599,0.999914679,2528,1709436655.894965887,1055,1709436655.294748783,1,1709436655.894965887,0.403934679,1709436656.302942276,10278,1709436656.094646215,65,1709436656.094646215,4278,1709436656.094646215
6,1709436656.394965410,-0.005596171,-0.092205502,0.002185459,0.012952294,0.002912194,0.000032829,0.999911874,2443,1709436656.094646215,1055,1709436655.294748783,1,1709436656.094646215,0.545383428,1709436656.602603436,10195,1709436656.394965410,73,1709436656.394965410,4292,1709436656.394965410
7,1709436656.594637871,0.011332587,-0.188268393,-0.002920223,0.012569827,0.002788505,0.000598880,0.999916929,2447,1709436656.394965410,1055,1709436655.294748783,1,1709436656.394965410,0.625655055,1709436656.802591801,10298,1709436656.594637871,64,1709436656.594637871,4296,1709436656.594637871
8,1709436656.795116186,0.010463423,-0.266743690,-0.006650024,0.012040999,0.002829668,0.001052593,0.999922947,2407,1709436656.594637871,1055,1709436655.294748783,1,1709436656.594637871,0.724732462,1709436657.002958536,10102,1709436656.795116186,71,1709436656.795116186,4234,1709436656.795116186
9,1709436656.994802475,0.014467961,-0.388794303,-0.013691902,0.011435560,0.002825069,0.001661225,0.999929241,2388,1709436656.795116186,1055,1709436655.294748783,1,1709436656.795116186,0.818592450,1709436657.203140736,10313,1709436656.994802475,65,1709436656.994802475,4417,1709436656.994802475
10,1709436657.195278168,0.037216984,-0.521089733,-0.018895589,0.011339357,0.002788607,0.002395034,0.999928951,2516,1709436656.994802475,1055,1709436655.294748783,1,1709436656.994802475,0.917814108,1709436657.402390957,10380,1709436657.195278168,56,1709436657.195278168,4385,1709436657.195278168
11,1709436657.394958735,0.042496409,-0.679224193,-0.026801441,0.010453362,0.002787517,0.003414589,0.999935647,2518,1709436657.195278168,1055,1709436655.294748783,1,1709436657.195278168,1.016604612,1709436657.603347301,10395,1709436657.394958735,65,1709436657.394958735,4368,1709436657.394958735
12,1709436657.594628334,0.059985340,-0.858056068,-0.034224149,0.010047236,0.002978246,0.004059592,0.999936849,2486,1709436657.394958735,1055,1709436655.294748783,1,1709436657.394958735,1.115854979,1709436657.802842855,10343,1709436657.594628334,75,1709436657.594628334,4276,1709436657.594628334
13,1709436657.795108080,0.077166490,-1.056868792,-0.039674830,0.009477720,0.002936169,0.004808141,0.999939215,2421,1709436657.594628334,1055,1709436655.294748783,1,1709436657.594628334,1.216601077,1709436658.003026009,10475,1709436657.795108080,66,1709436657.795108080,4318,1709436657.795108080
14,1709436657.994789600,0.089608960,-1.278315425,-0.045374326,0.008533809,0.003052926,0.005685945,0.999942760,2447,1709436657.795108080,1055,1709436655.294748783,1,1709436657.795108080,1.316555552,1709436658.202527285,10092,1709436657.994789600,63,1709436657.994789600,4234,1709436657.994789600
15,1709436658.195276976,0.130546913,-1.517300725,-0.058526982,0.007643151,0.002999041,0.006683436,0.999943958,2395,1709436657.994789600,1055,1709436655.294748783,1,1709436657.994789600,1.473508662,1709436658.503353596,10233,1709436658.195276976,75,1709436658.195276976,4387,1709436658.195276976
16,1709436658.494798660,0.241201431,-1.919561982,-0.060807541,0.006903057,0.003273871,0.007033814,0.999946076,2558,1709436658.195276976,1055,1709436655.294748783,1,1709436658.195276976,1.574297913,1709436658.702757359,10360,1709436658.494798660,53,1709436658.494798660,4295,1709436658.494798660
17,1709436658.894970417,0.433560193,-2.514700651,-0.063669488,0.007031336,0.003879641,0.006490828,0.999946688,2406,1709436658.494798660,1055,1709436655.294748783,1,1709436658.494798660,1.780846678,1709436659.102261066,10309,1709436658.894970417,79,1709436658.894970417,4316,1709436658.894970417
18,1709436659.195313454,0.684573293,-3.005708456,-0.077351108,0.008018173,0.004004047,0.006113523,0.999941149,2462,1709436658.894970417,1055,1709436655.294748783,1,1709436658.894970417,1.932556749,1709436659.402306795,10108,1709436659.195313454,65,1709436659.195313454,4255,1709436659.195313454
19,1709436659.394989252,0.802136540,-3.374395370,-0.085973240,0.008258448,0.004106587,0.006110888,0.999938794,2408,1709436659.195313454,1055,1709436655.294748783,1,1709436659.195313454,2.030588798,1709436659.602233648,10227,1709436659.394989252,76,1709436659.394989252,4359,1709436659.394989252
20,1709436659.594650745,1.001095057,-3.737860680,-0.101854093,0.008100059,0.003967685,0.006390835,0.999938900,2547,1709436659.394989252,1055,1709436655.294748783,1,1709436659.394989252,2.130787209,1709436659.802577257,10420,1709436659.594650745,64,1709436659.594650745,4365,1709436659.594650745
21,1709436659.795123100,1.208550334,-4.124709606,-0.111725233,0.008330447,0.004095119,0.005854907,0.999939775,2500,1709436659.594650745,1055,1709436655.294748783,1,1709436659.594650745,2.284551769,1709436660.102602482,10382,1709436659.795123100,64,1709436659.795123100,4343,1709436659.795123100
22,1709436659.994801283,1.389511824,-4.528465748,-0.128778487,0.008207910,0.004149292,0.006124046,0.999938953,2437,1709436659.795123100,1055,1709436655.294748783,1,1709436659.795123100,2.336041318,1709436660.202356339,10323,1709436659.994801283,72,1709436659.994801283,4390,1709436659.994801283
23,1709436660.195273161,1.622207522,-4.947471619,-0.145406798,0.008472276,0.004037429,0.006111039,0.999937285,2514,1709436659.994801283,1055,1709436655.294748783,1,1709436659.994801283,2.439853303,1709436660.402512550,10362,1709436660.195273161,73,1709436660.195273161,4276,1709436660.195273161
24,1709436660.394966602,1.897522449,-5.379300594,-0.162681282,0.009484468,0.003902415,0.005092711,0.999934438,2423,1709436660.195273161,1868,1709436660.295117855,1,1709436660.195273161,2.546585421,1709436660.601911545,10216,1709436660.394966602,63,1709436660.394966602,4339,1709436660.394966602
25,1709436660.594652176,2.125879049,-5.829926968,-0.184533104,0.009695849,0.003749037,0.004912439,0.999933899,2427,1709436660.394966602,1868,1709436660.295117855,1,1709436660.394966602,2.654273969,1709436660.802190304,10186,1709436660.594652176,64,1709436660.594652176,4329,1709436660.594652176
26,1709436660.795124769,2.384716511,-6.293006897,-0.199676529,0.010051972,0.003839110,0.004690941,0.999931105,2554,1709436660.594652176,1868,1709436660.295117855,1,1709436660.594652176,2.765824946,1709436661.002707005,10320,1709436660.795124769,62,1709436660.795124769,4397,1709436660.795124769
27,1709436660.994810343,2.637315512,-6.771343231,-0.218988955,0.010278043,0.003775559,0.004381820,0.999930451,2469,1709436660.795124769,1868,1709436660.295117855,1,1709436660.795124769,2.878662344,1709436661.201781988,10418,1709436660.994810343,66,1709436660.994810343,4312,1709436660.994810343
28,1709436661.195313454,2.888289690,-7.260268211,-0.239151299,0.010665704,0.003721854,0.003935987,0.999928447,2472,1709436660.994810343,1868,1709436660.295117855,1,1709436660.994810343,2.992429639,1709436661.402588606,10284,1709436661.195313454,70,1709436661.195313454,4361,1709436661.195313454
29,1709436661.395011425,3.194705248,-7.762852192,-0.261133105,0.010576265,0.003637269,0.003247411,0.999932181,2464,1709436661.195313454,1868,1709436660.295117855,1,1709436661.195313454,3.105606168,1709436661.602646112,10337,1709436661.395011425,65,1709436661.395011425,4297,1709436661.395011425
30,1709436661.694930077,3.697525263,-8.508152962,-0.289324939,0.011928613,0.003503619,0.002285167,0.999920102,2407,1709436661.395011425,1868,1709436660.295117855,1,1709436661.395011425,3.272355958,1709436661.902592421,10185,1709436661.694930077,79,1709436661.694930077,4279,1709436661.694930077
31,1709436661.894610167,3.935629606,-9.090656281,-0.309462041,0.011699980,0.003531463,0.001674963,0.999923914,2506,1709436661.694930077,1868,1709436660.295117855,1,1709436661.694930077,3.380485082,1709436662.102042198,10160,1709436661.894610167,74,1709436661.894610167,4301,1709436661.894610167
32,1709436662.095092773,4.286845207,-9.606959343,-0.331038475,0.012740792,0.003609038,0.000708048,0.999912069,2497,1709436661.894610167,1868,1709436660.295117855,1,1709436661.894610167,3.490905441,1709436662.302324057,10343,1709436662.095092773,68,1709436662.095092773,4313,1709436662.095092773
33,1709436662.294780493,4.612444878,-10.154303551,-0.365556598,0.012748015,0.003202819,0.000282273,0.999913571,2438,1709436662.095092773,1868,1709436660.295117855,1,1709436662.095092773,3.595085671,1709436662.501999855,10289,1709436662.294780493,72,1709436662.294780493,4261,1709436662.294780493
