frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709436659.295148134,1709436659.392018318,1,1,1,0,0.154397666,0.150465147,-0.022982652,-0.000215721,-0.000980944,-0.000818845,0.999999160,984,694,0.705284553,0.046612065,0.008853961,0.005803126,0.016168118,585.514250599,1.000000000,0.016168118,0.000000000,0.000000000,0.000000000,585.514250599,1,349,333,16,0.354674797,142,64,31,50,157,240,395,1178,349,363,31,240
2,1709436659.394989252,1709436659.490612984,1,1,1,0,-0.126338459,-1.077015547,0.023006285,-0.007389322,0.001139632,0.005890268,0.999954701,1017,749,0.736479843,0.064529154,0.034510187,0.023096838,0.018640443,511.477348898,1.000000000,0.017404281,0.161210117,1.260014528,0.013400735,548.495799749,2,449,428,21,0.441494592,86,60,74,50,141,205,363,1411,798,650,105,445
3,1709436659.494827271,1709436659.594626904,1,1,1,0,-0.182256439,-0.953103237,0.034870740,-0.000035911,0.002631090,0.004333101,0.999987150,1030,746,0.724271845,0.060995787,0.031555290,0.018962384,0.018638718,451.210690132,1.000000000,0.017815760,0.135046305,1.396476414,0.016498070,516.067429876,3,414,408,6,0.401941748,91,81,12,50,133,299,317,1614,1212,955,117,744
4,1709436659.594650745,1709436659.694434166,1,0,1,0,-0.173679382,-0.827034019,0.037608425,0.000466478,0.000828528,0.003445081,0.999993614,981,700,0.713557594,0.059235686,0.020799738,0.015216167,0.020205131,497.721777615,0.750000000,0.018413102,0.116844639,1.522866716,0.018273245,511.481016811,0,524,459,65,0.534148828,99,0,0,0,0,358,99,1910,1736,1054,117,1102
5,1709436659.695294380,1709436659.795111179,1,0,0,0,-0.112010290,-0.651303681,0.027422071,-0.000547536,-0.000540010,0.003257494,0.999994399,955,705,0.738219895,0.057961760,0.022090742,0.015967831,0.027787944,405.460863810,0.600000000,0.020288071,0.104469404,1.709382106,0.018648606,490.276986211,0,442,407,35,0.462827225,103,0,0,0,0,410,103,2174,2178,1157,117,1512
6,1709436659.795123100,1709436659.894934416,1,0,0,0,-0.101169651,-0.691377427,0.032956500,-0.001197911,0.000170908,0.003132956,0.999994360,1009,796,0.788899901,0.054944164,0.020460332,0.015542419,0.022169134,427.159205823,0.500000000,0.020601581,0.098032177,1.751263539,0.018898692,479.757356146,0,427,402,25,0.423191278,118,0,0,0,0,464,118,2406,2605,1275,117,1976
7,1709436659.894958496,1709436659.994790077,1,0,0,0,-0.096627461,-0.539328401,0.028439920,-0.000835421,0.000195228,0.002689067,0.999996016,981,752,0.766564730,0.041349470,0.016627824,0.011471423,0.025822527,391.857784513,0.428571429,0.021347431,0.138940782,1.903447432,0.019786388,467.200274484,0,366,342,24,0.373088685,93,0,0,0,0,522,93,2625,2971,1368,117,2498
8,1709436659.994801283,1709436660.094627142,1,0,0,0,-0.065976744,-0.554258801,0.023869953,-0.001097752,0.000225277,0.002478330,0.999996301,981,782,0.797145770,0.039647009,0.014142266,0.010635904,0.020870650,516.254642652,0.375000000,0.021287833,0.165440520,1.937846094,0.020208032,473.332070505,0,360,337,23,0.366972477,116,0,0,0,0,505,116,2810,3331,1484,117,3003
9,1709436660.094640017,1709436660.194464445,1,0,0,0,-0.047751927,-0.488176585,0.014348267,-0.001801766,0.000265737,0.002190127,0.999995943,948,748,0.789029536,0.036610167,0.015058122,0.010547949,0.022403468,444.936109541,0.333333333,0.021411793,0.190720233,2.007053505,0.020784908,470.176963732,0,328,312,16,0.345991561,97,0,0,0,0,523,97,2970,3659,1581,117,3526
10,1709436660.195273161,1709436660.293509483,1,0,0,0,-0.022964457,-0.413708013,0.006289734,-0.001557213,0.000160086,0.001760997,0.999997224,952,766,0.804621849,0.034880588,0.014152553,0.010631620,0.020619397,466.551854849,0.300000000,0.021332553,0.211651543,2.085951710,0.021642707,469.814452843,0,339,317,22,0.356092437,95,0,0,0,0,517,96,3127,3998,1676,117,4043
11,1709436660.295117855,1709436660.394953966,1,1,1,0,-0.019164362,-0.452867472,0.005103774,-0.001499272,0.000149869,0.001825823,0.999997198,949,781,0.822971549,0.032949082,0.011939125,0.008782257,0.014677713,477.119668437,0.363636364,0.020727568,0.230886280,2.125312992,0.021772408,470.478563352,1,195,187,8,0.205479452,96,77,0,26,0,579,175,3203,4193,1849,117,4622
12,1709436660.394966602,1709436660.494282722,1,0,0,0,-0.009522278,-0.379994418,0.001065185,-0.000997008,-0.000056868,0.001449264,0.999998451,958,806,0.841336117,0.034687369,0.012501254,0.009112874,0.024938920,496.151408220,0.333333333,0.021078514,0.239771151,2.198932025,0.022524962,472.617967091,0,277,269,8,0.289144050,100,0,0,0,0,581,100,3316,4470,1949,117,5203
13,1709436660.494805336,1709436660.593031168,1,0,0,0,-0.013387554,-0.379708400,0.000488188,-0.000922693,0.000169236,0.001850308,0.999997848,988,825,0.835020243,0.033312467,0.011215839,0.007854556,0.023118552,423.386423513,0.307692308,0.021235440,0.248708553,2.202850582,0.023326624,468.830925277,0,262,253,9,0.265182186,120,0,0,0,0,605,121,3432,4732,2069,117,5808
14,1709436660.594652176,1709436660.691629410,1,0,0,0,-0.017278781,-0.292299209,-0.003602959,-0.001025757,0.000032921,0.001270760,0.999998666,1027,855,0.832521908,0.028508268,0.010499596,0.007795722,0.033534174,437.519683780,0.285714286,0.022113921,0.266090694,2.290441939,0.024485477,466.594408027,0,284,278,6,0.276533593,95,0,0,0,0,648,95,3544,5016,2164,117,6456
15,1709436660.695297956,1709436660.790329933,1,0,0,0,-0.020257750,-0.334715491,-0.002948256,-0.001176722,0.000193259,0.001441889,0.999998249,996,859,0.862449799,0.031665585,0.012069348,0.008427662,0.027466742,431.228304096,0.266666667,0.022470775,0.272498955,2.332967743,0.024827349,464.236667765,0,251,247,4,0.252008032,96,0,0,0,0,648,97,3638,5267,2260,117,7104
16,1709436660.795124769,1709436660.894949675,1,0,0,0,-0.028529590,-0.343222228,-0.000536824,-0.000703930,0.000215368,0.001566894,0.999998501,998,836,0.837675351,0.035595132,0.011630849,0.008871153,0.035200239,465.632452873,0.250000000,0.023266367,0.270950011,2.345075711,0.025077511,464.323904334,0,235,229,6,0.235470942,111,0,0,0,0,651,112,3730,5502,2371,117,7755
17,1709436660.894961834,1709436660.993874311,1,0,0,0,-0.019863816,-0.352685942,-0.000992808,-0.000761228,0.000176416,0.001691194,0.999998265,979,830,0.847803882,0.032276377,0.010367255,0.008107289,0.039014270,411.681777938,0.235294118,0.024192714,0.273749225,2.357915705,0.025326146,461.227308664,0,232,229,3,0.236976507,116,0,0,0,0,631,116,3816,5734,2487,117,8386
18,1709436660.994810343,1709436661.092454672,1,0,0,0,-0.032595100,-0.376051660,0.000625412,-0.000651943,0.000009226,0.001752287,0.999998252,971,846,0.871266735,0.032441454,0.010587116,0.008756869,0.031414657,427.821993196,0.222222222,0.024593933,0.275334469,2.384573931,0.025448589,459.371457805,0,198,194,4,0.203913491,100,0,0,0,0,673,100,3882,5932,2587,117,9059
19,1709436661.094664812,1709436661.194502592,1,0,0,0,-0.040945678,-0.361723591,0.000529647,-0.000539153,0.000180361,0.002043349,0.999997751,938,805,0.858208955,0.030220727,0.009920644,0.008136047,0.030392195,363.940037033,0.210526316,0.024899105,0.279473559,2.401158107,0.026030531,454.348751448,0,180,178,2,0.191897655,84,0,0,0,0,674,84,3942,6112,2671,117,9733
20,1709436661.195313454,1709436661.295149326,1,0,0,1,-0.031631927,-0.402127652,-0.001922625,-0.001146762,0.000019411,0.002035575,0.999997270,987,842,0.853090172,0.030109410,0.010607049,0.008362231,0.028700597,425.400275436,0.200000000,0.025089180,0.282764351,2.442694209,0.026045931,452.901327648,0,187,181,6,0.189463019,98,0,0,0,0,702,98,4024,6299,2769,117,10435
21,1709436661.295161486,1709436661.395000219,1,0,0,1,-0.042227589,-0.460782784,0.000440699,-0.000911966,0.000237264,0.002093058,0.999997366,941,811,0.861849097,0.028594433,0.009957010,0.007453633,0.022758506,402.751283824,0.150000000,0.025418699,0.294663232,1.242330984,0.012759776,443.763179309,0,168,162,6,0.178533475,88,0,0,0,0,685,88,4097,6467,2857,117,11120
22,1709436661.395011425,1709436661.494592190,1,0,0,1,-0.041150677,-0.509333741,0.002550482,-0.000789352,0.000224898,0.002244201,0.999997145,953,816,0.856243442,0.030589628,0.010325745,0.007730271,0.025664788,426.963262133,0.100000000,0.025769916,0.274445151,1.154477803,0.009964806,439.537474971,0,153,150,3,0.160545645,102,0,0,0,0,698,102,4162,6620,2959,117,11818
23,1709436661.494853497,1709436661.593677282,1,0,0,1,-0.032640809,-0.520425459,0.002891020,-0.001284906,0.000269376,0.002366591,0.999996338,911,795,0.872667398,0.035445834,0.011095000,0.008622394,0.032371575,492.703082189,0.050000000,0.026456559,0.246989938,1.042071780,0.008434071,441.612094574,0,137,135,2,0.150384193,97,0,0,0,0,677,97,4206,6757,3056,117,12495
24,1709436661.594689131,1709436661.694518566,1,0,0,1,-0.040284748,-0.532640904,0.004802699,-0.001163812,0.000328766,0.002421787,0.999996336,953,833,0.874081847,0.031425109,0.009838828,0.007526495,0.025231436,415.657733336,0.050000000,0.026707874,0.215007070,0.870092600,0.008169030,437.508892360,0,142,138,4,0.149003148,84,0,0,0,0,723,88,4265,6899,3140,117,13218
25,1709436661.694930077,1709436661.794071198,1,0,0,1,-0.037499451,-0.518797518,0.004487445,-0.001219234,0.000341183,0.002320519,0.999996506,973,856,0.879753340,0.031343755,0.008678117,0.007125110,0.023280233,445.924645119,0.050000000,0.026482489,0.167540268,0.842335493,0.008121549,439.532081425,0,133,128,5,0.136690647,98,0,0,0,0,741,99,4326,7032,3238,117,13959
26,1709436661.794770002,1709436661.892663240,1,0,0,1,-0.037044678,-0.494002947,0.003631550,-0.001248915,0.000301385,0.002056237,0.999997061,1017,887,0.872173058,0.031676545,0.010830226,0.008369332,0.038832957,408.892786328,0.050000000,0.027315680,0.099233437,0.714965106,0.007762339,438.618760450,0,171,166,5,0.168141593,101,0,0,0,0,745,101,4399,7203,3339,117,14704
27,1709436661.894610167,1709436661.991358757,1,1,1,1,-0.029361740,-0.498124346,0.004396802,-0.000978800,0.000351365,0.002147857,0.999997153,985,866,0.879187817,0.031098094,0.009043120,0.007217875,0.019991041,419.499995075,0.100000000,0.027024106,0.083504735,0.689318534,0.007524001,440.000870978,1,100,99,1,0.101522843,104,46,0,7,0,734,151,4436,7303,3489,117,15438
28,1709436661.995251417,1709436662.090072632,1,0,0,1,-0.026454700,-0.441859827,0.002023475,-0.000979585,0.000134744,0.002203952,0.999997082,988,853,0.863360324,0.032332326,0.009118579,0.007556813,0.038572684,419.659881600,0.100000000,0.027909207,0.068286757,0.676500657,0.007059740,435.171132926,0,137,134,3,0.138663968,99,0,0,0,0,752,99,4501,7440,3588,117,16190
29,1709436662.095092773,1709436662.194930315,1,0,0,1,-0.025620627,-0.462246358,0.003524714,-0.001270275,0.000310624,0.002087320,0.999996966,982,858,0.873727088,0.030111350,0.009146075,0.007315347,0.032274585,429.636271897,0.100000000,0.028402763,0.063029383,0.618061192,0.006435732,434.406141044,0,123,118,5,0.125254582,84,0,0,0,0,775,84,4555,7563,3672,117,16965
30,1709436662.194943190,1709436662.293495893,1,0,0,1,-0.030254776,-0.458044139,0.004633361,-0.000901047,0.000330764,0.002047376,0.999997443,987,865,0.876393110,0.029859403,0.009119644,0.007687275,0.031613944,433.207483204,0.100000000,0.028952490,0.061400785,0.585053105,0.006385724,432.738922461,0,129,125,4,0.130699088,92,0,0,0,0,766,92,4613,7692,3764,117,17731
