frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709436659.195313454,1709436659.293277979,1,1,1,0,-0.137820808,-0.229469740,0.043630197,0.003091497,0.001583520,-0.000631942,0.999993768,951,657,0.690851735,0.048426136,0.019143600,0.010198053,0.019412394,364.406632471,1.000000000,0.019412394,0.000000000,0.000000000,0.000000000,364.406632471,1,391,371,20,0.411146162,108,56,44,50,175,177,383,1216,391,339,44,177
2,1709436659.295148134,1709436659.392018318,1,1,1,0,0.024095418,-0.575719905,-0.003281296,-0.004148185,0.000131949,0.002839900,0.999987355,984,711,0.722560976,0.050061379,0.024258892,0.017312976,0.017130866,461.207654269,1.000000000,0.018271630,0.016603555,0.385106127,0.006932756,412.807143370,2,389,368,21,0.395325203,74,61,5,50,134,320,275,1452,780,608,49,497
3,1709436659.394989252,1709436659.490612984,1,0,1,0,-0.014818016,-0.427267281,-0.005017264,-0.001780315,0.001029948,0.000786548,0.999997576,1024,732,0.714843750,0.061525059,0.023980370,0.017188423,0.020969426,446.735477206,0.666666667,0.019170895,0.109263112,0.538583978,0.011041992,424.116587982,0,575,506,69,0.561523438,107,0,0,0,0,337,112,1804,1355,715,49,834
4,1709436659.494827271,1709436659.594626904,1,0,1,0,0.037835596,-0.444330229,-0.012558687,-0.000062211,-0.000049611,0.002218151,0.999997537,1007,734,0.728897716,0.044460512,0.015929138,0.011509554,0.033502065,397.268086728,0.500000000,0.022753688,0.124106768,0.594444699,0.013908874,417.404462668,0,480,434,46,0.476663357,104,0,0,0,0,423,104,2100,1835,819,49,1257
5,1709436659.594650745,1709436659.694434166,1,0,0,0,0.039941393,-0.383042087,-0.012162463,-0.001951779,-0.000078777,0.001668050,0.999996701,958,750,0.782881002,0.039006128,0.017153356,0.013505311,0.022256094,434.899522097,0.400000000,0.022654169,0.153222481,0.655770286,0.015008782,420.903474554,0,407,374,33,0.424843424,97,0,0,0,0,454,97,2342,2242,916,49,1711
6,1709436659.695294380,1709436659.795111179,1,0,0,0,0.039653484,-0.283369397,-0.013134421,-0.001031922,-0.000310692,0.001610326,0.999998123,945,761,0.805291005,0.039671127,0.014356422,0.011262826,0.032622683,374.617832404,0.333333333,0.024315588,0.160967582,0.755448132,0.015123891,413.189200863,0,370,356,14,0.391534392,112,0,0,0,0,463,112,2540,2612,1028,49,2174
7,1709436659.795123100,1709436659.894934416,1,0,0,0,0.030310921,-0.209592490,-0.007742420,-0.001013850,0.000151482,0.001097306,0.999998873,1008,815,0.808531746,0.034025589,0.011486962,0.009362523,0.021146396,395.841706877,0.285714286,0.023862846,0.185552893,0.830009443,0.016150881,410.710987436,0,364,350,14,0.361111111,123,0,0,0,0,521,123,2727,2976,1151,49,2695
8,1709436659.894958496,1709436659.994790077,1,1,1,0,0.046441840,-0.120446484,-0.006418542,-0.000397062,-0.000174782,0.000155075,0.999999894,987,811,0.821681864,0.035946185,0.012947841,0.009708621,0.018472212,404.929555224,0.375000000,0.023189017,0.191489494,0.920612807,0.018034896,409.988308410,1,229,223,6,0.232016211,125,96,0,31,0,537,221,2818,3205,1372,49,3232
9,1709436659.994801283,1709436660.094627142,1,1,1,0,0.035091204,-0.093256969,-0.004162878,0.000269447,-0.000249630,0.000237964,0.999999904,975,813,0.833846154,0.034623967,0.012735501,0.009883612,0.018072800,415.559377100,0.444444444,0.022620548,0.197565704,0.950162674,0.018200401,410.607316042,2,219,209,10,0.224615385,119,76,0,37,0,561,195,2919,3424,1567,49,3793
10,1709436660.094640017,1709436660.194464445,1,0,0,0,0.005014545,-0.084819404,-0.003702547,0.000544560,-0.000092037,0.000096448,0.999999843,958,787,0.821503132,0.038111796,0.013463446,0.010311000,0.021310164,433.329148231,0.400000000,0.022489510,0.192821853,0.981403831,0.018483398,412.879499261,0,279,269,10,0.291231733,110,0,0,0,0,569,110,3059,3703,1677,49,4362
