frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709436659.195313454,1709436659.293277979,43,42,0.014478519,0.019668541,0,0,0,0,0,-0.137820808,-0.229469740,0.043630197,0.003091497,0.001583520,-0.000631942,0.999993768,951,657,0.690851735,0.048426136,0.019143600,0.010198053,0.019412394,364.406632471,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003394,0.000043377,0.000248895,0.005570597,-0.999976244,0.004059561,0.000000000,0.000000000,0.000000063,0.982579823,0.148867974,-0.111243959,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,774,687,87,0.813880126,0,0,0,0,0,177,0,1523,774,0,0,177
2,1709436659.295148134,1709436659.392018318,44,43,0.014146117,0.020835914,0,0,0,0,0,0.028882249,-0.145848539,-0.004001879,-0.000018218,-0.000238301,0.001143699,0.999999317,984,728,0.739837398,0.040851827,0.011330568,0.008496832,0.012664468,488.677170742,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003303,0.000052376,0.000375237,0.112263098,-0.993668683,-0.004420914,0.000000000,0.000002317,0.000003233,-0.630363322,0.595806809,-0.497650811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,647,599,48,0.657520325,0,0,0,0,0,337,0,1919,1421,0,0,514
3,1709436659.394989252,1709436659.490612984,44,44,0.014280776,0.019507244,0,0,0,0,0,-0.026241688,0.029789771,-0.007031332,0.000944743,0.000852768,-0.000114407,0.999999184,1012,760,0.750988142,0.043919699,0.019733276,0.013483766,0.021506428,453.458385855,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002793,0.000028092,0.000257053,0.052303796,-0.998629900,-0.001623742,0.000000007,0.000000019,0.000000073,0.737302033,0.056706942,-0.673179051,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,628,592,36,0.620553360,0,0,0,0,0,384,0,2315,2049,0,0,898
4,1709436659.494827271,1709436659.594626904,46,45,0.014301404,0.021604619,0,0,0,0,0,-0.036836579,0.077539976,-0.003567458,0.000893606,0.000287263,-0.000331520,0.999999505,1011,752,0.743818002,0.027455251,0.011796661,0.008047082,0.020233781,487.321501698,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002512,0.000020314,0.000243627,0.069471003,-0.997576331,-0.003904180,0.000000006,0.000000020,0.000000077,0.758836405,0.073118176,-0.647163846,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,546,523,23,0.540059347,0,0,0,0,0,465,0,2617,2595,0,0,1363
5,1709436659.594650745,1709436659.694434166,47,46,0.011421337,0.018703266,0,0,0,0,0,-0.033971845,0.162808624,-0.001387068,0.000978167,0.000206276,-0.000902865,0.999999093,976,770,0.788934426,0.031385447,0.013758562,0.009293225,0.018848499,473.866511560,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002311,0.000017021,0.000199588,0.049663386,-0.998765029,0.001401934,0.000000005,0.000000014,0.000000060,0.760853611,0.072500733,-0.644860781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,497,481,16,0.509221311,0,0,0,0,0,479,0,2891,3092,0,0,1842
6,1709436659.695294380,1709436659.795111179,48,47,0.012325717,0.020576303,0,0,0,0,0,-0.049487267,0.216608115,0.005051250,0.001781093,0.000255635,-0.001606873,0.999997090,951,750,0.788643533,0.029002741,0.011334329,0.008362971,0.014580074,439.101607645,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002380,0.000016580,0.000166725,0.053075584,-0.998590443,0.000332403,0.000000006,0.000000014,0.000000059,0.779575096,0.066042773,-0.622817004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,455,438,17,0.478443743,0,0,0,0,0,496,0,3123,3547,0,0,2338
7,1709436659.795123100,1709436659.894934416,49,48,0.012716671,0.018415142,0,0,0,0,0,-0.060484499,0.164201567,0.011871252,0.001030588,0.000577090,-0.001038758,0.999998763,1011,812,0.803165183,0.026523900,0.009111060,0.006816810,0.023058009,439.086757627,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002194,0.000014171,0.000140140,0.044563463,-0.999005608,0.001376068,0.000000005,0.000000014,0.000000047,0.789183623,0.050177485,-0.612104100,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,412,399,13,0.407517310,0,0,0,0,0,599,0,3328,3959,0,0,2937
8,1709436659.894958496,1709436659.994790077,50,49,0.013003663,0.028654397,0,0,0,0,0,-0.063967858,0.201340536,0.015760911,0.001458692,0.000489973,-0.001638749,0.999997473,987,799,0.809523810,0.026602441,0.008749617,0.006807053,0.021213360,449.432548731,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002203,0.000013857,0.000129750,0.053454240,-0.998566532,-0.002743171,0.000000005,0.000000013,0.000000046,0.801230132,0.051254887,-0.596157037,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,375,362,13,0.379939210,0,0,0,0,0,612,0,3531,4334,0,0,3549
9,1709436659.994801283,1709436660.094627142,51,50,0.017238145,0.032835412,0,0,0,0,0,-0.096479794,0.174054328,0.014554108,0.001421269,0.000370859,-0.001094522,0.999998322,976,815,0.835040984,0.029512188,0.008704023,0.006778689,0.022429533,400.463654668,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002237,0.000011627,0.000108734,0.085261878,-0.996355164,-0.002607645,0.000000004,0.000000013,0.000000038,0.723337097,0.103263776,-0.682729841,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,369,358,11,0.378073770,0,0,0,0,0,607,0,3704,4703,0,0,4156
10,1709436660.094640017,1709436660.194464445,52,51,0.019099838,0.028948085,0,0,0,0,0,-0.125491661,0.129296853,0.019732660,0.001598064,0.000847525,-0.001038811,0.999997824,952,751,0.788865546,0.023750098,0.008616610,0.006393591,0.022682301,362.831747116,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002349,0.000011209,0.000097602,0.067512043,-0.997714219,-0.002908670,0.000000005,0.000000012,0.000000042,0.873969927,0.076860180,-0.479863605,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,301,289,12,0.316176471,0,0,0,0,0,651,0,3861,5004,0,0,4807
