frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709436657.195278168,1709436657.295099497,23,22,0.011345595,0.017162481,1,0,0,0,0,0.068131319,0.002921931,-0.003300833,0.000218322,-0.000226973,0.000244055,0.999999921,1008,713,0.707341270,0.038642805,0.007271778,0.005409424,0.021155729,711.882555582,543,0.981283667,9.701504799,57.460356762,465.675169435,0.018207265,0.017866491,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003314,0.000026394,0.000865736,0.044471508,-0.999009832,0.001280592,0.000000000,0.000000027,0.000000130,0.518648004,0.034301595,-0.854299507,0.000000000,0.021155729,0.000000000,0.000000000,0.000000000,711.882555582,0,0.018207265,0.017866491,1.000000000,1.000000000,783,697,86,0.776785714,0,0,0,0,0,225,0,1574,783,0,0,225
2,1709436657.295123100,1709436657.394908428,24,23,0.012139287,0.015770367,1,0,1,1,0,-0.044096715,-0.180342949,0.001479734,-0.002683831,0.000159290,0.001505941,0.999995252,976,731,0.748975410,0.033016415,0.013531236,0.010127287,0.017839234,597.592463693,640,0.970109370,14.647140951,74.233018507,531.989837372,0.023591317,0.022886158,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003265,0.000032850,0.000527647,0.053227928,-0.998582204,0.000607096,0.000000000,0.000000040,0.000000253,0.829426726,0.426925621,-0.360257992,0.500000000,0.019497482,0.078515926,0.214951161,0.002523007,654.737509638,1,0.020899291,0.020376325,1.000000000,1.000000000,566,520,46,0.579918033,87,0,0,0,0,322,88,1882,1349,87,0,547
3,1709436657.394958735,1709436657.494782925,25,24,0.013693679,0.022499156,1,0,0,1,0,-0.060149136,-0.336197835,0.006082809,-0.001935659,0.000200121,0.001899986,0.999996302,1004,838,0.834661355,0.037211388,0.016362983,0.012233897,0.023144762,544.484385820,699,0.975010171,13.380512127,76.641139350,591.510458071,0.019632989,0.019142364,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002610,0.000020210,0.000340620,0.061437681,-0.998107718,0.002528948,0.000000006,0.000000017,0.000000076,0.650566208,0.038806303,-0.758457435,0.333333333,0.020713242,0.065790138,0.371698136,0.003311181,617.986468365,0,0.020477190,0.019965004,1.000000000,1.000000000,609,579,30,0.606573705,0,0,0,0,0,395,0,2200,1958,87,0,942
4,1709436657.494794607,1709436657.594491243,26,25,0.011152671,0.015858057,1,0,1,1,0,-0.078946956,-0.293677120,0.008449862,-0.001854221,0.000337251,0.001647323,0.999996867,999,804,0.804804805,0.031185020,0.008190627,0.006238173,0.018792015,475.086495382,733,0.971901055,15.154728030,89.642494986,607.606250281,0.021272676,0.020674936,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002302,0.000021741,0.000255881,0.053935769,-0.998528708,0.005599208,0.000000006,0.000000015,0.000000074,0.779287546,0.005036555,-0.626646275,0.500000000,0.020232935,0.086448129,0.418248885,0.003816981,582.261475119,1,0.020676061,0.020142487,1.000000000,1.000000000,424,399,25,0.424424424,129,0,0,0,0,446,129,2401,2382,216,0,1388
5,1709436657.594628334,1709436657.693432570,27,26,0.011958172,0.016087251,1,0,1,1,0,-0.058311919,-0.371382055,0.007777334,-0.002459724,0.000156847,0.002287816,0.999994346,930,773,0.831182796,0.034426854,0.012017565,0.009115266,0.019776474,454.376483014,703,0.972983936,18.335533337,80.117998506,585.554175379,0.026806033,0.026081840,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002227,0.000018260,0.000214544,0.073648260,-0.997282504,0.001881693,0.000000005,0.000000013,0.000000057,0.686832825,0.031065629,-0.726151222,0.600000000,0.020141643,0.077872987,0.498649842,0.005098438,556.684476698,2,0.021902056,0.021330358,1.000000000,1.000000000,364,346,18,0.391397849,96,0,0,0,0,470,96,2591,2746,312,0,1858
6,1709436657.695268393,1709436657.792375326,28,27,0.011878039,0.019129251,1,0,1,1,0,-0.037507588,-0.348330088,0.005154678,-0.002121726,0.000135026,0.002017519,0.999995705,984,790,0.802845528,0.029996376,0.008519201,0.006804892,0.019152210,459.863429482,755,0.970219022,19.121051821,90.360849698,623.033460438,0.026103278,0.025325896,0,0.000000000,0.000000000,1.000000000,1.000000000,1,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002218,0.000016752,0.000178432,0.077495843,-0.996990119,0.002257716,0.000000005,0.000000012,0.000000051,0.757375080,0.018611825,-0.652714783,0.666666667,0.019976737,0.090387839,0.529812186,0.005638830,540.547635495,3,0.022602259,0.021996281,1.000000000,1.000000000,342,325,17,0.347560976,140,0,0,0,0,501,141,2762,3088,452,0,2359
7,1709436657.795108080,1709436657.894917250,29,28,0.013703942,0.021303045,1,0,0,0,0,-0.032432225,-0.223052079,0.009098205,-0.001919682,0.000353042,0.001276523,0.999997280,963,800,0.830737279,0.035365068,0.009631309,0.007855554,0.027512955,397.947617665,737,0.971339944,23.675726366,96.031301135,596.170510978,0.033072313,0.032124459,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002263,0.000012958,0.000145036,0.062445571,-0.998047923,0.000945260,0.000000005,0.000000013,0.000000042,0.792514874,0.054778714,-0.607387411,0.571428571,0.021053340,0.084263091,0.655254963,0.007121602,520.176204377,0,0.024097981,0.023443163,1.000000000,1.000000000,434,411,23,0.450674974,0,0,0,0,0,529,0,3000,3522,452,0,2888
8,1709436657.894941330,1709436657.993590593,30,29,0.012038155,0.020893325,1,0,0,0,0,-0.016988655,-0.159671088,0.005529152,-0.001470228,0.000197967,0.000880414,0.999998512,971,815,0.839340886,0.025594405,0.007250128,0.005774331,0.023220960,395.505667572,784,0.969141760,22.689675530,102.859401673,634.258062333,0.029862414,0.028940913,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002158,0.000012515,0.000115870,0.063506031,-0.997977232,0.002903050,0.000000004,0.000000012,0.000000040,0.838554984,-0.010111424,-0.544723139,0.500000000,0.021324292,0.118707827,0.720587896,0.007913044,504.592387276,0,0.024818536,0.024130382,1.000000000,1.000000000,392,374,18,0.403707518,0,0,0,0,0,579,0,3207,3914,452,0,3467
9,1709436657.994789600,1709436658.092260838,31,30,0.012427991,0.016531482,1,0,0,0,0,-0.020206543,-0.095704452,0.006240897,-0.000885857,0.000304705,0.000938716,0.999999121,954,799,0.837526205,0.026572205,0.009000523,0.006998228,0.025381753,440.506689553,739,0.964482477,23.679042804,105.743430380,583.330077429,0.033221969,0.032042007,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002164,0.000013225,0.000115349,0.055573860,-0.998447339,0.003802316,0.000000005,0.000000012,0.000000040,0.872188858,0.004214496,-0.489151136,0.444444444,0.021775121,0.131130759,0.784639373,0.008029691,497.471754196,0,0.025752250,0.025009451,1.000000000,1.000000000,348,329,19,0.364779874,0,0,0,0,0,606,0,3389,4262,452,0,4073
10,1709436658.094631910,1709436658.191006422,32,31,0.011423508,0.017179380,1,0,0,0,0,-0.003161830,-0.102610878,0.004441824,-0.001068822,0.000105465,0.000918124,0.999999002,986,835,0.846855984,0.025154442,0.009005917,0.007231463,0.021923802,465.751901302,789,0.968875445,18.092537706,108.508708584,637.841479459,0.023667617,0.022930973,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002099,0.000013390,0.000114522,0.067542867,-0.997712650,0.002725794,0.000000005,0.000000010,0.000000042,0.863799795,0.003698630,-0.503821629,0.400000000,0.021789989,0.144747132,0.803117945,0.008070561,494.299768907,0,0.025543787,0.024801604,1.000000000,1.000000000,345,338,7,0.349898580,0,0,0,0,0,641,0,3555,4607,452,0,4714
11,1709436658.195276976,1709436658.295109987,33,32,0.012624336,0.024019997,1,0,0,0,0,-0.001181622,-0.126556314,0.003200771,-0.001085993,0.000078726,0.000929811,0.999998975,1003,851,0.848454636,0.023331905,0.007823850,0.006021868,0.021668512,475.352335983,832,0.970669805,20.307356643,119.589415405,667.700505437,0.025145400,0.024407881,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002126,0.000013503,0.000112938,0.064098282,-0.997928127,0.005555420,0.000000005,0.000000010,0.000000039,0.848405897,-0.006987890,-0.529300107,0.363636364,0.021778946,0.161432118,0.827177150,0.008093989,492.577275004,0,0.025507570,0.024765811,1.000000000,1.000000000,353,347,6,0.351944167,0,0,0,0,0,650,0,3728,4960,452,0,5364
12,1709436658.295121670,1709436658.394942284,34,33,0.013793048,0.018132084,1,0,0,0,0,-0.013870328,-0.123850255,0.003621747,-0.000880718,0.000184448,0.000862842,0.999999223,1008,866,0.859126984,0.027331461,0.009614216,0.007709450,0.029168879,422.149327613,828,0.966461960,27.031493583,117.185180333,656.013828949,0.033779634,0.032646731,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002053,0.000011279,0.000100712,0.030113473,-0.999531493,0.005474718,0.000000004,0.000000010,0.000000035,0.865629147,0.020896835,-0.500249440,0.333333333,0.022394774,0.159463425,0.840158029,0.008228078,486.708279388,0,0.026196909,0.025422554,1.000000000,1.000000000,339,331,8,0.336309524,0,0,0,0,0,669,0,3880,5299,452,0,6033
13,1709436658.394954443,1709436658.494787216,35,34,0.012905660,0.018915533,1,0,0,0,0,-0.009547539,-0.123774619,0.001996354,-0.001370977,0.000191833,0.000881251,0.999998654,991,838,0.845610494,0.022607088,0.007012750,0.005585671,0.023449635,401.908297573,810,0.967858762,21.689282509,110.707323085,651.568991679,0.027666115,0.026776892,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002096,0.000012579,0.000094550,0.025707020,-0.999623923,0.009547844,0.000000005,0.000000009,0.000000034,0.869052628,-0.011924488,-0.494575916,0.307692308,0.022475917,0.171886851,0.844776917,0.008264694,480.185203864,0,0.026309925,0.025526734,1.000000000,1.000000000,320,313,7,0.322906155,0,0,0,0,0,671,0,4028,5619,452,0,6704
14,1709436658.494798660,1709436658.594629526,36,35,0.015335109,0.022355302,1,0,0,0,0,-0.023442622,-0.092255586,0.004447652,-0.001106185,0.000293555,0.000507599,0.999999216,951,805,0.846477392,0.022683347,0.006802454,0.005136588,0.025005164,381.206137524,779,0.963111616,21.715529035,114.366542440,614.181877137,0.028943852,0.027876161,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002140,0.000012185,0.000088872,0.020251766,-0.999728695,0.011506588,0.000000004,0.000000010,0.000000036,0.880394796,-0.039882259,-0.472561539,0.285714286,0.022656577,0.180374024,0.879309969,0.009012120,473.115270554,0,0.026498062,0.025694550,1.000000000,1.000000000,265,259,6,0.278654048,0,0,0,0,0,686,0,4141,5884,452,0,7390
15,1709436658.594641447,1709436658.694429159,37,36,0.013142865,0.021222204,1,0,0,0,0,-0.011735216,-0.069733915,0.004299183,-0.000889471,0.000199872,0.000571782,0.999999421,1004,867,0.863545817,0.022224167,0.007967321,0.006159818,0.030897187,414.216320059,821,0.959089346,24.997122415,110.300550984,652.114679431,0.031745911,0.030447165,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002039,0.000011304,0.000084844,0.073406807,-0.997300964,0.001492312,0.000000004,0.000000009,0.000000032,0.839253908,0.039704821,-0.542288120,0.266666667,0.023205951,0.187909811,0.904693252,0.009140780,469.188673855,0,0.026847919,0.026011391,1.000000000,1.000000000,271,267,4,0.269920319,0,0,0,0,0,733,0,4246,6155,452,0,8123
