frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709436657.195278168,1709436657.295099497,23,22,0.011345595,0.017162481,0,0,0,0,0,0.068131319,0.002921931,-0.003300833,0.000218322,-0.000226973,0.000244055,0.999999921,1008,713,0.707341270,0.038642805,0.007271778,0.005409424,0.021155729,711.882555582,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003314,0.000026394,0.000865736,0.044471508,-0.999009832,0.001280592,0.000000000,0.000000027,0.000000130,0.518648004,0.034301595,-0.854299507,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,783,697,86,0.776785714,0,0,0,0,0,225,0,1574,783,0,0,225
2,1709436657.295123100,1709436657.394908428,24,23,0.012139287,0.015770367,0,0,0,0,0,-0.044096715,-0.180342949,0.001479734,-0.002683831,0.000159290,0.001505941,0.999995252,976,731,0.748975410,0.033016415,0.013531236,0.010127287,0.017839234,597.592463693,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003265,0.000032850,0.000527647,0.053227928,-0.998582204,0.000607096,0.000000000,0.000000040,0.000000253,0.829426726,0.426925621,-0.360257992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,654,600,54,0.670081967,0,0,0,0,0,322,0,1945,1437,0,0,547
3,1709436657.394958735,1709436657.494782925,25,24,0.013693679,0.022499156,0,0,0,0,0,-0.064406082,-0.321510899,0.008181995,-0.001758288,0.000287969,0.001668326,0.999997021,1004,829,0.825697211,0.032805486,0.012670391,0.009773890,0.025032259,546.977948463,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002636,0.000020866,0.000349842,0.065823950,-0.997831252,0.000031193,0.000000006,0.000000018,0.000000082,0.662837661,0.049705864,-0.747111479,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,603,581,22,0.600597610,0,0,0,0,0,401,0,2255,2040,0,0,948
4,1709436657.494794607,1709436657.594491243,26,25,0.011152671,0.015858057,0,0,0,0,0,-0.068931016,-0.286219418,0.008866674,-0.001764895,0.000281718,0.001553693,0.999997196,997,807,0.809428285,0.032034554,0.008727091,0.006463422,0.019390909,465.897023127,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002291,0.000021212,0.000252549,0.074424011,-0.997226661,0.000231041,0.000000006,0.000000015,0.000000073,0.785228336,0.010589901,-0.619115752,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,551,521,30,0.552657974,0,0,0,0,0,446,0,2538,2591,0,0,1394
5,1709436657.594628334,1709436657.693432570,27,26,0.011958172,0.016087251,0,0,0,0,0,-0.046362460,-0.346193635,0.006391141,-0.002536245,0.000110837,0.002085261,0.999994603,930,771,0.829032258,0.033166969,0.013331170,0.010528981,0.022732885,432.384975320,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002223,0.000017286,0.000198369,0.079474630,-0.996836878,-0.000149147,0.000000005,0.000000013,0.000000055,0.735786240,0.029044156,-0.676590752,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,459,436,23,0.493548387,0,0,0,0,0,471,0,2782,3050,0,0,1865
6,1709436657.695268393,1709436657.792375326,27,27,0.011878039,0.019129251,0,0,0,0,0,-0.038862533,-0.243177151,0.006390231,-0.001638291,0.000206987,0.001414061,0.999997637,984,787,0.799796748,0.028781107,0.008114012,0.006470004,0.023555490,440.500794190,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002180,0.000015567,0.000161921,0.081481388,-0.996674600,0.000724316,0.000000005,0.000000011,0.000000045,0.786303801,0.005228496,-0.617817931,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,444,423,21,0.451219512,0,0,0,0,0,540,0,3021,3494,0,0,2405
7,1709436657.795108080,1709436657.894917250,29,28,0.013703942,0.021303045,0,0,0,0,0,-0.035091838,-0.165413664,0.007460771,-0.001473041,0.000248601,0.001019456,0.999998365,963,771,0.800623053,0.025301227,0.007944632,0.006659014,0.024549672,410.425922260,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002338,0.000013336,0.000153269,0.078163427,-0.996934677,-0.003424732,0.000000006,0.000000014,0.000000046,0.804151371,0.077021450,-0.589413496,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,396,378,18,0.411214953,0,0,0,0,0,567,0,3227,3890,0,0,2972
8,1709436657.894941330,1709436657.993590593,30,29,0.012038155,0.020893325,0,0,0,0,0,-0.018606532,-0.138541687,0.004701660,-0.001453742,0.000215299,0.000856291,0.999998554,970,812,0.837113402,0.023030105,0.006762735,0.005387278,0.025129252,370.070950220,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002174,0.000011786,0.000114436,0.074022403,-0.997255943,0.001125857,0.000000004,0.000000012,0.000000038,0.868744227,-0.001997311,-0.495256982,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,369,356,13,0.380412371,0,0,0,0,0,601,0,3406,4259,0,0,3573
9,1709436657.994789600,1709436658.092260838,30,30,0.012427991,0.016531482,0,0,0,0,0,-0.027710328,-0.094286747,0.009309035,-0.000730474,0.000449362,0.000815068,0.999999300,955,788,0.825130890,0.024793364,0.008640310,0.006649242,0.027048207,431.111847687,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002180,0.000012528,0.000113329,0.059672305,-0.998200433,0.005925434,0.000000005,0.000000011,0.000000036,0.880995901,0.016181104,-0.472847116,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,337,321,16,0.352879581,0,0,0,0,0,618,0,3585,4596,0,0,4191
10,1709436658.094631910,1709436658.191006422,31,31,0.011423508,0.017179380,0,0,0,0,0,-0.011449928,-0.095569189,0.008031268,-0.000812252,0.000192362,0.000827376,0.999999309,989,831,0.840242669,0.024128833,0.008291326,0.006399389,0.028485971,450.088534196,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002100,0.000012066,0.000110850,0.081409130,-0.996678326,0.002206400,0.000000005,0.000000011,0.000000041,0.884433171,0.027698379,-0.465844143,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,349,342,7,0.352881699,0,0,0,0,0,640,0,3750,4945,0,0,4831
