frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1709437142.611411572,0.086729506,0.134489640,-0.008414676,-0.001523837,-0.000649785,-0.009297991,0.999955401,0,0.000000000,0,0.000000000
2,1709437142.714954138,0.034583705,0.244337272,-0.012847389,-0.001049468,-0.000436133,-0.007381076,0.999972114,2108,1709437142.611411572,0,0.000000000
3,1709437142.814933777,0.021512140,0.269401210,-0.010841943,-0.001318024,-0.000510861,-0.009612689,0.999952798,2087,1709437142.714954138,0,0.000000000
4,1709437142.914747000,0.005001327,0.202751891,-0.001044856,-0.001023910,-0.000211795,-0.010126685,0.999948177,2088,1709437142.814933777,0,0.000000000
5,1709437143.014541864,0.000691966,0.247336918,0.001613915,-0.000916859,-0.000191712,-0.008652524,0.999962128,2146,1709437142.914747000,0,0.000000000
6,1709437143.113637686,0.050336658,0.260990364,-0.000150884,-0.000549946,-0.000133913,-0.007746512,0.999969835,2123,1709437143.014541864,2123,1709437143.014541864
7,1709437143.215078831,0.073358393,0.239184278,-0.002839810,-0.000921965,-0.000282417,-0.007990132,0.999967613,2030,1709437143.113637686,2123,1709437143.014541864
8,1709437143.314280510,0.073690328,0.269563162,-0.002672790,-0.001089344,-0.000240214,-0.008399575,0.999964101,2084,1709437143.215078831,2123,1709437143.014541864
9,1709437143.413081646,0.078322550,0.223604944,0.000511836,-0.000458410,-0.000072102,-0.005951703,0.999982181,2093,1709437143.314280510,2123,1709437143.014541864
10,1709437143.511959076,0.097822191,0.213717155,-0.002714426,-0.001078759,-0.000325947,-0.007603292,0.999970460,2080,1709437143.413081646,2123,1709437143.014541864
11,1709437143.614814758,0.070778575,0.226110885,-0.006397531,-0.001021540,-0.000362130,-0.008317070,0.999964825,2087,1709437143.511959076,2123,1709437143.014541864
12,1709437143.713732958,0.056081199,0.223093756,-0.002701453,-0.001172127,-0.000127631,-0.007806498,0.999968834,2129,1709437143.614814758,2123,1709437143.014541864
13,1709437143.812387228,0.069271668,0.205967232,-0.004149118,-0.001426908,-0.000399615,-0.008541156,0.999962426,2101,1709437143.713732958,2123,1709437143.014541864
14,1709437143.911052465,0.042927516,0.218498201,-0.003909346,-0.000795215,-0.000285486,-0.007578576,0.999970925,2086,1709437143.812387228,2123,1709437143.014541864
15,1709437144.014974833,0.053116178,0.242483059,-0.009192964,-0.001113636,-0.000544066,-0.008886820,0.999959743,2066,1709437143.911052465,4189,1709437144.014974833
16,1709437144.114813805,0.044453516,0.232658434,-0.007142332,-0.000699590,-0.000316729,-0.008190797,0.999966160,2062,1709437144.014974833,4189,1709437144.014974833
17,1709437144.214656591,0.042745282,0.249243860,-0.005484926,-0.000932520,-0.000319526,-0.008911270,0.999959808,2121,1709437144.114813805,4189,1709437144.014974833
18,1709437144.314492702,0.046739913,0.264875851,-0.002976169,-0.001298518,-0.000209919,-0.008904727,0.999959487,2137,1709437144.214656591,4189,1709437144.014974833
19,1709437144.414335966,0.033322826,0.269813243,-0.002671642,-0.001299341,-0.000319907,-0.009154505,0.999957201,2075,1709437144.314492702,4189,1709437144.014974833
20,1709437144.514983892,0.034068454,0.272343172,-0.004455974,-0.000964938,-0.000286033,-0.008746608,0.999961241,2010,1709437144.414335966,4189,1709437144.014974833
21,1709437144.614151716,0.025288312,0.263859990,-0.005161706,-0.000945280,-0.000246501,-0.008161028,0.999966221,2138,1709437144.514983892,4189,1709437144.014974833
22,1709437144.713009357,0.042470657,0.262478159,-0.003234322,-0.000646412,-0.000202083,-0.008051649,0.999967356,2081,1709437144.614151716,4189,1709437144.014974833
23,1709437144.811952591,0.045475914,0.253739329,-0.006283849,-0.001368677,-0.000424931,-0.008721492,0.999960940,2076,1709437144.713009357,4189,1709437144.014974833
24,1709437144.914852142,0.053228400,0.262024389,-0.006634836,-0.000864150,-0.000314609,-0.008593748,0.999962650,2075,1709437144.811952591,4189,1709437144.014974833
25,1709437145.013446569,0.052927174,0.245759895,-0.003714289,-0.000881287,-0.000220650,-0.008493810,0.999963514,2125,1709437144.914852142,4189,1709437144.014974833
26,1709437145.112061262,0.064508530,0.246639012,-0.002550905,-0.000479000,-0.000279017,-0.008048102,0.999967460,2093,1709437145.013446569,6282,1709437145.013446569
