frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1709437142.611411572,0.086729500,0.134489636,-0.008414676,-0.001523837,-0.000649785,-0.009297991,0.999955401,0,0.000000000,0,0.000000000
2,1709437142.714954138,0.033871816,0.243960313,-0.012804096,-0.001084572,-0.000433642,-0.007400460,0.999971934,2108,1709437142.611411572,0,0.000000000
3,1709437142.814933777,0.026042369,0.316669501,-0.011930757,-0.001061661,-0.000487129,-0.009455060,0.999954618,2087,1709437142.714954138,0,0.000000000
4,1709437142.914747000,0.054406672,0.388524618,-0.013012227,-0.000664310,-0.000577685,-0.013024095,0.999914795,2088,1709437142.814933777,0,0.000000000
5,1709437143.014541864,0.068723327,0.397621517,-0.009203718,-0.000464131,-0.000428190,-0.010693731,0.999942621,2146,1709437142.914747000,0,0.000000000
6,1709437143.113637686,0.070415876,0.417666909,-0.009836914,-0.000172579,-0.000302655,-0.010732401,0.999942345,2123,1709437143.014541864,2123,1709437143.014541864
7,1709437143.215078831,0.066059007,0.317584603,-0.006046630,-0.000012998,-0.000255785,-0.007768681,0.999969791,2030,1709437143.113637686,2123,1709437143.014541864
8,1709437143.314280510,0.072987778,0.344306011,-0.015251279,-0.000423745,-0.000642235,-0.008635631,0.999962416,2084,1709437143.215078831,2123,1709437143.014541864
9,1709437143.413081646,0.081889574,0.323178009,-0.011036851,-0.000196310,-0.000323909,-0.008467731,0.999964076,2093,1709437143.314280510,2123,1709437143.014541864
10,1709437143.511959076,0.098240496,0.307378435,-0.006390310,-0.000083645,-0.000185133,-0.008181011,0.999966514,2080,1709437143.413081646,2123,1709437143.014541864
11,1709437143.614814758,0.089368630,0.292778885,-0.006266164,-0.000478083,-0.000288010,-0.008292853,0.999965458,2087,1709437143.511959076,2123,1709437143.014541864
12,1709437143.713732958,0.087863600,0.258038440,-0.003948083,-0.000344290,-0.000274715,-0.007791751,0.999969547,2129,1709437143.614814758,2123,1709437143.014541864
13,1709437143.812387228,0.082578421,0.224142884,-0.006233527,-0.000217000,-0.000435781,-0.007369633,0.999972725,2101,1709437143.713732958,2123,1709437143.014541864
