time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1709437167.914663315,64,11,0.164692735,2.129914202,0.300000000,nan,nan,0,0,6004,976,fitness_reject
1709437172.514465332,79,3,0.142826150,4.262070910,0.300000000,nan,nan,0,0,4682,984,fitness_reject
1709437173.414636612,82,3,0.103384633,23.915054341,0.300000000,nan,nan,0,0,4682,1008,fitness_reject
1709437176.612848282,93,1,0.143582096,4.132527539,0.300000000,nan,nan,0,0,4234,1186,fitness_reject
1709437177.214615822,95,52,0.164444205,1.267352856,0.300000000,nan,nan,0,0,6562,1285,fitness_reject
1709437179.312983036,102,58,0.162507859,6.844777189,0.300000000,nan,nan,0,0,6635,1326,fitness_reject
1709437190.310889721,140,79,0.140714951,1.793507654,0.300000000,nan,nan,0,0,7359,1103,fitness_reject
1709437198.411115408,167,79,0.136114811,5.224974594,0.300000000,nan,nan,0,0,7359,1071,fitness_reject
1709437220.912042379,238,58,0.142701288,50.296573656,0.300000000,nan,nan,0,0,6635,1153,fitness_reject
1709437240.911940098,315,82,0.151904533,429.591315129,0.300000000,nan,nan,0,0,7370,1021,fitness_reject
1709437250.612239361,347,82,0.152714509,415.141659959,0.300000000,nan,nan,0,0,7370,1046,fitness_reject
1709437258.612936258,374,79,0.171730328,944.669060744,0.300000000,nan,nan,0,0,7359,1255,fitness_reject
1709437259.213398695,376,11,0.081874402,419.760815779,0.300000000,nan,nan,0,0,6004,1110,fitness_reject
1709437264.914140463,395,48,0.073334891,767.091327234,0.300000000,nan,nan,0,0,6784,1202,fitness_reject
1709437265.814484596,398,48,0.139892508,756.016191288,0.300000000,nan,nan,0,0,6784,1260,fitness_reject
1709437295.613625050,498,82,0.156441195,1156.857643921,0.300000000,nan,nan,0,0,7370,1253,fitness_reject
1709437304.212120771,529,7,0.146684237,45.138967614,0.300000000,nan,nan,0,0,5387,996,fitness_reject
1709437305.914451599,536,52,0.154397133,0.264727850,0.300000000,0.183885488,0.001554208,0,1,6562,951,accepted
1709437309.613530636,548,79,0.153688421,nan,nan,nan,nan,0,0,0,1025,loop_pair_cooldown_reject
1709437311.911637545,557,29,0.176034470,nan,nan,nan,nan,0,0,0,976,loop_pair_cooldown_reject
1709437315.914504051,571,238,0.084763580,2968.533880493,0.300000000,nan,nan,0,0,8505,987,fitness_reject
1709437331.615094900,624,52,0.173640529,nan,nan,nan,nan,0,0,0,1361,candidate_cooldown_reject
1709437337.411425829,644,82,0.149177750,2997.298295552,0.300000000,nan,nan,0,0,7370,1360,fitness_reject
1709437338.612457991,648,82,0.094282854,2733.263573005,0.300000000,nan,nan,0,0,7370,1480,fitness_reject
1709437340.114968777,653,82,0.149832756,2145.206743027,0.300000000,nan,nan,0,0,7370,1492,fitness_reject
1709437349.010720015,684,82,0.148428213,7.501545702,0.300000000,nan,nan,0,0,7370,1070,fitness_reject
1709437351.412883043,692,82,0.094556034,17.527645437,0.300000000,nan,nan,0,0,7370,1136,fitness_reject
1709437373.814735889,769,359,0.137951919,0.113945679,0.300000000,0.064647701,0.000669274,0,1,7595,1218,accepted
1709437387.115134001,813,48,0.162261743,nan,nan,nan,nan,0,0,0,1302,candidate_cooldown_reject
1709437395.514349937,842,416,0.112916510,9.010042994,0.300000000,nan,nan,0,0,6584,1248,fitness_reject
1709437420.414921284,925,563,0.175368540,5.764795658,0.300000000,nan,nan,0,0,7668,1102,fitness_reject
1709437453.111952782,954,314,0.149694902,766.942986113,0.300000000,nan,nan,0,0,7700,933,fitness_reject
1709437453.914349318,957,769,0.169568032,574.179883342,0.300000000,nan,nan,0,0,7284,1056,fitness_reject
1709437466.114037037,997,82,0.072933198,735.255209857,0.300000000,nan,nan,0,0,7370,1147,fitness_reject
1709437468.911943197,1005,369,0.163298106,nan,nan,nan,nan,0,0,0,999,candidate_cooldown_reject
1709437470.314447641,1010,52,0.178050014,nan,nan,nan,nan,0,0,0,1250,candidate_cooldown_reject
1709437482.714019775,1053,369,0.138395015,nan,nan,nan,nan,0,0,0,1285,candidate_cooldown_reject
