frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709437146.315300703,1709437146.411764622,0,0,0,0,-0.291339090,0.030117572,0.001882225,0.000596300,0.000365102,-0.001068950,0.999999184,777,561,0.000000000,0.020738594,0.005750748,0.003979362,0.000000000,368.389922826,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,562,491,71,0.723294723,0,0,0,0,0,215,0,1189,562,0,0,215
2,1709437146.415157080,1709437146.510384798,0,0,0,0,-0.105866570,0.047294671,-0.000626397,0.000724008,0.000092531,-0.001488687,0.999998626,774,630,0.000000000,0.013850231,0.004709020,0.003464148,0.000000000,230.165836012,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,489,462,27,0.631782946,0,0,0,0,0,285,0,1460,1051,0,0,500
3,1709437146.515002012,1709437146.614834309,0,0,0,0,-0.079979419,0.042949575,-0.001604243,0.000959044,0.000135004,-0.000976679,0.999999054,799,642,0.000000000,0.019545118,0.007715557,0.004967509,0.000000000,211.951962759,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,465,429,36,0.581977472,0,0,0,0,0,334,0,1722,1516,0,0,834
4,1709437146.614846468,1709437146.714291573,0,0,0,0,-0.111142042,0.028215703,-0.000666906,0.000330958,0.000198545,-0.001107094,0.999999313,798,662,0.000000000,0.011526848,0.003656159,0.002701877,0.000000000,231.518149992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,402,384,18,0.503759398,0,0,0,0,0,396,0,1945,1918,0,0,1230
5,1709437146.714677334,1709437146.812725306,0,0,0,0,-0.100117325,-0.011914568,0.002363726,0.000068782,0.000136756,-0.000433463,0.999999894,783,640,0.000000000,0.014939831,0.004090585,0.002963470,0.000000000,214.892098119,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,350,334,16,0.446998723,0,0,0,0,0,433,0,2129,2268,0,0,1663
6,1709437146.815307617,1709437146.915044308,0,0,0,0,-0.097485976,-0.029569398,0.000182782,0.000451712,0.000023100,-0.000877569,0.999999513,808,668,0.000000000,0.014909750,0.003855473,0.002861599,0.000000000,170.071535976,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,344,321,23,0.425742574,0,0,0,0,0,464,0,2311,2612,0,0,2127
7,1709437146.915143490,1709437147.014962435,0,0,0,0,-0.106209830,-0.003924509,0.000410756,0.000267379,0.000043418,-0.000809197,0.999999636,785,656,0.000000000,0.013865862,0.003870044,0.002659845,0.000000000,218.714384884,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,309,295,14,0.393630573,0,0,0,0,0,476,0,2467,2921,0,0,2603
8,1709437147.014972925,1709437147.114813566,0,0,0,0,-0.130540902,0.023268844,-0.000178721,0.000571878,0.000174873,-0.001127381,0.999999186,799,677,0.000000000,0.016510588,0.003949406,0.002909640,0.000000000,194.175420920,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,302,290,12,0.377972466,0,0,0,0,0,497,0,2629,3223,0,0,3100
9,1709437147.114825726,1709437147.214107990,0,0,0,0,-0.121466422,-0.005802832,-0.002752751,0.000473333,-0.000069204,0.000503648,0.999999759,781,677,0.000000000,0.013654709,0.004340475,0.003113264,0.000000000,200.328604949,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,260,249,11,0.332906530,0,0,0,0,0,521,0,2751,3483,0,0,3621
10,1709437147.214668512,1709437147.313088417,0,0,0,0,-0.116979779,0.015642836,0.000016629,0.000673437,0.000118551,-0.000655910,0.999999551,753,638,0.000000000,0.014065537,0.004115632,0.002933275,0.000000000,195.217557108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,246,234,12,0.326693227,0,0,0,0,0,507,0,2861,3729,0,0,4128
