time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1709437176.612848282,92,1,0.143953010,3.700535705,0.300000000,nan,nan,0,0,4259,1190,fitness_reject
1709437177.214615822,94,51,0.152130259,1.174166150,0.300000000,nan,nan,0,0,6646,1276,fitness_reject
1709437180.714585066,106,62,0.147312814,8.836854989,0.300000000,nan,nan,0,0,6090,1324,fitness_reject
1709437182.314827204,111,63,0.134938415,2.527277649,0.300000000,nan,nan,0,0,6105,1067,fitness_reject
1709437190.310889721,139,51,0.125867870,4.582383376,0.300000000,nan,nan,0,0,6646,1102,fitness_reject
1709437198.411115408,166,57,0.146285822,15.508157159,0.300000000,nan,nan,0,0,6793,1070,fitness_reject
1709437220.912042379,237,57,0.141033965,58.182595850,0.300000000,nan,nan,0,0,6793,1160,fitness_reject
1709437252.713229418,354,139,0.166802783,2006.572403011,0.300000000,nan,nan,0,0,7059,1226,fitness_reject
1709437264.914140463,395,47,0.071238438,773.157668150,0.300000000,nan,nan,0,0,6819,1201,fitness_reject
1709437265.814484596,398,47,0.138620689,757.835572631,0.300000000,nan,nan,0,0,6819,1263,fitness_reject
1709437304.415122509,528,315,0.062250811,305.949017243,0.300000000,nan,nan,0,0,7589,1040,fitness_reject
1709437311.911637545,555,28,0.178320993,1.794620821,0.300000000,nan,nan,0,0,5450,975,fitness_reject
1709437315.914504051,569,237,0.088070331,2961.426291237,0.300000000,nan,nan,0,0,8543,989,fitness_reject
1709437318.014945269,574,315,0.053406197,1065.949777292,0.300000000,nan,nan,0,0,7589,1085,fitness_reject
1709437319.813446760,580,139,0.164713197,36.845488395,0.300000000,nan,nan,0,0,7059,1041,fitness_reject
1709437322.214971066,588,546,0.176858667,0.675807246,0.300000000,nan,nan,0,0,7425,1063,fitness_reject
1709437331.615094900,622,66,0.140115220,797.136197708,0.300000000,nan,nan,0,0,6215,1355,fitness_reject
1709437334.412408590,631,4,0.147227713,1977.393978719,0.300000000,nan,nan,0,0,4928,1322,fitness_reject
1709437370.611600637,757,354,0.160605239,0.510957031,0.300000000,nan,nan,0,0,7487,1111,fitness_reject
1709437371.812613487,761,349,0.171003932,0.447897010,0.300000000,nan,nan,0,0,7135,1144,fitness_reject
1709437373.714925289,767,580,0.166885117,1401.255164669,0.300000000,nan,nan,0,0,6963,1184,fitness_reject
1709437388.115139008,815,398,0.161334624,0.312704025,0.300000000,nan,nan,0,0,6785,1238,fitness_reject
1709437395.514349937,841,416,0.112878515,9.001910691,0.300000000,nan,nan,0,0,6684,1247,fitness_reject
1709437398.414630413,851,427,0.157643679,0.064191194,0.300000000,0.040091966,0.000432005,0,1,6835,1260,accepted
1709437406.914951086,879,646,0.175590707,0.541303933,0.300000000,nan,nan,0,0,8665,1399,fitness_reject
1709437466.014511585,998,546,0.177095415,56.594164165,0.300000000,nan,nan,0,0,7425,1204,fitness_reject
1709437468.911943197,1006,369,0.163130393,3294.245408150,0.300000000,nan,nan,0,0,7270,1001,fitness_reject
1709437470.314447641,1011,51,0.178206712,225.176562612,0.300000000,nan,nan,0,0,6646,1252,fitness_reject
1709437477.914964437,1038,80,0.099086285,1652.318632973,0.300000000,nan,nan,0,0,7270,1433,fitness_reject
1709437479.513170481,1043,1011,0.169401801,630.782575182,0.300000000,nan,nan,0,0,8487,1414,fitness_reject
1709437482.714019775,1054,369,0.138593545,995.914556802,0.300000000,nan,nan,0,0,7270,1284,fitness_reject
