frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709437146.315300703,1709437146.411764622,1,1,1,0,-0.291339090,0.030117572,0.001882225,0.000596300,0.000365102,-0.001068950,0.999999184,777,561,0.722007722,0.020738594,0.005750748,0.003979362,0.004792531,368.389922825,1.000000000,0.004792531,0.000000000,0.000000000,0.000000000,368.389922825,1,232,222,10,0.298584299,59,24,116,50,130,215,330,923,232,213,116,215
2,1709437146.415157080,1709437146.510384798,1,1,1,0,0.015488295,-0.205205179,0.000224457,-0.000431312,-0.000109537,0.004202727,0.999991069,774,613,0.791989664,0.016397666,0.004496925,0.003077339,0.005627823,351.122604700,1.000000000,0.005210177,0.116891899,0.386681509,0.010543038,359.756263762,2,240,238,2,0.310077519,57,31,172,50,65,205,329,1022,472,366,288,420
3,1709437146.515002012,1709437146.614834309,1,1,1,0,0.359222515,-0.265040029,0.006388274,0.000139719,0.000016194,0.004412547,0.999990255,805,612,0.760248447,0.020345687,0.006291785,0.004194713,0.004066872,460.646051622,1.000000000,0.004829076,0.102308519,0.735639122,0.010962592,393.386193049,3,220,215,5,0.273291925,67,32,142,50,97,244,341,1135,692,562,430,664
4,1709437146.614846468,1709437146.714291573,1,1,1,0,0.667957979,-0.151286604,0.007400061,-0.000373082,-0.000458217,0.000459817,0.999999720,803,634,0.789539228,0.012909543,0.006488818,0.003979708,0.002646551,611.168519986,1.000000000,0.004283444,0.181563701,1.064665644,0.018867743,447.831774783,4,214,208,6,0.266500623,43,47,101,50,58,334,255,1274,906,710,531,998
5,1709437146.714677334,1709437146.812725306,1,1,1,0,0.673714360,-0.161061714,0.010411518,-0.000478275,-0.000736687,0.000730314,0.999999348,789,628,0.795944233,0.017256052,0.007405365,0.004792216,0.004270135,499.335107121,1.000000000,0.004280783,0.163215327,1.076402661,0.019409100,458.132441251,5,200,189,11,0.253485425,69,49,53,50,51,366,223,1400,1106,879,584,1364
6,1709437146.815307617,1709437146.915044308,1,1,1,0,0.770576523,-0.145463987,0.013525778,-0.000384344,-0.000672449,0.001151569,0.999999037,801,637,0.795255930,0.014858766,0.007099814,0.004729893,0.002651310,451.962813338,1.000000000,0.004009204,0.163601304,1.174562054,0.020251424,457.104169932,6,196,183,13,0.244694132,57,31,81,50,73,359,246,1521,1302,1040,665,1723
7,1709437146.915143490,1709437147.014962435,1,1,1,0,0.688957746,-0.052175678,0.013800421,-0.000104205,-0.000569086,-0.001114628,0.999999211,787,639,0.811944091,0.020660796,0.008235643,0.005622645,0.004876145,350.674113460,1.000000000,0.004133053,0.163363664,1.298515307,0.024784220,441.899876150,7,195,178,17,0.247776366,69,50,68,50,30,372,220,1647,1497,1189,733,2095
8,1709437147.014972925,1709437147.114813566,1,1,1,0,0.719950815,0.015692858,0.009111510,0.000111655,-0.000571699,-0.001759306,0.999998283,803,645,0.803237858,0.017964438,0.006990714,0.004820504,0.002841323,501.897415774,1.000000000,0.003971586,0.152570043,1.373272877,0.026073824,449.399568603,8,187,167,20,0.232876712,60,43,33,50,49,428,188,1761,1684,1341,766,2523
9,1709437147.114825726,1709437147.214107990,1,1,1,0,0.801273999,0.033081367,0.007151310,0.000218808,-0.000766301,-0.002498376,0.999996562,785,671,0.854777070,0.019384102,0.008609947,0.005617327,0.003834003,368.927816377,1.000000000,0.003956299,0.145558622,1.456457388,0.027552178,440.458262800,9,197,177,20,0.250955414,78,50,61,50,3,395,193,1881,1881,1472,827,2918
10,1709437147.214668512,1709437147.313088417,1,1,1,0,0.684477606,-0.092208546,0.008603934,0.000483812,-0.000561848,-0.000300463,0.999999680,763,615,0.806028834,0.018934156,0.007899037,0.004814921,0.005187624,339.262762395,1.000000000,0.004079432,0.138467790,1.627749740,0.031947806,430.338712760,10,186,172,14,0.243774574,51,59,35,50,18,411,166,1982,2067,1600,862,3329
11,1709437147.315298080,1709437147.415116310,1,1,1,0,0.634817876,0.015635616,0.007420905,0.000766744,-0.000479870,-0.003411021,0.999993773,799,670,0.838548185,0.017722463,0.006636246,0.004556711,0.003233793,497.906632441,1.000000000,0.004002556,0.132221023,1.746484114,0.038169127,436.481250913,11,191,176,15,0.239048811,59,53,49,50,16,431,177,2088,2258,1728,911,3760
12,1709437147.415128469,1709437147.514153957,1,1,1,0,0.578380121,-0.039954945,0.008954623,0.000235190,-0.000475233,-0.002332733,0.999997139,768,640,0.833333333,0.018842866,0.006406465,0.004142257,0.003124542,482.067061611,1.000000000,0.003929388,0.126839689,1.825717207,0.040326223,440.280068471,12,167,151,16,0.217447917,63,58,28,50,3,448,153,2170,2425,1852,939,4208
13,1709437147.514952183,1709437147.612803936,1,1,1,0,0.529867873,-0.025136781,0.001877983,-0.000066824,-0.000825162,-0.002158502,0.999997328,767,658,0.857887875,0.018853129,0.006060618,0.003938131,0.007214354,276.756940925,1.000000000,0.004182077,0.122069958,1.876933367,0.040675015,427.701366352,13,184,172,12,0.239895698,52,43,26,50,3,457,126,2262,2609,1950,965,4665
14,1709437147.614802599,1709437147.711472750,1,1,1,0,0.480154330,-0.005687741,0.000425870,-0.000318003,-0.000641754,-0.001492008,0.999998630,789,684,0.866920152,0.015895593,0.005187219,0.003374551,0.008322677,261.870560556,1.000000000,0.004477835,0.122686275,1.930335709,0.042008306,415.856308795,14,169,161,8,0.214195184,62,48,38,33,0,468,152,2325,2778,2060,1003,5133
15,1709437147.714641333,1709437147.810153008,1,1,1,0,0.401305131,-0.030831393,-0.001143981,-0.000142036,-0.000424858,-0.000299018,0.999999855,809,690,0.852904821,0.015210879,0.005316790,0.003579182,0.004921285,358.322318036,1.000000000,0.004507398,0.125613673,2.013111695,0.044394002,412.020709411,15,185,169,16,0.228677379,51,53,26,48,0,492,132,2411,2963,2164,1029,5625
16,1709437147.815266848,1709437147.915096283,1,0,0,0,0.458153755,0.007378925,-0.001178494,-0.000079305,-0.000549482,-0.001380421,0.999998893,823,708,0.860267315,0.016711137,0.005234562,0.003666010,0.020676051,189.985036929,0.937500000,0.005517939,0.122862138,2.081608379,0.046556842,398.143479881,0,271,254,17,0.329283111,62,0,0,0,0,485,67,2540,3234,2226,1029,6110
17,1709437147.915108204,1709437148.013761044,1,1,1,0,0.415461417,-0.005964254,-0.000273457,0.000220146,-0.000419881,-0.001480500,0.999998792,792,670,0.845959596,0.016579237,0.005358624,0.003516890,0.009558191,313.645897335,0.941176471,0.005755601,0.120509048,2.126346453,0.046757273,393.173033849,1,170,159,11,0.214646465,55,57,1,42,0,508,114,2619,3404,2338,1030,6618
18,1709437148.014946461,1709437148.112304688,1,0,0,0,0.443731763,0.043776101,-0.000538160,-0.000140442,-0.000490226,-0.002408319,0.999996970,768,665,0.865885417,0.018496976,0.005265133,0.003710796,0.025517715,160.392238310,0.888888889,0.006853496,0.117358168,2.183559959,0.048612593,380.240767430,0,205,196,9,0.266927083,57,0,0,0,0,504,59,2715,3609,2395,1030,7122
19,1709437148.114788055,1709437148.214617491,1,1,1,0,0.415345536,0.064504359,-0.002433000,0.000105598,-0.000587984,-0.002229779,0.999997336,797,690,0.865746550,0.020498375,0.004691945,0.003403918,0.016317696,184.708109807,0.894736842,0.007351612,0.118754939,2.218759803,0.048969412,369.949574924,1,160,147,13,0.200752823,67,56,13,27,0,499,138,2781,3769,2518,1043,7621
20,1709437148.214628220,1709437148.314449310,1,0,0,1,0.480721882,0.078023289,-0.004144687,-0.000680828,-0.000662100,-0.002630736,0.999996089,794,697,0.877833753,0.025512936,0.007248425,0.005158283,0.038478274,137.054157509,0.850000000,0.008907945,0.146185225,2.285541223,0.049770302,358.304804053,0,196,188,8,0.246851385,69,0,0,0,0,527,71,2870,3965,2587,1043,8148
21,1709437148.315261364,1709437148.415088415,1,1,1,1,0.467215180,0.076058321,-0.003340760,-0.000020313,-0.000596094,-0.002604957,0.999996429,793,713,0.899117276,0.021649000,0.006515130,0.004547613,0.016801647,172.719782253,0.850000000,0.009508401,0.148594015,1.912532256,0.039277944,348.521297024,1,140,132,8,0.176544767,82,44,9,20,0,515,138,2927,4105,2713,1052,8663
