frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,localizability_reference_ready,localizability_f0_reference,localizability_lambda0_reference,localizability_f0_ratio,localizability_lambda0_ratio,directional_degenerate,sparse_degenerate,match_quality_degenerate,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_localizability_f0_ratio_mean,window_localizability_lambda0_ratio_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1709437144.315303802,1709437144.414336205,23,22,0.010182492,0.015772054,0,0,0,0,0,0.054646343,0.212051924,-0.002546275,-0.000359745,-0.000007602,-0.000709318,0.999999684,787,578,0.734434562,0.015856610,0.005109786,0.003518784,0.005599112,221.919151519,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000007079,0.000203638,0.000346488,0.953367855,-0.301619329,0.010747713,0.000000000,0.000000021,0.000000073,0.306905311,-0.169972548,-0.936439247,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,635,578,57,0.806861499,0,0,0,0,0,152,0,1206,635,0,0,152
2,1709437144.415135145,1709437144.514983892,24,23,0.012067583,0.019040762,0,0,0,0,0,-0.005706277,0.025961020,-0.005616701,-0.000993509,-0.000197980,0.001567726,0.999998258,814,622,0.764127764,0.015689998,0.004995104,0.003414605,0.014516644,171.270819858,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000005904,0.000114756,0.000151508,-0.366507552,0.929313204,-0.045267911,0.000000000,0.000000059,0.000000098,0.624892321,0.070548870,0.777516845,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,511,467,44,0.627764128,0,0,0,0,0,303,0,1512,1146,0,0,455
3,1709437144.514994860,1709437144.614151716,25,24,0.011779085,0.017011613,0,0,0,0,0,-0.023819307,-0.090643130,-0.005047377,-0.000256955,-0.000090377,0.001740690,0.999998448,769,648,0.842652796,0.012567519,0.004358504,0.002964463,0.015817499,365.553166753,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004561,0.000092740,0.000336745,0.359698102,0.932564560,-0.030669474,0.000000015,0.000000098,0.000000860,0.034530109,-0.045197409,-0.998381123,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,404,387,17,0.525357607,0,0,0,0,0,365,0,1732,1550,0,0,820
4,1709437144.614838123,1709437144.713009357,26,25,0.013475690,0.019493844,0,0,0,0,0,0.059323365,-0.020068778,-0.003102221,-0.000385027,-0.000065913,0.001314049,0.999999060,765,619,0.809150327,0.013129133,0.003746876,0.002575786,0.014928782,229.920188240,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000004152,0.000071284,0.000213828,0.206577174,0.978153568,-0.023269481,0.000000015,0.000000081,0.000000185,-0.042590046,-0.035822698,0.998450210,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,348,326,22,0.454901961,0,0,0,0,0,417,0,1932,1898,0,0,1237
5,1709437144.714668989,1709437144.811952591,27,26,0.011573958,0.016278057,0,0,0,0,0,0.077272896,-0.022121102,-0.001251416,-0.000983153,-0.000190689,0.001189309,0.999998791,737,646,0.876526459,0.016168771,0.005433235,0.003865937,0.022589009,165.235425508,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000003640,0.000050147,0.000094829,-0.052986895,-0.997512096,0.046497390,0.000000012,0.000000060,0.000000077,0.987378350,-0.027614352,-0.155953331,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,313,298,15,0.424694708,0,0,0,0,0,424,0,2098,2211,0,0,1661
6,1709437144.815306902,1709437144.914852142,28,27,0.011386808,0.017179732,0,0,0,0,0,0.033369098,0.018468116,0.003189876,-0.000157855,0.000135044,0.001166762,0.999999298,764,631,0.825916230,0.015198747,0.003994521,0.002809203,0.018206136,198.233801293,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002843,0.000049953,0.000080051,-0.170762056,0.984289324,-0.044887038,0.000000008,0.000000041,0.000000070,0.971914732,-0.001606231,0.235327799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,308,299,9,0.403141361,0,0,0,0,0,456,0,2258,2519,0,0,2117
7,1709437144.915152311,1709437145.013446569,29,28,0.012413700,0.017059080,0,0,0,0,0,0.031527683,0.029890812,0.001555406,-0.000184001,-0.000057574,0.000693098,0.999999741,786,659,0.838422392,0.015387099,0.005035425,0.003481387,0.025716070,178.742679781,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002912,0.000037207,0.000065045,0.018322893,-0.999397761,0.029468400,0.000000009,0.000000029,0.000000082,0.997254426,-0.004551538,-0.073911386,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,326,309,17,0.414758270,0,0,0,0,0,460,0,2418,2845,0,0,2577
8,1709437145.014990330,1709437145.112061262,30,29,0.012832270,0.020639487,0,0,0,0,0,0.026750893,0.054987195,0.002288286,0.000002884,0.000075862,0.000502455,0.999999871,791,669,0.845764855,0.012628825,0.004534017,0.003439851,0.016399165,215.709841336,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002969,0.000039954,0.000066494,-0.107061698,0.993702936,-0.033049477,0.000000009,0.000000042,0.000000063,0.958892572,0.024055642,0.282747876,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,289,278,11,0.365360303,0,0,0,0,0,502,0,2562,3134,0,0,3079
9,1709437145.114832401,1709437145.210782290,31,30,0.011618206,0.018762949,0,0,0,0,0,-0.004748134,0.070926138,0.006981326,-0.000510251,0.000206674,0.000089852,0.999999844,790,664,0.840506329,0.014709134,0.005225791,0.003608649,0.026502281,189.670634406,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002559,0.000031668,0.000055067,0.013927210,0.999258531,-0.035894592,0.000000006,0.000000023,0.000000067,0.999000742,0.030049793,0.033083653,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,269,256,13,0.340506329,0,0,0,0,0,521,0,2685,3403,0,0,3600
10,1709437145.214675188,1709437145.309447527,32,31,0.014230119,0.021940014,0,0,0,0,0,0.002315622,0.064501802,0.008938956,-0.000310620,0.000325013,0.001238422,0.999999132,785,695,0.885350318,0.016129578,0.005423961,0.003518356,0.020846273,209.736671147,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.100000000,0.030000000,1.000000000,0.000000000,0.000002684,0.000026403,0.000055576,-0.083482670,-0.996192303,0.025130464,0.000000007,0.000000036,0.000000060,0.774945182,0.018995165,0.631742945,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000,263,254,9,0.335031847,0,0,0,0,0,522,0,2809,3666,0,0,4122
