time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706584592.938094616,35,1,0.143618094,1.472737247,0.300000000,nan,nan,0,0,4801,2399,fitness_reject
1706584594.638111591,36,4,0.142867132,0.826628459,0.300000000,nan,nan,0,0,7075,2395,fitness_reject
1706584599.938616037,40,8,0.144680754,0.553446093,0.300000000,nan,nan,0,0,9105,2363,fitness_reject
1706584602.738816977,42,4,0.133810013,1.505369129,0.300000000,nan,nan,0,0,7075,2410,fitness_reject
1706584604.038071156,43,7,0.144422002,1.263817567,0.300000000,nan,nan,0,0,8587,2402,fitness_reject
1706584617.338418961,54,8,0.157760734,2.097235180,0.300000000,nan,nan,0,0,9105,2766,fitness_reject
1706584618.538092613,55,21,0.174043533,1.081566627,0.300000000,nan,nan,0,0,10610,2713,fitness_reject
1706584619.938197136,56,21,0.169229726,0.995872454,0.300000000,nan,nan,0,0,10610,2777,fitness_reject
1706584621.437831402,57,21,0.166844650,0.936266167,0.300000000,nan,nan,0,0,10610,2680,fitness_reject
1706584634.638627052,65,34,0.115550001,0.345771489,0.300000000,nan,nan,0,0,9706,2732,fitness_reject
1706584636.638592482,66,34,0.156885466,0.294327984,0.300000000,0.192744971,0.005007255,0,1,9706,2690,accepted
