frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584498.237958670,1706584498.337508440,1,0,0,0,-0.016578560,0.007736815,-0.002527966,-0.000116442,0.000181137,-0.000123305,0.999999969,1266,1049,0.828593997,0.013729983,0.007079129,0.004996096,0.040041315,60.274468253,0.000000000,0.040041315,0.000000000,0.000000000,0.000000000,60.274468253,0,522,521,1,0.412322275,49,0,0,0,0,694,50,1319,522,49,0,694
2,1706584498.337490559,1706584498.437010288,1,0,0,0,-0.036512249,0.015451674,-0.002889695,0.000564638,0.000125485,-0.000015968,0.999999833,1238,1017,0.821486268,0.014845692,0.008264644,0.005590913,0.040801790,64.513790519,0.000000000,0.040421552,0.039043989,0.021377603,0.000214857,62.394129386,0,384,383,1,0.310177706,55,0,0,0,0,799,55,1384,906,104,0,1493
3,1706584498.437023401,1706584498.537864685,1,0,0,0,-0.053844453,0.022076994,-0.005711225,-0.000085278,-0.000220244,-0.000170229,0.999999958,1297,1090,0.840400925,0.014906897,0.008199394,0.005728665,0.045656071,66.174818638,0.000000000,0.042166392,0.037322089,0.040146225,0.000523484,63.654359137,0,315,313,2,0.242868157,57,0,0,0,0,923,59,1423,1221,161,0,2416
4,1706584498.537885427,1706584498.637399912,1,0,0,0,-0.062497848,0.025400335,-0.007629565,-0.000470571,-0.000031170,-0.000187867,0.999999871,1217,1029,0.845521775,0.015069466,0.008150740,0.005887233,0.041223491,68.292660427,0.000000000,0.041930667,0.036247339,0.049612262,0.000558767,64.813934459,0,272,267,5,0.223500411,46,0,0,0,0,898,47,1459,1493,207,0,3314
5,1706584498.637414694,1706584498.736975193,1,0,0,0,-0.068050818,0.026995660,-0.008228330,-0.000593661,0.000074542,-0.000192945,0.999999802,1231,1048,0.851340374,0.014370814,0.007739803,0.005637120,0.040575381,68.363326674,0.000000000,0.041659610,0.033354374,0.055420795,0.000569042,65.523812902,0,247,247,0,0.200649878,37,0,0,0,0,946,38,1485,1740,244,0,4260
6,1706584498.736947775,1706584498.837832451,1,0,0,0,-0.068220524,0.026098533,-0.010936440,-0.000227093,-0.000170508,-0.000186823,0.999999942,1292,1111,0.859907121,0.014170180,0.007357857,0.005482927,0.041261408,70.071663849,0.000000000,0.041593243,0.032390308,0.058278679,0.000581452,66.281788060,0,215,214,1,0.166408669,37,0,0,0,0,1038,39,1508,1955,281,0,5298
7,1706584498.837820053,1706584498.937332392,1,0,0,0,-0.071584557,0.026840662,-0.010556926,-0.000394860,0.000130965,-0.000281881,0.999999874,1212,1045,0.862211221,0.014967141,0.007580289,0.005330343,0.043983011,66.388740952,0.000000000,0.041934638,0.031761747,0.061744440,0.000771749,66.297067045,0,190,189,1,0.156765677,46,0,0,0,0,975,47,1525,2145,327,0,6273
8,1706584498.937346458,1706584499.036858797,1,0,0,0,-0.069544939,0.025252626,-0.009045158,0.000091192,-0.000121948,-0.000119793,0.999999981,1221,1047,0.857493857,0.014542840,0.007379874,0.005366855,0.043904975,69.550840207,0.000000000,0.042180930,0.029731843,0.064738992,0.001096007,66.703788690,0,112,110,2,0.091728092,37,0,0,0,0,1072,37,1536,2257,364,0,7345
9,1706584499.036873102,1706584499.137763023,1,0,0,0,-0.066613372,0.023546909,-0.008766480,0.000035588,-0.000060457,0.000028947,0.999999997,1312,1118,0.852134146,0.014293045,0.007280096,0.005362935,0.042263632,69.309700582,0.000000000,0.042190119,0.028746716,0.068142110,0.001393505,66.993334456,0,114,113,1,0.086890244,34,0,0,0,0,1164,34,1543,2371,398,0,8509
10,1706584499.137740135,1706584499.237262487,1,0,0,0,-0.059809273,0.022465054,-0.009513264,-0.000234771,0.000024227,-0.000170303,0.999999958,1213,1046,0.862324815,0.014775912,0.007141198,0.005211063,0.043352230,70.862322570,0.000000000,0.042306330,0.027643797,0.075072036,0.001792012,67.380233267,0,104,104,0,0.085737840,35,0,0,0,0,1073,36,1559,2475,433,0,9582
