frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584498.237958670,1706584498.337508440,0,0,0,0,-0.016578560,0.007736815,-0.002527966,-0.000116442,0.000181137,-0.000123305,0.999999969,1266,1049,0.000000000,0.013729983,0.007079129,0.004996096,0.000000000,60.274468253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,572,570,2,0.451816746,0,0,0,0,0,694,0,1321,572,0,0,694
2,1706584498.337490559,1706584498.437010288,0,0,0,0,-0.039579749,0.015882566,-0.003824910,0.000735853,0.000065505,0.000001771,0.999999727,1238,1012,0.000000000,0.014629118,0.008496343,0.005768512,0.000000000,65.282990544,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,425,424,1,0.343295638,0,0,0,0,0,813,0,1394,997,0,0,1507
3,1706584498.437023401,1706584498.537864685,0,0,0,0,-0.056479418,0.023535412,-0.002496119,0.000207991,-0.000200836,-0.000195166,0.999999939,1297,1095,0.000000000,0.015443843,0.008568936,0.005848763,0.000000000,66.179207040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,333,328,5,0.256746338,0,0,0,0,0,964,0,1444,1330,0,0,2471
4,1706584498.537885427,1706584498.637399912,0,0,0,0,-0.061394103,0.026016893,0.000144122,0.000040514,-0.000064310,-0.000146430,0.999999986,1215,1021,0.000000000,0.014629737,0.008039444,0.005635950,0.000000000,65.446647671,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,239,235,4,0.196707819,0,0,0,0,0,976,0,1476,1569,0,0,3447
5,1706584498.637414694,1706584498.736975193,0,0,0,0,-0.067316909,0.027384284,-0.002157550,0.000357703,-0.000116929,-0.000232349,0.999999902,1229,1037,0.000000000,0.014102722,0.007731826,0.005381821,0.000000000,70.873295291,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,215,214,1,0.174938975,0,0,0,0,0,1014,0,1504,1784,0,0,4461
6,1706584498.736947775,1706584498.837832451,0,0,0,0,-0.058050743,0.022703532,-0.006062036,0.000627238,-0.000319236,-0.000154394,0.999999740,1293,1100,0.000000000,0.013426200,0.007336262,0.005167827,0.000000000,71.122074880,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,161,161,0,0.124516628,0,0,0,0,0,1132,0,1528,1945,0,0,5593
7,1706584498.837820053,1706584498.937332392,0,0,0,0,-0.054188155,0.020436520,-0.006398672,0.000264834,0.000010548,-0.000238489,0.999999936,1213,1036,0.000000000,0.013589694,0.007189964,0.005222016,0.000000000,70.934510974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,138,138,0,0.113767519,0,0,0,0,0,1075,0,1539,2083,0,0,6668
8,1706584498.937346458,1706584499.036858797,0,0,0,0,-0.051838736,0.018614678,-0.007500425,0.000239829,-0.000130846,-0.000097311,0.999999958,1226,1044,0.000000000,0.013458242,0.007121563,0.005249008,0.000000000,72.855051997,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,139,139,0,0.113376835,0,0,0,0,0,1087,0,1550,2222,0,0,7755
9,1706584499.036873102,1706584499.137763023,0,0,0,0,-0.047588194,0.017700107,-0.006024688,0.000725417,-0.000159822,-0.000002886,0.999999724,1307,1116,0.000000000,0.013735823,0.007079316,0.005025899,0.000000000,65.953172467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,99,96,3,0.075745983,0,0,0,0,0,1208,0,1554,2321,0,0,8963
10,1706584499.137740135,1706584499.237262487,0,0,0,0,-0.045133011,0.018216718,-0.005917529,0.000087008,0.000022304,-0.000209564,0.999999974,1213,1042,0.000000000,0.014418640,0.007423830,0.005575050,0.000000000,63.822447552,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0,111,111,0,0.091508656,0,0,0,0,0,1102,0,1567,2432,0,0,10065
