frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706584494.537941217,-0.019310620,0.008685586,-0.002530520,0.000449108,-0.000010341,0.000111352,0.999999893,0,0.000000000,0,0.000000000
2,1706584494.637485504,-0.024498119,0.011753138,-0.003116975,0.000219580,-0.000130273,0.000108685,0.999999962,1334,1706584494.537941217,0,0.000000000
3,1706584494.737024069,-0.029855443,0.015188925,-0.002281545,0.000284374,-0.000206620,-0.000091237,0.999999934,1277,1706584494.637485504,0,0.000000000
4,1706584494.837872505,-0.031593810,0.015626877,-0.003702710,0.000238652,-0.000368523,-0.000060085,0.999999902,1259,1706584494.737024069,0,0.000000000
5,1706584494.937409878,-0.031823634,0.016437341,-0.004824040,0.000050490,-0.000268223,0.000008460,0.999999963,1303,1706584494.837872505,0,0.000000000
6,1706584495.036950827,-0.030176822,0.016892924,-0.003815912,0.000031226,-0.000180751,-0.000305879,0.999999936,1242,1706584494.937409878,1242,1706584494.937409878
7,1706584495.137798548,-0.029615098,0.016346310,-0.003985887,0.000479073,-0.000297369,-0.000164399,0.999999828,1240,1706584495.036950827,1242,1706584494.937409878
8,1706584495.237375021,-0.029499539,0.016343154,-0.004426981,0.000785783,-0.000269508,-0.000054464,0.999999653,1296,1706584495.137798548,1242,1706584494.937409878
9,1706584495.338194847,-0.020460538,0.011970127,-0.004811886,-0.000220735,-0.000244295,0.000016862,0.999999946,1256,1706584495.237375021,1242,1706584494.937409878
10,1706584495.437755585,-0.018398169,0.010937318,-0.004956095,0.000148035,-0.000222840,0.000012024,0.999999964,1302,1706584495.338194847,1242,1706584494.937409878
11,1706584495.537272692,-0.014955487,0.009697572,-0.004293224,-0.000012295,-0.000155149,-0.000002639,0.999999988,1262,1706584495.437755585,1242,1706584494.937409878
12,1706584495.638124704,-0.011820602,0.008635557,-0.005184118,0.000000690,-0.000287480,0.000027668,0.999999958,1251,1706584495.537272692,1242,1706584494.937409878
13,1706584495.737696409,-0.012897274,0.010778693,-0.003468821,0.000094977,-0.000160478,-0.000122070,0.999999975,1325,1706584495.638124704,1242,1706584494.937409878
14,1706584495.837198257,-0.009535810,0.010064528,-0.003635052,-0.000346969,-0.000220980,-0.000001418,0.999999915,1259,1706584495.737696409,1242,1706584494.937409878
15,1706584495.939546347,-0.011330637,0.011873027,-0.002565188,0.000151337,-0.000146204,-0.000013975,0.999999978,1248,1706584495.837198257,1242,1706584494.937409878
16,1706584496.037592173,-0.021585649,0.014239297,-0.005138441,0.000444020,-0.000370872,-0.000067921,0.999999830,1347,1706584495.939546347,2589,1706584495.939546347
17,1706584496.137124062,-0.029058607,0.016650078,-0.006463842,0.000508014,-0.000350943,-0.000110281,0.999999803,1270,1706584496.037592173,2589,1706584495.939546347
18,1706584496.237979174,-0.032303166,0.017146048,-0.006102421,0.000552806,-0.000404428,-0.000111058,0.999999759,1284,1706584496.137124062,2589,1706584495.939546347
19,1706584496.337520123,-0.036684920,0.018368763,-0.006777604,0.000701217,-0.000443206,-0.000119836,0.999999649,1355,1706584496.237979174,2589,1706584495.939546347
20,1706584496.437051773,-0.038109623,0.019305646,-0.008825371,0.001069176,-0.000477144,0.000051010,0.999999313,1286,1706584496.337520123,2589,1706584495.939546347
21,1706584496.537908316,-0.038550270,0.020269051,-0.006935514,0.000734399,-0.000428965,-0.000172473,0.999999623,1282,1706584496.437051773,2589,1706584495.939546347
22,1706584496.637476444,-0.039333266,0.019589093,-0.005532334,0.000345335,-0.000481945,-0.000118115,0.999999817,1335,1706584496.537908316,2589,1706584495.939546347
23,1706584496.736978769,-0.037097110,0.019482446,-0.005621172,0.000703478,-0.000379963,-0.000073128,0.999999678,1273,1706584496.637476444,2589,1706584495.939546347
24,1706584496.837888956,-0.037315055,0.018985284,-0.005104440,0.000378883,-0.000488911,-0.000144832,0.999999798,1275,1706584496.736978769,2589,1706584495.939546347
25,1706584496.937367439,-0.037194387,0.018301666,-0.004761806,0.000669941,-0.000504262,-0.000151317,0.999999637,1325,1706584496.837888956,2589,1706584495.939546347
26,1706584497.038224459,-0.036747087,0.017545823,-0.005051522,0.000310657,-0.000369688,-0.000056671,0.999999882,1263,1706584496.937367439,3852,1706584496.937367439
27,1706584497.137758017,-0.035266943,0.018923962,-0.004405480,0.000369205,-0.000243771,-0.000317956,0.999999852,1353,1706584497.038224459,3852,1706584496.937367439
28,1706584497.237294197,-0.035640155,0.019992857,-0.004462200,0.000260791,-0.000281825,-0.000185026,0.999999909,1268,1706584497.137758017,3852,1706584496.937367439
29,1706584497.339612007,-0.037470869,0.020086462,-0.005866053,0.000637506,-0.000440617,-0.000092834,0.999999695,1271,1706584497.237294197,3852,1706584496.937367439
30,1706584497.437731028,-0.038179878,0.019204303,-0.006472032,0.000602006,-0.000400314,-0.000139114,0.999999729,1355,1706584497.339612007,3852,1706584496.937367439
31,1706584497.537223339,-0.037512034,0.019328059,-0.006733727,0.000576150,-0.000377882,-0.000140727,0.999999753,1276,1706584497.437731028,3852,1706584496.937367439
32,1706584497.638089895,-0.037395961,0.020429748,-0.005694981,0.000321889,-0.000311438,-0.000266547,0.999999864,1287,1706584497.537223339,3852,1706584496.937367439
33,1706584497.737622261,-0.037837071,0.020327005,-0.005170746,0.000638025,-0.000376862,-0.000186181,0.999999708,1342,1706584497.638089895,3852,1706584496.937367439
34,1706584497.837150335,-0.038128025,0.020399856,-0.004829314,0.000506999,-0.000348842,-0.000208885,0.999999789,1288,1706584497.737622261,3852,1706584496.937367439
35,1706584497.938002348,-0.037546884,0.020754352,-0.004224445,0.000557023,-0.000331766,-0.000196020,0.999999771,1279,1706584497.837150335,3852,1706584496.937367439
36,1706584498.037550926,-0.037609027,0.020853534,-0.004326940,0.000642636,-0.000349442,-0.000191919,0.999999714,1361,1706584497.938002348,5213,1706584497.938002348
37,1706584498.137060642,-0.037104272,0.020125578,-0.004927344,0.000219905,-0.000419647,-0.000078105,0.999999885,1274,1706584498.037550926,5213,1706584497.938002348
38,1706584498.237937689,-0.036001921,0.020029848,-0.005036997,0.000665365,-0.000422940,-0.000170814,0.999999675,1280,1706584498.137060642,5213,1706584497.938002348
39,1706584498.337508202,-0.034728119,0.019231799,-0.006247306,0.000900506,-0.000418795,-0.000108930,0.999999501,1337,1706584498.237937689,5213,1706584497.938002348
40,1706584498.437010288,-0.039823888,0.020673646,-0.006822076,0.001323451,-0.000422573,-0.000108430,0.999999029,1269,1706584498.337508202,5213,1706584497.938002348
41,1706584498.537864447,-0.041015039,0.020760386,-0.006259624,0.000476759,-0.000498207,-0.000187911,0.999999745,1230,1706584498.437010288,5213,1706584497.938002348
42,1706584498.637399673,-0.039683637,0.020297255,-0.004490444,0.000480579,-0.000362880,-0.000087176,0.999999815,1303,1706584498.537864447,5213,1706584497.938002348
43,1706584498.736974955,-0.044529285,0.021915887,-0.003616354,0.000712785,-0.000405858,-0.000154011,0.999999652,1214,1706584498.637399673,5213,1706584497.938002348
44,1706584498.837832451,-0.041245185,0.020304921,-0.004124297,0.000907734,-0.000439691,-0.000173388,0.999999476,1228,1706584498.736974955,5213,1706584497.938002348
45,1706584498.937332392,-0.043327806,0.020647207,-0.003504890,0.000517873,-0.000296586,-0.000150580,0.999999811,1292,1706584498.837832451,5213,1706584497.938002348
46,1706584499.036858797,-0.040034531,0.018801245,-0.004263708,0.000390109,-0.000366455,-0.000043633,0.999999856,1214,1706584498.937332392,6427,1706584498.937332392
47,1706584499.137762785,-0.037798099,0.018862128,-0.004082037,0.001252666,-0.000521295,-0.000050189,0.999999078,1226,1706584499.036858797,6427,1706584498.937332392
48,1706584499.237262249,-0.038351519,0.020615290,-0.005296468,0.000533692,-0.000332280,-0.000235938,0.999999775,1305,1706584499.137762785,6427,1706584498.937332392
49,1706584499.336799145,-0.038463517,0.021770573,-0.006520831,0.000888125,-0.000411723,-0.000251169,0.999999489,1209,1706584499.237262249,6427,1706584498.937332392
50,1706584499.437693357,-0.039858404,0.022386602,-0.006793610,0.001062437,-0.000444580,-0.000221463,0.999999312,1222,1706584499.336799145,6427,1706584498.937332392
51,1706584499.537182093,-0.042789029,0.022472486,-0.006692315,0.000819023,-0.000407523,-0.000166266,0.999999568,1266,1706584499.437693357,6427,1706584498.937332392
52,1706584499.638032913,-0.042786945,0.020962697,-0.005566153,0.000667321,-0.000397932,-0.000184032,0.999999681,1201,1706584499.537182093,6427,1706584498.937332392
53,1706584499.737577200,-0.042867529,0.020434135,-0.004159025,0.000173196,-0.000303394,-0.000223281,0.999999914,1269,1706584499.638032913,6427,1706584498.937332392
54,1706584499.837117434,-0.042796922,0.020318145,-0.003659419,0.000136230,-0.000252436,-0.000126150,0.999999951,1193,1706584499.737577200,6427,1706584498.937332392
55,1706584499.937998772,-0.041682713,0.021068219,-0.004067150,0.001228749,-0.000423665,-0.000041934,0.999999154,1205,1706584499.837117434,6427,1706584498.937332392
56,1706584500.037502766,-0.038156410,0.020092848,-0.002293191,0.000356763,-0.000303144,-0.000125224,0.999999883,1275,1706584499.937998772,7702,1706584499.937998772
57,1706584500.137046099,-0.037558239,0.019625279,-0.003499821,0.000696213,-0.000436660,-0.000026698,0.999999662,1219,1706584500.037502766,7702,1706584499.937998772
58,1706584500.237926722,-0.035528380,0.019274862,-0.003478572,0.000875652,-0.000323425,-0.000135312,0.999999555,1209,1706584500.137046099,7702,1706584499.937998772
59,1706584500.337437868,-0.034292049,0.020379008,-0.002685013,0.000304220,-0.000102816,-0.000249137,0.999999917,1287,1706584500.237926722,7702,1706584499.937998772
60,1706584500.438290834,-0.034788605,0.018827527,-0.004339457,0.000198260,-0.000466798,-0.000084493,0.999999868,1204,1706584500.337437868,7702,1706584499.937998772
61,1706584500.537817240,-0.035721241,0.018471419,-0.004908703,0.000414405,-0.000307343,-0.000177133,0.999999851,1302,1706584500.438290834,7702,1706584499.937998772
62,1706584500.637400389,-0.035624563,0.017383608,-0.006503344,0.000365958,-0.000371566,-0.000089889,0.999999860,1204,1706584500.537817240,7702,1706584499.937998772
63,1706584500.738218784,-0.033099840,0.016429209,-0.007901041,0.000267983,-0.000491633,0.000044549,0.999999842,1197,1706584500.637400389,7702,1706584499.937998772
64,1706584500.837783575,-0.030685291,0.015967399,-0.007810943,0.000604311,-0.000403918,-0.000144257,0.999999725,1296,1706584500.738218784,7702,1706584499.937998772
65,1706584500.937283039,-0.028659133,0.016366797,-0.007381736,0.000174250,-0.000148103,-0.000046927,0.999999973,1225,1706584500.837783575,7702,1706584499.937998772
66,1706584501.038145542,-0.027166485,0.016960054,-0.006830460,0.000096706,-0.000333475,-0.000156710,0.999999927,1216,1706584500.937283039,8918,1706584500.937283039
67,1706584501.137683630,-0.027958319,0.016436867,-0.006914970,0.000620425,-0.000429624,-0.000086581,0.999999711,1266,1706584501.038145542,8918,1706584500.937283039
68,1706584501.237212658,-0.024558364,0.015320087,-0.005289723,0.000678182,-0.000323089,-0.000247482,0.999999687,1216,1706584501.137683630,8918,1706584500.937283039
69,1706584501.338119268,-0.023879489,0.014638573,-0.005589286,0.000025797,-0.000360875,-0.000113575,0.999999928,1214,1706584501.237212658,8918,1706584500.937283039
70,1706584501.437611818,-0.022962330,0.014108254,-0.004966398,0.000493892,-0.000377948,-0.000055179,0.999999805,1305,1706584501.338119268,8918,1706584500.937283039
71,1706584501.537147760,-0.026025615,0.015443572,-0.005136523,0.001222222,-0.000418674,-0.000058019,0.999999164,1231,1706584501.437611818,8918,1706584500.937283039
72,1706584501.638046980,-0.028859697,0.015842159,-0.007407223,0.000585017,-0.000605766,0.000040734,0.999999645,1222,1706584501.537147760,8918,1706584500.937283039
73,1706584501.737607241,-0.028659696,0.016945267,-0.006761817,0.000412260,-0.000335237,-0.000109312,0.999999853,1289,1706584501.638046980,8918,1706584500.937283039
74,1706584501.837071657,-0.027672717,0.017110307,-0.006628718,-0.000017971,-0.000356301,-0.000134220,0.999999927,1225,1706584501.737607241,8918,1706584500.937283039
75,1706584501.937927723,-0.028621649,0.017233257,-0.006927080,-0.000064961,-0.000304478,-0.000096376,0.999999947,1230,1706584501.837071657,8918,1706584500.937283039
