frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1706584494.735717773,0.000000000,0.000000000,0.000000000,0.002170185,-0.000837073,0.000001817,0.999997295,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,25076,1706584494.735717773,308,1706584494.735717773,2435,1706584494.735717773
2,1706584494.936103582,0.001641506,0.001911829,-0.001478027,0.002101941,-0.000928974,0.000042703,0.999997359,1865,1706584494.735717773,0,0.000000000,0,1706584494.735717773,0.000000000,0.000000000,25027,1706584494.936103582,313,1706584494.936103582,2406,1706584494.936103582
3,1706584495.136492252,-0.011551502,0.005413183,-0.000634384,0.002362400,-0.000949830,0.000031749,0.999996758,1853,1706584494.936103582,0,0.000000000,0,1706584494.936103582,0.260100024,1706584495.338809729,25074,1706584495.136492252,319,1706584495.136492252,2461,1706584495.136492252
4,1706584495.336888552,-0.002685422,0.002648550,-0.000894189,0.001862136,-0.000905377,0.000113556,0.999997850,1914,1706584495.136492252,0,0.000000000,0,1706584495.136492252,0.320769019,1706584495.538804054,24904,1706584495.336888552,312,1706584495.336888552,2430,1706584495.336888552
5,1706584495.535966396,-0.004284275,0.003037717,0.004652372,0.002095018,-0.000759604,0.000062275,0.999997515,1884,1706584495.336888552,0,0.000000000,0,1706584495.336888552,0.370343025,1706584495.738821983,25044,1706584495.535966396,310,1706584495.535966396,2393,1706584495.535966396
6,1706584495.736390114,-0.004014351,0.003542873,0.000829790,0.001887961,-0.000830618,0.000115625,0.999997866,1838,1706584495.535966396,513,1706584495.636818409,0,1706584495.535966396,0.425556394,1706584495.948916197,25295,1706584495.736390114,302,1706584495.736390114,2400,1706584495.736390114
7,1706584495.938240051,-0.004806974,0.005091938,0.004613089,0.001300527,-0.000590699,0.000039293,0.999998979,1852,1706584495.736390114,513,1706584495.636818409,0,1706584495.736390114,0.470319774,1706584496.148639679,25364,1706584495.938240051,319,1706584495.938240051,2463,1706584495.938240051
8,1706584496.135817766,0.009809103,0.002605845,0.005226514,0.002474477,-0.000854775,-0.000137737,0.999996564,1924,1706584495.938240051,513,1706584495.636818409,0,1706584495.938240051,0.503888814,1706584496.338720322,25229,1706584496.135817766,324,1706584496.135817766,2449,1706584496.135817766
9,1706584496.336213827,0.011686249,0.002840078,0.005641972,0.001675071,-0.000759357,-0.000006153,0.999998309,1903,1706584496.135817766,513,1706584495.636818409,0,1706584496.135817766,0.522344512,1706584496.538653135,25268,1706584496.336213827,330,1706584496.336213827,2457,1706584496.336213827
10,1706584496.636170149,0.004286646,0.004543674,0.002520877,0.002071201,-0.000868739,-0.000041509,0.999997477,1920,1706584496.336213827,513,1706584495.636818409,0,1706584496.336213827,0.558176820,1706584496.838487864,25487,1706584496.636170149,335,1706584496.636170149,2465,1706584496.636170149
11,1706584496.836582661,0.000036593,0.005036174,0.002123973,0.001984703,-0.000854133,-0.000083868,0.999997662,1918,1706584496.636170149,513,1706584495.636818409,0,1706584496.636170149,0.492817118,1706584497.068902016,25794,1706584496.836582661,330,1706584496.836582661,2498,1706584496.836582661
12,1706584497.136451721,0.000724493,0.002677428,-0.002939607,0.001730079,-0.000929066,0.000002783,0.999998072,1945,1706584496.836582661,513,1706584495.636818409,0,1706584496.836582661,0.441464529,1706584497.348819017,26084,1706584497.136451721,311,1706584497.136451721,2423,1706584497.136451721
13,1706584497.338305712,0.004473871,0.002244124,-0.001463348,0.001811812,-0.000924741,0.000019122,0.999997931,1860,1706584497.136451721,513,1706584495.636818409,0,1706584497.136451721,0.328111800,1706584497.538984060,26392,1706584497.338305712,316,1706584497.338305712,2502,1706584497.338305712
