frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp,incremental_degenerate,incremental_stamp,imu_speed,imu_stamp,deskew_points,deskew_stamp,corner_points,corner_stamp,surface_points,surface_stamp
1,1706581949.264238119,0.000000000,0.000000000,0.000000000,0.024738752,-0.004326929,0.000107077,0.999684580,0,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,23757,1706581949.264238119,304,1706581949.264238119,8328,1706581949.264238119
2,1706581949.563746452,-0.047093030,0.003796716,0.003115010,0.024226623,-0.004202590,-0.000004784,0.999697659,3704,1706581949.264238119,0,0.000000000,0,1706581949.264238119,0.000000000,0.000000000,23746,1706581949.563746452,296,1706581949.563746452,8149,1706581949.563746452
3,1706581949.764218092,-0.044122610,0.001971092,0.003315930,0.023417211,-0.004321239,0.000090201,0.999716436,3624,1706581949.563746452,0,0.000000000,0,1706581949.563746452,0.320670578,1706581949.999178171,23775,1706581949.764218092,312,1706581949.764218092,8181,1706581949.764218092
4,1706581949.963896513,-0.033966582,0.000097905,0.001270870,0.023739316,-0.004372300,0.000097984,0.999708617,3648,1706581949.764218092,0,0.000000000,0,1706581949.764218092,0.356072302,1706581950.179490805,23749,1706581949.963896513,298,1706581949.963896513,8146,1706581949.963896513
5,1706581950.163571358,-0.039586678,0.000653402,-0.001199728,0.025197010,-0.004334360,0.000048895,0.999673107,3588,1706581949.963896513,910,1706581949.963896513,0,1706581949.963896513,0.422804538,1706581950.409316301,23718,1706581950.163571358,292,1706581950.163571358,8381,1706581950.163571358
6,1706581950.364032745,-0.029098725,0.000237769,-0.000254176,0.025916155,-0.004277405,0.000079246,0.999654966,3662,1706581950.163571358,910,1706581949.963896513,0,1706581950.163571358,0.472690152,1706581950.599123955,23719,1706581950.364032745,295,1706581950.364032745,8155,1706581950.364032745
7,1706581950.563712597,-0.050973278,0.007947506,0.001882427,0.025043155,-0.004191000,0.000082487,0.999677583,3659,1706581950.364032745,910,1706581949.963896513,0,1706581950.364032745,0.523801513,1706581950.799072742,23728,1706581950.563712597,278,1706581950.563712597,8437,1706581950.563712597
8,1706581950.764210701,-0.037205711,0.003206972,0.000389682,0.024673984,-0.004264983,0.000032545,0.999686453,3746,1706581950.563712597,910,1706581949.963896513,0,1706581950.563712597,0.556161317,1706581950.989452839,23768,1706581950.764210701,295,1706581950.764210701,8257,1706581950.764210701
9,1706581950.963887453,-0.056588706,0.001068800,0.004818072,0.025476296,-0.004158037,0.000046498,0.999666778,3647,1706581950.764210701,910,1706581949.963896513,0,1706581950.764210701,0.574406748,1706581951.178824902,23743,1706581950.963887453,306,1706581950.963887453,8355,1706581950.963887453
10,1706581951.163578987,-0.054270778,0.000366476,0.004798209,0.024609683,-0.004127114,0.000126805,0.999688609,3710,1706581950.963887453,910,1706581949.963896513,0,1706581950.963887453,0.581777850,1706581951.389100313,23727,1706581951.163578987,302,1706581951.163578987,8151,1706581951.163578987
11,1706581951.463907719,-0.055063512,0.005252614,0.003085835,0.025073004,-0.004254328,0.000006106,0.999676570,3609,1706581951.163578987,910,1706581949.963896513,0,1706581951.163578987,0.595994947,1706581951.689894915,23753,1706581951.463907719,293,1706581951.463907719,8287,1706581951.463907719
12,1706581951.663590193,-0.061320856,0.006050373,0.005786139,0.024359277,-0.004218234,-0.000070736,0.999694367,3615,1706581951.463907719,910,1706581949.963896513,0,1706581951.463907719,0.500274513,1706581951.879849434,23760,1706581951.663590193,292,1706581951.663590193,8162,1706581951.663590193
13,1706581951.864036798,-0.060250372,0.003940426,0.007412026,0.025383820,-0.004127172,0.000045156,0.999669258,3638,1706581951.663590193,910,1706581949.963896513,0,1706581951.663590193,0.421436788,1706581952.079693556,23745,1706581951.864036798,317,1706581951.864036798,8230,1706581951.864036798
14,1706581952.063715696,-0.083834380,0.005990935,0.003021820,0.025440494,-0.004241648,0.000019905,0.999667339,3695,1706581951.864036798,910,1706581949.963896513,0,1706581951.864036798,0.358021754,1706581952.309107542,23745,1706581952.063715696,309,1706581952.063715696,8276,1706581952.063715696
15,1706581952.264197588,-0.061708435,0.004859722,0.001820019,0.024923582,-0.004371937,-0.000015200,0.999679799,3673,1706581952.063715696,910,1706581949.963896513,0,1706581952.063715696,0.293339311,1706581952.499788046,23739,1706581952.264197588,309,1706581952.264197588,8307,1706581952.264197588
16,1706581952.463870764,-0.082051955,0.002603919,0.002574388,0.024736702,-0.004248951,0.000106782,0.999684966,3695,1706581952.264197588,910,1706581949.963896513,0,1706581952.264197588,0.237404769,1706581952.679875135,23749,1706581952.463870764,279,1706581952.463870764,8244,1706581952.463870764
17,1706581952.663934946,-0.062290836,0.003576111,0.003738189,0.025148551,-0.004252938,0.000100668,0.999674673,3587,1706581952.463870764,910,1706581949.963896513,0,1706581952.463870764,0.190944419,1706581952.879155874,23740,1706581952.663934946,283,1706581952.663934946,8339,1706581952.663934946
18,1706581952.863606215,-0.057863291,0.006269855,0.003543549,0.024839395,-0.004257718,-0.000031645,0.999682387,3635,1706581952.663934946,910,1706581949.963896513,0,1706581952.663934946,0.152629598,1706581953.079174995,23741,1706581952.863606215,297,1706581952.863606215,8093,1706581952.863606215
19,1706581953.064071178,-0.060795065,0.006343903,0.006319643,0.024819272,-0.004239811,-0.000005758,0.999682964,3593,1706581952.863606215,910,1706581949.963896513,0,1706581952.863606215,0.121134406,1706581953.289981842,23748,1706581953.064071178,289,1706581953.064071178,8357,1706581953.064071178
20,1706581953.263753653,-0.070291080,0.003127424,0.007444558,0.025195256,-0.004127919,0.000111226,0.999674020,3693,1706581953.064071178,910,1706581949.963896513,0,1706581953.064071178,0.096775587,1706581953.489326000,23726,1706581953.263753653,319,1706581953.263753653,8172,1706581953.263753653
21,1706581953.464243412,-0.086681567,0.006620903,0.001794644,0.025603948,-0.004248479,-0.000008279,0.999663137,3648,1706581953.263753653,910,1706581949.963896513,0,1706581953.263753653,0.078932869,1706581953.689523935,23750,1706581953.464243412,323,1706581953.464243412,8443,1706581953.464243412
22,1706581953.663926363,-0.089053623,0.004189489,0.005652154,0.025300043,-0.004216994,0.000097139,0.999671004,3790,1706581953.464243412,910,1706581949.963896513,0,1706581953.464243412,0.060254077,1706581953.879640818,23752,1706581953.663926363,284,1706581953.663926363,8216,1706581953.663926363
