frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706581952.063715696,1706581952.163546562,1,0,0,0,-0.016777970,0.008009846,0.000706517,-0.000084850,0.000086597,-0.000249076,0.999999962,1634,1118,0.684210526,0.031174187,0.013876739,0.010371170,0.058299038,100.638580617,0.000000000,0.058299038,0.000000000,0.000000000,0.000000000,100.638580617,0,981,945,36,0.600367197,146,0,0,0,0,507,146,2070,981,146,0,507
2,1706581952.163558245,1706581952.263386488,1,0,0,0,-0.018724022,0.010527531,-0.004773602,0.001722190,-0.000229839,0.000030840,0.999998490,1635,1202,0.735168196,0.028641683,0.012757461,0.009381150,0.069906297,90.151591897,0.000000000,0.064102668,0.042338341,0.006336999,0.000559054,95.395086257,0,725,712,13,0.443425076,123,0,0,0,0,787,123,2299,1706,269,0,1294
3,1706581952.264197588,1706581952.364023447,1,0,0,0,-0.002742680,0.006015707,-0.005699769,-0.000493522,-0.000016365,-0.000040851,0.999999877,1657,1234,0.744719372,0.027418291,0.011517832,0.008692424,0.083731714,92.603497949,0.000000000,0.070645683,0.053788904,0.022968825,0.000701628,94.464556821,0,548,540,8,0.330718165,114,0,0,0,0,995,114,2475,2254,383,0,2289
4,1706581952.364034891,1706581952.463085890,1,0,0,0,-0.046608677,0.007311739,-0.007080391,0.000147357,-0.000261912,-0.000053609,0.999999953,1616,1219,0.754331683,0.030533154,0.011679546,0.008706880,0.082484849,88.591612241,0.000000000,0.073605474,0.050740866,0.066875675,0.000727237,92.996320676,0,529,523,6,0.327351485,120,0,0,0,0,967,120,2612,2783,503,0,3256
5,1706581952.463870764,1706581952.563690186,1,0,0,0,-0.070251934,0.011650859,0.000377337,-0.001689836,0.000017517,-0.000042185,0.999998571,1621,1268,0.782233189,0.029011629,0.012639877,0.009201643,0.073944506,104.112307218,0.000000000,0.073673281,0.045892933,0.092044093,0.000750103,95.219517985,0,442,436,6,0.272671191,105,0,0,0,0,1074,105,2730,3225,608,0,4330
6,1706581952.563701153,1706581952.663522959,1,0,0,0,-0.105312608,0.013142000,-0.001128896,-0.000904319,-0.000120840,-0.000051963,0.999999582,1628,1237,0.759828010,0.030151333,0.013155203,0.010237001,0.076820480,104.429253109,0.000000000,0.074197814,0.042900738,0.127168773,0.000769381,96.754473839,0,400,399,1,0.245700246,100,0,0,0,0,1128,100,2843,3625,708,0,5458
7,1706581952.663934946,1706581952.763757944,1,0,0,0,-0.115409350,0.013795761,0.004909566,-0.000469296,0.000053402,0.000093196,0.999999884,1606,1261,0.785180573,0.031125189,0.013820189,0.009906999,0.084323067,102.208122435,0.000000000,0.075644279,0.043865469,0.138951583,0.001059430,97.533566495,0,371,363,8,0.231008717,102,0,0,0,0,1133,102,2926,3996,810,0,6591
8,1706581952.763769865,1706581952.863594770,1,0,0,0,-0.127780328,0.017086503,0.003767493,-0.001536042,-0.000137279,0.000010282,0.999998811,1629,1243,0.763044813,0.029014617,0.012616104,0.008922198,0.076702064,104.944176532,0.000000000,0.075776502,0.041905648,0.151803602,0.001224786,98.459892750,0,316,311,5,0.193984039,88,0,0,0,0,1225,88,3003,4312,898,0,7816
9,1706581952.863606215,1706581952.963435888,1,0,0,0,-0.100653595,0.014783901,-0.000731369,-0.001320005,-0.000068125,-0.000053943,0.999999125,1630,1235,0.757668712,0.028465813,0.011536446,0.008317052,0.068977564,111.538833848,0.000000000,0.075021064,0.041587209,0.179397104,0.001353478,99.913108427,0,314,311,3,0.192638037,82,0,0,0,0,1234,82,3084,4626,980,0,9050
10,1706581952.964248419,1706581953.064059019,1,0,0,0,-0.087937030,0.018465040,0.000655242,-0.001232227,-0.000097704,-0.000075349,0.999999233,1620,1241,0.766049383,0.026400258,0.012184340,0.008917652,0.064319495,112.186748902,0.000000000,0.073950907,0.051059629,0.192708171,0.001396231,101.140472475,0,284,278,6,0.175308642,73,0,0,0,0,1263,73,3158,4910,1053,0,10313
11,1706581953.064071178,1706581953.163892746,1,0,0,0,-0.071359475,0.018206583,0.001983448,-0.000297064,-0.000088491,-0.000022597,0.999999952,1658,1266,0.763570567,0.026878563,0.012208306,0.009228801,0.072506999,110.599269831,0.000000000,0.073819643,0.054147091,0.209340857,0.001501547,102.000363144,0,272,266,6,0.164053076,78,0,0,0,0,1308,78,3214,5182,1131,0,11621
12,1706581953.163904905,1706581953.263742447,1,0,0,0,-0.063071475,0.017746403,0.000430775,-0.001268130,-0.000090651,-0.000186856,0.999999174,1700,1344,0.790588235,0.024994413,0.012533329,0.009347543,0.060264892,117.764688772,0.000000000,0.072690080,0.065045199,0.217785590,0.001829887,103.314056946,0,245,244,1,0.144117647,68,0,0,0,0,1387,68,3266,5427,1199,0,13008
13,1706581953.263753653,1706581953.362701654,1,0,0,0,-0.048221963,0.013979120,0.000760290,-0.001421538,-0.000169625,-0.000040437,0.999998974,1631,1253,0.768240343,0.027781854,0.011976129,0.008908309,0.075063076,108.202484678,0.000000000,0.072872618,0.063161109,0.233109068,0.002122977,103.690089849,0,229,226,3,0.140404660,78,0,0,0,0,1324,78,3304,5656,1277,0,14332
14,1706581953.363599539,1706581953.463432550,1,0,0,0,-0.036974087,0.015446834,0.002650724,0.000168544,0.000073366,-0.000290462,0.999999941,1615,1251,0.774613003,0.025543980,0.012213647,0.008776202,0.063054672,116.019242480,0.000000000,0.072171337,0.067253450,0.244608748,0.002623485,104.570743608,0,213,209,4,0.131888545,62,0,0,0,0,1340,62,3344,5869,1339,0,15672
15,1706581953.464243412,1706581953.564077616,1,0,0,0,-0.036848256,0.013640608,0.007320123,-0.001462105,0.000098955,-0.000121535,0.999998919,1688,1315,0.779028436,0.026157251,0.012186019,0.008747421,0.075855527,108.647082567,0.000000000,0.072416949,0.068169913,0.249616899,0.002961026,104.842499539,0,204,202,2,0.120853081,70,0,0,0,0,1414,70,3381,6073,1409,0,17086
16,1706581953.564089298,1706581953.663914204,1,0,0,0,-0.036413798,0.011225444,0.005535278,-0.001367378,-0.000047423,-0.000031819,0.999999064,1637,1260,0.769700672,0.025973241,0.011508459,0.008296622,0.060529722,117.246227476,0.000000000,0.071673998,0.069103806,0.252651276,0.003140877,105.617732535,0,187,187,0,0.114233354,76,0,0,0,0,1374,76,3407,6260,1485,0,18460
17,1706581953.663926363,1706581953.762511253,1,0,0,0,-0.041219517,0.010855809,0.004438221,-0.001025413,-0.000075188,0.000023948,0.999999471,1592,1243,0.780778894,0.028456827,0.012660238,0.009267196,0.067196070,121.030760471,0.000000000,0.071410590,0.067062154,0.257594463,0.003252436,106.524381237,0,189,187,2,0.118718593,58,0,0,0,0,1345,58,3440,6449,1543,0,19805
18,1706581953.763770819,1706581953.863590717,1,0,0,0,-0.060359553,0.009722141,-0.000352048,-0.000978298,-0.000229389,0.000013891,0.999999495,1653,1256,0.759830611,0.027616380,0.012856511,0.009693369,0.068749293,114.838325018,0.000000000,0.071262740,0.065355116,0.277357379,0.003272257,106.986267002,0,221,219,2,0.133696310,64,0,0,0,0,1368,64,3484,6670,1607,0,21173
19,1706581953.863602400,1706581953.963437796,1,0,0,0,-0.076972019,0.010357709,-0.001498856,-0.000271706,-0.000208969,0.000006807,0.999999941,1619,1244,0.768375540,0.026702858,0.013075039,0.009585406,0.065836101,116.062643688,0.000000000,0.070977128,0.064706950,0.294021506,0.003286761,107.463971038,0,190,188,2,0.117356393,67,0,0,0,0,1362,67,3518,6860,1674,0,22535
20,1706581953.964248896,1706581954.064085960,1,0,0,1,-0.079860457,0.015638188,-0.000875500,-0.001761599,-0.000185594,-0.000055894,0.999998430,1643,1258,0.765672550,0.025084125,0.011900313,0.008701626,0.070625846,116.424145440,0.000000000,0.070959564,0.067384377,0.300072548,0.003411621,107.911979759,0,172,170,2,0.104686549,54,0,0,0,0,1417,54,3545,7032,1728,0,23952
21,1706581954.064098120,1706581954.163923025,1,0,0,1,-0.085678014,0.013389474,0.000918963,-0.000485541,-0.000164750,-0.000012632,0.999999868,1610,1255,0.779503106,0.027345422,0.012476779,0.009111455,0.073135561,113.800445250,0.000000000,0.071701390,0.062078110,0.300225602,0.002938596,108.570072990,0,150,150,0,0.093167702,44,0,0,0,0,1416,44,3575,7182,1772,0,25368
22,1706581954.163934231,1706581954.263761520,1,0,0,1,-0.083776359,0.016438675,0.002809148,-0.001648026,-0.000113554,-0.000096141,0.999998631,1624,1272,0.783251232,0.025823681,0.012491823,0.009252427,0.073986279,112.869974838,0.000000000,0.071905389,0.063464936,0.287654160,0.002962826,109.705992137,0,170,170,0,0.104679803,51,0,0,0,0,1403,51,3600,7352,1823,0,26771
23,1706581954.263773918,1706581954.363604307,1,0,0,1,-0.066524261,0.016259615,0.001010600,-0.002724527,-0.000216729,-0.000087587,0.999996261,1636,1249,0.763447433,0.026814760,0.012675620,0.009509786,0.068914434,115.720621002,0.000000000,0.071164525,0.063780632,0.261093829,0.002955130,110.861848290,0,155,154,1,0.094743276,45,0,0,0,0,1436,45,3623,7507,1868,0,28207
24,1706581954.363615513,1706581954.463439941,1,0,0,1,-0.076025652,0.019426392,0.002556214,-0.002354472,-0.000090848,-0.000271905,0.999997187,1683,1296,0.770053476,0.024254865,0.011941251,0.008924590,0.068490357,112.185957130,0.000000000,0.070464800,0.064139431,0.246059207,0.003301654,112.041565534,0,163,162,1,0.096850862,44,0,0,0,0,1476,44,3641,7670,1912,0,29683
25,1706581954.464248657,1706581954.563707829,1,0,0,1,-0.091524389,0.019752774,0.004701793,-0.001225761,-0.000074468,-0.000152737,0.999999234,1614,1220,0.755885998,0.028390235,0.013273316,0.010046162,0.071247624,118.732979246,0.000000000,0.070329956,0.063196043,0.226584476,0.003520466,112.772599136,0,151,148,3,0.093556382,55,0,0,0,0,1408,55,3670,7821,1967,0,31091
26,1706581954.564082146,1706581954.662243366,1,0,0,1,-0.093812490,0.022143667,0.004432534,-0.001090185,-0.000088615,-0.000199656,0.999999382,1630,1255,0.769938650,0.024411702,0.011908651,0.008941660,0.062825394,121.769838310,0.000000000,0.069630202,0.062127345,0.218121948,0.003324244,113.639628396,0,134,133,1,0.082208589,33,0,0,0,0,1463,33,3696,7955,2000,0,32554
27,1706581954.663915634,1706581954.763736010,1,0,0,1,-0.085863323,0.021224754,0.005050971,-0.000811047,0.000024690,-0.000197298,0.999999651,1628,1250,0.767813268,0.026741148,0.011694291,0.008779743,0.072985985,112.563404298,0.000000000,0.069063348,0.050759942,0.213295894,0.003163372,114.157392489,0,115,113,2,0.070638821,48,0,0,0,0,1465,48,3715,8070,2048,0,34019
28,1706581954.763747931,1706581954.863570213,1,0,0,1,-0.088864777,0.016405379,0.007272392,-0.001550164,0.000078508,0.000016418,0.999998795,1666,1271,0.762905162,0.025328889,0.011941841,0.008616873,0.063415835,121.296539753,0.000000000,0.068399036,0.047806655,0.191799098,0.003461908,114.975010650,0,146,144,2,0.087635054,49,0,0,0,0,1471,49,3741,8216,2097,0,35490
29,1706581954.863581896,1706581954.963417292,1,0,0,1,-0.072779104,0.014679955,0.006898276,-0.000466494,-0.000018580,0.000011671,0.999999891,1620,1251,0.772222222,0.025307869,0.012796912,0.008806203,0.063311295,120.707639078,0.000000000,0.068115723,0.045621457,0.194670303,0.003428389,115.433450911,0,130,129,1,0.080246914,33,0,0,0,0,1457,33,3752,8346,2130,0,36947
30,1706581954.964229584,1706581955.062061310,1,0,0,1,-0.051751142,0.011335979,0.006994326,-0.000805127,0.000009739,0.000003327,0.999999676,1617,1205,0.745207174,0.025287012,0.013026015,0.009185903,0.068445591,112.074250910,0.000000000,0.068322028,0.046470247,0.199330023,0.003339795,115.427826012,0,142,141,1,0.087816945,45,0,0,0,0,1430,45,3774,8488,2175,0,38377
31,1706581955.064071178,1706581955.163912535,1,0,0,1,-0.037037622,0.014843062,0.007424463,-0.001298249,0.000079955,-0.000107600,0.999999148,1607,1216,0.756689484,0.023413310,0.011854864,0.008759281,0.062985122,121.599518944,0.000000000,0.067845934,0.052002867,0.206017122,0.003233499,115.977838467,0,114,114,0,0.070939639,33,0,0,0,0,1460,33,3787,8602,2208,0,39837
32,1706581955.163924456,1706581955.263765335,1,0,0,1,-0.044994397,0.015966618,0.006842086,-0.001347723,0.000090273,-0.000113585,0.999999081,1645,1247,0.758054711,0.024321908,0.011637907,0.008559997,0.069561736,115.333801184,0.000000000,0.068310776,0.053383644,0.198750431,0.002952415,115.856294088,0,132,131,1,0.080243161,33,0,0,0,0,1480,33,3812,8734,2241,0,41317
33,1706581955.263777494,1706581955.363614798,1,0,0,1,-0.035818391,0.016149369,0.005285572,-0.001959938,0.000014396,-0.000091734,0.999998075,1631,1230,0.754138565,0.024525167,0.012241972,0.008864031,0.061570311,119.515594869,0.000000000,0.067636138,0.052819874,0.196559629,0.002495795,116.421949598,0,124,124,0,0.076026977,34,0,0,0,0,1473,34,3824,8858,2275,0,42790
34,1706581955.363626480,1706581955.463465214,1,0,0,1,-0.035697029,0.017015490,0.008528746,-0.001087079,-0.000011456,-0.000093945,0.999999405,1609,1249,0.776258546,0.025411511,0.013260888,0.009701923,0.065941630,122.571532785,0.000000000,0.067780486,0.052907154,0.194910507,0.002162596,116.749564113,0,115,115,0,0.071472965,30,0,0,0,0,1464,30,3847,8973,2305,0,44254
35,1706581955.464276791,1706581955.564111710,1,0,0,1,-0.029752285,0.017685847,0.008494545,-0.002238817,-0.000065962,-0.000117034,0.999997485,1588,1192,0.750629723,0.023430240,0.012041421,0.008812926,0.063679544,121.996629255,0.000000000,0.067171686,0.056951127,0.197858649,0.002028652,117.417041447,0,132,129,3,0.083123426,26,0,0,0,0,1430,26,3870,9105,2331,0,45684
36,1706581955.564123392,1706581955.663943529,1,0,0,1,-0.025486905,0.019351532,0.011435348,-0.001909891,0.000271268,-0.000220541,0.999998115,1639,1250,0.762660159,0.024008529,0.012511204,0.009284667,0.064501389,118.533092799,0.000000000,0.067370270,0.058951359,0.198357547,0.002125438,117.481384713,0,111,110,1,0.067724222,29,0,0,0,0,1499,29,3889,9216,2360,0,47183
37,1706581955.663956165,1706581955.763805151,1,0,0,1,-0.031016776,0.019123399,0.008586435,-0.002023405,0.000042950,-0.000219703,0.999997928,1677,1266,0.754919499,0.024182695,0.012539878,0.008956022,0.058176329,126.738483525,0.000000000,0.066919283,0.054859400,0.184819407,0.002108155,117.766770866,0,122,122,0,0.072748956,32,0,0,0,0,1523,32,3905,9338,2392,0,48706
38,1706581955.763817787,1706581955.863251686,1,0,0,1,-0.037386787,0.018823842,0.004790064,-0.001389791,0.000047645,-0.000149118,0.999999022,1611,1233,0.765363128,0.022916108,0.011634339,0.008775460,0.058872357,120.812244279,0.000000000,0.066425436,0.055614116,0.175576816,0.002234863,118.065466829,0,113,111,2,0.070142768,32,0,0,0,0,1466,32,3917,9451,2424,0,50172
39,1706581955.863651037,1706581955.961846352,1,0,0,1,-0.036120561,0.018475867,0.003507591,-0.000890474,-0.000035649,-0.000126169,0.999999595,1632,1252,0.767156863,0.024907375,0.011926287,0.008894122,0.071028395,118.294145901,0.000000000,0.066685051,0.054088220,0.171361298,0.002156096,118.177041940,0,98,96,2,0.060049020,39,0,0,0,0,1495,39,3928,9549,2463,0,51667
40,1706581955.963892937,1706581956.063729525,1,0,0,1,-0.037350071,0.014046263,0.002747394,-0.001437671,0.000024714,-0.000052385,0.999998965,1643,1254,0.763237979,0.022969408,0.011338729,0.008346880,0.068640398,119.525331784,0.000000000,0.066585778,0.057395956,0.169530750,0.002217499,118.332101257,0,110,109,1,0.066950700,26,0,0,0,0,1507,26,3942,9659,2489,0,53174
41,1706581956.063741446,1706581956.163588285,1,0,0,1,-0.036373868,0.013533812,0.007539636,-0.000521310,0.000151998,-0.000143292,0.999999842,1649,1257,0.762280170,0.024570151,0.012604720,0.009139558,0.070653740,116.748716776,0.000000000,0.066461687,0.053524867,0.170387802,0.002232598,118.479514833,0,93,91,2,0.056397817,18,0,0,0,0,1538,18,3957,9752,2507,0,54712
42,1706581956.163599491,1706581956.263081312,1,0,0,1,-0.042828319,0.014568987,0.006718677,-0.001703782,0.000019088,-0.000156375,0.999998536,1621,1208,0.745219001,0.022775909,0.012044750,0.008558355,0.075560607,109.828206756,0.000000000,0.066540404,0.056014412,0.159629567,0.002240756,118.327426429,0,88,88,0,0.054287477,24,0,0,0,0,1509,24,3961,9840,2531,0,56221
43,1706581956.264241934,1706581956.361694813,1,0,0,1,-0.040976663,0.016501760,0.007022982,-0.001397562,0.000055367,-0.000135318,0.999999013,1629,1246,0.764886433,0.024022236,0.012241697,0.009079683,0.077882582,109.895216267,0.000000000,0.066988811,0.052987559,0.152189623,0.001913392,118.036156192,0,87,87,0,0.053406998,31,0,0,0,0,1511,31,3970,9927,2562,0,57732
44,1706581956.364079237,1706581956.463923454,1,0,0,1,-0.044577196,0.016310877,0.003900937,-0.001126350,-0.000075421,-0.000051969,0.999999361,1635,1221,0.746788991,0.024103295,0.012916453,0.009435317,0.078398593,108.401591634,0.000000000,0.067484223,0.053093017,0.141309101,0.001842324,117.846937918,0,104,103,1,0.063608563,27,0,0,0,0,1504,27,3982,10031,2589,0,59236
45,1706581956.463934422,1706581956.563759804,1,0,0,1,-0.046580932,0.016078382,0.004776442,-0.001365739,-0.000082901,-0.000087866,0.999999060,1641,1244,0.758074345,0.022978880,0.012176632,0.008939425,0.070434262,113.498689409,0.000000000,0.067443555,0.041444137,0.140187801,0.001820233,117.585223426,0,80,79,1,0.048750762,27,0,0,0,0,1534,27,3992,10111,2616,0,60770
46,1706581956.563772440,1706581956.663617849,1,0,0,1,-0.053324333,0.017982626,0.003311489,-0.001338772,-0.000141365,-0.000101234,0.999999089,1620,1223,0.754938272,0.023805165,0.012604687,0.009516527,0.076460504,111.796270374,0.000000000,0.068125310,0.041690709,0.139320445,0.001842334,117.086545029,0,82,81,1,0.050617284,21,0,0,0,0,1517,21,3998,10193,2637,0,62287
47,1706581956.663630009,1706581956.763451815,1,0,0,1,-0.058106057,0.017388564,0.004948264,-0.001644660,-0.000147678,-0.000145065,0.999998626,1592,1213,0.761934673,0.024973800,0.011998250,0.009176762,0.076481981,111.641214220,0.000000000,0.068300110,0.035368721,0.138312632,0.001502661,117.040435525,0,75,75,0,0.047110553,27,0,0,0,0,1490,27,4007,10268,2664,0,63777
48,1706581956.764262676,1706581956.864104509,1,0,0,1,-0.048527515,0.019824108,0.005527654,-0.001480845,-0.000115120,-0.000124589,0.999998889,1589,1212,0.762743864,0.024274356,0.012380312,0.009306777,0.068889688,110.665907472,0.000000000,0.068573803,0.033698572,0.132030664,0.001534235,116.508903911,0,97,97,0,0.061044682,32,0,0,0,0,1460,32,4019,10365,2696,0,65237
49,1706581956.864115953,1706581956.963954210,1,0,0,1,-0.055149834,0.019991247,0.007318573,-0.003398104,-0.000044650,-0.000117906,0.999994218,1644,1235,0.751216545,0.026799671,0.012977855,0.009797844,0.079742175,111.697266602,0.000000000,0.069395347,0.040188031,0.117600505,0.001530841,116.058385287,0,107,105,2,0.065085158,39,0,0,0,0,1498,39,4036,10472,2735,0,66735
