time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706584562.071574926,41,9,0.129667917,0.204525908,0.300000000,0.150663414,0.000833557,0,1,3842,1342,accepted
1706584562.772407532,42,7,0.107853507,nan,nan,nan,nan,0,0,0,1392,current_cooldown_reject
1706584563.972451210,44,3,0.161194355,nan,nan,nan,nan,0,0,0,1650,current_cooldown_reject
1706584564.671307564,45,3,0.145432879,nan,nan,nan,nan,0,0,0,1679,current_cooldown_reject
1706584567.271042347,49,17,0.074692904,nan,nan,nan,nan,0,0,0,1248,current_cooldown_reject
1706584568.571152210,51,3,0.138579974,nan,nan,nan,nan,0,0,0,1354,candidate_cooldown_reject
1706584569.271822691,52,18,0.100303208,nan,nan,nan,nan,0,0,0,1194,candidate_cooldown_reject
1706584569.972431421,53,19,0.063850889,nan,nan,nan,nan,0,0,0,1470,candidate_cooldown_reject
1706584570.669896603,54,16,0.133853465,nan,nan,nan,nan,0,0,0,1495,candidate_cooldown_reject
1706584573.872559071,59,28,0.074798437,nan,nan,nan,nan,0,0,0,1709,candidate_cooldown_reject
1706584574.470331907,60,13,0.136526872,nan,nan,nan,nan,0,0,0,1365,candidate_cooldown_reject
1706584575.072225094,61,30,0.086512295,nan,nan,nan,nan,0,0,0,1120,loop_pair_cooldown_reject
1706584575.671219826,62,26,0.051804903,nan,nan,nan,nan,0,0,0,1139,candidate_cooldown_reject
1706584576.472740173,63,24,0.106370584,nan,nan,nan,nan,0,0,0,1348,candidate_cooldown_reject
1706584577.069728374,64,23,0.099918491,nan,nan,nan,nan,0,0,0,1465,candidate_cooldown_reject
1706584577.672389269,65,23,0.067184323,nan,nan,nan,nan,0,0,0,1502,candidate_cooldown_reject
1706584578.369448900,66,24,0.086368752,nan,nan,nan,nan,0,0,0,1534,candidate_cooldown_reject
1706584579.072582245,67,24,0.058740513,nan,nan,nan,nan,0,0,0,1579,candidate_cooldown_reject
1706584579.772246361,68,24,0.037029118,nan,nan,nan,nan,0,0,0,1489,candidate_cooldown_reject
1706584580.472739220,69,26,0.081146159,nan,nan,nan,nan,0,0,0,1240,candidate_cooldown_reject
1706584581.072591543,70,28,0.070808100,nan,nan,nan,nan,0,0,0,1210,candidate_cooldown_reject
1706584581.772238493,71,34,0.039686762,0.125345547,0.300000000,0.089177301,0.002061823,0,1,3963,1493,accepted
1706584582.372881413,72,28,0.046330453,nan,nan,nan,nan,0,0,0,1531,candidate_cooldown_reject
1706584583.072605133,73,39,0.044379327,nan,nan,nan,nan,0,0,0,1693,current_cooldown_reject
1706584583.672419548,74,28,0.038473991,nan,nan,nan,nan,0,0,0,1662,candidate_cooldown_reject
1706584584.372895956,75,24,0.094584050,nan,nan,nan,nan,0,0,0,1663,candidate_cooldown_reject
1706584585.072583199,76,34,0.047689374,nan,nan,nan,nan,0,0,0,1426,current_cooldown_reject
1706584585.772251129,77,34,0.064110548,nan,nan,nan,nan,0,0,0,1647,current_cooldown_reject
1706584587.171911001,79,39,0.062068822,nan,nan,nan,nan,0,0,0,1932,current_cooldown_reject
1706584587.772258759,80,27,0.131539774,nan,nan,nan,nan,0,0,0,1661,candidate_cooldown_reject
1706584589.072601557,82,14,0.138706990,nan,nan,nan,nan,0,0,0,1474,candidate_cooldown_reject
1706584589.772221327,83,29,0.157734577,nan,nan,nan,nan,0,0,0,1754,candidate_cooldown_reject
1706584590.472588062,84,24,0.108659756,nan,nan,nan,nan,0,0,0,1965,candidate_cooldown_reject
1706584590.972718954,85,27,0.069574819,nan,nan,nan,nan,0,0,0,1817,candidate_cooldown_reject
1706584591.870759249,86,27,0.043441643,nan,nan,nan,nan,0,0,0,1902,candidate_cooldown_reject
1706584592.472697973,87,27,0.102399188,nan,nan,nan,nan,0,0,0,2003,candidate_cooldown_reject
1706584593.071734190,88,32,0.108410306,nan,nan,nan,nan,0,0,0,1837,candidate_cooldown_reject
1706584593.772578478,89,45,0.065701008,nan,nan,nan,nan,0,0,0,1615,candidate_cooldown_reject
1706584594.470028639,90,45,0.070450397,nan,nan,nan,nan,0,0,0,1588,candidate_cooldown_reject
1706584595.172731876,91,45,0.104318667,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1706584595.972213984,92,34,0.081946481,nan,nan,nan,nan,0,0,0,1904,candidate_cooldown_reject
1706584596.672706842,93,39,0.055128050,nan,nan,nan,nan,0,0,0,1796,candidate_cooldown_reject
1706584597.472213507,94,63,0.079733231,nan,nan,nan,nan,0,0,0,1739,loop_pair_cooldown_reject
1706584598.171696186,95,60,0.164608442,nan,nan,nan,nan,0,0,0,1701,loop_pair_cooldown_reject
1706584598.972541809,96,64,0.105792363,0.472822147,0.300000000,nan,nan,0,0,3879,1726,fitness_reject
1706584599.668824911,97,45,0.099830103,nan,nan,nan,nan,0,0,0,1903,candidate_cooldown_reject
1706584600.372745752,98,34,0.121197322,nan,nan,nan,nan,0,0,0,2027,candidate_cooldown_reject
1706584601.072378397,99,39,0.133328513,nan,nan,nan,nan,0,0,0,2035,candidate_cooldown_reject
1706584601.672209740,100,51,0.111205116,nan,nan,nan,nan,0,0,0,1842,candidate_cooldown_reject
1706584603.469602346,103,63,0.142758469,1.351348257,0.300000000,nan,nan,0,0,3834,2081,fitness_reject
1706584604.072751522,104,39,0.131429017,nan,nan,nan,nan,0,0,0,2240,candidate_cooldown_reject
1706584604.670693636,105,63,0.141751171,1.201164635,0.300000000,nan,nan,0,0,3834,2095,fitness_reject
1706584605.871742964,107,74,0.143994222,0.690693107,0.300000000,nan,nan,0,0,4191,2069,fitness_reject
1706584606.472924232,108,77,0.167810408,0.750251989,0.300000000,nan,nan,0,0,4201,2136,fitness_reject
1706584607.072739601,109,39,0.117126304,nan,nan,nan,nan,0,0,0,2035,candidate_cooldown_reject
1706584607.672567368,110,45,0.132120216,nan,nan,nan,nan,0,0,0,1807,candidate_cooldown_reject
1706584608.272405863,111,76,0.090308215,0.238779760,0.300000000,0.270489588,0.001386141,0,1,4233,1468,accepted
1706584608.872211695,112,79,0.160308095,nan,nan,nan,nan,0,0,0,1423,current_cooldown_reject
1706584609.472858667,113,79,0.129435822,nan,nan,nan,nan,0,0,0,1384,current_cooldown_reject
1706584610.072286129,114,76,0.069988806,nan,nan,nan,nan,0,0,0,1603,current_cooldown_reject
1706584610.672936201,115,39,0.045604082,nan,nan,nan,nan,0,0,0,1775,candidate_cooldown_reject
1706584611.272775650,116,79,0.032807937,nan,nan,nan,nan,0,0,0,1983,current_cooldown_reject
1706584611.870347738,117,72,0.043676533,nan,nan,nan,nan,0,0,0,1767,current_cooldown_reject
1706584612.472429752,118,72,0.040951011,nan,nan,nan,nan,0,0,0,1828,current_cooldown_reject
1706584613.169960499,119,63,0.050528426,nan,nan,nan,nan,0,0,0,1610,current_cooldown_reject
1706584613.872602224,120,82,0.080688931,nan,nan,nan,nan,0,0,0,1472,current_cooldown_reject
1706584614.572303057,121,82,0.127674507,nan,nan,nan,nan,0,0,0,1370,candidate_cooldown_reject
1706584615.271195412,122,14,0.130479265,nan,nan,nan,nan,0,0,0,1142,candidate_cooldown_reject
1706584618.171279907,126,79,0.179850039,nan,nan,nan,nan,0,0,0,917,candidate_cooldown_reject
1706584626.869145632,137,82,0.135587967,nan,nan,nan,nan,0,0,0,1384,candidate_cooldown_reject
1706584627.672549963,138,82,0.172278962,nan,nan,nan,nan,0,0,0,1319,candidate_cooldown_reject
1706584629.369540691,140,3,0.077631325,nan,nan,nan,nan,0,0,0,1316,candidate_cooldown_reject
1706584630.172532082,141,13,0.081564948,nan,nan,nan,nan,0,0,0,1550,candidate_cooldown_reject
1706584630.972225904,142,9,0.114368816,nan,nan,nan,nan,0,0,0,1695,candidate_cooldown_reject
1706584631.771419287,143,9,0.060802332,nan,nan,nan,nan,0,0,0,1576,candidate_cooldown_reject
1706584632.672564268,144,84,0.160838872,nan,nan,nan,nan,0,0,0,1492,candidate_cooldown_reject
1706584633.472897768,145,27,0.140463858,nan,nan,nan,nan,0,0,0,1276,candidate_cooldown_reject
1706584634.172580719,146,84,0.129338439,nan,nan,nan,nan,0,0,0,1141,candidate_cooldown_reject
1706584641.172223806,154,81,0.000000000,nan,nan,nan,nan,0,0,0,4,candidate_cooldown_reject
1706584643.963436842,157,108,0.000000000,nan,nan,nan,nan,0,0,4596,1,icp_not_converged
1706584648.671385050,169,124,0.126341981,5.912333032,0.300000000,nan,nan,0,0,3781,363,fitness_reject
1706584648.967611551,170,29,0.142650578,nan,nan,nan,nan,0,0,0,476,candidate_cooldown_reject
1706584649.572681665,172,17,0.142451746,nan,nan,nan,nan,0,0,0,648,candidate_cooldown_reject
1706584650.172905922,174,124,0.170083221,87.018206264,0.300000000,nan,nan,0,0,3781,739,fitness_reject
1706584651.071531534,177,140,0.173671157,105.527612889,0.300000000,nan,nan,0,0,3210,901,fitness_reject
1706584651.472414732,178,19,0.129182202,nan,nan,nan,nan,0,0,0,953,candidate_cooldown_reject
1706584652.572229385,180,3,0.125816958,nan,nan,nan,nan,0,0,0,1160,candidate_cooldown_reject
1706584653.972370625,181,3,0.104375986,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1706584654.872549772,182,3,0.078546877,nan,nan,nan,nan,0,0,0,1807,candidate_cooldown_reject
1706584655.972370863,183,146,0.146225544,327.784502222,0.300000000,nan,nan,0,0,2886,1646,fitness_reject
1706584656.871093273,184,63,0.068758945,nan,nan,nan,nan,0,0,0,1283,candidate_cooldown_reject
1706584660.572763920,188,71,0.111017080,nan,nan,nan,nan,0,0,0,1511,candidate_cooldown_reject
1706584662.070272207,190,87,0.137519689,nan,nan,nan,nan,0,0,0,1897,candidate_cooldown_reject
1706584662.872295618,191,79,0.135921379,nan,nan,nan,nan,0,0,0,2103,candidate_cooldown_reject
1706584663.572409630,192,137,0.138086530,189.790146198,0.300000000,nan,nan,0,0,3321,1958,fitness_reject
1706584664.171525002,193,118,0.115618703,138.721344750,0.300000000,nan,nan,0,0,3861,1652,fitness_reject
1706584664.772881269,194,54,0.147396531,17.953026692,0.300000000,nan,nan,0,0,3865,1647,fitness_reject
1706584665.472552299,195,68,0.092463220,nan,nan,nan,nan,0,0,0,1806,candidate_cooldown_reject
1706584666.172253847,196,118,0.132006997,173.386156859,0.300000000,nan,nan,0,0,3861,1837,fitness_reject
1706584666.872722864,197,67,0.137000768,nan,nan,nan,nan,0,0,0,1897,candidate_cooldown_reject
1706584667.472584486,198,119,0.062522621,195.899076797,0.300000000,nan,nan,0,0,3844,1948,fitness_reject
1706584668.072433472,199,119,0.165825424,223.412147003,0.300000000,nan,nan,0,0,3844,1947,fitness_reject
1706584668.772860527,200,118,0.156280479,229.425009677,0.300000000,nan,nan,0,0,3861,2061,fitness_reject
1706584669.472540855,201,119,0.146477119,161.507771592,0.300000000,nan,nan,0,0,3844,1968,fitness_reject
1706584671.272404909,204,61,0.151370188,nan,nan,nan,nan,0,0,0,1614,candidate_cooldown_reject
1706584672.172541380,205,146,0.123315599,nan,nan,nan,nan,0,0,2886,2192,icp_not_converged
1706584672.872220278,206,70,0.143769145,nan,nan,nan,nan,0,0,0,1848,candidate_cooldown_reject
1706584673.472855806,207,72,0.164349285,nan,nan,nan,nan,0,0,0,1657,candidate_cooldown_reject
1706584675.372217417,210,63,0.064007912,nan,nan,nan,nan,0,0,0,1868,candidate_cooldown_reject
1706584675.972440720,211,65,0.039804364,nan,nan,nan,nan,0,0,0,1918,candidate_cooldown_reject
1706584676.572249174,212,74,0.106332301,nan,nan,nan,nan,0,0,0,1718,candidate_cooldown_reject
1706584677.172884226,213,24,0.096107675,nan,nan,nan,nan,0,0,0,1504,candidate_cooldown_reject
1706584677.770925522,214,181,0.099971944,0.079373093,0.300000000,0.133877463,0.001605860,0,1,3980,1400,accepted
1706584678.372570992,215,23,0.100706662,nan,nan,nan,nan,0,0,0,1426,candidate_cooldown_reject
1706584678.972006321,216,72,0.101392090,nan,nan,nan,nan,0,0,0,1399,candidate_cooldown_reject
1706584679.568902493,217,54,0.095251046,nan,nan,nan,nan,0,0,0,1531,current_cooldown_reject
1706584680.272204399,218,72,0.111402281,nan,nan,nan,nan,0,0,0,1638,candidate_cooldown_reject
1706584681.072268248,219,184,0.046060472,nan,nan,nan,nan,0,0,0,1477,current_cooldown_reject
1706584681.772755384,220,68,0.108220449,nan,nan,nan,nan,0,0,0,1265,candidate_cooldown_reject
1706584682.472429991,221,71,0.093431266,nan,nan,nan,nan,0,0,0,1079,candidate_cooldown_reject
1706584683.172012329,222,114,0.144961222,nan,nan,nan,nan,0,0,0,1196,current_cooldown_reject
1706584684.471814871,224,188,0.174567800,nan,nan,nan,nan,0,0,0,1182,candidate_cooldown_reject
1706584685.172527552,225,73,0.051584493,nan,nan,nan,nan,0,0,0,1547,candidate_cooldown_reject
1706584685.672559977,226,184,0.029825937,nan,nan,nan,nan,0,0,0,1613,candidate_cooldown_reject
1706584686.272412300,227,69,0.096249847,nan,nan,nan,nan,0,0,0,1319,candidate_cooldown_reject
1706584686.872273684,228,24,0.072866667,nan,nan,nan,nan,0,0,0,1343,candidate_cooldown_reject
1706584687.572759390,229,74,0.061756080,nan,nan,nan,nan,0,0,0,1499,candidate_cooldown_reject
1706584688.272415638,230,184,0.032008076,nan,nan,nan,nan,0,0,0,1565,candidate_cooldown_reject
1706584688.872237682,231,60,0.084174511,nan,nan,nan,nan,0,0,0,1642,candidate_cooldown_reject
1706584689.472872972,232,51,0.149365597,nan,nan,nan,nan,0,0,0,1336,candidate_cooldown_reject
1706584690.072693110,233,73,0.175882046,nan,nan,nan,nan,0,0,0,1258,candidate_cooldown_reject
1706584690.672532558,234,140,0.079965231,nan,nan,nan,nan,0,0,3210,1377,icp_not_converged
1706584691.272763729,235,25,0.153959144,nan,nan,nan,nan,0,0,0,1358,candidate_cooldown_reject
1706584691.972880602,236,48,0.158407456,nan,nan,nan,nan,0,0,0,1314,candidate_cooldown_reject
1706584692.572735786,237,140,0.056376527,nan,nan,nan,nan,0,0,3210,1371,icp_not_converged
1706584693.772881269,239,55,0.153756540,42.307892083,0.300000000,nan,nan,0,0,3872,1553,fitness_reject
1706584694.369823694,240,67,0.105984047,nan,nan,nan,nan,0,0,0,1469,candidate_cooldown_reject
1706584694.972579241,241,141,0.079422751,nan,nan,nan,nan,0,0,3114,1524,icp_not_converged
1706584695.570828438,242,68,0.134623889,nan,nan,nan,nan,0,0,0,1253,candidate_cooldown_reject
1706584696.072405577,243,141,0.093716823,nan,nan,nan,nan,0,0,3114,1200,icp_not_converged
1706584696.572454691,244,55,0.133371031,51.856623017,0.300000000,nan,nan,0,0,3872,1354,fitness_reject
1706584697.671505451,246,76,0.156724015,nan,nan,nan,nan,0,0,0,1446,candidate_cooldown_reject
1706584698.170214653,247,212,0.106363808,0.140429519,0.300000000,0.085807754,0.002722449,0,1,3945,1361,accepted
1706584698.672281027,248,51,0.105963981,nan,nan,nan,nan,0,0,0,1488,candidate_cooldown_reject
1706584699.272527695,249,22,0.087630874,nan,nan,nan,nan,0,0,0,1628,candidate_cooldown_reject
1706584699.772923708,250,216,0.174575137,nan,nan,nan,nan,0,0,0,1578,current_cooldown_reject
1706584700.372752666,251,13,0.161442592,nan,nan,nan,nan,0,0,0,1615,candidate_cooldown_reject
1706584700.972578287,252,141,0.071016248,nan,nan,nan,nan,0,0,0,1594,current_cooldown_reject
1706584701.570386648,253,2,0.128531834,nan,nan,nan,nan,0,0,0,1422,candidate_cooldown_reject
1706584702.172582150,254,10,0.159296356,nan,nan,nan,nan,0,0,0,1716,candidate_cooldown_reject
1706584702.772082329,255,184,0.149088799,nan,nan,nan,nan,0,0,0,1630,candidate_cooldown_reject
1706584703.369502544,256,20,0.086221660,nan,nan,nan,nan,0,0,0,1753,candidate_cooldown_reject
1706584703.972831964,257,13,0.061432009,nan,nan,nan,nan,0,0,0,1648,candidate_cooldown_reject
1706584704.471526861,258,140,0.088506201,nan,nan,nan,nan,0,0,3210,1506,icp_not_converged
1706584704.972407818,259,181,0.047775370,nan,nan,nan,nan,0,0,0,1614,candidate_cooldown_reject
1706584705.469778538,260,141,0.028345300,nan,nan,nan,nan,0,0,3114,1451,icp_not_converged
1706584705.972413778,261,5,0.064125323,nan,nan,nan,nan,0,0,0,1568,candidate_cooldown_reject
1706584707.170502424,263,20,0.101488802,nan,nan,nan,nan,0,0,0,1694,candidate_cooldown_reject
1706584707.672876358,264,141,0.041007550,nan,nan,nan,nan,0,0,3114,1563,icp_not_converged
1706584708.172881842,265,140,0.072455903,nan,nan,nan,nan,0,0,3210,1176,icp_not_converged
1706584708.772723198,266,14,0.061038732,nan,nan,nan,nan,0,0,0,1547,candidate_cooldown_reject
1706584709.372581959,267,22,0.063786848,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1706584709.872544765,268,184,0.074288045,nan,nan,nan,nan,0,0,0,1656,candidate_cooldown_reject
1706584710.372382402,269,82,0.124276401,nan,nan,nan,nan,0,0,0,1717,candidate_cooldown_reject
1706584710.872449636,270,20,0.077305319,nan,nan,nan,nan,0,0,0,1560,candidate_cooldown_reject
1706584711.872566223,272,182,0.073973533,nan,nan,nan,nan,0,0,0,1511,candidate_cooldown_reject
1706584712.372557402,273,83,0.154006095,nan,nan,nan,nan,0,0,0,1695,candidate_cooldown_reject
1706584712.971298218,274,83,0.123744756,nan,nan,nan,nan,0,0,0,1650,candidate_cooldown_reject
1706584713.472388983,275,182,0.052561799,nan,nan,nan,nan,0,0,0,1598,candidate_cooldown_reject
1706584713.972384453,276,29,0.168148214,nan,nan,nan,nan,0,0,0,1772,candidate_cooldown_reject
1706584714.572559595,277,137,0.069007186,nan,nan,nan,nan,0,0,3321,1703,icp_not_converged
1706584714.972775459,278,184,0.120933486,nan,nan,nan,nan,0,0,0,1671,candidate_cooldown_reject
1706584715.471878767,279,137,0.088899724,nan,nan,nan,nan,0,0,3321,1537,icp_not_converged
1706584716.470040321,281,137,0.070769773,nan,nan,nan,nan,0,0,3321,1355,icp_not_converged
1706584716.968870640,282,137,0.076977396,nan,nan,nan,nan,0,0,3321,1380,icp_not_converged
1706584717.472401142,283,83,0.096285764,nan,nan,nan,nan,0,0,0,1486,candidate_cooldown_reject
1706584717.972388268,284,87,0.101092476,nan,nan,nan,nan,0,0,0,1489,candidate_cooldown_reject
1706584718.472380161,285,137,0.069462385,nan,nan,nan,nan,0,0,3321,1595,icp_not_converged
1706584718.971620321,286,137,0.085997090,nan,nan,nan,nan,0,0,3321,1514,icp_not_converged
1706584719.469669580,287,190,0.058078240,nan,nan,nan,nan,0,0,0,1550,candidate_cooldown_reject
1706584719.972720385,288,189,0.100241465,nan,nan,nan,nan,0,0,0,1533,candidate_cooldown_reject
1706584720.572259665,289,189,0.159306088,nan,nan,nan,nan,0,0,0,1666,candidate_cooldown_reject
1706584721.570573092,291,254,0.151242473,0.113096462,0.300000000,0.169869581,0.006521198,0,1,3491,1616,accepted
1706584722.069406748,292,137,0.114609477,nan,nan,nan,nan,0,0,0,1524,current_cooldown_reject
1706584722.572590590,293,102,0.168276348,nan,nan,nan,nan,0,0,0,1470,current_cooldown_reject
1706584723.072568178,294,184,0.052426534,nan,nan,nan,nan,0,0,0,1389,candidate_cooldown_reject
1706584723.672378063,295,209,0.143597003,nan,nan,nan,nan,0,0,0,1540,candidate_cooldown_reject
1706584724.170337439,296,184,0.061241676,nan,nan,nan,nan,0,0,0,1485,candidate_cooldown_reject
1706584724.672406673,297,192,0.120765589,nan,nan,nan,nan,0,0,0,1513,candidate_cooldown_reject
1706584725.172439337,298,192,0.102153577,nan,nan,nan,nan,0,0,0,1528,candidate_cooldown_reject
1706584725.672429800,299,192,0.092286173,nan,nan,nan,nan,0,0,0,1525,candidate_cooldown_reject
1706584726.172424078,300,192,0.086852790,nan,nan,nan,nan,0,0,0,1437,candidate_cooldown_reject
1706584726.669932842,301,145,0.153688375,nan,nan,nan,nan,0,0,2981,1371,icp_not_converged
1706584727.170085907,302,192,0.106883045,nan,nan,nan,nan,0,0,0,1336,candidate_cooldown_reject
1706584727.672888279,303,192,0.111997133,nan,nan,nan,nan,0,0,0,1322,candidate_cooldown_reject
1706584728.172875166,304,270,0.125257320,nan,nan,nan,nan,0,0,0,1329,candidate_cooldown_reject
1706584728.672868490,305,192,0.118963700,nan,nan,nan,nan,0,0,0,1337,candidate_cooldown_reject
1706584729.170697927,306,82,0.131172050,nan,nan,nan,nan,0,0,0,1318,candidate_cooldown_reject
1706584729.872568130,307,191,0.142310873,nan,nan,nan,nan,0,0,0,1354,candidate_cooldown_reject
1706584730.470175266,308,186,0.119657895,nan,nan,nan,nan,0,0,0,1183,candidate_cooldown_reject
1706584731.671367168,310,187,0.090159524,nan,nan,nan,nan,0,0,0,1204,candidate_cooldown_reject
1706584732.872255802,312,191,0.113675349,nan,nan,nan,nan,0,0,0,1132,candidate_cooldown_reject
1706584733.472891808,313,192,0.097473416,nan,nan,nan,nan,0,0,0,1094,candidate_cooldown_reject
1706584734.172025681,314,274,0.127910019,nan,nan,nan,nan,0,0,0,947,loop_pair_cooldown_reject
1706584734.772412777,315,137,0.093270301,nan,nan,nan,nan,0,0,3321,941,icp_not_converged
1706584736.472413301,317,137,0.112110631,nan,nan,nan,nan,0,0,3321,778,icp_not_converged
1706584737.272704840,318,137,0.099581023,nan,nan,nan,nan,0,0,3321,635,icp_not_converged
1706584738.070940018,319,269,0.116690815,nan,nan,nan,nan,0,0,0,518,candidate_cooldown_reject
1706584744.569865942,320,129,0.179279830,nan,nan,nan,nan,0,0,3614,412,icp_not_converged
