frame,stamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cloud_points,cloud_stamp,map_points,map_stamp
1,1706584501.872719288,0.036339977,-0.033999743,0.001939070,-0.002822504,0.000956294,0.000643421,0.999995352,0,0.000000000,0,0.000000000
2,1706584501.972554207,0.044091825,-0.014001845,0.003528504,0.000474904,0.000219658,0.000233873,0.999999836,5648,1706584501.872719288,0,0.000000000
3,1706584502.072397232,0.038498494,-0.000294221,0.012840434,0.000091492,0.000931354,-0.000043370,0.999999561,5660,1706584501.972554207,0,0.000000000
4,1706584502.171254158,0.051786119,-0.004089077,0.013854476,-0.000288276,0.000777122,0.000088731,0.999999653,5659,1706584502.072397232,0,0.000000000
5,1706584502.270047188,0.086411457,-0.023358851,0.013349921,-0.001676201,0.000983130,0.000237703,0.999998084,5527,1706584502.171254158,0,0.000000000
6,1706584502.372717381,0.103393146,-0.027126472,0.013287894,-0.001197866,0.000986289,-0.000028732,0.999998796,5604,1706584502.270047188,0,0.000000000
7,1706584502.472560406,0.087454098,-0.030096449,0.011762380,-0.001877604,0.001093505,0.000299798,0.999997594,5658,1706584502.372717381,5658,1706584502.372717381
8,1706584502.572410107,0.054667610,-0.026078817,0.003614890,-0.000660375,0.000341379,0.000517833,0.999999590,5737,1706584502.472560406,5658,1706584502.372717381
9,1706584502.672247171,0.054997528,-0.025598277,0.002962924,-0.000872686,0.000602854,0.000373959,0.999999368,5793,1706584502.572410107,5658,1706584502.372717381
10,1706584502.772886515,0.043323096,-0.022783455,0.003200350,-0.000532125,0.000617759,0.000352534,0.999999605,5744,1706584502.672247171,5658,1706584502.372717381
11,1706584502.872743130,0.023183654,-0.018654252,0.010682943,-0.001222514,0.001059563,0.000385037,0.999998617,5801,1706584502.772886515,5658,1706584502.372717381
12,1706584502.972582579,0.013235302,-0.008719030,0.012397217,-0.002131806,0.001222440,0.000022979,0.999996980,5746,1706584502.872743130,5658,1706584502.372717381
13,1706584503.072187185,0.011638559,-0.004170749,0.008513394,-0.000729589,0.000733226,0.000201005,0.999999445,5757,1706584502.972582579,5658,1706584502.372717381
14,1706584503.172273636,-0.022162489,0.000756913,0.002475883,-0.001176231,0.000626176,0.000274522,0.999999075,5608,1706584503.072187185,5658,1706584502.372717381
15,1706584503.272919178,-0.020312125,-0.000599894,0.005196457,-0.000447935,0.000851452,0.000215140,0.999999514,5639,1706584503.172273636,5658,1706584502.372717381
16,1706584503.372287989,-0.020723502,-0.001008549,0.003971553,-0.001055254,0.000701263,0.000299747,0.999999152,5654,1706584503.272919178,5658,1706584502.372717381
17,1706584503.471075296,-0.016106027,-0.002367164,0.004201240,0.000337833,0.000648521,0.000331977,0.999999678,5576,1706584503.372287989,11234,1706584503.372287989
18,1706584503.569895506,-0.019345612,0.001507383,0.009792247,-0.001003003,0.000969184,0.000280287,0.999998988,5599,1706584503.471075296,11234,1706584503.372287989
19,1706584503.672291517,-0.024346553,-0.006605054,0.008218964,-0.000709493,0.000840543,0.000699437,0.999999150,5655,1706584503.569895506,11234,1706584503.372287989
20,1706584503.772528410,-0.018804054,-0.006471878,0.007286000,-0.000299056,0.000810227,0.000440826,0.999999530,5677,1706584503.672291517,11234,1706584503.372287989
21,1706584503.872352362,0.003349043,-0.008721101,0.009394696,-0.000174478,0.000910548,0.000276540,0.999999532,5783,1706584503.772528410,11234,1706584503.372287989
22,1706584503.972599506,0.012425676,-0.010704284,0.004429111,-0.000531109,0.000711771,0.000251030,0.999999574,5763,1706584503.872352362,11234,1706584503.372287989
23,1706584504.072438002,0.017228289,-0.010517286,0.008749147,0.000325173,0.000932018,0.000353677,0.999999450,5769,1706584503.972599506,11234,1706584503.372287989
24,1706584504.172276258,0.029051597,-0.011835743,0.010304608,-0.000936980,0.001075737,0.000100588,0.999998977,5740,1706584504.072438002,11234,1706584503.372287989
25,1706584504.272907019,0.045542463,-0.019933651,0.011920046,-0.000106722,0.000955115,0.000463344,0.999999431,5743,1706584504.172276258,11234,1706584503.372287989
26,1706584504.372742176,0.024471009,-0.018634449,0.006970380,0.000169419,0.000657251,0.000490792,0.999999649,5625,1706584504.272907019,11234,1706584503.372287989
27,1706584504.472580910,0.016985568,-0.022865812,0.011259284,-0.000357654,0.001111633,0.000767231,0.999999024,5643,1706584504.372742176,16877,1706584504.372742176
28,1706584504.572400808,-0.001266271,-0.016107588,0.007258153,-0.001834068,0.000894612,0.000505572,0.999997790,5639,1706584504.472580910,16877,1706584504.372742176
29,1706584504.672120333,0.001913624,-0.009332167,0.007446005,-0.001168552,0.000923980,0.000291238,0.999998848,5614,1706584504.572400808,16877,1706584504.372742176
30,1706584504.770961761,0.001584315,-0.009660687,0.004148410,-0.000767173,0.000699278,0.000383189,0.999999388,5696,1706584504.672120333,16877,1706584504.372742176
31,1706584504.869842529,0.001717134,-0.010579834,0.008377446,-0.000016909,0.001172744,0.000474148,0.999999200,5670,1706584504.770961761,16877,1706584504.372742176
32,1706584504.972588062,0.004327841,-0.009459483,0.010186457,-0.000194139,0.001021241,0.000371802,0.999999391,5663,1706584504.869842529,16877,1706584504.372742176
33,1706584505.072432518,-0.009942472,-0.003952510,0.008105763,-0.000855972,0.000981084,0.000285615,0.999999112,5742,1706584504.972588062,16877,1706584504.372742176
34,1706584505.172269344,-0.005215145,-0.004690136,0.005881277,-0.001572724,0.001041718,0.000236838,0.999998193,5766,1706584505.072432518,16877,1706584504.372742176
35,1706584505.272928715,-0.009131285,-0.003852126,0.004183270,-0.000667265,0.000728659,0.000465623,0.999999404,5774,1706584505.172269344,16877,1706584504.372742176
