time,current_id,candidate_id,scan_context_distance,icp_fitness,threshold,trans_error,yaw_error,degenerate_pair,accepted,target_points,source_points,reason
1706584562.071574926,41,9,0.129667917,0.204525908,0.300000000,0.150663414,0.000833557,0,1,3842,1342,accepted
1706584562.772407532,42,7,0.107853507,nan,nan,nan,nan,0,0,0,1392,current_cooldown_reject
1706584563.972451210,44,3,0.161194355,nan,nan,nan,nan,0,0,0,1650,current_cooldown_reject
1706584564.671307564,45,3,0.145432879,nan,nan,nan,nan,0,0,0,1679,current_cooldown_reject
1706584567.271042347,49,17,0.074692904,nan,nan,nan,nan,0,0,0,1248,current_cooldown_reject
1706584568.571152210,51,3,0.138579974,nan,nan,nan,nan,0,0,0,1354,candidate_cooldown_reject
1706584569.271822691,52,18,0.100303208,nan,nan,nan,nan,0,0,0,1194,candidate_cooldown_reject
1706584569.972431421,53,19,0.063850889,nan,nan,nan,nan,0,0,0,1470,candidate_cooldown_reject
1706584570.669896603,54,16,0.133853465,nan,nan,nan,nan,0,0,0,1495,candidate_cooldown_reject
1706584573.872559071,59,28,0.074798437,nan,nan,nan,nan,0,0,0,1709,candidate_cooldown_reject
1706584574.470331907,60,13,0.136526872,nan,nan,nan,nan,0,0,0,1365,candidate_cooldown_reject
1706584575.072225094,61,30,0.086512295,nan,nan,nan,nan,0,0,0,1120,loop_pair_cooldown_reject
1706584575.671219826,62,26,0.051804903,nan,nan,nan,nan,0,0,0,1139,candidate_cooldown_reject
1706584576.472740173,63,24,0.106370584,nan,nan,nan,nan,0,0,0,1348,candidate_cooldown_reject
1706584577.069728374,64,23,0.099918491,nan,nan,nan,nan,0,0,0,1465,candidate_cooldown_reject
1706584577.672389269,65,23,0.067184323,nan,nan,nan,nan,0,0,0,1502,candidate_cooldown_reject
1706584578.369448900,66,24,0.086368752,nan,nan,nan,nan,0,0,0,1534,candidate_cooldown_reject
1706584579.072582245,67,24,0.058740513,nan,nan,nan,nan,0,0,0,1579,candidate_cooldown_reject
1706584579.772246361,68,24,0.037029118,nan,nan,nan,nan,0,0,0,1489,candidate_cooldown_reject
1706584580.472739220,69,26,0.081146159,nan,nan,nan,nan,0,0,0,1240,candidate_cooldown_reject
1706584581.072591543,70,28,0.070808100,nan,nan,nan,nan,0,0,0,1210,candidate_cooldown_reject
1706584581.772238493,71,34,0.039686762,0.125345547,0.300000000,0.089177301,0.002061823,0,1,3963,1493,accepted
1706584582.372881413,72,28,0.046330453,nan,nan,nan,nan,0,0,0,1531,candidate_cooldown_reject
1706584583.072605133,73,39,0.044379327,nan,nan,nan,nan,0,0,0,1693,current_cooldown_reject
1706584583.672419548,74,28,0.038473991,nan,nan,nan,nan,0,0,0,1662,candidate_cooldown_reject
1706584584.372895956,75,24,0.094584050,nan,nan,nan,nan,0,0,0,1663,candidate_cooldown_reject
1706584585.072583199,76,34,0.047689374,nan,nan,nan,nan,0,0,0,1426,current_cooldown_reject
1706584585.772251129,77,34,0.064110548,nan,nan,nan,nan,0,0,0,1647,current_cooldown_reject
1706584587.171911001,79,39,0.062068822,nan,nan,nan,nan,0,0,0,1932,current_cooldown_reject
1706584587.772258759,80,27,0.131539774,nan,nan,nan,nan,0,0,0,1661,candidate_cooldown_reject
1706584589.072601557,82,14,0.138706990,nan,nan,nan,nan,0,0,0,1474,candidate_cooldown_reject
1706584589.772221327,83,29,0.157734577,nan,nan,nan,nan,0,0,0,1754,candidate_cooldown_reject
1706584590.472588062,84,24,0.108659756,nan,nan,nan,nan,0,0,0,1965,candidate_cooldown_reject
1706584590.972718954,85,27,0.069574819,nan,nan,nan,nan,0,0,0,1817,candidate_cooldown_reject
1706584591.870759249,86,27,0.043441643,nan,nan,nan,nan,0,0,0,1902,candidate_cooldown_reject
1706584592.472697973,87,27,0.102399188,nan,nan,nan,nan,0,0,0,2003,candidate_cooldown_reject
1706584593.071734190,88,32,0.108410306,nan,nan,nan,nan,0,0,0,1837,candidate_cooldown_reject
1706584593.772578478,89,45,0.065701008,nan,nan,nan,nan,0,0,0,1615,candidate_cooldown_reject
1706584594.470028639,90,45,0.070450397,nan,nan,nan,nan,0,0,0,1588,candidate_cooldown_reject
1706584595.172731876,91,45,0.104318667,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1706584595.972213984,92,34,0.081946481,nan,nan,nan,nan,0,0,0,1904,candidate_cooldown_reject
1706584596.672706842,93,39,0.055128050,nan,nan,nan,nan,0,0,0,1796,candidate_cooldown_reject
1706584597.472213507,94,63,0.079733231,nan,nan,nan,nan,0,0,0,1739,loop_pair_cooldown_reject
1706584598.171696186,95,60,0.164608442,nan,nan,nan,nan,0,0,0,1701,loop_pair_cooldown_reject
1706584598.972541809,96,64,0.105792363,0.472822147,0.300000000,nan,nan,0,0,3879,1726,fitness_reject
1706584599.668824911,97,45,0.099830103,nan,nan,nan,nan,0,0,0,1903,candidate_cooldown_reject
1706584600.372745752,98,34,0.121197322,nan,nan,nan,nan,0,0,0,2027,candidate_cooldown_reject
1706584601.072378397,99,39,0.133328513,nan,nan,nan,nan,0,0,0,2035,candidate_cooldown_reject
1706584601.672209740,100,51,0.111205116,nan,nan,nan,nan,0,0,0,1842,candidate_cooldown_reject
1706584603.469602346,103,63,0.142758469,1.351348257,0.300000000,nan,nan,0,0,3834,2081,fitness_reject
1706584604.072751522,104,39,0.131429017,nan,nan,nan,nan,0,0,0,2240,candidate_cooldown_reject
1706584604.670693636,105,63,0.141751171,1.201164635,0.300000000,nan,nan,0,0,3834,2095,fitness_reject
1706584605.871742964,107,74,0.143994222,0.690693107,0.300000000,nan,nan,0,0,4191,2069,fitness_reject
1706584606.472924232,108,77,0.167810408,0.750251989,0.300000000,nan,nan,0,0,4201,2136,fitness_reject
1706584607.072739601,109,39,0.117126304,nan,nan,nan,nan,0,0,0,2035,candidate_cooldown_reject
1706584607.672567368,110,45,0.132120216,nan,nan,nan,nan,0,0,0,1807,candidate_cooldown_reject
1706584608.272405863,111,76,0.090308215,0.238779760,0.300000000,0.270489588,0.001386141,0,1,4233,1468,accepted
1706584608.872211695,112,79,0.160308095,nan,nan,nan,nan,0,0,0,1423,current_cooldown_reject
1706584609.472858667,113,79,0.129435822,nan,nan,nan,nan,0,0,0,1384,current_cooldown_reject
1706584610.072286129,114,76,0.069988806,nan,nan,nan,nan,0,0,0,1603,current_cooldown_reject
1706584610.672936201,115,39,0.045604082,nan,nan,nan,nan,0,0,0,1775,candidate_cooldown_reject
1706584611.272775650,116,79,0.032807937,nan,nan,nan,nan,0,0,0,1983,current_cooldown_reject
1706584611.870347738,117,72,0.043676533,nan,nan,nan,nan,0,0,0,1767,current_cooldown_reject
1706584612.472429752,118,72,0.040951011,nan,nan,nan,nan,0,0,0,1828,current_cooldown_reject
1706584613.169960499,119,63,0.050528426,nan,nan,nan,nan,0,0,0,1610,current_cooldown_reject
1706584613.872602224,120,82,0.080688931,nan,nan,nan,nan,0,0,0,1472,current_cooldown_reject
1706584614.572303057,121,82,0.127674507,nan,nan,nan,nan,0,0,0,1370,candidate_cooldown_reject
1706584615.271195412,122,14,0.130479265,nan,nan,nan,nan,0,0,0,1142,candidate_cooldown_reject
1706584618.171279907,126,79,0.179850039,nan,nan,nan,nan,0,0,0,917,candidate_cooldown_reject
1706584626.869145632,137,82,0.135587967,nan,nan,nan,nan,0,0,0,1384,candidate_cooldown_reject
1706584627.672549963,138,82,0.172278962,nan,nan,nan,nan,0,0,0,1319,candidate_cooldown_reject
1706584629.369540691,140,3,0.077631325,nan,nan,nan,nan,0,0,0,1316,candidate_cooldown_reject
1706584630.172532082,141,13,0.081564948,nan,nan,nan,nan,0,0,0,1550,candidate_cooldown_reject
1706584630.972225904,142,9,0.114368816,nan,nan,nan,nan,0,0,0,1695,candidate_cooldown_reject
1706584631.771419287,143,9,0.060802332,nan,nan,nan,nan,0,0,0,1576,candidate_cooldown_reject
1706584632.672564268,144,84,0.160838872,nan,nan,nan,nan,0,0,0,1492,candidate_cooldown_reject
1706584633.472897768,145,27,0.140463858,nan,nan,nan,nan,0,0,0,1276,candidate_cooldown_reject
1706584634.172580719,146,84,0.129338439,nan,nan,nan,nan,0,0,0,1141,candidate_cooldown_reject
1706584641.071577549,154,81,0.160262978,nan,nan,nan,nan,0,0,0,6,candidate_cooldown_reject
1706584643.963436842,157,108,0.000000000,nan,nan,nan,nan,0,0,4596,1,icp_not_converged
1706584648.259194374,167,27,0.177820182,nan,nan,nan,nan,0,0,0,194,candidate_cooldown_reject
1706584648.570072651,168,137,0.153919552,35.550432812,0.300000000,nan,nan,0,0,3321,299,fitness_reject
1706584648.868883133,169,29,0.133386340,nan,nan,nan,nan,0,0,0,455,candidate_cooldown_reject
1706584649.164974689,170,137,0.150454976,1437.062422958,0.300000000,nan,nan,0,0,3321,485,fitness_reject
1706584649.771223307,172,19,0.141974653,nan,nan,nan,nan,0,0,0,693,candidate_cooldown_reject
1706584650.070608854,173,123,0.160799683,77.947865816,0.300000000,nan,nan,0,0,3693,740,fitness_reject
1706584650.668538094,175,3,0.171120088,nan,nan,nan,nan,0,0,0,829,candidate_cooldown_reject
1706584650.972245932,176,123,0.129248688,72.039300950,0.300000000,nan,nan,0,0,3693,894,fitness_reject
1706584651.272356272,177,139,0.111052520,61.547829019,0.300000000,nan,nan,0,0,3317,883,fitness_reject
1706584651.672332525,178,19,0.153883043,nan,nan,nan,nan,0,0,0,981,candidate_cooldown_reject
1706584652.072228909,179,136,0.111513087,108.374250515,0.300000000,nan,nan,0,0,3426,1039,fitness_reject
1706584652.971967459,180,9,0.093730780,nan,nan,nan,nan,0,0,0,1268,candidate_cooldown_reject
1706584654.370327473,181,76,0.133237739,nan,nan,nan,nan,0,0,0,1758,candidate_cooldown_reject
1706584655.272679090,182,137,0.071365627,164.218703283,0.300000000,nan,nan,0,0,3321,1784,fitness_reject
1706584656.272710562,183,66,0.106509224,nan,nan,nan,nan,0,0,0,1515,candidate_cooldown_reject
1706584657.372546673,184,77,0.085089258,nan,nan,nan,nan,0,0,0,1192,candidate_cooldown_reject
1706584658.772766352,185,122,0.179709523,66.854553894,0.300000000,nan,nan,0,0,3759,1125,fitness_reject
1706584660.372276068,187,76,0.080902907,nan,nan,nan,nan,0,0,0,1399,candidate_cooldown_reject
1706584662.772458315,190,79,0.113475702,nan,nan,nan,nan,0,0,0,2096,candidate_cooldown_reject
1706584663.472563982,191,145,0.122103842,206.839794830,0.300000000,nan,nan,0,0,2981,1972,fitness_reject
1706584664.072405338,192,68,0.158806548,nan,nan,nan,nan,0,0,0,1644,candidate_cooldown_reject
1706584664.669802427,193,45,0.120760425,nan,nan,nan,nan,0,0,0,1656,candidate_cooldown_reject
1706584666.072393894,195,67,0.094930846,nan,nan,nan,nan,0,0,0,1835,candidate_cooldown_reject
1706584666.772890091,196,72,0.134673227,nan,nan,nan,nan,0,0,0,1872,candidate_cooldown_reject
1706584667.372731686,197,118,0.142862584,217.586929358,0.300000000,nan,nan,0,0,3861,1895,fitness_reject
1706584667.972589016,198,119,0.076149368,195.162466853,0.300000000,nan,nan,0,0,3844,1872,fitness_reject
1706584668.672226191,199,59,0.152966009,nan,nan,nan,nan,0,0,0,1995,candidate_cooldown_reject
1706584669.372293711,200,119,0.163195136,175.044672369,0.300000000,nan,nan,0,0,3844,2041,fitness_reject
1706584669.872283220,201,119,0.172447161,87.139851085,0.300000000,nan,nan,0,0,3844,1683,fitness_reject
1706584670.471271753,202,116,0.176851294,250.124588560,0.300000000,nan,nan,0,0,4003,1553,fitness_reject
1706584670.972053766,203,70,0.147707228,nan,nan,nan,nan,0,0,0,1552,candidate_cooldown_reject
1706584671.770773649,204,118,0.152334672,152.180355745,0.300000000,nan,nan,0,0,3861,1891,fitness_reject
1706584672.572693586,205,63,0.179173590,nan,nan,nan,nan,0,0,0,2040,candidate_cooldown_reject
1706584673.272399902,206,76,0.110154158,nan,nan,nan,nan,0,0,0,1747,candidate_cooldown_reject
1706584673.872198343,207,72,0.087140170,nan,nan,nan,nan,0,0,0,1670,candidate_cooldown_reject
1706584674.572285175,208,77,0.102976289,nan,nan,nan,nan,0,0,0,1742,candidate_cooldown_reject
1706584675.272375584,209,63,0.071860394,nan,nan,nan,nan,0,0,0,1866,candidate_cooldown_reject
1706584675.872604609,210,120,0.165902658,445.443673644,0.300000000,nan,nan,0,0,3785,1934,fitness_reject
1706584676.472414970,211,77,0.104221432,nan,nan,nan,nan,0,0,0,1740,candidate_cooldown_reject
1706584677.072242260,212,27,0.134592444,nan,nan,nan,nan,0,0,0,1491,candidate_cooldown_reject
1706584677.770925522,213,182,0.039079181,0.077346501,0.300000000,0.077964304,0.001634785,0,1,4077,1400,accepted
1706584678.372570992,214,181,0.077970595,nan,nan,nan,nan,0,0,0,1426,current_cooldown_reject
1706584678.972006321,215,72,0.101392090,nan,nan,nan,nan,0,0,0,1399,candidate_cooldown_reject
1706584679.568902493,216,54,0.095251046,nan,nan,nan,nan,0,0,0,1531,current_cooldown_reject
1706584680.272204399,217,72,0.111402281,nan,nan,nan,nan,0,0,0,1638,candidate_cooldown_reject
1706584681.072268248,218,74,0.068571738,nan,nan,nan,nan,0,0,0,1477,candidate_cooldown_reject
1706584681.772755384,219,68,0.108220449,nan,nan,nan,nan,0,0,0,1265,candidate_cooldown_reject
1706584682.472429991,220,71,0.093431266,nan,nan,nan,nan,0,0,0,1079,candidate_cooldown_reject
1706584683.172012329,221,114,0.144961222,nan,nan,nan,nan,0,0,0,1196,current_cooldown_reject
1706584684.471814871,223,189,0.093128062,nan,nan,nan,nan,0,0,0,1182,candidate_cooldown_reject
1706584685.172527552,224,73,0.051584493,nan,nan,nan,nan,0,0,0,1547,candidate_cooldown_reject
1706584685.672559977,225,63,0.080322492,nan,nan,nan,nan,0,0,0,1613,candidate_cooldown_reject
1706584686.272412300,226,69,0.096249847,nan,nan,nan,nan,0,0,0,1319,candidate_cooldown_reject
1706584686.872273684,227,24,0.072866667,nan,nan,nan,nan,0,0,0,1343,candidate_cooldown_reject
1706584687.572759390,228,74,0.061756080,nan,nan,nan,nan,0,0,0,1499,candidate_cooldown_reject
1706584688.272415638,229,182,0.104946519,nan,nan,nan,nan,0,0,0,1565,candidate_cooldown_reject
1706584688.872237682,230,181,0.069376293,nan,nan,nan,nan,0,0,0,1642,candidate_cooldown_reject
1706584689.472872972,231,181,0.042104360,nan,nan,nan,nan,0,0,0,1336,candidate_cooldown_reject
1706584690.072693110,232,181,0.070064650,nan,nan,nan,nan,0,0,0,1258,candidate_cooldown_reject
1706584690.672532558,233,181,0.078543047,nan,nan,nan,nan,0,0,0,1377,candidate_cooldown_reject
1706584691.972880602,235,181,0.066465811,nan,nan,nan,nan,0,0,0,1314,candidate_cooldown_reject
1706584692.572735786,236,140,0.056376527,nan,nan,nan,nan,0,0,3210,1371,icp_not_converged
1706584693.772881269,238,180,0.049821609,nan,nan,nan,nan,0,0,0,1553,candidate_cooldown_reject
1706584694.369823694,239,67,0.105984047,nan,nan,nan,nan,0,0,0,1469,candidate_cooldown_reject
1706584694.972579241,240,141,0.079422751,nan,nan,nan,nan,0,0,3114,1524,icp_not_converged
1706584695.570828438,241,181,0.078378365,nan,nan,nan,nan,0,0,0,1253,candidate_cooldown_reject
1706584696.072405577,242,141,0.093716823,nan,nan,nan,nan,0,0,3114,1200,icp_not_converged
1706584696.572454691,243,55,0.133371031,51.856623017,0.300000000,nan,nan,0,0,3872,1354,fitness_reject
1706584697.671505451,245,76,0.156724015,nan,nan,nan,nan,0,0,0,1446,candidate_cooldown_reject
1706584698.170214653,246,181,0.082885282,nan,nan,nan,nan,0,0,0,1361,candidate_cooldown_reject
1706584698.672281027,247,181,0.082788683,nan,nan,nan,nan,0,0,0,1488,candidate_cooldown_reject
1706584699.272527695,248,22,0.087630874,nan,nan,nan,nan,0,0,0,1628,candidate_cooldown_reject
1706584699.772923708,249,181,0.087610730,nan,nan,nan,nan,0,0,0,1578,candidate_cooldown_reject
1706584700.372752666,250,13,0.161442592,nan,nan,nan,nan,0,0,0,1615,candidate_cooldown_reject
1706584700.972578287,251,141,0.071016248,nan,nan,nan,nan,0,0,3114,1594,icp_not_converged
1706584701.570386648,252,2,0.128531834,nan,nan,nan,nan,0,0,0,1422,candidate_cooldown_reject
1706584702.172582150,253,10,0.159296356,nan,nan,nan,nan,0,0,0,1716,candidate_cooldown_reject
1706584702.772082329,254,184,0.149099910,nan,nan,nan,nan,0,0,0,1630,candidate_cooldown_reject
1706584703.369502544,255,20,0.086221660,nan,nan,nan,nan,0,0,0,1753,candidate_cooldown_reject
1706584703.972831964,256,13,0.061432009,nan,nan,nan,nan,0,0,0,1648,candidate_cooldown_reject
1706584704.471526861,257,140,0.088506201,nan,nan,nan,nan,0,0,3210,1506,icp_not_converged
1706584704.972407818,258,182,0.106221090,nan,nan,nan,nan,0,0,0,1614,candidate_cooldown_reject
1706584705.469778538,259,141,0.028345300,nan,nan,nan,nan,0,0,3114,1451,icp_not_converged
1706584705.972413778,260,5,0.064125323,nan,nan,nan,nan,0,0,0,1568,candidate_cooldown_reject
1706584707.170502424,262,20,0.101488802,nan,nan,nan,nan,0,0,0,1694,candidate_cooldown_reject
1706584707.672876358,263,141,0.041007550,nan,nan,nan,nan,0,0,3114,1563,icp_not_converged
1706584708.172881842,264,140,0.072455903,nan,nan,nan,nan,0,0,3210,1176,icp_not_converged
1706584708.772723198,265,14,0.061038732,nan,nan,nan,nan,0,0,0,1547,candidate_cooldown_reject
1706584709.372581959,266,22,0.063786848,nan,nan,nan,nan,0,0,0,1583,candidate_cooldown_reject
1706584709.872544765,267,182,0.079911561,nan,nan,nan,nan,0,0,0,1656,candidate_cooldown_reject
1706584710.372382402,268,82,0.124276401,nan,nan,nan,nan,0,0,0,1717,candidate_cooldown_reject
1706584710.872449636,269,22,0.062973687,nan,nan,nan,nan,0,0,0,1560,candidate_cooldown_reject
1706584711.872566223,271,22,0.082267114,nan,nan,nan,nan,0,0,0,1511,candidate_cooldown_reject
1706584712.372557402,272,83,0.154006095,nan,nan,nan,nan,0,0,0,1695,candidate_cooldown_reject
1706584712.971298218,273,83,0.123744756,nan,nan,nan,nan,0,0,0,1650,candidate_cooldown_reject
1706584713.472388983,274,182,0.106442614,nan,nan,nan,nan,0,0,0,1598,candidate_cooldown_reject
1706584713.972384453,275,20,0.129206675,nan,nan,nan,nan,0,0,0,1772,candidate_cooldown_reject
1706584714.572559595,276,182,0.058862842,nan,nan,nan,nan,0,0,0,1703,candidate_cooldown_reject
1706584714.972775459,277,137,0.125866402,nan,nan,nan,nan,0,0,3321,1671,icp_not_converged
1706584715.471878767,278,182,0.052581223,nan,nan,nan,nan,0,0,0,1537,candidate_cooldown_reject
1706584716.470040321,280,137,0.070769773,nan,nan,nan,nan,0,0,3321,1355,icp_not_converged
1706584716.968870640,281,137,0.076977396,nan,nan,nan,nan,0,0,3321,1380,icp_not_converged
1706584717.472401142,282,83,0.096285764,nan,nan,nan,nan,0,0,0,1486,candidate_cooldown_reject
1706584717.972388268,283,182,0.089941275,nan,nan,nan,nan,0,0,0,1489,candidate_cooldown_reject
1706584718.472380161,284,137,0.069462385,nan,nan,nan,nan,0,0,3321,1595,icp_not_converged
1706584718.971620321,285,182,0.062619106,nan,nan,nan,nan,0,0,0,1514,candidate_cooldown_reject
1706584719.469669580,286,189,0.070185215,nan,nan,nan,nan,0,0,0,1550,candidate_cooldown_reject
1706584719.972720385,287,188,0.071382723,nan,nan,nan,nan,0,0,0,1533,candidate_cooldown_reject
1706584720.572259665,288,188,0.129599204,nan,nan,nan,nan,0,0,0,1666,candidate_cooldown_reject
1706584721.570573092,290,255,0.070595711,0.105930904,0.300000000,0.159770075,0.006554779,0,1,3654,1616,accepted
1706584722.069406748,291,255,0.106222159,nan,nan,nan,nan,0,0,0,1524,current_cooldown_reject
1706584722.572590590,292,182,0.049315123,nan,nan,nan,nan,0,0,0,1470,candidate_cooldown_reject
1706584723.072568178,293,182,0.069973779,nan,nan,nan,nan,0,0,0,1389,candidate_cooldown_reject
1706584723.672378063,294,189,0.141214193,nan,nan,nan,nan,0,0,0,1540,candidate_cooldown_reject
1706584724.170337439,295,182,0.087174482,nan,nan,nan,nan,0,0,0,1485,candidate_cooldown_reject
1706584724.672406673,296,137,0.122502096,nan,nan,nan,nan,0,0,0,1513,current_cooldown_reject
1706584725.172439337,297,137,0.130151747,nan,nan,nan,nan,0,0,0,1528,current_cooldown_reject
1706584725.672429800,298,87,0.124190869,nan,nan,nan,nan,0,0,0,1525,candidate_cooldown_reject
1706584726.172424078,299,137,0.122636313,nan,nan,nan,nan,0,0,0,1437,current_cooldown_reject
1706584726.669932842,300,145,0.153688375,nan,nan,nan,nan,0,0,2981,1371,icp_not_converged
1706584727.170085907,301,87,0.116080408,nan,nan,nan,nan,0,0,0,1336,candidate_cooldown_reject
1706584727.672888279,302,266,0.133239906,nan,nan,nan,nan,0,0,0,1322,candidate_cooldown_reject
1706584728.172875166,303,269,0.125257320,nan,nan,nan,nan,0,0,0,1329,candidate_cooldown_reject
1706584728.672868490,304,266,0.133182527,nan,nan,nan,nan,0,0,0,1337,candidate_cooldown_reject
1706584729.170697927,305,82,0.131172050,nan,nan,nan,nan,0,0,0,1318,candidate_cooldown_reject
1706584730.470175266,307,185,0.101667667,nan,nan,nan,nan,0,0,0,1183,candidate_cooldown_reject
1706584731.671367168,309,188,0.071042970,nan,nan,nan,nan,0,0,0,1204,candidate_cooldown_reject
1706584733.472891808,312,191,0.098207622,nan,nan,nan,nan,0,0,0,1094,candidate_cooldown_reject
1706584734.172025681,313,273,0.127910019,nan,nan,nan,nan,0,0,0,947,candidate_cooldown_reject
1706584734.772412777,314,137,0.093270301,nan,nan,nan,nan,0,0,3321,941,icp_not_converged
1706584736.472413301,316,137,0.112110631,nan,nan,nan,nan,0,0,3321,778,icp_not_converged
1706584737.272704840,317,137,0.099581023,nan,nan,nan,nan,0,0,3321,635,icp_not_converged
1706584738.070940018,318,268,0.116690815,nan,nan,nan,nan,0,0,0,518,candidate_cooldown_reject
