frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
1,1706584505.472604513,1706584505.572421074,1,0,0,0,-0.046471458,0.008139063,0.006786744,-0.002148676,0.000942425,0.000232647,0.999997220,1068,771,0.721910112,0.029463920,0.013398337,0.009735886,0.022536926,106.122171255,0.000000000,0.022536926,0.000000000,0.000000000,0.000000000,106.122171255,0,625,585,40,0.585205993,78,0,0,0,0,365,78,1378,625,78,0,365
2,1706584505.572432756,1706584505.672264338,1,1,1,0,-0.020673345,0.000106359,0.005166433,-0.000180951,0.000517225,0.000471671,0.999999739,1088,834,0.766544118,0.021852068,0.011264423,0.007869770,0.017546049,114.636530561,0.500000000,0.020041487,0.148332939,0.027068291,0.000481913,110.379350908,1,282,272,10,0.259191176,59,140,23,20,0,584,222,1429,907,277,23,949
3,1706584505.673074007,1706584505.772902966,1,1,1,0,0.001645682,-0.015813568,0.002948412,0.001369199,0.000045104,0.000745360,0.999998784,1122,813,0.724598930,0.024589666,0.012163739,0.008168657,0.019095007,120.154445193,0.666666667,0.019725994,0.124420352,0.054572885,0.001029599,113.637715669,2,256,249,7,0.228163993,59,152,21,34,0,634,232,1505,1163,488,44,1583
4,1706584505.772915125,1706584505.872747898,1,1,1,0,-0.011063129,-0.017334262,-0.001821844,0.001192352,-0.000056116,0.000893716,0.999998888,1090,834,0.765137615,0.024866901,0.011669194,0.008319173,0.017544512,124.654033864,0.750000000,0.019180623,0.108474247,0.068232377,0.001326054,116.391795218,3,230,224,6,0.211009174,65,142,5,14,0,648,212,1569,1393,695,49,2231
5,1706584505.872760773,1706584505.972007751,1,0,0,0,0.006194459,-0.019531677,-0.000496967,0.001729680,0.000060634,0.000958506,0.999998043,1072,833,0.777052239,0.024791857,0.011750952,0.008051723,0.026936944,97.103021334,0.600000000,0.020731888,0.097542021,0.085679677,0.001455975,112.534040441,0,315,298,17,0.293843284,65,0,0,0,0,692,65,1697,1708,760,49,2923
6,1706584505.972593784,1706584506.070913076,1,0,0,0,-0.017122464,-0.007139296,0.001791453,0.001942482,0.000274566,0.000569218,0.999997914,1054,815,0.773244782,0.025130687,0.010791109,0.007531267,0.028274990,97.681739403,0.500000000,0.021989071,0.089033147,0.112184146,0.002233694,110.058656935,0,301,294,7,0.285578748,76,0,0,0,0,677,76,1798,2009,836,49,3600
7,1706584506.072422743,1706584506.169879913,1,0,0,0,0.013299971,-0.012468778,0.002243697,0.001619550,0.000354904,0.000447236,0.999998526,1075,840,0.781395349,0.022912055,0.011812929,0.008205049,0.032212344,95.674418617,0.428571429,0.023449539,0.089078226,0.143073180,0.002477573,108.003765747,0,275,265,10,0.255813953,51,0,0,0,0,749,51,1881,2284,887,49,4349
8,1706584506.173064470,1706584506.272882462,1,0,0,0,0.011235122,-0.009049048,0.001709763,0.001980952,0.000152152,0.000513466,0.999997895,1061,837,0.788878417,0.023315980,0.011204734,0.007445135,0.025016297,101.070052602,0.375000000,0.023645384,0.086291762,0.147103471,0.002609485,107.137051603,0,231,224,7,0.217719133,54,0,0,0,0,776,54,1951,2515,941,49,5125
9,1706584506.272894382,1706584506.372726202,1,0,0,0,-0.016595735,-0.001838755,0.005327212,0.001881722,0.000445256,0.000561416,0.999997973,1087,866,0.796688132,0.027513161,0.012138072,0.007891752,0.043662737,84.839544727,0.333333333,0.025869534,0.088219662,0.176079855,0.002706459,104.659550839,0,238,236,2,0.218951242,61,0,0,0,0,788,61,2021,2753,1002,49,5913
10,1706584506.372737408,1706584506.472570419,1,0,0,0,-0.025208341,0.001125135,0.006270836,0.001937177,0.000375943,0.000739278,0.999997780,1061,856,0.806786051,0.025624835,0.011863003,0.008567698,0.037367947,87.232801480,0.300000000,0.027019375,0.083868949,0.185236932,0.003061963,102.916875903,0,223,212,11,0.210179076,53,0,0,0,0,785,53,2085,2976,1055,49,6698
11,1706584506.472582340,1706584506.572411060,1,0,0,0,-0.031100098,0.002023277,0.008361974,0.001885352,0.000596937,0.000681070,0.999997813,1094,840,0.767824497,0.024640329,0.011591492,0.008203272,0.039540375,84.812658645,0.272727273,0.028157648,0.080183026,0.191552969,0.003177583,101.271037971,0,218,213,5,0.199268739,43,0,0,0,0,832,44,2151,3194,1098,49,7530
12,1706584506.572422504,1706584506.672256708,1,0,0,0,-0.031747122,0.001178346,0.007622352,0.001885711,0.000486916,0.000809328,0.999997776,1089,859,0.788797062,0.025526273,0.012486596,0.008304184,0.036916552,90.283362686,0.250000000,0.028887557,0.076871385,0.192848959,0.003433684,100.355398364,0,211,208,3,0.193755739,35,0,0,0,0,843,35,2212,3405,1133,49,8373
13,1706584506.673066139,1706584506.772905827,1,0,0,0,-0.022357000,0.000216152,0.007945340,0.001622281,0.000568413,0.000663430,0.999998302,1086,854,0.786372007,0.022030969,0.011065009,0.008052099,0.051577879,73.594337231,0.230769231,0.030632966,0.081166087,0.202293773,0.003725471,98.296855200,0,172,166,6,0.158379374,51,0,0,0,0,863,51,2266,3577,1184,49,9236
14,1706584506.772917271,1706584506.872751713,1,0,0,0,-0.026458542,0.001851174,0.007072795,0.001080741,0.000539451,0.000372853,0.999999201,1087,879,0.808647654,0.020702047,0.010776038,0.007859437,0.037664497,89.485286416,0.214285714,0.031135218,0.090056925,0.206794581,0.004307303,97.667457429,0,155,154,1,0.142594296,40,0,0,0,0,892,40,2300,3732,1224,49,10128
15,1706584506.872763872,1706584506.972592115,1,0,0,0,-0.052416496,0.010887334,0.006621901,0.000940334,0.000656607,0.000258696,0.999999309,1059,861,0.813031161,0.021869214,0.010973806,0.008289098,0.033300716,101.432174994,0.200000000,0.031279585,0.091681176,0.234284049,0.004535548,97.918438600,0,183,178,5,0.172804533,40,0,0,0,0,836,40,2327,3915,1264,49,10964
16,1706584506.972604513,1706584507.072417974,1,0,0,0,-0.040215519,0.003616022,-0.000192075,0.000986393,0.000137567,0.000548314,0.999999354,1094,880,0.804387569,0.022398730,0.010660699,0.007539889,0.043941801,93.248443292,0.187500000,0.032070973,0.091261154,0.250037337,0.005113821,97.626563894,0,153,150,3,0.139853748,49,0,0,0,0,892,49,2366,4068,1313,49,11856
17,1706584507.072429895,1706584507.172256708,1,0,0,0,-0.018769482,0.002767585,0.002196524,0.001290508,0.000365809,0.000160106,0.999999088,1072,867,0.808768657,0.021363895,0.010833988,0.007915985,0.037878128,94.877327722,0.176470588,0.032412571,0.093379849,0.271632655,0.005889565,97.464844119,0,146,144,2,0.136194030,40,0,0,0,0,886,40,2401,4214,1353,49,12742
18,1706584507.173066378,1706584507.271973133,1,0,0,0,-0.036773437,0.003908632,0.001773546,0.001519683,0.000445053,0.000612420,0.999998559,1058,842,0.795841210,0.021953524,0.010699520,0.007488914,0.032716190,98.127195866,0.166666667,0.032429438,0.093340530,0.289677689,0.006794602,97.501641438,0,123,122,1,0.116257089,38,0,0,0,0,897,38,2427,4337,1391,49,13639
19,1706584507.272909164,1706584507.370930672,1,0,0,0,-0.033810651,0.000520275,0.001087742,0.001252481,0.000392360,0.000537808,0.999998994,1081,852,0.788159112,0.022103428,0.010463111,0.007552531,0.036159092,95.182631994,0.157894737,0.032625736,0.092789630,0.294230643,0.006944195,97.379588309,0,132,128,4,0.122109158,42,0,0,0,0,907,42,2465,4469,1433,49,14546
20,1706584507.372763634,1706584507.472606421,1,0,0,1,-0.027888880,-0.002537469,-0.000675373,0.001406031,0.000257154,0.000608246,0.999998793,1064,854,0.802631579,0.023014437,0.010981944,0.007667530,0.030523915,108.847179177,0.150000000,0.032520645,0.090896999,0.301124535,0.007084811,97.952967853,0,115,114,1,0.108082707,36,0,0,0,0,913,36,2498,4584,1469,49,15459
